job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
C/C++,星辙机器人有限公司,15-22K·13薪,北京·朝阳区·望京,北京,本科,,,boss,规控算法 通信算法 C/C++ 算法工程化经验,规控算法 通信算法 C/C++ 算法工程化经验,https://www.zhipin.com/job_detail/9b7943b2e8f25cb70nFz2Ny4FFRX.html
C/C++ （大厂双休),某大型知名计算机软件公司,20-40K·15薪,北京,北京,本科,1-3年,,boss,C++ QT 架构设计经验,C++ QT 架构设计经验,https://www.zhipin.com/job_detail/0f7dddad37caad350nF539W4GVpZ.html
后台实习生C++,柠檬微趣,400-500元/天,北京·西城区·西直门,北京,本科,,,boss,C++服务端开发经验 C++ 计算机相关专业 Linux开发/部署经验,C++服务端开发经验 C++ 计算机相关专业 Linux开发/部署经验,https://www.zhipin.com/job_detail/ebb845dccb21a8f51HZz2NS9FlJY.html
C/C++,灵云数科,13-20K·13薪,北京·海淀区·中关村,北京,学历不限,经验不限,,boss,C++ 计算机相关专业,C++ 计算机相关专业,https://www.zhipin.com/job_detail/663378f567cf308d1HR50925FlRQ.html
C/C++,北京软通动力云计...,12-16K,北京·西城区·西直门,北京,学历不限,经验不限,,boss,C++ QT MFC STL 流媒体,C++ QT MFC STL 流媒体,https://www.zhipin.com/job_detail/ff5c6988a712ff520nJ539m5FVZY.html
C/C++,北京元企智工科技,200-250元/天,北京,北京,学历不限,,,boss,Python Redis 嵌入式软件经验,Python Redis 嵌入式软件经验,https://www.zhipin.com/job_detail/bc07529e3c0ba9600nJ73tm-EVNZ.html
C++,华泰安信,20-40K·13薪,北京·石景山区·古城,北京,本科,经验不限,,boss,C++ QT 分布式技术 计算机软件 算法设计 软件工程师 系统架构 运动控制算法,C++ QT 分布式技术 计算机软件 算法设计 软件工程师 系统架构 运动控制算法,https://www.zhipin.com/job_detail/b8a47c3a128d04211ndz2NW9F1o~.html
c++工程师,北京芯之力科技,5-10K,北京·平谷区·平谷城区,北京,本科,,,boss,C++ C MFC,C++ C MFC,https://www.zhipin.com/job_detail/61056108fc0d8a2e03V62Nu7FVVX.html
C/C++,传世遗风,200-250元/天,北京,北京,学历不限,,,boss,C++ Java Python,C++ Java Python,https://www.zhipin.com/job_detail/b7fcc673da72ea441HV639S7GFZV.html
c++开发,华为技术有限公司,13-26K·14薪,北京·海淀区·上地,北京,本科,经验不限,,boss,C++ QT 团队管理经验,C++ QT 团队管理经验,https://www.zhipin.com/job_detail/e377696fa4f3de2f0nF93968ElVT.html
