job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
dsp开发实习生,中青云智,200-350元/天,北京·海淀区·西三旗,北京,本科,,,boss,C DSP开发经验,C DSP开发经验,https://www.zhipin.com/job_detail/9b881516bb88774a0nJ70tu7F1JY.html
dsp开发工程师,云储新能源,20-30K,北京·海淀区·五道口,北京,本科,3-5年,,boss,linux 驱动开发 新能源,linux 驱动开发 新能源,https://www.zhipin.com/job_detail/b09272cde19e1f4c1HBy0ty1GFNQ.html
DSP开发工程师,国科天迅,15-30K·13薪,北京,北京,本科,3-5年,,boss,DSP开发 数字信号处理 驱动开发 航空航天 嵌入式技术 C语言 通信接口/总线 嵌入式软件开发,DSP开发 数字信号处理 驱动开发 航空航天 嵌入式技术 C语言 通信接口/总线 嵌入式软件开发,https://www.zhipin.com/job_detail/d8de3986394029a61nR539q1GVBY.html
DSP产品经理（快应用产品）,360集团,40-60K·15薪,北京,北京,本科,5-10年,,boss,DSP 快应用,DSP 快应用,https://www.zhipin.com/job_detail/0e6682e24b6d6c870nV72dW8EVdV.html
DSP开发,视线科技,20-40K,北京·朝阳区·朝外,北京,本科,经验不限,,boss,DSP开发经验,DSP开发经验,https://www.zhipin.com/job_detail/c42ff8016166d06b1HJ_2di1FlJY.html
dsp软件工程师,北京华陵科技有限公司,20-40K,北京,北京,本科,3-5年,,boss,储能逆变器 PCS C DSP开发经验 数字电源+++电路拓扑 MATLAB,储能逆变器 PCS C DSP开发经验 数字电源+++电路拓扑 MATLAB,https://www.zhipin.com/job_detail/c2292bbcaec77aac0nd83tq6E1VQ.html
DSP开发工程师,华为技术有限公司,20-40K,北京·海淀区·西北旺,北京,本科,经验不限,,boss,通信 计算机软件 射频开发 C语言,通信 计算机软件 射频开发 C语言,https://www.zhipin.com/job_detail/4089d7370abf34ad1nZ93tW9FVJT.html
dsp开发工程师,普世通,20-22K·13薪,北京·大兴区·亦庄,北京,大专,1-3年,,boss,C++ C DSP开发经验 电子/自动化相关专业 MATLAB 嵌入式开发经验,C++ C DSP开发经验 电子/自动化相关专业 MATLAB 嵌入式开发经验,https://www.zhipin.com/job_detail/b49f63f202bb7ddc03Rz3N69FFZX.html
DSP开发工程师,凌昊智能,15-30K,北京,北京,本科,3-5年,,boss,C++ C DSP开发经验 计算机相关专业 国产化 嵌入式开发经验 嵌入式,C++ C DSP开发经验 计算机相关专业 国产化 嵌入式开发经验 嵌入式,https://www.zhipin.com/job_detail/fc0434b51b0e388903B_09m0E1FR.html
dsp软件工程师,雷动智创,15-30K,北京·海淀区·清河,北京,本科,3-5年,,boss,DSP开发经验 电子/自动化相关专业 MATLAB,DSP开发经验 电子/自动化相关专业 MATLAB,https://www.zhipin.com/job_detail/cd3e91cff353d2360nFz3Ni7FlRQ.html
dsp开发工程师,北京博电,14-28K,北京·大兴区·马驹桥,北京,本科,1-3年,,boss,DSP开发经验 嵌入式开发经验 熟悉PCIe/I2C等协议,DSP开发经验 嵌入式开发经验 熟悉PCIe/I2C等协议,https://www.zhipin.com/job_detail/84100ca1c5b04c1e1HR63Nm1ElVW.html
DSP广告平台技术总监,中发数科,18-35K,北京·朝阳区·朝外,北京,本科,5-10年,,boss,dsp 数据分析 adx平台 负载均衡技术 架构师 分布式技术 ssp平台 互联网/AI,dsp 数据分析 adx平台 负载均衡技术 架构师 分布式技术 ssp平台 互联网/AI,https://www.zhipin.com/job_detail/67d9028384e043580nV42NW8FFNR.html
DSP开发工程师,北京字节跳动,25-50K·14薪,北京·海淀区·学院路,北京,本科,3-5年,,boss,C++ C语言 嵌入式软件开发 Linux,C++ C语言 嵌入式软件开发 Linux,https://www.zhipin.com/job_detail/1c59be3ce4f1f5cd1n170tq6EVNW.html
DSP开发,爱其科技,10-15K,北京·海淀区·上地,北京,本科,3-5年,,boss,传感器 DSP 智能硬件,传感器 DSP 智能硬件,https://www.zhipin.com/job_detail/f47ae97b84585b7e0XB63ti8EA~~.html
DSP开发工程师,通广龙,25-40K,北京·海淀区·西北旺,北京,本科,5-10年,,boss,无线通信,无线通信,https://www.zhipin.com/job_detail/85424d41b1c62be11XZ_3N6_GVZW.html
产品经理（DSP用增业务方向）,北京蓝标传媒,25-50K·14薪,北京·朝阳区·酒仙桥,北京,本科,1-3年,,boss,用增产品 客户拉新 海外市场 策略优化,用增产品 客户拉新 海外市场 策略优化,https://www.zhipin.com/job_detail/3408569d3aead5020nZ53Nu_FlVW.html
