job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
ETL工程师,洋大数据,15-30K·14薪,北京·海淀区·上地,北京,大专,1-3年,,boss,HIVE Hadoop Spark,HIVE Hadoop Spark,https://www.zhipin.com/job_detail/38f55145729d0c9b1XV80ti0GFJU.html
ETL工程师,纬致科技北京,12-14K,北京·朝阳区·望京,北京,本科,3-5年,,boss,计算机相关专业 ETL设计/开发经验,计算机相关专业 ETL设计/开发经验,https://www.zhipin.com/job_detail/f17bee51f90c22550nF82ti4GFpS.html
ETL（急招）,北京新致,13-20K,北京·丰台区·六里桥,北京,大专,1-3年,,boss,east 保险经验 etl工具,east 保险经验 etl工具,https://www.zhipin.com/job_detail/457a242dbfa10baa0Hd-092_F1M~.html
数据开发工程师（ETL/数仓/SelectDB）,信华信,11-16K,北京·朝阳区·望京,北京,本科,5-10年,,boss,Java 要求数据开发经验 ETL开发经验 MySQL/SQL Server 数据仓库开发经验 Python,Java 要求数据开发经验 ETL开发经验 MySQL/SQL Server 数据仓库开发经验 Python,https://www.zhipin.com/job_detail/3a7d0931c151f7df0nJ509W6GFFS.html
ETL工程师,海捷科技计算机,12-15K,北京,北京,本科,3-5年,,boss,MySQL/Oracle/DB2 ETL设计/开发经验,MySQL/Oracle/DB2 ETL设计/开发经验,https://www.zhipin.com/job_detail/85634b3322ce5ac603Zz2tW-EVRX.html
ETL工程师,宇信科技,10-13K,北京·朝阳区·高碑店,北京,本科,5-10年,,boss,HIVE 银行 MySQL Oracle ETL 金融 SQL,HIVE 银行 MySQL Oracle ETL 金融 SQL,https://www.zhipin.com/job_detail/9edb53b2fc38c1b21n170tq9EVZX.html
ETL(保险）,申朴信息,10-13K,北京·西城区·金融街,北京,本科,3-5年,,boss,Kettle/Informatica Python Tableau/Power BI ETL设计/开发经验 金融行业数据相关经验,Kettle/Informatica Python Tableau/Power BI ETL设计/开发经验 金融行业数据相关经验,https://www.zhipin.com/job_detail/b4c2e0fe733203340nJ-29q1GVJU.html
ETL（银行项目）,安硕信息,8-10K,北京·西城区·西直门,北京,本科,,,boss,ETL设计/开发经验,ETL设计/开发经验,https://www.zhipin.com/job_detail/c20756f2c87ad6620nJ53Nm1E1pW.html
大数据etl工程师,鸣盛云科,10-15K,北京·朝阳区·劲松,北京,学历不限,经验不限,,boss,Java Hive Kettle/Informatica,Java Hive Kettle/Informatica,https://www.zhipin.com/job_detail/f978687f529a5d4e0nd93tS5FFVQ.html
ETL工程师,共致开源,11-20K,北京,北京,本科,1-3年,,boss,SQL Shell Oracle SQL Server PostgreSQL Hadoop Kettle Informatica,SQL Shell Oracle SQL Server PostgreSQL Hadoop Kettle Informatica,https://www.zhipin.com/job_detail/c80e7835ec57e11f1nB-39u8GFJR.html
ETL工程师（全额社保公积金-人力外包）,睿服科技,18-19K,北京·东城区·王府井,北京,本科,5-10年,,boss,资管相关经验 大数据开发经验 MySQL/Oracle/DB2 计算机相关专业,资管相关经验 大数据开发经验 MySQL/Oracle/DB2 计算机相关专业,https://www.zhipin.com/job_detail/759e0f19bfa78b150nFy2d61F1ZW.html
ETL/数据开发-泰康项目-13薪-足额五险一金,北京软通动力云计...,13-15K,北京·昌平区·回龙观,北京,本科,3-5年,,boss,大数据开发经验 MySQL/Oracle/DB2 ETL设计/开发经验,大数据开发经验 MySQL/Oracle/DB2 ETL设计/开发经验,https://www.zhipin.com/job_detail/a47d8dfd8ca51ad20nF9096_E1NV.html
数据挖掘工程师,BOSS直聘,面议,北京,北京,本科,,,boss,SQL,SQL,https://www.zhipin.com/job_detail/8e9d056a50db4cc703N-29q-F1ZW.html
ETL工程师,中科软,10-15K,北京·朝阳区·高碑店,北京,本科,5-10年,,boss,Kettle MySQL Oracle SQL Python,Kettle MySQL Oracle SQL Python,https://www.zhipin.com/job_detail/e51a8eb20536412a1nJ83tm0E1BV.html
大数据etl工程师,众美健康,15-22K,北京·西城区·月坛,北京,大专,3-5年,,boss,MySQL/Oracle/DB2 Kettle/Informatica Hive Python ETL设计/开发经验 大数据开发经验,MySQL/Oracle/DB2 Kettle/Informatica Hive Python ETL设计/开发经验 大数据开发经验,https://www.zhipin.com/job_detail/1afb2a61c093a705031z2di7F1JS.html
ETL工程师,致博科技,12-15K,北京·丰台区·六里桥,北京,学历不限,经验不限,,boss,Kettle/Informatica Tableau/Power BI 计算机相关专业 ETL设计/开发经验 BI项目开发经验,Kettle/Informatica Tableau/Power BI 计算机相关专业 ETL设计/开发经验 BI项目开发经验,https://www.zhipin.com/job_detail/ae929ca6251354561HN92N6_FVRW.html
