job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
FPGA开发,恒瑞弘升有限公司,15-26K,北京·朝阳区·西坝河,北京,本科,1-3年,,boss,Vivado Verilog PCIe开发经验 FPGA开发/验证经验 算法设计经验 ModelSim 可兼职,Vivado Verilog PCIe开发经验 FPGA开发/验证经验 算法设计经验 ModelSim 可兼职,https://www.zhipin.com/job_detail/719afda7503ec2411Hd909m1E1BX.html
FPGA开发,华泰安信,20-40K,北京·海淀区·清河,北京,本科,5-10年,,boss,DSP FPGA 硬件开发,DSP FPGA 硬件开发,https://www.zhipin.com/job_detail/ff83b02ea204b71e1nZ63Ni4EFE~.html
北京高云FPGA代码优化及数模混合电路设计师,唯实兴邦科技,8-13K,北京·海淀区·清河,北京,本科,3-5年,,boss,Verilog 计算机相关经验 微电子/电子工程相关专业 FPGA开发/验证经验,Verilog 计算机相关经验 微电子/电子工程相关专业 FPGA开发/验证经验,https://www.zhipin.com/job_detail/4bb7e14a531f67990nJ62d65F1RQ.html
fpga验证工程师,晶诺测试,9-13K,北京·海淀区·万柳,北京,本科,1-3年,,boss,接受实习/在校生投递 微电子/电子工程相关专业 Verilog 计算机相关经验 FPGA开发/验证经验 ModelSim,接受实习/在校生投递 微电子/电子工程相关专业 Verilog 计算机相关经验 FPGA开发/验证经验 ModelSim,https://www.zhipin.com/job_detail/019b0a2cb0133a311XN-0ti9FFRT.html
电力电子fpga开发工程,联研国芯,19-25K,北京·昌平区·北七家,北京,硕士,,,boss,Verilog ModelSim 计算机相关经验,Verilog ModelSim 计算机相关经验,https://www.zhipin.com/job_detail/a12272138d10bb4203Z73d-1FVRT.html
FPGA电机工程师,北京京都航动测控技术,10000-40000元/月,北京·昌平区·回龙观,北京,大专,3-5年,,boss,VHDL 微电子/电子工程相关专业 Vivado Verilog 计算机相关经验 FPGA开发/验证经验 算法设计经验 ISE ModelSim 自动化相关经验,VHDL 微电子/电子工程相关专业 Vivado Verilog 计算机相关经验 FPGA开发/验证经验 算法设计经验 ISE ModelSim 自动化相关经验,https://www.zhipin.com/job_detail/5f9424c0d0c8986d0nJ439-7EFBQ.html
FPGA 低延迟交易系统开发工程师（高薪！）,某大型投资公司,50-80K·24薪,北京,北京,本科,经验不限,,boss,Verilog,Verilog,https://www.zhipin.com/job_detail/0335a954aa3ff45a0nJ72N27EFdW.html
fpga工程师,华为,20-24K·16薪,北京·海淀区·西北旺,北京,本科,,,boss,ASIC开发/验证经验 Verilog FPGA开发/验证经验 UVM仿真经验,ASIC开发/验证经验 Verilog FPGA开发/验证经验 UVM仿真经验,https://www.zhipin.com/job_detail/4d729970d8b679891HR739u1EFJS.html
FPGA开发,北京灵思创奇科技,15-25K,北京,北京,本科,经验不限,,boss,VHDL FPGA Vivado 计算机相关经验 FPGA开发/验证经验 MATLAB,VHDL FPGA Vivado 计算机相关经验 FPGA开发/验证经验 MATLAB,https://www.zhipin.com/job_detail/f7cc7f5b651708991HZ409y_ElY~.html
FPGA工程师,华为,16-30K,北京·海淀区·西北旺,北京,本科,,,boss,Verilog,Verilog,https://www.zhipin.com/job_detail/888f90b44a8d87a70nJ62d24ElRW.html
fpga开发工程师,飞利信,10-15K,北京,北京,本科,,,boss,Verilog ModelSim Vivado 微电子/电子工程相关专业 FPGA开发/验证经验 PCIe开发经验,Verilog ModelSim Vivado 微电子/电子工程相关专业 FPGA开发/验证经验 PCIe开发经验,https://www.zhipin.com/job_detail/015bd7d3d06ca6120nB_0964GFpT.html
FPGA开发,盈泰福信息技术,12-20K,北京·海淀区·西二旗,北京,本科,1-3年,,boss,Verilog FPGA开发/验证经验 仿真调试 高速以太网,Verilog FPGA开发/验证经验 仿真调试 高速以太网,https://www.zhipin.com/job_detail/9c96b567f58d4cf01n1909q4GFdQ.html
FPGA开发实习生,太宇星空,150-300元/天,北京·海淀区·西北旺,北京,本科,,,boss,微电子/电子工程相关专业 Verilog 计算机相关经验 FPGA开发/验证经验 型号项目 ModelSim 航天器 卫星,微电子/电子工程相关专业 Verilog 计算机相关经验 FPGA开发/验证经验 型号项目 ModelSim 航天器 卫星,https://www.zhipin.com/job_detail/099dfbf2f5f8e06b1HRy3tq_EVNY.html
FPGA开发,核创科技,10-15K,北京·海淀区·厂洼,北京,大专,1-3年,,boss,FPGA verilog,FPGA verilog,https://www.zhipin.com/job_detail/fd32b30b06dd9f031n153d-1GFBR.html
FPGA/RFSoC 研发负责人,北京某小型超导量子计算技术解决方案公司,75-80K·16薪,北京,北京,硕士,经验不限,,boss,VHDL Verilog FPGA开发/验证经验,VHDL Verilog FPGA开发/验证经验,https://www.zhipin.com/job_detail/447af94c434db88a0nBy3Ni6GFRX.html
FPGA开发工程师,中电智科,30-60K,北京·昌平区·北七家,北京,本科,5-10年,,boss,电路设计 单片机开发 PCB设计 EMC测试 驱动开发 PLC程序设计,电路设计 单片机开发 PCB设计 EMC测试 驱动开发 PLC程序设计,https://www.zhipin.com/job_detail/8dc840840b8bf4b51nBz2tu_GVZU.html
FPGA工程师（CVQKD方向）,北京某小型量子感知硬件开发公司,30-60K,北京,北京,硕士,经验不限,,boss,VHDL FPGA开发 量子秘钥分发 示波器 CV-QKD Verilog 连续变量,VHDL FPGA开发 量子秘钥分发 示波器 CV-QKD Verilog 连续变量,https://www.zhipin.com/job_detail/0e5e00bb710b07a40nF93dy8FVJX.html
量子密码算法FPGA,某大型通信公司,40-70K·17薪,北京,北京,本科,5-10年,,boss,Verilog,Verilog,https://www.zhipin.com/job_detail/12a84772cc2412f10nF-0tm_FFNZ.html
fpga验证工程师,光联芯科,20-35K·16薪,北京·海淀区·学院路,北京,本科,3-5年,,boss,FPGA开发/验证经验 FPGA验证 SystemVerilog FPGA开发,FPGA开发/验证经验 FPGA验证 SystemVerilog FPGA开发,https://www.zhipin.com/job_detail/22a2a493704a83220nF82NS8EFZX.html
fpga嵌入式工程师,旷亿拓元,11-22K,北京·海淀区·学院路,北京,硕士,,,boss,Verilog Vivado 微电子/电子工程相关专业 FPGA开发/验证经验 AD fpga xilinx zynq spi,Verilog Vivado 微电子/电子工程相关专业 FPGA开发/验证经验 AD fpga xilinx zynq spi,https://www.zhipin.com/job_detail/1222a0c4f5e5eded0nZ52t2-E1tU.html
FPGA工程师,利亚德,30-50K,北京·海淀区·颐和园,北京,本科,3-5年,,boss,芯片开发 VHDL 嵌入式硬件开发 示波器 逻辑分析仪 信号发生器 音视频编解码,芯片开发 VHDL 嵌入式硬件开发 示波器 逻辑分析仪 信号发生器 音视频编解码,https://www.zhipin.com/job_detail/af709f02dc11dd281nJz2Nu_FVpW.html
FPGA工程师,为准电子,25-50K,北京·朝阳区·望京,北京,本科,3-5年,,boss,电路设计 VHDL Verilog,电路设计 VHDL Verilog,https://www.zhipin.com/job_detail/231b5eeaa9892e7e1XV-3N2_F1tU.html
FPGA开发,北京航空航天大学,10-15K·13薪,北京·海淀区·学院路,北京,本科,,,boss,Verilog Synplify ModelSim Vivado FPGA开发/验证经验 ASIC开发/验证经验 算法设计经验 UVM仿真经验,Verilog Synplify ModelSim Vivado FPGA开发/验证经验 ASIC开发/验证经验 算法设计经验 UVM仿真经验,https://www.zhipin.com/job_detail/d1f0860920ce13a10nF92ti1GFpR.html
FPGA 工程师（控制/图像）（社招）(J10427),新毅东科技有限公司,20-30K,北京·通州区·马驹桥,北京,本科,5-10年,,boss,Verilog VHDL 微电子/电子工程相关专业 自动化相关经验 FPGA开发/验证经验 UVM仿真经验,Verilog VHDL 微电子/电子工程相关专业 自动化相关经验 FPGA开发/验证经验 UVM仿真经验,https://www.zhipin.com/job_detail/6a50ead925b5ea5c0nJ429-_FVZS.html
FPGA开发,摩尔威视,20-30K·13薪,北京,北京,本科,1-3年,,boss,Verilog FPGA开发/验证经验 FPGA开发     图像,Verilog FPGA开发/验证经验 FPGA开发     图像,https://www.zhipin.com/job_detail/f649b415374f76931nN_39q0FVFS.html
fpga研发工程师(可远程上班）,点点点信息,15-25K,北京·丰台区·大红门,北京,本科,1-3年,,boss,Verilog VHDL ModelSim Vivado FPGA开发/验证经验 毫米雷达波 fpga工程师,Verilog VHDL ModelSim Vivado FPGA开发/验证经验 毫米雷达波 fpga工程师,https://www.zhipin.com/job_detail/d79dbddb6859756c031_2d2_E1FY.html
fpga工程师,普源精电,15-25K·17薪,北京,北京,硕士,经验不限,,boss,Verilog FPGA开发/验证经验,Verilog FPGA开发/验证经验,https://www.zhipin.com/job_detail/ad8879ce873d90a20nJ52964ElRW.html
FPGA测试工程师,北航可靠性软件测评,10-15K,北京·海淀区·学院路,北京,本科,经验不限,,boss,测试 测试工程师,测试 测试工程师,https://www.zhipin.com/job_detail/85813a39b5b81a3a1nV43ty5E1VQ.html
FPGA专家,某中型人工智能公司,25-50K·14薪,北京,北京,本科,5-10年,,boss,Verilog 嵌入式技术,Verilog 嵌入式技术,https://www.zhipin.com/job_detail/0016129fbdab0bf70nJ62tm8F1pY.html
FPGA开发-国企-长期稳定,外企人力,16-24K,北京·海淀区·西北旺,北京,本科,经验不限,,boss,VHDL Vivado Verilog FPGA开发/验证经验 ModelSim,VHDL Vivado Verilog FPGA开发/验证经验 ModelSim,https://www.zhipin.com/job_detail/3a2113acd5b389bf0nJ63du7GVFX.html
FPGA开发,北京计算机研究所,10-15K,北京,北京,硕士,3-5年,,boss,Verilog Vivado 计算机相关经验 FPGA开发/验证经验 PCIe开发经验,Verilog Vivado 计算机相关经验 FPGA开发/验证经验 PCIe开发经验,https://www.zhipin.com/job_detail/e069859178e0d8870nd-09y9FFBR.html
FPGA硬件工程师,新超仁达,14-25K·13薪,北京,北京,本科,1-3年,,boss,VHDL 逻辑 FPGA Verilog FPGA开发/验证经验 自动化相关经验 仿真调试 集成电路,VHDL 逻辑 FPGA Verilog FPGA开发/验证经验 自动化相关经验 仿真调试 集成电路,https://www.zhipin.com/job_detail/099c7f915824ff3e1nF53di9FFNQ.html
高级fpga开发工程师,微光智远,25-40K·13薪,北京·石景山区·苹果园,北京,本科,3-5年,,boss,Verilog ModelSim Vivado FPGA开发/验证经验 PCIe开发经验 自动化相关经验 算法设计经验 英语读写能力良好,Verilog ModelSim Vivado FPGA开发/验证经验 PCIe开发经验 自动化相关经验 算法设计经验 英语读写能力良好,https://www.zhipin.com/job_detail/208c2803489cae600nFz0t67GFFQ.html
FPGA工程师,WISEMAY,100-120元/时,北京·怀柔区·庙城,北京,本科,3-5年,,boss,Verilog VHDL MATLAB 自动化相关经验 FPGA开发/验证经验,Verilog VHDL MATLAB 自动化相关经验 FPGA开发/验证经验,https://www.zhipin.com/job_detail/76999df8bb1622ba1HB92dW6FVpU.html
AI FPGA开发实习生（RISC-V/GPGPU）,千芯科技,200-350元/天,北京·西城区·西直门,北京,本科,,,boss,Verilog,Verilog,https://www.zhipin.com/job_detail/7d3951ed89e9123b1HN72d-7EVNQ.html
fpga,耀辰捷,16-23K,北京·海淀区·上地,北京,大专,10年以上,,boss,Vivado Verilog FPGA开发/验证经验,Vivado Verilog FPGA开发/验证经验,https://www.zhipin.com/job_detail/e80ffdd5ed5586510nJ539S8GFBV.html
FPGA工程师,某半导体公司,40-60K,北京,北京,硕士,3-5年,,boss,电子/通信/半导体 OCS 光交换机 FPGA OCS 光模块 光学系统,电子/通信/半导体 OCS 光交换机 FPGA OCS 光模块 光学系统,https://www.zhipin.com/job_detail/5b354c1aea4464750nFz2t65GVRV.html
fpga开发工程师,锐创信通,11-20K,北京,北京,本科,经验不限,,boss,Verilog FPGA开发/验证经验,Verilog FPGA开发/验证经验,https://www.zhipin.com/job_detail/674979a2596a7c4403R43Ny1GVRQ.html
fpga验证工程师,deepoly,15-25K·13薪,北京·海淀区·知春路,北京,本科,1-3年,,boss,Verilog FPGA开发/验证经验,Verilog FPGA开发/验证经验,https://www.zhipin.com/job_detail/f3eaebda098253361X192tW1ElJQ.html
FPGA开发,东方显微,9-14K,北京,北京,本科,1-3年,,boss,VHDL 微电子/电子工程相关专业 Verilog FPGA开发/验证经验,VHDL 微电子/电子工程相关专业 Verilog FPGA开发/验证经验,https://www.zhipin.com/job_detail/15dc524ae303b2a403x509i9FltT.html
FPGA 低延迟交易系统开发工程师（高薪！）,某基金公司,50-80K·24薪,上海,上海,本科,经验不限,,boss,Verilog,Verilog,https://www.zhipin.com/job_detail/95365e5f7cbb8e6a0nJ72N24GVRZ.html
FPGA开发,疆通科技,250-350元/天,上海·虹口区·江湾,上海,本科,,,boss,Verilog MATLAB FPGA开发/验证经验,Verilog MATLAB FPGA开发/验证经验,https://www.zhipin.com/job_detail/6ecd4cf801e1bc700nF_2Nm-FFdV.html
高级fpga开发工程师,瞬联科技,30-35K·13薪,上海·浦东新区·张江,上海,学历不限,5-10年,,boss,Verilog FPGA开发/验证经验 OTN 光网络 路由器 交换机 光传输,Verilog FPGA开发/验证经验 OTN 光网络 路由器 交换机 光传输,https://www.zhipin.com/job_detail/35e0b7de912429390nJ539W5GFVY.html
系统和FPGA Solo销售(J10907),合见工软,20-40K,上海·浦东新区·世博,上海,学历不限,经验不限,,boss,PCB 原理图 系统产品,PCB 原理图 系统产品,https://www.zhipin.com/job_detail/d4024400416ffbd80nJ60tm6EVZU.html
数字IC/FPGA验证工程师,诚迈科技,20-30K,上海·闵行区·吴泾,上海,本科,3-5年,,boss,FPGA开发 Linux Verilog IC验证,FPGA开发 Linux Verilog IC验证,https://www.zhipin.com/job_detail/372e72d563c77c050nF_0tS8FFZV.html
fpga工程师,上海微现检测,15-25K·13薪,上海,上海,本科,3-5年,,boss,Verilog FPGA开发/验证经验 图像,Verilog FPGA开发/验证经验 图像,https://www.zhipin.com/job_detail/2613da49977f90210nF93920ElFV.html
FPGA硬件工程师,上海某中型高端光纤激光器研发与生产公司,20-40K,上海,上海,本科,5-10年,,boss,FPGA硬件,FPGA硬件,https://www.zhipin.com/job_detail/c985b608cbf8a60a0nJ42t27ElpU.html
