job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
Golang,深澜智远,200-400元/天,北京,北京,本科,,,boss,Golang Python Java,Golang Python Java,https://www.zhipin.com/job_detail/a3769bafc4450dd10nF93t20FFNV.html
go开发工程师（大厂双休，全额五险一金）,外企德科数字,25-30K·15薪,北京·海淀区·学院路,北京,本科,5-10年,,boss,Golang 计算机相关专业 中大型项目开发经验,Golang 计算机相关专业 中大型项目开发经验,https://www.zhipin.com/job_detail/c035c46d148e0e9a0nZy39S8E1RR.html
go开发工程师,朱立业,30-60K,北京·海淀区·苏州桥,北京,大专,5-10年,,boss,Golang Golang服务端开发经验 中大型项目开发经验 系统架构设计经验 计算机相关专业,Golang Golang服务端开发经验 中大型项目开发经验 系统架构设计经验 计算机相关专业,https://www.zhipin.com/job_detail/e432d43246573e090nd72tm4EFZQ.html
高级go开发工程师-在线工作,云网极速,100-120元/时,北京·朝阳区·朝外,北京,大专,3-5年,,boss,Golang Docker Freeswitch MySQL Golang服务端开发经验 Redis SIP 中大型项目开发经验 系统架构设计经验,Golang Docker Freeswitch MySQL Golang服务端开发经验 Redis SIP 中大型项目开发经验 系统架构设计经验,https://www.zhipin.com/job_detail/191eec1c3991d8961HJy2965E1FT.html
go开发工程师,慧博云通,11-12K,北京·昌平区·沙河,北京,大专,1-3年,,boss,Golang MySQL,Golang MySQL,https://www.zhipin.com/job_detail/b672ee0ba68c5dfb1HZy3Nm6E1VY.html
Go语言后端实习生(DOG Stack · 可观测),飞轮数据科技,300-400元/天,北京·海淀区·上地,北京,本科,,,boss,Golang Docker Kubernetes 计算机相关专业 Golang服务端开发经验 Linux 开发 可观测采集层 Logs/Metrics/Traces,Golang Docker Kubernetes 计算机相关专业 Golang服务端开发经验 Linux 开发 可观测采集层 Logs/Metrics/Traces,https://www.zhipin.com/job_detail/c141dec54dc89d870nJ52d2-FVRV.html
Golang,知了育才,10-15K,北京·昌平区·回龙观,北京,本科,1-3年,,boss,Golang Gin MySQL,Golang Gin MySQL,https://www.zhipin.com/job_detail/90536fe927e5b0720nJ-39-7FlZT.html
Golang【短5个月】,上海耀辰捷,11-14K,北京·海淀区·木樨地,北京,大专,3-5年,,boss,Golang C++ C语言,Golang C++ C语言,https://www.zhipin.com/job_detail/63a769c6de8e09ca0nJ52N20FlFU.html
go后端开发工程师,北京软通动力云计...,12-16K,北京·昌平区·北七家,北京,本科,经验不限,,boss,Golang Gin,Golang Gin,https://www.zhipin.com/job_detail/a092980f3a122cb00nF42Nm0GVBV.html
GO语言开发工程师,牵手,35-65K·15薪,北京·朝阳区·朝外,北京,本科,1-3年,,boss,Golang Java C语言 Golang服务端开发经验 计算机相关专业 golang 后端开发 CRM 系统 客服系统 呼叫系统,Golang Java C语言 Golang服务端开发经验 计算机相关专业 golang 后端开发 CRM 系统 客服系统 呼叫系统,https://www.zhipin.com/job_detail/319ccba5720fcd821XR409-1FVBQ.html
GO后端开发工程师,人瑞网络科技,12-14K,北京·海淀区·上地,北京,大专,1-3年,,boss,Golang Golang服务端开发经验,Golang Golang服务端开发经验,https://www.zhipin.com/job_detail/cf3fdf2e34c35c3e0nJ72NW4FlFV.html
go后端开发实习生,SenseTime,350-450元/天,北京·海淀区·苏州桥,北京,本科,,,boss,Golang Gin,Golang Gin,https://www.zhipin.com/job_detail/32c4b44cfb091dee0nF63Ni9F1JR.html
Golang 后端开发工程师（应届生）,华为技术有限公司,20-40K,北京,北京,本科,,,boss,Golang 计算机相关专业 Golang服务端开发经验,Golang 计算机相关专业 Golang服务端开发经验,https://www.zhipin.com/job_detail/1ab4673197e9fcc90nFz3Ni7EFJW.html
后端实习生（Go 方向）,北京未来量化科技,200-300元/天,北京·朝阳区·望京,北京,本科,,,boss,Golang Golang服务端开发经验 英语读写能力良好 Python,Golang Golang服务端开发经验 英语读写能力良好 Python,https://www.zhipin.com/job_detail/779309f5cd2575c40nF639u_FVZW.html
Golang,字节跳动,400-500元/天,北京·海淀区·苏州桥,北京,本科,,,boss,Golang MySQL 计算机相关专业,Golang MySQL 计算机相关专业,https://www.zhipin.com/job_detail/f40c4b0a7a2fdbd90nR909q4FFVU.html
GO（会C或C++),上海晟之福科技,11-14K,北京·朝阳区·亚运村,北京,大专,3-5年,,boss,Golang C++ C语言 Golang服务端开发经验 计算机相关专业 SQL语言 oracle PostgreSQL,Golang C++ C语言 Golang服务端开发经验 计算机相关专业 SQL语言 oracle PostgreSQL,https://www.zhipin.com/job_detail/090c972ddec110b20nJ52Ny8FFRW.html
go后端开发工程师,首聘,8-10K,北京·海淀区·上地,北京,大专,3-5年,,boss,Golang 计算机相关专业 Golang服务端开发经验,Golang 计算机相关专业 Golang服务端开发经验,https://www.zhipin.com/job_detail/751c7a137db0a6290nJ53t2-ElFY.html
Go后端开发工程师 全线上办公 成长空间大,深圳市东莱国际信...,25-50K·16薪,北京·海淀区·苏州桥,北京,本科,3-5年,,boss,Golang Gin Docker MySQL 计算机相关专业 Golang服务端开发经验 中大型项目开发经验 系统架构设计经验 居家办公 后端开发 AI Agent Langfuse LLM,Golang Gin Docker MySQL 计算机相关专业 Golang服务端开发经验 中大型项目开发经验 系统架构设计经验 居家办公 后端开发 AI Agent Langfuse LLM,https://www.zhipin.com/job_detail/31dbb6ff437d6c9a0nJ-296-FFNR.html
golang(J21382),弘历咨询,10-15K,北京·丰台区·刘家窑,北京,本科,1-3年,,boss,Golang,Golang,https://www.zhipin.com/job_detail/794588853fb648ff03d92tW6F1NZ.html
golang开发实习生,联动优势,280-290元/天,北京·朝阳区·国贸,北京,本科,,,boss,Golang 计算机相关专业 Golang服务端开发经验,Golang 计算机相关专业 Golang服务端开发经验,https://www.zhipin.com/job_detail/ed9f7e0637396f240nJ709-6EFdR.html
AI工程开发-Golang,北京某大型互联网社交娱乐平台公司,50-75K·15薪,北京,北京,本科,5-10年,,boss,Golang,Golang,https://www.zhipin.com/job_detail/da56fc4bc22670ee0nB60tu8FFtY.html
Golang研发工程师,视点互联,22-35K·13薪,北京·海淀区·上地,北京,本科,,,boss,Golang Linux 边缘计算 Golang服务端开发经验 计算机相关专业 后端开发,Golang Linux 边缘计算 Golang服务端开发经验 计算机相关专业 后端开发,https://www.zhipin.com/job_detail/4516998da4fe602603R70tu0EVJQ.html
Golang工程师/架构师,银河智学,30-35K·13薪,北京·海淀区·中关村,北京,本科,5-10年,,boss,Golang Golang服务端开发经验 中大型项目开发经验 系统架构设计经验,Golang Golang服务端开发经验 中大型项目开发经验 系统架构设计经验,https://www.zhipin.com/job_detail/0e6c20d098cfc9d00nFz2Ny4ElRZ.html
高级Go后端开发工程师 含运维,北京福德众鑫科技,25-35K,北京·朝阳区·惠新西街,北京,大专,10年以上,,boss,Golang MySQL Golang服务端开发经验 中大型项目开发经验 系统架构设计经验 互联网金融,Golang MySQL Golang服务端开发经验 中大型项目开发经验 系统架构设计经验 互联网金融,https://www.zhipin.com/job_detail/ffdd124a8d91e2be0nJ42t64GFBT.html
Golang后端开发,某大型互联网公司,60-90K·16薪,北京,北京,本科,1-3年,,boss,Golang infra,Golang infra,https://www.zhipin.com/job_detail/d352323994015ac00nJ73ty8FFdY.html
Go后端开发（社交、内容、直播、游戏、电商,某互联网公司,35-60K·15薪,北京,北京,本科,3-5年,,boss,Golang 计算机相关专业 Golang服务端开发经验 社交 内容 直播 游戏 电商,Golang 计算机相关专业 Golang服务端开发经验 社交 内容 直播 游戏 电商,https://www.zhipin.com/job_detail/9b7ff2e853640cb50nF73NS_E1JW.html
Go/Golang 开发工程师,PM.School,25-50K,北京·朝阳区·亮马桥,北京,本科,3-5年,,boss,后端开发 golang,后端开发 golang,https://www.zhipin.com/job_detail/a122cbed9560ac5b1nJ929W0EVNV.html
GO开发工程师（反馈快，急招！）,广州如是纵横信息...,20-24K,北京·海淀区·中关村,北京,大专,3-5年,,boss,Golang Agent 大模型 AI,Golang Agent 大模型 AI,https://www.zhipin.com/job_detail/f3badf2cba0eb80a0nZ82di5F1tR.html
GO开发,翌擎科技,16-27K,北京·海淀区·中关村,北京,大专,3-5年,,boss,Golang,Golang,https://www.zhipin.com/job_detail/282775ee7af2890e0nR739-7F1JS.html
go后端开发-视频面试-外派百度,上海兴岩信息科技,11-13K,北京·海淀区·上地,北京,本科,3-5年,,boss,Golang AI Coding 工具 MySQL Golang服务端开发经验 计算机相关专业,Golang AI Coding 工具 MySQL Golang服务端开发经验 计算机相关专业,https://www.zhipin.com/job_detail/b34e4f69dc45393a0nJ43tW_EVJV.html
Golang游戏服务器,啊哈娱乐,18-35K·14薪,北京·朝阳区·酒仙桥,北京,本科,5-10年,,boss,Golang 动作游戏 C++ Golang服务端开发经验,Golang 动作游戏 C++ Golang服务端开发经验,https://www.zhipin.com/job_detail/76f61b3bb781f3c20nB_3dS5EVdX.html
golang后端开发工程师,好饮科技,11-18K,北京·东城区·东四,北京,本科,3-5年,,boss,Golang Agent 机器人 rocketmq kafka AI Golang服务端开发经验 计算机相关专业,Golang Agent 机器人 rocketmq kafka AI Golang服务端开发经验 计算机相关专业,https://www.zhipin.com/job_detail/60cc4326880807e50nVy0t-0F1FW.html
Go后端开发工程师,北京首聘科技有限公司,8-10K,北京·海淀区·上地,北京,本科,经验不限,,boss,Golang MySQL 计算机相关专业,Golang MySQL 计算机相关专业,https://www.zhipin.com/job_detail/b4d4e4b0735418dc0nJ50ty9GFBZ.html
go工程师,中科软,12-18K,北京·石景山区·八大处,北京,本科,3-5年,,boss,Golang Gin Golang服务端开发经验 计算机相关专业,Golang Gin Golang服务端开发经验 计算机相关专业,https://www.zhipin.com/job_detail/7a3cff49d47337430nF92N60FlVV.html
高级golang开发工程师,极联股份,15-18K,北京·昌平区·回龙观,北京,大专,3-5年,,boss,Golang Golang服务端开发经验 计算机相关专业,Golang Golang服务端开发经验 计算机相关专业,https://www.zhipin.com/job_detail/914fdf9a0f4238ed0nJ72di5FVNW.html
