job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
Java,深澜智远,200-400元/天,北京,北京,本科,,,boss,Java SpringCloud MySQL MyBatis Redis Spring Python,Java SpringCloud MySQL MyBatis Redis Spring Python,https://www.zhipin.com/job_detail/bcdd0ea56ebec9450nZy39q5ElBU.html
Java,华泰安信,15-30K·13薪,北京·石景山区·古城,北京,本科,经验不限,,boss,Java 前端开发 Web前端 SpringCloud MySQL MyBatis SQL Server Spring Oracle,Java 前端开发 Web前端 SpringCloud MySQL MyBatis SQL Server Spring Oracle,https://www.zhipin.com/job_detail/a91476d69da4bc501nV72Ny7ElQ~.html
Java,BOSS直聘,20-40K·16薪,北京,北京,本科,,,boss,Java 团队管理经验 微服务经验 SpringCloud MySQL Redis Spring,Java 团队管理经验 微服务经验 SpringCloud MySQL Redis Spring,https://www.zhipin.com/job_detail/5a7b5c5e199eea6e0nB82t--FVVY.html
Java,华为,15-30K,北京·海淀区·上地,北京,本科,1-3年,,boss,Java MyBatis Spring SpringCloud JVM MySQL SQL Server PostgreSQL Spark 架构设计经验 分布式经验 云计算经验 大数据经验,Java MyBatis Spring SpringCloud JVM MySQL SQL Server PostgreSQL Spark 架构设计经验 分布式经验 云计算经验 大数据经验,https://www.zhipin.com/job_detail/e7eca55db44951df0nJ539q4FlNU.html
java工程师,北京芯之力科技,5-10K,北京·平谷区·平谷城区,北京,本科,,,boss,Java Nginx Hibernate Tomcat PostgreSQL MySQL MyBatis 其他 SQL Server Spring Oracle,Java Nginx Hibernate Tomcat PostgreSQL MySQL MyBatis 其他 SQL Server Spring Oracle,https://www.zhipin.com/job_detail/dc930dcbd93f782103V62Nu4FlpS.html
java后端开发,创睿连科(大连)科技,7-10K,北京·海淀区·中关村,北京,大专,1-3年,,boss,Java SpringCloud MySQL ai Redis Spring,Java SpringCloud MySQL ai Redis Spring,https://www.zhipin.com/job_detail/ad555984c4893dc00nJ53Nm5FFVZ.html
Java 后端开发（AI Agent 应用方向）,福佑卡车,15-25K,北京·海淀区·西北旺,北京,本科,1-3年,,boss,Java C++ Spring MyBatis Zookeeper Nginx MySQL HBase Spark 分布式经验 大数据经验 物联网经验 音视频经验 微服务经验 不接受居家办公 新媒体运营背景 独立项目经验,Java C++ Spring MyBatis Zookeeper Nginx MySQL HBase Spark 分布式经验 大数据经验 物联网经验 音视频经验 微服务经验 不接受居家办公 新媒体运营背景 独立项目经验,https://www.zhipin.com/job_detail/b2f76b994dc9795b0nF53d-5FlZX.html
java,多喝热水,15-16K,北京·朝阳区·三里屯,北京,本科,1-3年,,boss,后端工程师,后端工程师,https://www.zhipin.com/job_detail/834a4799ffa768ca1XFy3dW8GFFS.html
Java/Go开发工程师,某大型证券/期货上市公司,20-30K,北京,北京,本科,3-5年,,boss,Java Golang Spring MySQL 微服务经验,Java Golang Spring MySQL 微服务经验,https://www.zhipin.com/job_detail/0e55958f32b541320nJ42d6-FltR.html
JAVA【13薪+全额公积金】北京,中软国际,10-14K·13薪,北京·西城区·金融街,北京,本科,3-5年,,boss,Java 微服务经验 MySQL 征信 Spring,Java 微服务经验 MySQL 征信 Spring,https://www.zhipin.com/job_detail/610b5554af38e79503142Ny-FlNZ.html
