job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
AI应用开发工程师（Node.js/LLM方向）,久胜信诚,15-30K,北京·朝阳区·大望路,北京,本科,经验不限,,boss,AI 全栈 大模型 Python,AI 全栈 大模型 Python,https://www.zhipin.com/job_detail/c91ada84e0cc48e10nd83di1FVVU.html
Node.js,神将体育,12-16K,北京·昌平区·天通苑,北京,大专,1-3年,,boss,Nodejs,Nodejs,https://www.zhipin.com/job_detail/26b6fe530eb5417b03R_3N2-GVJS.html
Node.js 全栈工程师,北京展创科技,100-200元/时,北京·朝阳区·望京,北京,本科,3-5年,,boss,JavaScript/TypeScript Node.js开发经验 服务端开发经验 Node.js 前端开发经验,JavaScript/TypeScript Node.js开发经验 服务端开发经验 Node.js 前端开发经验,https://www.zhipin.com/job_detail/864b1917f7d51aef0nR-39S-FlVV.html
Node.js 工程师（智能决策系统）,元气森林,15-25K,北京·朝阳区·燕莎,北京,学历不限,经验不限,,boss,Node.js 后端开发,Node.js 后端开发,https://www.zhipin.com/job_detail/66dac9ad0c19b7ce1nR90tu6FFdT.html
Node.js,北京当鸣科技有限公司,30-50K,北京·朝阳区·望京,北京,本科,3-5年,,boss,Node.js 区块链技术,Node.js 区块链技术,https://www.zhipin.com/job_detail/3931356efb4b8ab81nJ439W4FVo~.html
Node.js,智创高科,9-14K·14薪,北京,北京,本科,经验不限,,boss,Node.js 全栈开发 HTML CSS Web端 Express JavaScript WEB开发,Node.js 全栈开发 HTML CSS Web端 Express JavaScript WEB开发,https://www.zhipin.com/job_detail/82ad820d50bbc94f1nV73d-6FVtV.html
Node.js 智能体框架研发（京东官方Claw）,京东集团,40-70K·20薪,北京·通州区·马驹桥,北京,本科,5-10年,,boss,Node.js JavaScript/TypeScript Python Node.js开发经验 计算机/软件工程相关专业,Node.js JavaScript/TypeScript Python Node.js开发经验 计算机/软件工程相关专业,https://www.zhipin.com/job_detail/f31127d2da7a3d900nF43t-9F1ZV.html
Node.js,致远互联,30-50K,北京·海淀区·颐和园,北京,学历不限,经验不限,,boss,后端 全栈 Node.js JavaScript/TypeScript,后端 全栈 Node.js JavaScript/TypeScript,https://www.zhipin.com/job_detail/5eb207e22bb6ebfb1X182dq5EFpR.html
Node.js,ListenHub,20-35K,北京·海淀区·清河,北京,本科,1-3年,,boss,后端 Node.js JavaScript/TypeScript MySQL/Redis/MongoDB 计算机/软件工程相关专业 Node.js开发经验 服务端开发经验 Linux开发经验,后端 Node.js JavaScript/TypeScript MySQL/Redis/MongoDB 计算机/软件工程相关专业 Node.js开发经验 服务端开发经验 Linux开发经验,https://www.zhipin.com/job_detail/cdee68681f988cc603B839i0ElFY.html
RPA全栈工程师（node.js）,企享云,20-30K,北京·海淀区·苏州桥,北京,本科,5-10年,,boss,Java Node.js开发经验 saas Vue/Angular/React 全栈 Node.js 财税,Java Node.js开发经验 saas Vue/Angular/React 全栈 Node.js 财税,https://www.zhipin.com/job_detail/2c8a23fb5aa69a281HZ-2di5ElFW.html
Node.js,华为技术有限公司,12-17K,北京·海淀区·西北旺,北京,本科,1-3年,,boss,Node.js JavaScript/TypeScript,Node.js JavaScript/TypeScript,https://www.zhipin.com/job_detail/627654e717e702541X1z3NS_FldZ.html
node.js后端开发,心遇科技,13-20K,北京,北京,大专,3-5年,,boss,后端 Node.js Linux开发经验 Node.js开发经验 计算机/软件工程相关专业,后端 Node.js Linux开发经验 Node.js开发经验 计算机/软件工程相关专业,https://www.zhipin.com/job_detail/e92e9c3822ce098803xz0924FVtR.html
