job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
SLAM与3D重建算法工程师（具身数据方向）,广州赤炎网络科技,35-60K·15薪,北京,北京,本科,1-3年,,boss,多视角几何 3D重建 C++/python 多传感器融合 高精度建图 视觉SLAM NeRF 自动驾驶定位,多视角几何 3D重建 C++/python 多传感器融合 高精度建图 视觉SLAM NeRF 自动驾驶定位,https://www.zhipin.com/job_detail/534808d48f45614d0nFz3dW6FlZV.html
slam实习生,INDEMIND,250-300元/天,北京,北京,本科,,,boss,slam,slam,https://www.zhipin.com/job_detail/62a9754b73b88e300nJ42tW_GVdW.html
SLAM算法（具身智能 / 三维重建方向）,成都先路之信息技...,20-40K,北京,北京,学历不限,经验不限,,boss,Python,Python,https://www.zhipin.com/job_detail/774b8d562b33e7f60nFy2Nq4GFdT.html
slam地图算法,北京某大型新能源汽车公司,100-180K·24薪,北京,北京,本科,10年以上,,boss,汽车,汽车,https://www.zhipin.com/job_detail/3283fb44a69cd0170nZ83NW5FVBX.html
定位算法实习生,九识,300-310元/天,北京·海淀区·魏公村,北京,学历不限,,,boss,slam 定位算法,slam 定位算法,https://www.zhipin.com/job_detail/baf1d6780a0e70210nJ539i5F1ZS.html
机器人slam算法工程师,北京深图灵科技,15-30K,北京·通州区·玉桥,北京,本科,1-3年,,boss,slam ROS2 机器人 四足机器人 轮式机器人,slam ROS2 机器人 四足机器人 轮式机器人,https://www.zhipin.com/job_detail/9f810d042d59320a0nd629W4EVZZ.html
【2027秋招】SLAM算法工程师,深圳元戎启行科技,20-40K·14薪,北京·海淀区·中关村,北京,本科,,,boss,激光SLAM 视觉惯导融合,激光SLAM 视觉惯导融合,https://www.zhipin.com/job_detail/62673d71b12dcf640nF_2NW0FFtW.html
SLAM算法工程师|机器人,北京松延动力科技,30-50K·13薪,北京·昌平区·北七家,北京,本科,经验不限,,boss,激光slam 视觉slam,激光slam 视觉slam,https://www.zhipin.com/job_detail/193eb07169c5716c0ndz29i7EFZQ.html
扫地机器人SLAM,美国某中型清洁电器公司,30-50K·14薪,北京,北京,本科,1-3年,,boss,扫地机器人 算法基础,扫地机器人 算法基础,https://www.zhipin.com/job_detail/658c87285f2c5e470nF93tm-FVJU.html
27 校招-SLAM算法,文远知行,25-50K·15薪,北京·海淀区·学院路,北京,本科,,,boss,slam 建图 c++,slam 建图 c++,https://www.zhipin.com/job_detail/4b78b7f0cee60f590nF93Nu_GFpQ.html
slam高级算法副组长（激光/视觉方向+四足）,史河科技,35-50K,北京·丰台区·花乡,北京,本科,5-10年,,boss,SLAM slam,SLAM slam,https://www.zhipin.com/job_detail/e2bd5d01e2525d9d0nJ-29i6EltT.html
slam算法,某大型汽车研发/制造公司,45-75K·15薪,北京,北京,本科,经验不限,,boss,slam 多传感器,slam 多传感器,https://www.zhipin.com/job_detail/88d765f64075840d0nJ52dy6EVNU.html
SLAM算法开发实习生,白泽汇智,200-260元/天,北京·海淀区·学院路,北京,本科,,,boss,SLAM定位融合 Yolo目标识别 语义地图 LLM语音模型接入,SLAM定位融合 Yolo目标识别 语义地图 LLM语音模型接入,https://www.zhipin.com/job_detail/804fa2f74e1eef9c0nF839-0FFZZ.html
激光slam算法工程师（北京）,朴津智能,27-45K·13薪,北京,北京,本科,3-5年,,boss,算法设计 激光slam 建图,算法设计 激光slam 建图,https://www.zhipin.com/job_detail/53c53ecf968126291X1_2Nm5F1NQ.html
SLAM算法工程师-具身智能/三维度重建方向,某大型企业服务公司,40-70K·15薪,北京,北京,本科,经验不限,,boss,具身智能 slam 三维 视觉算法,具身智能 slam 三维 视觉算法,https://www.zhipin.com/job_detail/13c368ec747362700nFy2ty5F1RY.html
视觉 SLAM 算法工程师,某人工智能公司,50-70K·14薪,北京,北京,本科,3-5年,,boss,slam 自动驾驶 具身 VR 0-1 slam算法搭建,slam 自动驾驶 具身 VR 0-1 slam算法搭建,https://www.zhipin.com/job_detail/0f34a2a0624158570nZ_3tu4EFBT.html
视觉算法工程师——SLAM算法,石头科技,30-60K·16薪,北京·昌平区·回龙观,北京,本科,1-3年,,boss,SLAM算法,SLAM算法,https://www.zhipin.com/job_detail/9fbb2d1ae44009320ndz3di5FVBZ.html
SLAM算法工程师(实习),小雨智造科技,300-500元/天,北京·海淀区·清河,北京,本科,,,boss,C/C++ C++ 算法设计 其他 SLAM算法 深度学习算法 运动控制算法 Python,C/C++ C++ 算法设计 其他 SLAM算法 深度学习算法 运动控制算法 Python,https://www.zhipin.com/job_detail/01c21934731069860nR-29q9EVdS.html
激光slam算法工程师,朴津智能,30-40K,北京·大兴区·黄村,北京,本科,3-5年,,boss,fast-lio2、3D SLAM,fast-lio2、3D SLAM,https://www.zhipin.com/job_detail/d9cce63159b9684b0nJ739S6FlpU.html
SLAM算法,玄圃科技,35-60K·15薪,北京·朝阳区·亚运村,北京,本科,3-5年,,boss,室内slam XR VR,室内slam XR VR,https://www.zhipin.com/job_detail/94095c4887361c0b0nB_2d-1EVdX.html
导航定位算法工程师（高级）薪资Open谈,北京某中型人工智能公司,50-80K·16薪,北京,北京,本科,经验不限,,boss,组合导航 卡尔曼 GINS slam 激光雷达 GPS 导航定位 抗差自适应模型,组合导航 卡尔曼 GINS slam 激光雷达 GPS 导航定位 抗差自适应模型,https://www.zhipin.com/job_detail/d2df1c440d58d7c50nFz2tS4FlFX.html
（激光slam）定位算法工程师,三一智矿科技,40-60K·16薪,北京,北京,本科,3-5年,,boss,SLAM 定位,SLAM 定位,https://www.zhipin.com/job_detail/f963a8f64c52e62b0nJ73tW0GVtZ.html
SLAM算法 （组合导航定位算法）,某大型专用设备公司,40-45K,北京,北京,本科,3-5年,,boss,组合导航定位算法,组合导航定位算法,https://www.zhipin.com/job_detail/485981233b6e53e40nJ72tS-FVVV.html
SLAM算法工程师,某大型人工智能公司,30-60K·15薪,北京,北京,本科,3-5年,,boss,视觉 激光 多传感器,视觉 激光 多传感器,https://www.zhipin.com/job_detail/4d91daf83dbe901503Jz29W6FFNY.html
SLAM算法优化工程师,凌宇智控,15-30K,北京·石景山区·苹果园,北京,本科,1-3年,,boss,slam 算法 优化,slam 算法 优化,https://www.zhipin.com/job_detail/909e9a6137b2da2c0ndz2d28FFNW.html
SLAM算法工程师（3d重建方向）,北京某中型企业服务公司,30-60K·15薪,北京,北京,硕士,1-3年,,boss,视觉算法 三维重建 Adjustment 三角化 回环检测,视觉算法 三维重建 Adjustment 三角化 回环检测,https://www.zhipin.com/job_detail/5d21e065825d33fe0nFy2N61F1tU.html
3DGS SLAM算法工程师,天擎智造,30-50K,北京·朝阳区·慈云寺,北京,学历不限,经验不限,,boss,slam算法,slam算法,https://www.zhipin.com/job_detail/1489a12a52165a5b1HJ-2di6GFpW.html
slam算法工程师,某大型电子商务公司,50-80K,北京,北京,本科,3-5年,,boss,激光slam 视觉slam 具身,激光slam 视觉slam 具身,https://www.zhipin.com/job_detail/7011f65c7017d4aa0nB-3d-4FFpS.html
slam算法工程师（base珠海总部）,四维时代科技,20-35K,北京·朝阳区·望京,北京,硕士,经验不限,,boss,slam 相机标定 数字孪生 三维激光扫描仪,slam 相机标定 数字孪生 三维激光扫描仪,https://www.zhipin.com/job_detail/62dd27bcb8f476c803J82Nq-ElVV.html
机器人slam算法工程师,某大型智能硬件公司,30-60K·16薪,上海,上海,本科,3-5年,,boss,slam算法 定位与建图 视觉算法 地图构建,slam算法 定位与建图 视觉算法 地图构建,https://www.zhipin.com/job_detail/a108c0bf5accd5c70nB92NW5FFZY.html
上市集团-四足机器人SLAM算法专家/leader,某大型人工智能公司,90-120K·15薪,上海,上海,硕士,5-10年,,boss,slam算法 slam 多传感器融合,slam算法 slam 多传感器融合,https://www.zhipin.com/job_detail/25e5d38320b5c9880nJ70ti0EFRS.html
【2027秋招】SLAM算法工程师,深圳元戎启行科技,20-40K·14薪,上海·徐汇区·漕河泾,上海,本科,,,boss,激光SLAM 视觉惯导融合 顶会,激光SLAM 视觉惯导融合 顶会,https://www.zhipin.com/job_detail/ff54d27dc96b9cef0nF_2Nu5EVJR.html
Slam算法工程师,上海高仙,25-35K·14薪,上海·浦东新区·张江,上海,硕士,,,boss,SLAM 导航 定位,SLAM 导航 定位,https://www.zhipin.com/job_detail/1cb7fab29f0f07fe0nFz0ty-GVdW.html
27 校招-SLAM算法,文远知行,25-50K·15薪,上海·徐汇区·漕河泾,上海,本科,,,boss,slam c++ 视觉定位 融合定位 VIO 建图 地图,slam c++ 视觉定位 融合定位 VIO 建图 地图,https://www.zhipin.com/job_detail/a98c72c154bf71cb0nFy29u8EFVW.html
slam算法,宇树科技,150-300元/天,上海·宝山区·大场,上海,本科,,,boss,SLAM算法,SLAM算法,https://www.zhipin.com/job_detail/697b5706652d89bd0nB82t-6GFZT.html
视觉/激光SLAM算法工程师,某人工智能公司,30-60K,上海,上海,本科,3-5年,,boss,视觉算法 slam算法 激光slam 开源框架,视觉算法 slam算法 激光slam 开源框架,https://www.zhipin.com/job_detail/be896972dcf2ec640nR82d69ElNQ.html
机器人slam算法工程师,上海元启智体科技,20-40K,上海·浦东新区·康桥,上海,硕士,1-3年,,boss,slam 跨楼层导航 宇树 人形机器人 具身智能,slam 跨楼层导航 宇树 人形机器人 具身智能,https://www.zhipin.com/job_detail/a8da9a1dc86a80300nFy3di5GFVU.html
激光雷达点云/slam算法工程师,甄觉科技,20-30K·13薪,上海·闵行区·吴泾,上海,本科,3-5年,,boss,slam算法,slam算法,https://www.zhipin.com/job_detail/ffa1f2c0c688c9cb0nBy3925FFRT.html
激光slam算法工程师,瑆爝机器人,25-50K·13薪,上海·静安区·市北工业园,上海,本科,1-3年,,boss,ORB SLAM 激光定位 车道线定位 视觉定位 ICP SLAM算法研发 三维重建 NDT,ORB SLAM 激光定位 车道线定位 视觉定位 ICP SLAM算法研发 三维重建 NDT,https://www.zhipin.com/job_detail/c3f987d8ca5f9cb50nd83t-4FlFV.html
slam算法工程师,木蚁机器人,13-18K,上海·浦东新区·康桥,上海,本科,,,boss,slam 定位 建图,slam 定位 建图,https://www.zhipin.com/job_detail/7a7e90200f9f7bac03F52t-0EFNT.html
SLAM/Depth GT 生产算法工程师,深圳某大型人工智能公司,50-80K·15薪,上海,上海,本科,3-5年,,boss,slam 云端真值生产 DepthGT 真值生产 3DGS,slam 云端真值生产 DepthGT 真值生产 3DGS,https://www.zhipin.com/job_detail/8b033841e5af20d00nJ50ty9EVdQ.html
实习-机器人导航slam开发,上海阿库思机器人,300-600元/天,上海·徐汇区·漕河泾,上海,本科,,,boss,C++ OpenGL 地图/导航经验 Python,C++ OpenGL 地图/导航经验 Python,https://www.zhipin.com/job_detail/f175caf14b1926870nd409-_F1ZX.html
slam 算法,某大型汽车零部件公司,35-50K,上海,上海,硕士,3-5年,,boss,slam,slam,https://www.zhipin.com/job_detail/dc826d90e1f867a40nF939W1EFJZ.html
机器人SLAM/3DGS算法专家,某智能硬件公司,50-80K·15薪,上海,上海,本科,5-10年,,boss,slam 3dgs LiDAR IMU 传感器融合 具身智能 sfm,slam 3dgs LiDAR IMU 传感器融合 具身智能 sfm,https://www.zhipin.com/job_detail/6c5ec587c755995c0nB73N-7FFZY.html
A股上市智驾激光slam算法80-150W,某大型汽车零部件上市公司,45-75K·18薪,上海,上海,本科,5-10年,,boss,SLAM算法 C/C++ 发表算法相关优秀论文 自动驾驶激光SLAM建图 驶无人车激光SLAM算法,SLAM算法 C/C++ 发表算法相关优秀论文 自动驾驶激光SLAM建图 驶无人车激光SLAM算法,https://www.zhipin.com/job_detail/65fdc944bf10cfe10nJ73dm7GFdX.html
机器人slam算法工程师,上海某中型人工智能公司,40-70K·15薪,上海,上海,本科,经验不限,,boss,slam 3D重建,slam 3D重建,https://www.zhipin.com/job_detail/fb1bd6e9847cbbd40nB429W8F1JY.html
SLAM算法工程师（AR方向）,睿维视,35-50K·13薪,上海·闵行区·虹桥,上海,本科,1-3年,,boss,Slam AR感知 多传感器融合 相机标定 RK3588 仪表HUD 智能座舱,Slam AR感知 多传感器融合 相机标定 RK3588 仪表HUD 智能座舱,https://www.zhipin.com/job_detail/ce97d471fe767bff0nJ60tS1EFRX.html
