job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
iOS开发工程师 - 社交方向 16薪+全额公积金,深圳市东莱国际信...,50-55K·16薪,北京·朝阳区·亚运村,北京,本科,3-5年,,boss,iOS社交 IM 社交+AI 社交 即时通讯,iOS社交 IM 社交+AI 社交 即时通讯,https://www.zhipin.com/job_detail/e4da604f6780dd890nJ52Ny7FlRS.html
iOS开发工程师,北京字节跳动,45-75K·15薪,北京·海淀区·中关村,北京,本科,经验不限,,boss,功能开发 通信相关专业 数学相关专业 技术方案规划 Objective-C 架构设计 IOS 计算机/软件工程相关专业,功能开发 通信相关专业 数学相关专业 技术方案规划 Objective-C 架构设计 IOS 计算机/软件工程相关专业,https://www.zhipin.com/job_detail/462f3ac4d976235a0X1_39S7GVM~.html
全栈iOS鸿蒙安卓原生后端高级应用开发-北京,北京燃锋高聘,13-15K,北京·大兴区·亦庄,北京,本科,3-5年,,boss,车载通信 车控、汽车相关,车载通信 车控、汽车相关,https://www.zhipin.com/job_detail/978b92f8b4fa9cd60nFy3tu6E1ZT.html
iOS开发工程师,BOSS直聘,面议,北京,北京,本科,,,boss,Objective-C,Objective-C,https://www.zhipin.com/job_detail/ade1ae7f80e7d34203N-09i-EFtW.html
IOS开发工程师（外包、兼职皆可）,银杏盛鸿,50-100元/时,北京·朝阳区·亚运村,北京,本科,1-3年,,boss,功能开发,功能开发,https://www.zhipin.com/job_detail/5a5fce5e2c7e52f20ndy3ty9E1VU.html
iOS工程师（Flutter）,北京小卓无限科技,15-25K,北京·朝阳区·大望路,北京,大专,3-5年,,boss,Objective-C Flutter,Objective-C Flutter,https://www.zhipin.com/job_detail/09d0ae1b7ac877d60nF82928GFRQ.html
ios苹果开发工程师（兼职）,未来脑洞,550-600元/天,北京·海淀区·上地,北京,本科,3-5年,,boss,功能开发 技术升级 独立开发且上线经验,功能开发 技术升级 独立开发且上线经验,https://www.zhipin.com/job_detail/3b8fad585023c9961Hdz29S7FVJQ.html
iOS/android-猎头职位,某小型AI视频生成互联网公司,40-70K·15薪,北京,北京,本科,经验不限,,boss,Objective-C,Objective-C,https://www.zhipin.com/job_detail/35caa8294f9bcc6e0nZ-3dy8EVtW.html
大厂free岗：IOS开发（3个月）,某大型风电上市公司,15-25K,北京,北京,大专,5-10年,,boss,架构设计 功能开发 性能优化 技术方案规划 Swift CocoaPods 多线程编程能力 架构能力 Objective-C 计算机/软件工程相关专业 大型项目开发经验 独立开发且上线经验 混合开发经验 Hybrid 混合开发 MVVM 架构 WKWebView 交互 离线优先架构 iOS 国际化,架构设计 功能开发 性能优化 技术方案规划 Swift CocoaPods 多线程编程能力 架构能力 Objective-C 计算机/软件工程相关专业 大型项目开发经验 独立开发且上线经验 混合开发经验 Hybrid 混合开发 MVVM 架构 WKWebView 交互 离线优先架构 iOS 国际化,https://www.zhipin.com/job_detail/05d85c50bac808800nJ40tq9EldZ.html
iOS启动和卡顿性能优化,小红书,40-70K,北京·朝阳区·亚运村,北京,本科,5-10年,,boss,技术方案规划 性能优化 Objective-C 架构设计 Swift 计算机/软件工程相关专业,技术方案规划 性能优化 Objective-C 架构设计 Swift 计算机/软件工程相关专业,https://www.zhipin.com/job_detail/ab5ec9d1397666881HB-2dS-FFFS.html
AI 应用研发工程师-偏android/ios,爱诗科技,300-350元/天,北京·海淀区·苏州桥,北京,本科,,,boss,TypeScript TS+React/Vue JavaScript 熟悉主流大模型API Python,TypeScript TS+React/Vue JavaScript 熟悉主流大模型API Python,https://www.zhipin.com/job_detail/71f1aa00bd09c9930nBz0ty5F1RQ.html
