job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
AIops智能运维,华为,50-70K,北京,北京,博士,,,boss,Python Java 算法工程化经验 发表算法相关优秀论文 参加算法相关竞赛/获奖 aiops 智能运维,Python Java 算法工程化经验 发表算法相关优秀论文 参加算法相关竞赛/获奖 aiops 智能运维,https://www.zhipin.com/job_detail/5472840090a5d14c0nF52NS-FldR.html
半导体厂务/产线设备智能运维产品经理,博锐尚格,20-35K·13薪,北京·海淀区·西三旗,北京,本科,3-5年,,boss,B端产品 ERP/软件产品 FEMA 设备设施管理 可靠性管理 AI产品 智能运维,B端产品 ERP/软件产品 FEMA 设备设施管理 可靠性管理 AI产品 智能运维,https://www.zhipin.com/job_detail/ae497aec37a98b8f0nJ73Ni8F1BQ.html
JAVA开发工程师（智能运维）,法本,21-30K,北京·海淀区·上地,北京,本科,10年以上,,boss,Java Spring SpringCloud MyBatis Dubbo Zookeeper MySQL Redis 智能运维 批量监控 鸿鹄平台 银行项目,Java Spring SpringCloud MyBatis Dubbo Zookeeper MySQL Redis 智能运维 批量监控 鸿鹄平台 银行项目,https://www.zhipin.com/job_detail/dd416a19b61d8ca70nJ629-0GVNU.html
设备振动监测诊断/智能运维 客户代表,航天智控,8-13K,北京,北京,本科,1-3年,,boss,软件/信息化服务销售经验 环保 能源 B端市场开发经验 先进制造 面销/陌拜经验 业务开拓能力 客户关系维护 振动监测销售 新客户开发 商务谈判技巧 较多外勤 通信/网络设备 制定销售策略和目标 软件/SaaS 工业设备 建材,软件/信息化服务销售经验 环保 能源 B端市场开发经验 先进制造 面销/陌拜经验 业务开拓能力 客户关系维护 振动监测销售 新客户开发 商务谈判技巧 较多外勤 通信/网络设备 制定销售策略和目标 软件/SaaS 工业设备 建材,https://www.zhipin.com/job_detail/63a8b2134c3f10f40nJ62t25GVNQ.html
智能运维售前技术经理,新华三技术有限公司,15-30K·14薪,北京·朝阳区·望京,北京,本科,5-10年,,boss,AI产品 IT服务管理 智能运维 售前产品 Aiops,AI产品 IT服务管理 智能运维 售前产品 Aiops,https://www.zhipin.com/job_detail/8d9a6b8273f0a97c1nB_3Ni8FVJR.html
产品经理（智能运维方向）,中科融信创,15-25K,北京·石景山区·古城,北京,本科,3-5年,,boss,Agent产品设计 B端产品经理 低代码产品设计 智能运维 AI智能体,Agent产品设计 B端产品经理 低代码产品设计 智能运维 AI智能体,https://www.zhipin.com/job_detail/a0fa7ae7996d4a460ndy0tq8FlVY.html
智能运维研发工程师（银行-线下）,法本,20-25K,北京·海淀区·上地,北京,本科,10年以上,,boss,Java SpringCloud Spring MyBatis MySQL Redis Oracle 团队管理经验 微服务经验 智能运维 批量监控 智能监控,Java SpringCloud Spring MyBatis MySQL Redis Oracle 团队管理经验 微服务经验 智能运维 批量监控 智能监控,https://www.zhipin.com/job_detail/414a298355312fd40nJ-2NS4EVZV.html
系统智能运维专家,字节跳动,30-60K·15薪,北京·海淀区·学院路,北京,本科,5-10年,,boss,微服务架构 分布式技术 平台架构 智能运维,微服务架构 分布式技术 平台架构 智能运维,https://www.zhipin.com/job_detail/bdc5562d86d1328e0ndy3Nq4GVtW.html
数据中心智能运维产品工程师,北京某小型通信/网络设备公司,25-50K·15薪,北京,北京,本科,经验不限,,boss,弱电 弱电系统开发,弱电 弱电系统开发,https://www.zhipin.com/job_detail/2989bf055be2472e0nJ43N68GVtT.html
AIOps智能运维架构师 深圳/SG/HK,美国某大型互联网支付平台上市公司,90-120K·16薪,北京,北京,本科,10年以上,,boss,AIOps 智能运维 SRE Devops LLM RAG 中间件,AIOps 智能运维 SRE Devops LLM RAG 中间件,https://www.zhipin.com/job_detail/86a33d642b1366750nBz2du9FVpS.html
系统研发工程师（智能运维平台）,广通优云,10-12K,北京·海淀区·上地,北京,本科,1-3年,,boss,Java Spring Hadoop 不接受居家办公,Java Spring Hadoop 不接受居家办公,https://www.zhipin.com/job_detail/2e162528eba4cffc0nF92N-5GVRR.html
智能运维大模型算法高级专家 央企直招,某大型计算机硬件公司,50-80K,北京,北京,本科,10年以上,,boss,AIOps 智能运维 时序分析 日志挖掘 故障预测 根因关联 智能决策 系统平台,AIOps 智能运维 时序分析 日志挖掘 故障预测 根因关联 智能决策 系统平台,https://www.zhipin.com/job_detail/f55df27ae722a49c0nJ50t29FVRU.html
运维专家,某大型互联网公司,35-65K,北京,北京,本科,5-10年,,boss,Agent 运维/智能运维 自动化运维/token 稳定性/集群/GPU SRE/网络运维 互联网/AI 推理网关/流量调度,Agent 运维/智能运维 自动化运维/token 稳定性/集群/GPU SRE/网络运维 互联网/AI 推理网关/流量调度,https://www.zhipin.com/job_detail/d5286517c05d14f50nB42t61GVFS.html
AIOps智能运维工程师（应届生）,轻网科技,15-30K·13薪,北京·海淀区·学院路,北京,本科,1-3年,,boss,AIOps Prometheus、Grafana 时序预测 AI与数据分析 智能算法 分布式系统,AIOps Prometheus、Grafana 时序预测 AI与数据分析 智能算法 分布式系统,https://www.zhipin.com/job_detail/75ea0b05bec8ae3d0nF929i6GVdX.html
智能监控与告警运维,上海英格玛智能科技,14-15K,北京·海淀区·学院路,北京,本科,1-3年,,boss,Python/Shell 告警 AI 监控 大模型,Python/Shell 告警 AI 监控 大模型,https://www.zhipin.com/job_detail/296fe16b0e7a34be0nF929W-EFFR.html
运维平台开发和运维工程师,安信创业,8-10K,北京·朝阳区·西坝河,北京,本科,,,boss,Golang Java 分布式经验 性格开朗 SpringCloud SRE Kafka Redis 大模型 智能运维 大数据经验 微服务经验 云计算经验 MongoDB 架构设计经验 运维开发 Python,Golang Java 分布式经验 性格开朗 SpringCloud SRE Kafka Redis 大模型 智能运维 大数据经验 微服务经验 云计算经验 MongoDB 架构设计经验 运维开发 Python,https://www.zhipin.com/job_detail/67d97048746d88971HJz3ti7FFNV.html
AIOps智能运维工程师（应届生）,轻网科技,11-20K,北京·海淀区·学院路,北京,硕士,1年以内,,boss,运维开发/DevOps Nginx 计算机相关专业 运维经验 运维开发经验 网络安全相关经验,运维开发/DevOps Nginx 计算机相关专业 运维经验 运维开发经验 网络安全相关经验,https://www.zhipin.com/job_detail/deb8bc80aca473110nFy39u8GFpW.html
运维-技术支持（Python）,外企德科数字,8-9K,北京·朝阳区·望京,北京,大专,1-3年,,boss,爬虫经验 MySQL Python,爬虫经验 MySQL Python,https://www.zhipin.com/job_detail/4a0fff0bcbb5efbc0nJ53964EltW.html
智能运维研发工程师,京东科技集团,30-50K·16薪,北京·通州区·马驹桥,北京,本科,3-5年,,boss,Java 运维开发经验 AI IDC Python/Shell 智能运维,Java 运维开发经验 AI IDC Python/Shell 智能运维,https://www.zhipin.com/job_detail/825697963fe6a6741HNy29y-FVBY.html
智能运维大模型算法高级专家-央企,北京某大型计算机软件公司,60-80K,北京,北京,本科,5-10年,,boss,大模型算法 强化学习 模型加速/性能优化 并行计算 分布式训练 算法工程化经验 AI Ops,大模型算法 强化学习 模型加速/性能优化 并行计算 分布式训练 算法工程化经验 AI Ops,https://www.zhipin.com/job_detail/43571c73e8ed0c1c0nJ50t25F1VY.html
智能运维平台（AIOps）产品专家(J10672),卓望公司,35-50K·16薪,北京·丰台区·花乡,北京,本科,5-10年,,boss,运维平台 IT领域产品 AI应用 产品设计 项目管理,运维平台 IT领域产品 AI应用 产品设计 项目管理,https://www.zhipin.com/job_detail/fab83689ef82a8250nF409-8GVNV.html
智能运维大模型算法高级专家,北京某大型计算机软件与数字化服务公司,45-75K·15薪,北京,北京,本科,5-10年,,boss,智能运维 大模型算法 AIOPS,智能运维 大模型算法 AIOPS,https://www.zhipin.com/job_detail/24f8651f5753268b0nJ50ty0FFFY.html
网络工程师（云网集成方向）,中移集成,10-14K·15薪,北京·西城区·宣武门,北京,本科,3-5年,,boss,网络设备 网络安全 运维 网络运维 项目实施 网络协议 网络交换技术,网络设备 网络安全 运维 网络运维 项目实施 网络协议 网络交换技术,https://www.zhipin.com/job_detail/96b07cf6272087521nVy39u6E1FX.html
云网运维工程师,合肥某中型量子通信设备公司,30-60K·15薪,北京,北京,本科,5-10年,,boss,运维开发/DevOps Nginx Redis MySQL/Oracle Docker Kubernetes 计算机相关专业 运维经验,运维开发/DevOps Nginx Redis MySQL/Oracle Docker Kubernetes 计算机相关专业 运维经验,https://www.zhipin.com/job_detail/fc6b9e7e60715c8f0nJ43Nm4GVtV.html
云网络智能运维系统开发,阿里巴巴集团,30-35K,北京·朝阳区·望京,北京,本科,5-10年,,boss,Python Golang Pandas Docker Kubernetes MySQL 云计算经验 运维开发经验 分布式经验 微服务经验,Python Golang Pandas Docker Kubernetes MySQL 云计算经验 运维开发经验 分布式经验 微服务经验,https://www.zhipin.com/job_detail/139ceba8d2e1dc4a03V429W5EldT.html
AIOps智能运维工程师（应届生）,轻网科技,11-20K,北京·海淀区·学院路,北京,硕士,1年以内,,boss,Nginx 运维开发/DevOps 运维开发经验 计算机相关专业 网络安全相关经验 运维经验,Nginx 运维开发/DevOps 运维开发经验 计算机相关专业 网络安全相关经验 运维经验,https://www.zhipin.com/job_detail/a89094e4add010bd0nF80tS7E1VX.html
具身智能后端工程师,问西东智能,10-15K·14薪,北京·海淀区·学院路,北京,本科,经验不限,,boss,C++ Hive PyTorch Docker PostgreSQL MySQL 机器学习经验 具身智能 Python Kubernetes,C++ Hive PyTorch Docker PostgreSQL MySQL 机器学习经验 具身智能 Python Kubernetes,https://www.zhipin.com/job_detail/52fb15232a04f30f03F_39W-E1ZV.html
