job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
云计算工程师,讯方技术股份,11-20K,北京·门头沟区·龙泉,北京,大专,经验不限,,boss,计算机/通信相关专业 售后支持/客户响应经验 HCS FusionCompute FusionCloud 超融合FusionCube,计算机/通信相关专业 售后支持/客户响应经验 HCS FusionCompute FusionCloud 超融合FusionCube,https://www.zhipin.com/job_detail/2efd0ac4db60862a0nB82tW-FVJQ.html
云计算工程师,神州数码,13-20K,北京·海淀区·上地,北京,大专,3-5年,,boss,HCIE 华为云 HCS,HCIE 华为云 HCS,https://www.zhipin.com/job_detail/c59c92f63cd355751XR52Nm9EVdV.html
云计算工程师,信通院,16-19K,北京,北京,硕士,1年以内,,boss,运维 云计算 计算机软件,运维 云计算 计算机软件,https://www.zhipin.com/job_detail/8b21acd542e3eb281nV_3N69EFtV.html
云计算工程师,峰潮信息,11-16K,北京·朝阳区·大望路,北京,大专,3-5年,,boss,实施交付运维 系统运维 HCIE 华为云 云计算,实施交付运维 系统运维 HCIE 华为云 云计算,https://www.zhipin.com/job_detail/bdb5f315d1f8cd211HZ529m4EVJS.html
云计算工程师,华为技术有限公司,10-15K·13薪,北京·东城区·建国门内,北京,大专,1-3年,,boss,Linux KVM 云计算,Linux KVM 云计算,https://www.zhipin.com/job_detail/d8a3ed94091e51231nV5096-FVpY.html
云计算工程师,航天神舟软件,16-30K,北京·海淀区·西北旺,北京,本科,5-10年,,boss,计算机相关专业,计算机相关专业,https://www.zhipin.com/job_detail/f0ea8137ef6c67911XFy2N-0GFJW.html
云计算工程师,百度,30-50K·15薪,北京·海淀区·上地,北京,本科,经验不限,,boss,K8S Openstack KVM,K8S Openstack KVM,https://www.zhipin.com/job_detail/92b9fccc2add536f1nx_3NW8FlNR.html
云计算开发工程师,华为云计算,22-40K·14薪,北京,北京,本科,,,boss,Java,Java,https://www.zhipin.com/job_detail/f50c9445554032ee1XF43dS7FFpZ.html
云计算工程师,联强国际,9-14K,北京·海淀区·学院路,北京,大专,3-5年,,boss,cloud 华为云计算 fusioncomputer,cloud 华为云计算 fusioncomputer,https://www.zhipin.com/job_detail/95a3c3750c8407d00nF_3dy5EFRZ.html
推理框架工程师/实习生,北京某中型人工智能公司,100-200K·15薪,北京,北京,硕士,经验不限,,boss,C/C++ 有国际期刊/会议论文发表 业务导向/研究导向 智能驾驶 搜索/推荐 TensorFlow/PyTorch 机器学习算法/工程化经验 计算机相关专业 语音/图像识别 云计算 Python,C/C++ 有国际期刊/会议论文发表 业务导向/研究导向 智能驾驶 搜索/推荐 TensorFlow/PyTorch 机器学习算法/工程化经验 计算机相关专业 语音/图像识别 云计算 Python,https://www.zhipin.com/job_detail/68617fc658f026720nd929u4GFJY.html
