job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
云计算产品运营（双休五险一金互联网大厂）,纬致芯创科技,9-10K,北京·海淀区·上地,北京,大专,1-3年,,boss,B端产品 数据分析 产品运营 云计算 资源运营 供应商管理,B端产品 数据分析 产品运营 云计算 资源运营 供应商管理,https://www.zhipin.com/job_detail/77c2c717309b344f03J53ty5FVNS.html
9-14k云计算运维工程师助教,薪才教育,9-14K,北京·昌平区·回龙观,北京,本科,1-3年,,boss,Docker K8S 运维经验,Docker K8S 运维经验,https://www.zhipin.com/job_detail/980468e988ce19760nF63ti9E1RQ.html
云计算业务经理,伊克罗德,13-26K,北京·朝阳区·酒仙桥,北京,大专,1-3年,,boss,客户开发 对企业/机构（To B）销售经验 GCP 互联网/科技 英语 AWS 火山引擎 企业/机构（To B） 云计算,客户开发 对企业/机构（To B）销售经验 GCP 互联网/科技 英语 AWS 火山引擎 企业/机构（To B） 云计算,https://www.zhipin.com/job_detail/97cf962262b86d5703J43tS8FVJU.html
云计算工程师,峰潮信息,11-16K,北京·朝阳区·大望路,北京,大专,3-5年,,boss,实施交付运维 系统运维 HCIE 华为云 云计算,实施交付运维 系统运维 HCIE 华为云 云计算,https://www.zhipin.com/job_detail/bdb5f315d1f8cd211HZ529m4EVJS.html
技术型销售工程师,北京星禾航空装备,8-13K,北京·大兴区·亦庄,北京,本科,1-3年,,boss,机械/电子工程相关专业,机械/电子工程相关专业,https://www.zhipin.com/job_detail/6170736043219ce50nF42d-6GVNX.html
工程技术副总经理,某大型投资公司,45-65K·15薪,北京,北京,本科,10年以上,,boss,国企 外企 民企/私企 0-30人 有中高层管理经验 新能源 工程技术,国企 外企 民企/私企 0-30人 有中高层管理经验 新能源 工程技术,https://www.zhipin.com/job_detail/462ff95e3c784c601HR-2tS8FVtR.html
云计算项目经理,灵雀云,15-30K,北京·朝阳区·望京,北京,本科,5-10年,,boss,云计算 容器 项目管理 Kubernetes docker,云计算 容器 项目管理 Kubernetes docker,https://www.zhipin.com/job_detail/13b453681ac90c280nd82NW6FlBS.html
云计算工程师,富源信诚,10-15K,北京,北京,大专,3-5年,,boss,计算机相关专业 通信/工程相关专业 网络建设/系统集成经验 CCIE CCNA/CCNP,计算机相关专业 通信/工程相关专业 网络建设/系统集成经验 CCIE CCNA/CCNP,https://www.zhipin.com/job_detail/53e7cb8d84a9639d1HZ52Nu1ElZQ.html
工程技术人员,一合梦想,8-9K,北京,北京,高中,3-5年,,boss,实施工程师/顾问 系统集成工程师 项目招投标,实施工程师/顾问 系统集成工程师 项目招投标,https://www.zhipin.com/job_detail/df0aad539808770e1nV42ti9EVFZ.html
运维-技术支持（Python）,外企德科数字,8-9K,北京·朝阳区·望京,北京,大专,1-3年,,boss,爬虫经验 MySQL Python,爬虫经验 MySQL Python,https://www.zhipin.com/job_detail/4a0fff0bcbb5efbc0nJ53964EltW.html
云计算服务交付工程师,新华三技术有限公司,12-20K,北京·海淀区·知春路,北京,本科,1-3年,,boss,上云迁移 openstack 云平台 实施交付 云计算,上云迁移 openstack 云平台 实施交付 云计算,https://www.zhipin.com/job_detail/5fd1b4df761cb64203F439i5E1JS.html
混凝土外加剂售前/售后技术服务工程师,厚德交通,12-20K,北京·通州区·玉桥,北京,大专,3-5年,,boss,无机非金属材料经验 新能源经验 房地产/建筑经验 材料检测经验 材料/产品量产经验 材料合成经验 无机非金属材料相关专业 复合材料相关专业 化学相关专业 减水剂配方调整 外加剂复配 速凝剂 混凝土,无机非金属材料经验 新能源经验 房地产/建筑经验 材料检测经验 材料/产品量产经验 材料合成经验 无机非金属材料相关专业 复合材料相关专业 化学相关专业 减水剂配方调整 外加剂复配 速凝剂 混凝土,https://www.zhipin.com/job_detail/7ca975cdc81cd1e20nR40ty5GVFX.html
总体装配质量检验人员,星航机电,10-15K,北京·丰台区·云岗,北京,本科,5-10年,,boss,有质检经验 需要出差 五险一金 免费体检,有质检经验 需要出差 五险一金 免费体检,https://www.zhipin.com/job_detail/0db262927e144b880nJ-29W_F1RV.html
云计算架构师,聚保盆,20-30K,北京·海淀区·万柳,北京,本科,3-5年,,boss,系统架构,系统架构,https://www.zhipin.com/job_detail/fe02d81c3f0399691HN40tW0EVA~.html
云计算驻场运维工程师,中电信数智,18-30K,北京·通州区·次渠,北京,本科,3-5年,,boss,Linux 系统运维 云计算,Linux 系统运维 云计算,https://www.zhipin.com/job_detail/5efc45c9929560ad1nZ_39-7EFVQ.html
容器/k8s/云计算/云原生/iaas,某国企单位,50-80K·16薪,北京,北京,本科,5-10年,,boss,容器技术 虚拟机技术 分布式技术,容器技术 虚拟机技术 分布式技术,https://www.zhipin.com/job_detail/d21425bb09fc0d2a0nF_3N29GFRR.html
共享充电宝运维人员,石家庄方岑科技,70-80元/时,北京·海淀区·学院路,北京,本科,经验不限,,boss,日常运维,日常运维,https://www.zhipin.com/job_detail/c9deb57bbfd9e26c0nFz3d6_EVJQ.html
技术型销售工程师丨北京,烈冰生物,10-15K,北京,北京,本科,经验不限,,boss,生物科学类 客户开发与维护 市场信息搜集与分析 动物科学 基因测序 NGS 生物技术 单细胞,生物科学类 客户开发与维护 市场信息搜集与分析 动物科学 基因测序 NGS 生物技术 单细胞,https://www.zhipin.com/job_detail/b6384e044fd632471HJ92dS1EVtR.html
云计算工程师,国信新网,15-25K,北京·西城区·广安门,北京,本科,经验不限,,boss,系统运维 安全运维 容器技术 数据库运维 服务器配置 虚拟机技术,系统运维 安全运维 容器技术 数据库运维 服务器配置 虚拟机技术,https://www.zhipin.com/job_detail/8cae669800282e011nBy2N--ElNQ.html
云计算开发工程师,华为,200-400元/天,北京·海淀区·西北旺,北京,本科,,,boss,C++ C Java Linux开发/部署经验 分布式经验,C++ C Java Linux开发/部署经验 分布式经验,https://www.zhipin.com/job_detail/177cbe2c14f4ac571HB-3NS8ElFV.html
建筑工程技术员,北京澳瑞泰德建筑...,7-9K,北京·海淀区·清河,北京,大专,1-3年,,boss,装修工程经验 房屋建筑经验 二建，CAD,装修工程经验 房屋建筑经验 二建，CAD,https://www.zhipin.com/job_detail/db1ad63e334736820nJ-2d26F1dW.html
云计算交付工程师,天翼云,10-15K·13薪,北京·海淀区·中关村,北京,本科,3-5年,,boss,CCNA/CCNP CCIE MySQL 运维开发经验 Redis HCNA/HCNP 技术管理经验 计算机相关专业 Kubernetes,CCNA/CCNP CCIE MySQL 运维开发经验 Redis HCNA/HCNP 技术管理经验 计算机相关专业 Kubernetes,https://www.zhipin.com/job_detail/2386ab07035108721H163ty0ElNS.html
云计算工程师（正式合同  央企）,某小型通信/网络设备上市公司,20-30K·15薪,北京,北京,本科,5-10年,,boss,运维开发经验 KVM/VMware/Xen,运维开发经验 KVM/VMware/Xen,https://www.zhipin.com/job_detail/d542617cc74618ae0nFz2Nm-GFJV.html
应用技术工程师(J10972),华创微电子,11-22K·14薪,北京·大兴区·亦庄,北京,本科,经验不限,,boss,AE 技术支持 RPT ALD IMP EPI 售后技术支持工程师,AE 技术支持 RPT ALD IMP EPI 售后技术支持工程师,https://www.zhipin.com/job_detail/c5a3ec0ceddb42d20nd439y4E1pY.html
云计算架构师（6个月）,廊坊艾莉偲信息技术,16-20K,北京·海淀区·上地,北京,大专,1-3年,,boss,Python 负载均衡技术 虚拟机技术 C语言,Python 负载均衡技术 虚拟机技术 C语言,https://www.zhipin.com/job_detail/662c389cc1aacf5a0nJ53tm7FlRQ.html
基础设施技术支撑工程师,光环金网,9-14K,北京·房山区·良乡,北京,大专,1-3年,,boss,机房运维 大数据运维,机房运维 大数据运维,https://www.zhipin.com/job_detail/6e0aceca02279cdd1nJ83t24FVVY.html
技术人员,北京音诺科技有限公司,7-12K,北京·东城区·广渠门,北京,中专,经验不限,,boss,系统集成工程师 实施工程师/顾问 售前支持,系统集成工程师 实施工程师/顾问 售前支持,https://www.zhipin.com/job_detail/b8f833f976752a691XV93NW_GFVQ.html
技术专家/架构师 云计算虚拟化方向,中科曙光,28-55K·24薪,北京·海淀区·上地,北京,本科,5-10年,,boss,C语言 Python 虚拟机技术 云计算架构,C语言 Python 虚拟机技术 云计算架构,https://www.zhipin.com/job_detail/e8d44d17f020a8731Xx739u8FVNZ.html
云计算解决方案架构师,UCloud,25-30K·14薪,北京·西城区·西直门,北京,本科,5-10年,,boss,网络交换技术,网络交换技术,https://www.zhipin.com/job_detail/a4e8719273d2bb650nd_3t69EVNZ.html
【石景山】急招2个室内工作人员！可预支！,盒马鲜生,7-11K·13薪,北京·石景山区·苹果园,北京,学历不限,经验不限,,boss,包住 不需要出差 不需要晚班/夜班 就近分配 不需要倒班 接受无卖场经理经验,包住 不需要出差 不需要晚班/夜班 就近分配 不需要倒班 接受无卖场经理经验,https://www.zhipin.com/job_detail/c93ed62f1798364c0nF53Ny_EVVQ.html
服务器技术工程师,瑞诚兴业,7-8K,北京,北京,大专,1-3年,,boss,计算机相关专业,计算机相关专业,https://www.zhipin.com/job_detail/5c475ab53f690d520nJ43tW1FFJV.html
骨科手术跟台人员,金兔百得,5-10K,北京·丰台区·刘家窑,北京,大专,1-3年,,boss,植入介入器械 手术跟台 统筹能力 管理能力 销售专员 初级销售 渠道销售 团队建设能力,植入介入器械 手术跟台 统筹能力 管理能力 销售专员 初级销售 渠道销售 团队建设能力,https://www.zhipin.com/job_detail/5aa5677737864f4403R63d25ElJZ.html
云计算大客户架构师,京东科技集团,30-60K·16薪,北京·朝阳区·鸟巢,北京,本科,5-10年,,boss,架构师 云计算 解决方案 技术专家 云服务,架构师 云计算 解决方案 技术专家 云服务,https://www.zhipin.com/job_detail/42ae04ac0ee68de41n1639S6FFtY.html
云计算高级运维工程师,京科智远,25-35K,北京·西城区·德外大街,北京,本科,5-10年,,boss,系统运维,系统运维,https://www.zhipin.com/job_detail/63da021002e8fd600nFy39i9E1tU.html
通信技术工程师/云计算工程师/技术支撑,中讯设计,7-10K,北京·西城区·金融街,北京,大专,1-3年,,boss,5G 通信技术工程师 云计算 项目经理,5G 通信技术工程师 云计算 项目经理,https://www.zhipin.com/job_detail/daee3a5789ff9b0b1XB53dq-EVRR.html
云计算测试架构师,九章云极,25-45K,北京·海淀区·上地,北京,本科,5-10年,,boss,自动化测试 性能测试 白盒测试,自动化测试 性能测试 白盒测试,https://www.zhipin.com/job_detail/44ea05cea717ece00nJ73di_FVVY.html
技术型销售工程师（北京）,北京菲舍波特科技发展,8-13K,北京·顺义区·南彩,北京,本科,3-5年,,boss,客户开发与维护 工业设备销售经验 大中型企业销售经验 市场拓展能力 机械相关学历 电气相关学历 仪器仪表/工业自动化,客户开发与维护 工业设备销售经验 大中型企业销售经验 市场拓展能力 机械相关学历 电气相关学历 仪器仪表/工业自动化,https://www.zhipin.com/job_detail/d47c0ceb06b49c4a0nF-2Nu5GFJX.html
工程技术主管,北京中建海外装饰,8-10K,北京·海淀区·魏公村,北京,本科,5-10年,,boss,民用建筑 商用建筑 工业建筑 内装,民用建筑 商用建筑 工业建筑 内装,https://www.zhipin.com/job_detail/6eb6540e44c0616c1XN73N-7EVFV.html
技术工程师（北京）,天懋信息,13-18K,北京·朝阳区·大望路,北京,本科,5-10年,,boss,安全运维和保障 计算机/信息安全相关专业 安全运维经验 CISSP/CISP,安全运维和保障 计算机/信息安全相关专业 安全运维经验 CISSP/CISP,https://www.zhipin.com/job_detail/1e802a40b40a7b310nJ42dy1E1RV.html
LED工程技术人员,恒冠江南,7-8K,北京·朝阳区·东坝,北京,中专,1-3年,,boss,电子工程师,电子工程师,https://www.zhipin.com/job_detail/b57df0acb87787c41nBy09u4FlRV.html
云计算/虚拟化运维工程师,新华网,15-20K,北京·丰台区·六里桥,北京,本科,1-3年,,boss,网络运维 DBA 通信相关专业 运维开发/DevOps Python/Shell 计算机相关专业 网络安全相关经验 运维经验 Elasticsearch MySQL/Oracle Ansible/Salt/Puppet 系统运维 运维开发经验 IDC机房运维 Kubernetes,网络运维 DBA 通信相关专业 运维开发/DevOps Python/Shell 计算机相关专业 网络安全相关经验 运维经验 Elasticsearch MySQL/Oracle Ansible/Salt/Puppet 系统运维 运维开发经验 IDC机房运维 Kubernetes,https://www.zhipin.com/job_detail/ae4bddca2c1a109e0nZ60t25ElRQ.html
平台架构师（云计算方向）,英杰睿博,30-40K,北京·海淀区·万柳,北京,本科,5-10年,,boss,微服务架构 容器技术 分布式技术,微服务架构 容器技术 分布式技术,https://www.zhipin.com/job_detail/8335f0e86b330faa1HB43d6-FFtW.html
云计算产品研发工程师,百度,30-60K,北京·海淀区·上地,北京,本科,1-3年,,boss,Go 容器技术 虚拟机技术 Oracle 云计算,Go 容器技术 虚拟机技术 Oracle 云计算,https://www.zhipin.com/job_detail/526c2d1e1ead98701nd73dS1GVdT.html
技术型销售工程师 有无责 给资源有人带,朗现机电科技,10-15K,上海·嘉定区·南翔,上海,中专,1-3年,,boss,市场拓展能力 工业设备销售经验 客户开发与维护 对机构 (To B) 销售经验 机械设备/机电/重工 仪器仪表/工业自动化,市场拓展能力 工业设备销售经验 客户开发与维护 对机构 (To B) 销售经验 机械设备/机电/重工 仪器仪表/工业自动化,https://www.zhipin.com/job_detail/37bfc7c79313fa4503dz2Ni5FlZW.html
云计算工程师,中国联通,面议,上海,上海,本科,,,boss,运营业务管理,运营业务管理,https://www.zhipin.com/job_detail/bbf143a5880311921HV70tS5FFJS.html
技术型销售工程师/有带教,上海新泊地,12-17K,上海·宝山区·罗店,上海,本科,1-3年,,boss,售前/售后技术支持 制定产品/服务方案 技术配合与沟通 客户开发与维护 对机构 (To B) 销售经验,售前/售后技术支持 制定产品/服务方案 技术配合与沟通 客户开发与维护 对机构 (To B) 销售经验,https://www.zhipin.com/job_detail/bd6684a6b49fcae603xz0tW8EFJS.html
工程技术实习生,上海铁大,100-180元/天,上海·普陀区·长征,上海,大专,,,boss,工程测量/测绘 轨道 道路 隧道 全站仪 水准仪 RTK仪器 负责驻场,工程测量/测绘 轨道 道路 隧道 全站仪 水准仪 RTK仪器 负责驻场,https://www.zhipin.com/job_detail/b598565d023557301HJ53d--FVpU.html
云计算售前架构师,某知名企业,30-60K,上海,上海,本科,5-10年,,boss,云服务 医疗/大健康信息化项目 计算机/通信相关专业 售前技术支持经验 医疗 健康 企业架构 业务架构 云计算,云服务 医疗/大健康信息化项目 计算机/通信相关专业 售前技术支持经验 医疗 健康 企业架构 业务架构 云计算,https://www.zhipin.com/job_detail/98f7e4b5285b41af0nBy2t-8EFpT.html
云计算工程师,中港科技,8-11K,上海·浦东新区·陆家嘴,上海,本科,1年以内,,boss,虚拟化 IAAS HCS 云计算,虚拟化 IAAS HCS 云计算,https://www.zhipin.com/job_detail/94a7be0eae58d3b21HJ53ti7EVRW.html
