job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
产品经理,京东集团,40-70K·20薪,北京,北京,本科,5-10年,,boss,B端产品 C端产品 ERP产品/软件产品 社区产品 策略产品 电商产品,B端产品 C端产品 ERP产品/软件产品 社区产品 策略产品 电商产品,https://www.zhipin.com/job_detail/a7091bf671de97a61Hx-3ty7EFtY.html
短剧产品经理,海鱼星空,18-30K·15薪,北京·朝阳区·望京,北京,本科,1-3年,,boss,短剧小说,短剧小说,https://www.zhipin.com/job_detail/fc83b274be642048031_0tu6FVRT.html
产品经理,慧博云通,11-12K,北京·昌平区·沙河,北京,大专,3-5年,,boss,C端产品,C端产品,https://www.zhipin.com/job_detail/055e17533258b5e10nJ50t67E1VZ.html
产品经理,奇领空间,16-25K,北京·海淀区·学院路,北京,本科,经验不限,,boss,C端产品 内容产品 AI产品,C端产品 内容产品 AI产品,https://www.zhipin.com/job_detail/d789249092d8d5b60nFy3d28EFVT.html
产品经理,北京仟格科技有限公司,11-15K,北京·大兴区·黄村,北京,大专,5-10年,,boss,AI产品,AI产品,https://www.zhipin.com/job_detail/802f315fb914f19b0nJ73924E1RR.html
产品经理 (校招通道+转正机会),异乡好居,15-25K,北京·海淀区·苏州桥,北京,本科,,,boss,策略产品 用增产品 商业产品 内容产品,策略产品 用增产品 商业产品 内容产品,https://www.zhipin.com/job_detail/b4bbe8a97f97d6e30nRy2N2-GFJV.html
产品经理,浙江徽创信息技术有限,13-15K,北京·大兴区·黄村,北京,大专,5-10年,,boss,B端产品 C端产品 PRD 教育,B端产品 C端产品 PRD 教育,https://www.zhipin.com/job_detail/b76786cf6a1825510nJ73927ElZV.html
产品经理 （双休+每月团建+节假日）,泽羚科技,8-13K,北京·石景山区·八角,北京,本科,1-3年,,boss,G端产品/政务产品 数据产品 中后台产品,G端产品/政务产品 数据产品 中后台产品,https://www.zhipin.com/job_detail/052724025c07ecd50nR_2d66GVNX.html
产品经理,内蒙古黑马农牧,80-110K,北京·海淀区·苏州桥,北京,本科,1-3年,,boss,策略产品 用户/功能产品 商业产品,策略产品 用户/功能产品 商业产品,https://www.zhipin.com/job_detail/1f09c942dc4e1bc61Hd43NS_E1JZ.html
产品经理CRM,石云科技,12-24K·13薪,北京·丰台区·科技园区,北京,本科,1年以内,,boss,产品设计 产品迭代 CRM产品 后台产品 项目管理 功能产品 商业产品 TO B,产品设计 产品迭代 CRM产品 后台产品 项目管理 功能产品 商业产品 TO B,https://www.zhipin.com/job_detail/358922bb2e2a26701nRy0t25GFRV.html
产品经理,今日水印相机,25-45K·16薪,北京·海淀区·上地,北京,本科,1-3年,,boss,B端产品,B端产品,https://www.zhipin.com/job_detail/36253de7d72454d71HVz3N28EFZV.html
研发产品经理,玄圃科技,30-60K·15薪,北京·朝阳区·三里屯,北京,本科,经验不限,,boss,矿车,矿车,https://www.zhipin.com/job_detail/c93f71399a412d4c0nFz0ty5GVJU.html
IT 产品经理 - 全球系统集成,小红书,30-60K·16薪,北京·朝阳区·亚运村,北京,本科,3-5年,,boss,其他产品方向,其他产品方向,https://www.zhipin.com/job_detail/90b073811292cc5c0nF_2NW_FlVR.html
移动产品经理,北京瀚量科技有限公司,20-30K,北京,北京,本科,1-3年,,boss,C端产品 客户端产品 AI产品 移动端产品,C端产品 客户端产品 AI产品 移动端产品,https://www.zhipin.com/job_detail/e6a0a3f89aadf33c0nVy2dW8GVFV.html
产品经理,爱帮智汇,8-13K,北京·朝阳区·亚运村,北京,本科,,,boss,B端产品,B端产品,https://www.zhipin.com/job_detail/f70b267b1e20a6b11HV82927GFZR.html
产品经理,闪电快车,15-20K,北京·朝阳区·立水桥,北京,本科,,,boss,需求分析,需求分析,https://www.zhipin.com/job_detail/77e650f783d1f0190nF-3tS1FltX.html
ToB 产品经理,金恒博远,12-24K,北京·大兴区·亦庄,北京,本科,5-10年,,boss,B端产品 ERP产品/软件产品 Axure RP原型,B端产品 ERP产品/软件产品 Axure RP原型,https://www.zhipin.com/job_detail/bb618fad0e8d13fa0nd929-4FlFV.html
产品经理,北京毅衡科技有限公司,20-21K,北京·朝阳区·望京,北京,大专,3-5年,,boss,众赢财富通 股票,众赢财富通 股票,https://www.zhipin.com/job_detail/829874df5da4d7ed0nJ-2ti-FFpQ.html
产品经理 (MJ003949),移远quectel,25-35K,北京·朝阳区·望京,北京,本科,5-10年,,boss,ODM,ODM,https://www.zhipin.com/job_detail/5f188d2c44dc359a0nB82tu7F1ZQ.html
产品经理,北京晋青科技有限公司,10-15K,北京·大兴区·黄村,北京,大专,3-5年,,boss,B端产品 电子招标交易平台 产品设计（原型/流程,B端产品 电子招标交易平台 产品设计（原型/流程,https://www.zhipin.com/job_detail/9ae313ea3a3f08d00nR53NW4FlBX.html
产品经理 (MJ000046),科杰科技,25-35K·13薪,北京·海淀区·清河,北京,本科,5-10年,,boss,数据中台 可信数据空间 数据要素,数据中台 可信数据空间 数据要素,https://www.zhipin.com/job_detail/fa6481f30701452a1X1y2dS4FFNS.html
产品经理,北京密链文化传播...,25-40K,北京·朝阳区·朝外,北京,本科,3-5年,,boss,C端产品 社区产品 AI产品,C端产品 社区产品 AI产品,https://www.zhipin.com/job_detail/f03b2a95fddd2121031639W_GVZQ.html
激光产品经理,北京某中型智能硬件公司,26-35K,北京,北京,本科,3-5年,,boss,激光 控制系统,激光 控制系统,https://www.zhipin.com/job_detail/d8394ce13f9b3f130nd43ti5EVNX.html
产品经理app,约牛科技,25-40K,北京·朝阳区·太阳宫,北京,大专,3-5年,,boss,C端产品,C端产品,https://www.zhipin.com/job_detail/ddfa2de6ff0fa47d0nF629y1GVZW.html
产品经理 (MJ001193),威乐水泵,20-35K·14薪,北京,北京,本科,5-10年,,boss,其他产品方向 B端产品 制造业 其他行业,其他产品方向 B端产品 制造业 其他行业,https://www.zhipin.com/job_detail/712b658d58578d000nZy3Nu8GVBY.html
Agent产品经理,字节跳动,30-60K,北京,北京,本科,3-5年,,boss,AI产品,AI产品,https://www.zhipin.com/job_detail/e292f7c7edde11060nJ-2d6_FVpW.html
芯片产品经理,海光信息,20-40K·15薪,北京·海淀区·上地,北京,本科,5-10年,,boss,CPU/GPU芯片 产品声明周期管理,CPU/GPU芯片 产品声明周期管理,https://www.zhipin.com/job_detail/2a0583859fdaa05b1HJy3tW7GVRT.html
产品经理,去哪儿网,170-200元/天,北京·海淀区·苏州街,北京,本科,,,boss,数据产品,数据产品,https://www.zhipin.com/job_detail/87bf1a33e3f4f14b0ndz3dW5FFRR.html
Eazo 产品经理,Authing,25-35K,北京,北京,本科,3-5年,,boss,C端产品 策略产品 用户/功能产品 商业产品 电商产品 社区产品 内容产品 社交产品,C端产品 策略产品 用户/功能产品 商业产品 电商产品 社区产品 内容产品 社交产品,https://www.zhipin.com/job_detail/c9b7d1daa1996a840nF_3tm7FVNZ.html
产品经理,北泰智能北京分公司,8-12K,北京·昌平区·西三旗,北京,本科,,,boss,B端产品 G端产品/政务产品 物联网产品,B端产品 G端产品/政务产品 物联网产品,https://www.zhipin.com/job_detail/4b15c196388a69640nZ93ty8E1RS.html
