job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
AI人工智能销 售顾问/tob销 售电+面,探迹,13-20K,北京·朝阳区·大望路,北京,大专,1年以内,,boss,销售,销售,https://www.zhipin.com/job_detail/e9267bbc4f4222a60nJ53tq-EldT.html
AI产品经理（计算机人工智能专业本硕）,实战云,16-25K,北京·朝阳区·朝外,北京,本科,3-5年,,boss,AI产品技术经验 B端产品 计算机人工智能专业,AI产品技术经验 B端产品 计算机人工智能专业,https://www.zhipin.com/job_detail/45aaf04fc0122e7a03Jz3t-1GVFY.html
【上市公司】—AI应用工程师,易点云,15-25K·14薪,北京·海淀区·上地,北京,本科,,,boss,Python,Python,https://www.zhipin.com/job_detail/b1c159144f5f7bca0nJ52di5GVFQ.html
AI Agent开发工程师（实习）,炅炅有神,600-1200元/天,北京·海淀区·清河,北京,本科,,,boss,Java 机器学习经验 LangGragh LLM React Python,Java 机器学习经验 LangGragh LLM React Python,https://www.zhipin.com/job_detail/40e2a33778afb1d60nB83N2-F1ZQ.html
数据采集-人工智能,博彦科技,6-8K,北京·朝阳区·太阳宫,北京,大专,经验不限,,boss,机器人 人工智能 VR,机器人 人工智能 VR,https://www.zhipin.com/job_detail/3160ac1f77ae0b490nJ-2tS7EVVR.html
AI人工智能讲师（base银川）,宁夏深维智能科技,12-20K,北京·海淀区·上地,北京,本科,经验不限,,boss,人工智能,人工智能,https://www.zhipin.com/job_detail/58e1785a073584cf0nR73961FFdV.html
AI人工智能咨询顾问,前景无忧,18-20K,北京·西城区·广安门,北京,本科,5-10年,,boss,AI 人工智能,AI 人工智能,https://www.zhipin.com/job_detail/7065731ca0eca7b00nBz2N66FVpW.html
周末双休 人工智能KA-AI教育,钛晟科技,20-40K,北京·海淀区·苏州桥,北京,本科,3-5年,,boss,软件/信息化服务销售经验 教育信息化销售 定制解决方案 B端市场开发经验 教育培训 客户关系维护 新客户开发 人力资源相关学历 计算机相关学历 ToB大客户销售 市场营销相关学历 制定销售策略和目标 软件/SaaS 售前咨询 面销/陌拜经验 业务开拓能力 大客户销售经理 商务谈判技巧 企业服务 电话销售经验 工业设备 商务经理 软件销售 互联网/科技 较多出差,软件/信息化服务销售经验 教育信息化销售 定制解决方案 B端市场开发经验 教育培训 客户关系维护 新客户开发 人力资源相关学历 计算机相关学历 ToB大客户销售 市场营销相关学历 制定销售策略和目标 软件/SaaS 售前咨询 面销/陌拜经验 业务开拓能力 大客户销售经理 商务谈判技巧 企业服务 电话销售经验 工业设备 商务经理 软件销售 互联网/科技 较多出差,https://www.zhipin.com/job_detail/5be203ccf9899c7d0nF93dq8FlVT.html
AI芯片，人工智能，实现全自动化，,北京揽天名芯高科技,600-800元/天,北京·海淀区·苏州桥,北京,本科,,,boss,急聘：3000名，高端人才：全栈工程师 Java 团队管理经验 规控算法 图像算法 急聘：3000名，高端人才：AI+老师 分布式训练 深度学习 急聘：3000名，高端人才：AI+训练师 大模型算法 大数据处理框架(Spark/Hadoop/Hive) 算法工程化经验 风控算法 优秀开源项目经历 SQL 发表算法相关优秀论文 急聘：3000名，高端人才：高级法务专员 机器学习 急聘：3000名，高端人才：HR经理 强化学习 参加算法相关竞赛/获奖 SLAM算法 模型加速/性能优化 Python,急聘：3000名，高端人才：全栈工程师 Java 团队管理经验 规控算法 图像算法 急聘：3000名，高端人才：AI+老师 分布式训练 深度学习 急聘：3000名，高端人才：AI+训练师 大模型算法 大数据处理框架(Spark/Hadoop/Hive) 算法工程化经验 风控算法 优秀开源项目经历 SQL 发表算法相关优秀论文 急聘：3000名，高端人才：高级法务专员 机器学习 急聘：3000名，高端人才：HR经理 强化学习 参加算法相关竞赛/获奖 SLAM算法 模型加速/性能优化 Python,https://www.zhipin.com/job_detail/fca5792a7289082103N53t-9FVtW.html
驻校人工智能教研经理,网易有道,11-15K,北京·海淀区·上地,北京,本科,3-5年,,boss,企业内部技术项目管理 计算机相关专业 软件研发经验 团队管理经验,企业内部技术项目管理 计算机相关专业 软件研发经验 团队管理经验,https://www.zhipin.com/job_detail/445656cd643e232e0nJ539q9FFZQ.html
