job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
硬件测试工程技术人员,上海爱博才思分析......,7-10K,北京·朝阳区·望京,北京,大专,经验不限,,boss,硬件测试经验 机电相关专业 自动化相关专业 光电器件类 智能硬件类,硬件测试经验 机电相关专业 自动化相关专业 光电器件类 智能硬件类,https://www.zhipin.com/job_detail/245ae505dfd066390nFy2968GFVQ.html
AI人工智能销 售顾问/tob销 售电+面,探迹,13-20K,北京·朝阳区·大望路,北京,大专,1年以内,,boss,销售,销售,https://www.zhipin.com/job_detail/e9267bbc4f4222a60nJ53tq-EldT.html
数据采集-人工智能,博彦科技,6-8K,北京·朝阳区·太阳宫,北京,大专,经验不限,,boss,机器人 人工智能 VR,机器人 人工智能 VR,https://www.zhipin.com/job_detail/3160ac1f77ae0b490nJ-2tS7EVVR.html
AI产品经理（计算机人工智能专业本硕）,实战云,16-25K,北京·朝阳区·朝外,北京,本科,3-5年,,boss,AI产品技术经验 B端产品 计算机人工智能专业,AI产品技术经验 B端产品 计算机人工智能专业,https://www.zhipin.com/job_detail/45aaf04fc0122e7a03Jz3t-1GVFY.html
法语实习生（培训：AI人工智能GEO技能）,北京弗兰克尼斯科技,100-200元/天,北京·丰台区·花乡,北京,本科,,,boss,法语专业 笔译 企业内部翻译职位 法语 译文校对 坐班 AI 人工智能 全职 专业四级 专业八级 技术资料,法语专业 笔译 企业内部翻译职位 法语 译文校对 坐班 AI 人工智能 全职 专业四级 专业八级 技术资料,https://www.zhipin.com/job_detail/0a2e50d7b226b1c80nFy09u4GFZT.html
诚招清华大学毕业生-AI人工智能专业,福石投资,15-20K,北京·朝阳区·望京,北京,本科,经验不限,,boss,大模型算法 参加算法相关竞赛/获奖 大数据处理工具(Spark/Hadoop/Hive),大模型算法 参加算法相关竞赛/获奖 大数据处理工具(Spark/Hadoop/Hive),https://www.zhipin.com/job_detail/a088387094d2fce403F_2tq7EFNQ.html
AI芯片，人工智能，实现全自动化，,北京揽天名芯高科技,20-40K,北京·海淀区·苏州桥,北京,本科,1-3年,,boss,Golang 语音算法 Java 互联网，区块链，量子力学，大数据云计算， 搜索算法 团队管理经验 图像算法 大模型算法 多模态算法 算法工程化经验 其他 MATLAB 优秀开源项目经历 发表算法相关优秀论文 C/C++ 留学生优先 机器学习 人工智能，A|芯片 国内院校优先 强化学习 参加算法相关竞赛/获奖 数据挖掘 大数据处理工具(Spark/Hadoop/Hive) 全自动化，全机械化，全智能化,Golang 语音算法 Java 互联网，区块链，量子力学，大数据云计算， 搜索算法 团队管理经验 图像算法 大模型算法 多模态算法 算法工程化经验 其他 MATLAB 优秀开源项目经历 发表算法相关优秀论文 C/C++ 留学生优先 机器学习 人工智能，A|芯片 国内院校优先 强化学习 参加算法相关竞赛/获奖 数据挖掘 大数据处理工具(Spark/Hadoop/Hive) 全自动化，全机械化，全智能化,https://www.zhipin.com/job_detail/4eefffb8612e894a1HJ52d67EFRR.html
实习-军用电路人工智能测试诊断系统研制,唯实兴邦科技,150-300元/天,北京·海淀区·清河,北京,本科,,,boss,芯片设计 Verilog 逻辑分析仪 Altium Designer SolidWorks Cadence 电子工艺工程师 C++,芯片设计 Verilog 逻辑分析仪 Altium Designer SolidWorks Cadence 电子工艺工程师 C++,https://www.zhipin.com/job_detail/93ec86fa51d3479a1HN63928GVtY.html
(急招)  测试工程师(双休+师傅带教,深圳市芯优博泰智...,5-6K,北京·昌平区·北七家,北京,大专,,,boss,测试工作经验 计算机相关专业 掌握软件测试理论和流程 嵌入式测试 GPU,测试工作经验 计算机相关专业 掌握软件测试理论和流程 嵌入式测试 GPU,https://www.zhipin.com/job_detail/e39ca8cf179fcbad0nJ63Ny9GVNZ.html
驻校人工智能教研经理,网易有道,11-15K,北京·海淀区·上地,北京,本科,3-5年,,boss,企业内部技术项目管理 计算机相关专业 软件研发经验 团队管理经验,企业内部技术项目管理 计算机相关专业 软件研发经验 团队管理经验,https://www.zhipin.com/job_detail/445656cd643e232e0nJ539q9FFZQ.html
AI项目经理（人工智能项目管理）,信利恒丰,13-26K,北京·海淀区·苏州桥,北京,本科,3-5年,,boss,AI 人工智能,AI 人工智能,https://www.zhipin.com/job_detail/b895929fd69e20810nFz3d60FFdR.html
周末双休 人工智能KA-AI教育,钛晟科技,20-40K,北京·海淀区·苏州桥,北京,本科,3-5年,,boss,软件/信息化服务销售经验 教育信息化销售 定制解决方案 B端市场开发经验 教育培训 客户关系维护 新客户开发 人力资源相关学历 计算机相关学历 ToB大客户销售 市场营销相关学历 制定销售策略和目标 软件/SaaS 售前咨询 面销/陌拜经验 业务开拓能力 大客户销售经理 商务谈判技巧 企业服务 电话销售经验 工业设备 商务经理 软件销售 互联网/科技 较多出差,软件/信息化服务销售经验 教育信息化销售 定制解决方案 B端市场开发经验 教育培训 客户关系维护 新客户开发 人力资源相关学历 计算机相关学历 ToB大客户销售 市场营销相关学历 制定销售策略和目标 软件/SaaS 售前咨询 面销/陌拜经验 业务开拓能力 大客户销售经理 商务谈判技巧 企业服务 电话销售经验 工业设备 商务经理 软件销售 互联网/科技 较多出差,https://www.zhipin.com/job_detail/5be203ccf9899c7d0nF93dq8FlVT.html
央企有编制-人工智能负责人,某大型航天科技公司,100-150K·15薪,北京,北京,硕士,经验不限,,boss,航空 AI 人工智能,航空 AI 人工智能,https://www.zhipin.com/job_detail/64dd9f1f1cc759050nB80tu4F1BQ.html
AI应用工程师（Agent方向）|  平台维护,炎炎国际,9-14K,北京·朝阳区·望京,北京,本科,经验不限,,boss,运维开发经验 其他 Linux开发/部署经验 Python,运维开发经验 其他 Linux开发/部署经验 Python,https://www.zhipin.com/job_detail/e66fc3a20ccf42820nFz3Ny8EldY.html
汽车技术工程师,江苏荷通检测认证,7-10K·13薪,北京·西城区·德胜门,北京,本科,1-3年,,boss,E-mark认证，欧洲认证 CCC/3C认证,E-mark认证，欧洲认证 CCC/3C认证,https://www.zhipin.com/job_detail/8a926315d9f4c2d10nBy09i7ElVQ.html
工程技术人员,一合梦想,8-9K,北京,北京,高中,3-5年,,boss,实施工程师/顾问 系统集成工程师 项目招投标,实施工程师/顾问 系统集成工程师 项目招投标,https://www.zhipin.com/job_detail/df0aad539808770e1nV42ti9EVFZ.html
技术人员,北京音诺科技有限公司,7-12K,北京·东城区·广渠门,北京,中专,经验不限,,boss,系统集成工程师 实施工程师/顾问 售前支持,系统集成工程师 实施工程师/顾问 售前支持,https://www.zhipin.com/job_detail/b8f833f976752a691XV93NW_GFVQ.html
人工智能开发（双休+试用期不打折）,广州中钦科技服务,15-17K,北京·丰台区·花乡,北京,本科,3-5年,,boss,人工智能 大模型开发 机器学习,人工智能 大模型开发 机器学习,https://www.zhipin.com/job_detail/531c96f39ebfdd010nB939m6FFJV.html
高级战略研究（AI、人工智能）国家投资平台,广州某小型投资/融资公司,40-60K,北京,北京,本科,5-10年,,boss,擅长宏观经济/政策研究 行业核心期刊发表过文章 AI 行业分析报告 战略分析,擅长宏观经济/政策研究 行业核心期刊发表过文章 AI 行业分析报告 战略分析,https://www.zhipin.com/job_detail/c2c8f1b5376e7e08031_0t-6FFFX.html
AI Agent开发实习生｜全职·可远程,深度细胞,500-1000元/天,北京·海淀区·学院路,北京,本科,,,boss,Python 爬虫经验,Python 爬虫经验,https://www.zhipin.com/job_detail/97117afc232a77220nJ709q0EFVV.html
ai产品总监,北京云集智造科技,16-25K,北京·朝阳区·望京,北京,本科,3-5年,,boss,B端产品,B端产品,https://www.zhipin.com/job_detail/6e81680d13bb90990nJ60ty9FFNX.html
人工智能应用工程师,康知声咨询,12-24K,北京·海淀区·苏州桥,北京,本科,1年以内,,boss,Python Django MySQL,Python Django MySQL,https://www.zhipin.com/job_detail/69e4748c8cca97770nB93t28GVZW.html
技术型销售工程师,北京星禾航空装备,8-13K,北京·大兴区·亦庄,北京,本科,1-3年,,boss,机械/电子工程相关专业,机械/电子工程相关专业,https://www.zhipin.com/job_detail/6170736043219ce50nF42d-6GVNX.html
人工智能/大模型工程师,远光软件,20-30K,北京·东城区·天坛,北京,本科,5-10年,,boss,agent 业财 大模型算法 财务数字化 电力 Langchina,agent 业财 大模型算法 财务数字化 电力 Langchina,https://www.zhipin.com/job_detail/fd79a9100c3412550nF_3N-4GFFX.html
