job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
光电子芯片设计,某大型计算机硬件公司,30-60K,北京,北京,博士,经验不限,,boss,集成光 光量子 光电子,集成光 光量子 光电子,https://www.zhipin.com/job_detail/a5d753138bd46e360nVy2d26FVRT.html
太阳电池/光电子/硬件,航科华宇,10-13K,北京·海淀区·二拨子村,北京,硕士,经验不限,,boss,太阳电池 光电 电子 硬件设计 电路设计,太阳电池 光电 电子 硬件设计 电路设计,https://www.zhipin.com/job_detail/8b787135c75042bb1Xd62ti-F1tW.html
COB工程师,芯永京达科技有限公司,10-11K,北京·海淀区·上地,北京,大专,3-5年,,boss,芯片设计 电子元器件工程师 电子工艺工程师 电控工程师 IC验证工程师 声学工程师 IC设计/应用工程师 电磁工程师,芯片设计 电子元器件工程师 电子工艺工程师 电控工程师 IC验证工程师 声学工程师 IC设计/应用工程师 电磁工程师,https://www.zhipin.com/job_detail/b72e3e1b45113a951HN_29i0FlBS.html
仪器仪表维修工程师,融通航维,6-11K,北京·丰台区·花乡,北京,本科,3-5年,,boss,电路设计 射频开发 电子组装 示波器 智能硬件 电气工程师 通信工程师 测试仪器,电路设计 射频开发 电子组装 示波器 智能硬件 电气工程师 通信工程师 测试仪器,https://www.zhipin.com/job_detail/f88bda4607f3705103Rz2dW0ElNS.html
AI后端工程师,民众普康,12-15K,北京·通州区·果园,北京,大专,3-5年,,boss,Golang Java C++ PostgreSQL Redis Docker Django MySQL PHP 架构设计经验 Linux开发/部署经验 Python Flask Kubernetes,Golang Java C++ PostgreSQL Redis Docker Django MySQL PHP 架构设计经验 Linux开发/部署经验 Python Flask Kubernetes,https://www.zhipin.com/job_detail/93ce7d6a888f33c90nJ43d26ElNX.html
光学工程师,北京瓦科光电,10-15K,北京·昌平区·回龙观,北京,本科,经验不限,,boss,激光 原子物理 光电子,激光 原子物理 光电子,https://www.zhipin.com/job_detail/6b67941ff2fb80021Hd809W6EFRZ.html
光电子售前售后技术支持工程师,卓越光子,11-20K,北京·丰台区·科技园区,北京,本科,1-3年,,boss,光通信 光传输 光系统设计 光纤研发 系统调试 技术沟通 产品咨询,光通信 光传输 光系统设计 光纤研发 系统调试 技术沟通 产品咨询,https://www.zhipin.com/job_detail/04befe372eb0ef231Xdy2ti5GVdS.html
芯片级维修工程师,燕普达,10-15K,北京·通州区·马驹桥,北京,大专,3-5年,,boss,电子元器件工程师 万用表 示波器 烙铁 信号发生器 逻辑分析仪,电子元器件工程师 万用表 示波器 烙铁 信号发生器 逻辑分析仪,https://www.zhipin.com/job_detail/61df0dada77fa0bf1XJ_3d20EltU.html
Agent 开发工程师,屹睿达智能,10-15K,北京·朝阳区·劲松,北京,本科,经验不限,,boss,Python Golang Java 其他 Django Flask Docker MySQL Redis PostgreSQL 架构设计经验 Linux开发/部署经验 爬虫经验 vibecoding,Python Golang Java 其他 Django Flask Docker MySQL Redis PostgreSQL 架构设计经验 Linux开发/部署经验 爬虫经验 vibecoding,https://www.zhipin.com/job_detail/3f32cd7382fdfaf00nJ-2961EFVV.html
高级器件物理工程师,NANO,15-20K,北京·海淀区·万柳,北京,博士,经验不限,,boss,半导体 光电子 器件,半导体 光电子 器件,https://www.zhipin.com/job_detail/ade23c05ecf2b2fc1XF-2Ny4FFY~.html
