job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
光网络工程师,中邮建,9-10K,北京·海淀区·公主坟,北京,学历不限,3-5年,,boss,光通信,光通信,https://www.zhipin.com/job_detail/676fa7c1c07e7e4f0nJ50961EFpY.html
光网络工程师,北京网维嘉迅科技,10-15K,北京·海淀区·苏州桥,北京,大专,3-5年,,boss,网络维护 光通信 光传输 OTN 波分 安装调测 光缆装维,网络维护 光通信 光传输 OTN 波分 安装调测 光缆装维,https://www.zhipin.com/job_detail/3de12d5c020479890nZ42tS4GVBQ.html
光网络工程师,华建英杰,5-10K,北京·大兴区·林校路,北京,大专,1-3年,,boss,增值产品开发 光传输 光缆通信 光纤研发 光通信,增值产品开发 光传输 光缆通信 光纤研发 光通信,https://www.zhipin.com/job_detail/051f6c761ae622bc0nF43Ny4FVNR.html
光网络工程师,北京有蓝科技,6-8K,北京·西城区·广外大街,北京,大专,经验不限,,boss,传输线路设计 光网络 专线,传输线路设计 光网络 专线,https://www.zhipin.com/job_detail/8cb8534190e73dcb03B_39u9GFs~.html
光网络工程师,北京中邦亚通电信...,9-10K,北京·海淀区·苏州桥,北京,学历不限,经验不限,,boss,宽带装维 网络维护,宽带装维 网络维护,https://www.zhipin.com/job_detail/da152b05a2babf631HZz096_FVRT.html
光网络工程师,华信东方,10-15K,北京,北京,大专,1-3年,,boss,光通信 OTN,光通信 OTN,https://www.zhipin.com/job_detail/0387603bf392788e03V43tW0FlJY.html
光网络工程师,中通合创,8-11K,北京·海淀区·清河,北京,学历不限,3-5年,,boss,光通信,光通信,https://www.zhipin.com/job_detail/ee465542ee67807e03B42ty7GVdW.html
光网络架构师,阿里巴巴集团,45-50K·16薪,北京·朝阳区·望京,北京,本科,3-5年,,boss,光网络 传输网,光网络 传输网,https://www.zhipin.com/job_detail/c767422b2874080f03140t68FVtT.html
光网络工程师,新天高丰,6-8K,北京·丰台区·菜户营,北京,大专,3-5年,,boss,网络维护 光通信 光传输 中兴,网络维护 光通信 光传输 中兴,https://www.zhipin.com/job_detail/ca32cd37cba178070nRz0ti9F1ZZ.html
光纤熔接工程师,网联,6-10K,北京·朝阳区·西坝河,北京,大专,1-3年,,boss,OTDR 熔接,OTDR 熔接,https://www.zhipin.com/job_detail/3d15f651d801c42d0nF-2Ni4EFNQ.html
光网络工程师,信实志远,7-10K,北京·海淀区·航天桥,北京,大专,1-3年,,boss,光通信 光传输 网络维护 数通工程师 光纤工程师,光通信 光传输 网络维护 数通工程师 光纤工程师,https://www.zhipin.com/job_detail/167788eae5ed896403Z83d-1E1pV.html
光网络管控平台开发工程师-基础设施,字节跳动,30-60K·15薪,北京·海淀区·中关村,北京,本科,1-3年,,boss,Java Python Golang,Java Python Golang,https://www.zhipin.com/job_detail/60cefff6a7681a010nF939i-FlZQ.html
光网络传输工程师（DCI交付）,亚康万玮,6-10K,北京·海淀区·中关村,北京,大专,3-5年,,boss,光通信 OTN DCI交付,光通信 OTN DCI交付,https://www.zhipin.com/job_detail/96ea30211e7ef3810nJ729m-F1RV.html
