job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
高薪 双休 全栈工程师,初至科技,18-25K,北京·海淀区·苏州桥,北京,本科,1-3年,,boss,全栈侧重前端 全栈侧重后端 React JavaScript TypeScript Golang Python MySQL/Redis/MongoDB Django/Flask 全栈项目经验,全栈侧重前端 全栈侧重后端 React JavaScript TypeScript Golang Python MySQL/Redis/MongoDB Django/Flask 全栈项目经验,https://www.zhipin.com/job_detail/674505f1a9dcc80f0nJ70t26FVpQ.html
Vue3 + Java全栈开发工程师,黑森智动,25-30K,北京·海淀区·学院路,北京,本科,1-3年,,boss,全栈侧重前端 Vue JavaScript HTML TypeScript CSS Java 全栈项目经验 前端开发经验 后端开发经验,全栈侧重前端 Vue JavaScript HTML TypeScript CSS Java 全栈项目经验 前端开发经验 后端开发经验,https://www.zhipin.com/job_detail/2cc7b00eda1b581a0nF92dm8FlFS.html
AI全栈工程师,北京一览科技有限公司,15-30K,北京·朝阳区·善各庄,北京,本科,经验不限,,boss,全栈项目经验 计算机相关专业 AIGC,全栈项目经验 计算机相关专业 AIGC,https://www.zhipin.com/job_detail/f9b8bf4da44856c00nF-09S6FVZT.html
AI全栈工程师,领翼工软,12-20K,北京·朝阳区·望京,北京,本科,3-5年,,boss,全栈无侧重 JavaScript React TypeScript Java Python Spring/Spring Boot MySQL/Redis/MongoDB 计算机相关专业 全栈项目经验 前端开发经验 后端开发经验 人工智能 工业AI,全栈无侧重 JavaScript React TypeScript Java Python Spring/Spring Boot MySQL/Redis/MongoDB 计算机相关专业 全栈项目经验 前端开发经验 后端开发经验 人工智能 工业AI,https://www.zhipin.com/job_detail/6856c742e31d4e3b0nF839S7FFBZ.html
全栈工程师,北京元蔓科技有限公司,16-20K,北京·海淀区·中关村,北京,大专,5-10年,,boss,JavaScript HTML CSS TypeScript Vue Java 前端开发经验 后端开发经验 计算机相关专业 AI 智能体,JavaScript HTML CSS TypeScript Vue Java 前端开发经验 后端开发经验 计算机相关专业 AI 智能体,https://www.zhipin.com/job_detail/f1973217946b7def0nFz3tS7EVNZ.html
AI Native 全栈工程师,北京雷石天地电子技术,40-60K,北京·朝阳区·望京,北京,本科,经验不限,,boss,全栈无侧重 计算机相关专业 全栈项目经验 AI Agent github Claude Code / Cursor,全栈无侧重 计算机相关专业 全栈项目经验 AI Agent github Claude Code / Cursor,https://www.zhipin.com/job_detail/bbb18c2c10aecca00nd439u9FltT.html
全栈工程师,北京康嘉盈体育文化,180-350元/天,北京·朝阳区·东坝,北京,本科,,,boss,HTML React 计算机相关专业 全栈项目经验 后端开发经验,HTML React 计算机相关专业 全栈项目经验 后端开发经验,https://www.zhipin.com/job_detail/9bd2eaaeece73ffd03x439u6EFFY.html
全栈开发工程师,上海楚拾信息科技,140-150元/天,北京·海淀区·学院路,北京,本科,,,boss,Java 后端开发经验 JavaScript Vue 全栈无侧重 计算机相关专业 前端开发经验 全栈项目经验,Java 后端开发经验 JavaScript Vue 全栈无侧重 计算机相关专业 前端开发经验 全栈项目经验,https://www.zhipin.com/job_detail/5402cca40e7ebbd30nF80t-1GFNV.html
全栈工程师,北京元渡咨询管理,30-50K,北京·朝阳区·望京,北京,本科,3-5年,,boss,后端开发经验 全栈侧重后端 前端开发经验 全栈项目经验,后端开发经验 全栈侧重后端 前端开发经验 全栈项目经验,https://www.zhipin.com/job_detail/61761c47812016510nF939q-GFNW.html
全栈开发工程师,北京咖值电影科技,3-8K,北京·怀柔区·红螺寺,北京,大专,经验不限,,boss,Java C/C++ Spring/Spring Boot 后端开发经验 JavaScript Vue PHP 全栈无侧重 HTML 计算机相关专业 前端开发经验 Python,Java C/C++ Spring/Spring Boot 后端开发经验 JavaScript Vue PHP 全栈无侧重 HTML 计算机相关专业 前端开发经验 Python,https://www.zhipin.com/job_detail/e75af5ba401b7e070nBz0t-4GFFY.html
全栈工程师,京东物流-物流研发部,30-50K·16薪,北京·大兴区·亦庄,北京,本科,5-10年,,boss,Java Spring/Spring Boot 后端开发经验 全栈侧重后端,Java Spring/Spring Boot 后端开发经验 全栈侧重后端,https://www.zhipin.com/job_detail/d354452a99077ebe331y3t--GVU~.html
全栈开发工程师（文生视频方向）​,聚灵活,20-30K,北京·朝阳区·劲松,北京,本科,1-3年,,boss,全栈侧重后端 Java 计算机相关专业,全栈侧重后端 Java 计算机相关专业,https://www.zhipin.com/job_detail/72387b06729415b00318296-EFdT.html
初级全栈开发工程师,北京迎朋乐哉信息技术,200-250元/天,北京·海淀区·清河,北京,本科,,,boss,全栈项目经验,全栈项目经验,https://www.zhipin.com/job_detail/28d105edd8ffb1b903183du4E1ZY.html
全栈开发工程师,立信央企事业部,12-16K,北京·朝阳区·亚运村,北京,本科,3-5年,,boss,全栈无侧重 TypeScript React Python .NET Node.js Spring/Spring Boot MyBatis 计算机相关专业 全栈项目经验,全栈无侧重 TypeScript React Python .NET Node.js Spring/Spring Boot MyBatis 计算机相关专业 全栈项目经验,https://www.zhipin.com/job_detail/67b857e4f2a761030nJ-29S4ElpX.html
广告全栈工程师,北京理想光芒科技,11-18K,北京·东城区·王府井,北京,本科,3-5年,,boss,广告 Java 后端开发经验 adx JavaScript Vue 程序化 全栈无侧重 计算机相关专业 前端开发经验 全栈项目经验,广告 Java 后端开发经验 adx JavaScript Vue 程序化 全栈无侧重 计算机相关专业 前端开发经验 全栈项目经验,https://www.zhipin.com/job_detail/240830da5030fe870nB_39-_E1FR.html
全栈工程师,奥成伟业,15-20K,北京·丰台区·花乡,北京,大专,3-5年,,boss,全栈侧重前端 全栈侧重后端 Vue JavaScript HTML CSS Java 全栈项目经验,全栈侧重前端 全栈侧重后端 Vue JavaScript HTML CSS Java 全栈项目经验,https://www.zhipin.com/job_detail/b4f7de76d9cfe6a80nFy3961FVVX.html
