job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
AI算法架构师（具身智能/机器人方向）,上海具身智能设备,150-250K·16薪,北京·海淀区·学院路,北京,硕士,3-5年,,boss,算法基础 AI 具身智能,算法基础 AI 具身智能,https://www.zhipin.com/job_detail/eda8437fb52de0e20nFz2N6_FFNV.html
具身智能机器人数据采集测试岗位,无锡核数通信息科技,7-10K,北京·石景山区·苹果园,北京,大专,1-3年,,boss,数据采集,数据采集,https://www.zhipin.com/job_detail/cc0166eaae7d02950nJ53t69FlNV.html
AIGC 视觉设计实习生（具身智能机器人）,小雨智造科技,200-250元/天,北京·海淀区·清河,北京,本科,,,boss,有视觉设计经验/技能 甲方公司 餐补 房补 周末双休 现场办公 PS AI PR 1年以内视觉设计经验 AIGC设计经验 品牌设计经验,有视觉设计经验/技能 甲方公司 餐补 房补 周末双休 现场办公 PS AI PR 1年以内视觉设计经验 AIGC设计经验 品牌设计经验,https://www.zhipin.com/job_detail/566db07591965e960nB93920E1BZ.html
灵巧手测试-具身智能机器人,人瑞网络科技,8-12K,北京·海淀区·苏州桥,北京,大专,1-3年,,boss,机器人/无人机类 灵巧手,机器人/无人机类 灵巧手,https://www.zhipin.com/job_detail/4e1d5db8f05ef1ef0nJ509S7EFZW.html
智能机器人（具身智能方向）讲师,传智教育,20-40K,北京·昌平区·西三旗,北京,本科,5-10年,,boss,ros系统 slam算法 vla模型 运动控制算法,ros系统 slam算法 vla模型 运动控制算法,https://www.zhipin.com/job_detail/205eb9401751c90d0nF53tu9EVpY.html
具身智能机器人技术负责人,北京某中型人工智能公司,130-200K,北京,北京,硕士,10年以上,,boss,互联网/AI 机器人 具身 智能巡检 智能客服 AIGC,互联网/AI 机器人 具身 智能巡检 智能客服 AIGC,https://www.zhipin.com/job_detail/54063b0763da3d0e0nB-39S1GVBU.html
具身智能/机器人产品经理(电力巡检相关),某人工智能公司,30-60K·15薪,北京,北京,本科,3-5年,,boss,电力巡检 机器人,电力巡检 机器人,https://www.zhipin.com/job_detail/1e5c9c834286db400nF539m8EVNT.html
具身智能机器人算法实习生,北京阶跃致能机器...,300-600元/天,北京·海淀区·上地,北京,本科,,,boss,规控算法 图像算法 深度学习 大模型算法 多模态算法 算法工程化经验 融合感知算法 发表算法相关优秀论文 C/C++ 强化学习 参加算法相关竞赛/获奖 SLAM算法 Python,规控算法 图像算法 深度学习 大模型算法 多模态算法 算法工程化经验 融合感知算法 发表算法相关优秀论文 C/C++ 强化学习 参加算法相关竞赛/获奖 SLAM算法 Python,https://www.zhipin.com/job_detail/db4d3c97216b09f403x_2dW7GFtT.html
具身智能数据采集负责人（北京 深圳都可）,某智能硬件公司,40-70K·14薪,北京,北京,本科,经验不限,,boss,多模态 机器人 具身智能 自动驾驶 无人机,多模态 机器人 具身智能 自动驾驶 无人机,https://www.zhipin.com/job_detail/e6735ec791d2cf7b0nF-3ty6EVNU.html
【地瓜机器人】具身智能机器人数据实习生,地平线,200-300元/天,北京·海淀区·西北旺,北京,本科,,,boss,Python Django Pandas MongoDB,Python Django Pandas MongoDB,https://www.zhipin.com/job_detail/c66376d71965beab0nJ72tu6E1JV.html
机器人生产供应链工程师-具身智能明星企业,某人工智能公司,25-40K·15薪,北京,北京,大专,经验不限,,boss,采购/供应商管理经验 仓储管理经验 不需要出差 机器人,采购/供应商管理经验 仓储管理经验 不需要出差 机器人,https://www.zhipin.com/job_detail/f658973233846ebd0nJ53NW0FFBW.html
具身智能机器人实习生,中科院软件所,200-250元/天,北京·海淀区·知春路,北京,本科,,,boss,深度学习 大模型算法 强化学习 模型加速/性能优化 规控算法 多模态算法 C/C++ Python 分布式训练 算法工程化经验 发表算法相关优秀论文 参加算法相关竞赛/获奖,深度学习 大模型算法 强化学习 模型加速/性能优化 规控算法 多模态算法 C/C++ Python 分布式训练 算法工程化经验 发表算法相关优秀论文 参加算法相关竞赛/获奖,https://www.zhipin.com/job_detail/a70d06a019c117501HB40tW0FltV.html
具身机器人应用调试工程师,第五纪,11-18K,北京·海淀区·中关村,北京,大专,1-3年,,boss,具身机器人 具身机器人调试 具身机器人应用 机器人调试,具身机器人 具身机器人调试 具身机器人应用 机器人调试,https://www.zhipin.com/job_detail/1c91184d7d9481a9031-3ty4E1BQ.html
具身智能机器人产品经理【教育行业】,智学客,15-20K,北京·海淀区·四季青,北京,本科,3-5年,,boss,高职 中职 本科 院校 智能 人形/四足机器人 虚拟仿真实训实验产品,高职 中职 本科 院校 智能 人形/四足机器人 虚拟仿真实训实验产品,https://www.zhipin.com/job_detail/5d25cb3143b5ae4e0nB60tS5FlJV.html
具身智能/人形机器人方向（CTO\合伙人）,某中型人工智能机器人公司,250-260K·16薪,北京,北京,本科,5-10年,,boss,软件 + 硬件 人形机器人 从 0 到 1 的研发 具身智能 团队搭建与管理 机器人算法 CTO 量产全流程,软件 + 硬件 人形机器人 从 0 到 1 的研发 具身智能 团队搭建与管理 机器人算法 CTO 量产全流程,https://www.zhipin.com/job_detail/f2b7b42833f908020nFz29i7E1dX.html
