job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
单片机软硬件工程师,恒瑞弘升有限公司,10000-11000元/月,北京·朝阳区·西坝河,北京,学历不限,经验不限,,boss,Python STM32开发 ARM开发 嵌入式软件开发 电子相关专业 单片机设计经验 软硬件开发 单片机硬件制作,Python STM32开发 ARM开发 嵌入式软件开发 电子相关专业 单片机设计经验 软硬件开发 单片机硬件制作,https://www.zhipin.com/job_detail/0ecb87bcc3fe74fd1Hdy29u0ElZR.html
单片机工程师-出差,软通动力,7-12K·13薪,北京·海淀区·上地,北京,本科,3-5年,,boss,单片机,单片机,https://www.zhipin.com/job_detail/4961102e251f7a050nJ-2dm8GFBZ.html
单片机,北京筑彩,4-8K,北京,北京,中专,1-3年,,boss,单片机开发 电路设计 PLC程序设计 CAD 仿真调试,单片机开发 电路设计 PLC程序设计 CAD 仿真调试,https://www.zhipin.com/job_detail/47a1ee05362dc1f51nF4292_FFNY.html
理工机械单片机自动化能源辅导,九垓文化,3-4K,北京·朝阳区·朝外,北京,本科,1-3年,,boss,大学/大专生 线上教育,大学/大专生 线上教育,https://www.zhipin.com/job_detail/dc904e1c4359c7ba0nd63NW_FVRX.html
51单片机开发,金田博泰,5-10K,北京,北京,学历不限,经验不限,,boss,单片机开发 电路设计 嵌入式技术 C语言 嵌入式硬件开发 嵌入式软件开发,单片机开发 电路设计 嵌入式技术 C语言 嵌入式硬件开发 嵌入式软件开发,https://www.zhipin.com/job_detail/289064542490a4191nR62d64FVRR.html
嵌入式专家（单片机、算法、软件）,某大型电力公司,40-60K,北京,北京,本科,5-10年,,boss,电子/通信/半导体,电子/通信/半导体,https://www.zhipin.com/job_detail/a59281749ab24d860nJ509W5F1JQ.html
单片机嵌入式工程师,零穹智玩,1500-15000元/月,北京,北京,大专,经验不限,,boss,C++ Python 嵌入式软件开发 电子相关专业 单片机设计经验,C++ Python 嵌入式软件开发 电子相关专业 单片机设计经验,https://www.zhipin.com/job_detail/0596b3158cb7407603F82929FFpT.html
单片机实习生,麦邦光电,100-150元/天,北京·大兴区·天宫院,北京,硕士,,,boss,STM32开发 嵌入式软件开发 单片机设计经验 计算机相关专业 通信相关专业,STM32开发 嵌入式软件开发 单片机设计经验 计算机相关专业 通信相关专业,https://www.zhipin.com/job_detail/72565ba4e8daf13e03F92N--GVBQ.html
初级单片机软件工程师,多普康自动化,6-10K,北京·昌平区·回龙观,北京,学历不限,经验不限,,boss,自动化技术 单片机开发 嵌入式硬件开发 FreeRTOS C语言 嵌入式软件开发,自动化技术 单片机开发 嵌入式硬件开发 FreeRTOS C语言 嵌入式软件开发,https://www.zhipin.com/job_detail/451a9437cc80aec21Xd709-1EVBZ.html
单片机软硬件工程师,北京万讯科技,6-11K,北京,北京,学历不限,经验不限,,boss,单片机开发 PCB设计 C语言 烙铁 万用表 示波器 Protel,单片机开发 PCB设计 C语言 烙铁 万用表 示波器 Protel,https://www.zhipin.com/job_detail/29b718f9683f765a1n1y3N26F1RQ.html
