job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
售前技术支持,可信云科,18-35K,北京·朝阳区·北工大,北京,大专,5-10年,,boss,售前技术支持经验 系统集成,售前技术支持经验 系统集成,https://www.zhipin.com/job_detail/b10eebb97505cde903Z_29S-FVRV.html
售前技术工程师,清桦智控,13-20K,北京·西城区·什刹海,北京,大专,5-10年,,boss,系统集成 能源/电力相关专业,系统集成 能源/电力相关专业,https://www.zhipin.com/job_detail/e71cdf077348b3940nBy2dy6EVJW.html
售前技术支持,安耐橡胶,7-10K·13薪,北京·朝阳区·大望路,北京,大专,1-3年,,boss,售前技术支持经验 机械/电子工程相关专业,售前技术支持经验 机械/电子工程相关专业,https://www.zhipin.com/job_detail/f63feed1aa53fce40nJ739m8FVBW.html
售前技术方案工程师,深圳中亿集团,12-15K,北京·朝阳区·朝外,北京,大专,3-5年,,boss,五险一金 机器人赛道 晋升空间大,五险一金 机器人赛道 晋升空间大,https://www.zhipin.com/job_detail/3464f4a81422942a0nJ-39m9EVpR.html
售前技术工程师,北京星使智算科技,20-35K,北京·海淀区·苏州桥,北京,本科,3-5年,,boss,生物医药 生化科研,生物医药 生化科研,https://www.zhipin.com/job_detail/6aa44d2d9aa9d17f0nJ60t2-FlFU.html
售前技术支持,云新信息,10-15K·13薪,北京·朝阳区·工体,北京,大专,1-3年,,boss,售前技术支持经验 计算机/通信相关专业 PMP,售前技术支持经验 计算机/通信相关专业 PMP,https://www.zhipin.com/job_detail/8640fb0474507b621HJy29y7E1VS.html
高级售前技术支持,某互联网公司,15-30K,北京,北京,大专,5-10年,,boss,售前技术支持经验 物流仓储系统集成,售前技术支持经验 物流仓储系统集成,https://www.zhipin.com/job_detail/b12edb3d07b53dee0nB82dy-EFVU.html
售前技术支持,北京某中型机械设备公司,20-30K,北京,北京,学历不限,经验不限,,boss,售前技术支持经验 机械/电子工程相关专业,售前技术支持经验 机械/电子工程相关专业,https://www.zhipin.com/job_detail/0daac78193ba4cbe1HN529m1EFRX.html
售前技术支持,新能动力,11-18K,北京·大兴区·亦庄,北京,大专,5-10年,,boss,计算机/通信相关专业 机械/电子工程相关专业,计算机/通信相关专业 机械/电子工程相关专业,https://www.zhipin.com/job_detail/b7700b3f15d5393c1X193N--ElVS.html
售前技术支持,康威视通科技有限公司,10-15K,北京·通州区·玉桥,北京,大专,经验不限,,boss,系统集成,系统集成,https://www.zhipin.com/job_detail/2222679224836f471Hd72N6-F1dS.html
售前技术支持,传麒科技(北京),12-22K·13薪,北京,北京,本科,3-5年,,boss,售前技术支持经验 能源/电力相关专业 电力电子 数据采集 微电网 储能,售前技术支持经验 能源/电力相关专业 电力电子 数据采集 微电网 储能,https://www.zhipin.com/job_detail/8c6d0e93d115a09603d43d21GFFT.html
售前支持工程师（储能方向/锂电方向）,北京某大型储能公司,40-50K·16薪,北京,北京,本科,5-10年,,boss,系统集成 能源/电力相关专业 售前技术支持经验 招投标经验 可适应出差 英语可沟通 PMP 储能 锂电 电芯 电池,系统集成 能源/电力相关专业 售前技术支持经验 招投标经验 可适应出差 英语可沟通 PMP 储能 锂电 电芯 电池,https://www.zhipin.com/job_detail/5973e8721c94eb140nB83t-4F1RQ.html
售前交付工程师（2026校招）,安芯网盾,12-16K·16薪,北京·海淀区·上地,北京,本科,,,boss,售前技术支持经验 计算机/通信相关专业 终端安全 网络安全,售前技术支持经验 计算机/通信相关专业 终端安全 网络安全,https://www.zhipin.com/job_detail/02c6dae04e628231031-0tS9GVpW.html
售前工程师- IT（应届生）,金华威,5-8K·14薪,北京·丰台区·六里桥,北京,大专,经验不限,,boss,售前技术支持经验 系统集成 解决方案 计算机/通信相关专业 配置报价 云服务 招投标经验 技术交流,售前技术支持经验 系统集成 解决方案 计算机/通信相关专业 配置报价 云服务 招投标经验 技术交流,https://www.zhipin.com/job_detail/4c1cccbe32e780db1Hx829-0ElRW.html
