job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
售后技术服务工程师,华声医疗,9-12K,北京,北京,本科,经验不限,,boss,硬件集成调试 物联网 系统调试 技术沟通,硬件集成调试 物联网 系统调试 技术沟通,https://www.zhipin.com/job_detail/a20b82b87b75f1d11nZ93tu4GFRQ.html
售后技术支持（乌鲁木齐）,北京铁道所,6-10K·13薪,北京,北京,大专,3-5年,,boss,非标设备 售后技术,非标设备 售后技术,https://www.zhipin.com/job_detail/0802de34931a8c030nFz3t-6EFFX.html
售后技术支持,大族数控,8-12K·14薪,北京·通州区·次渠,北京,大专,1-3年,,boss,机械/机电设备技术支持经验 机械钻孔机 激光钻孔机 AOI设备,机械/机电设备技术支持经验 机械钻孔机 激光钻孔机 AOI设备,https://www.zhipin.com/job_detail/9461374259a23df50nF439m8EFNS.html
售后技术支持,北京今日宜休科技,20-40K·14薪,北京·海淀区·上地,北京,本科,5-10年,,boss,计算机/通信相关专业 机械/电子工程相关专业 软件技术支持经验 网络/通信硬件技术支持经验 机械/机电设备技术支持经验 硬件研发背景优先,计算机/通信相关专业 机械/电子工程相关专业 软件技术支持经验 网络/通信硬件技术支持经验 机械/机电设备技术支持经验 硬件研发背景优先,https://www.zhipin.com/job_detail/49f8606a77a08d8b0nJ52tu-FFdU.html
售后工程师,国内某半体导装备上市公司,15-25K·15薪,北京,北京,本科,经验不限,,boss,客服售后工程师,客服售后工程师,https://www.zhipin.com/job_detail/3d1f17c8bae8743f1HR60tm8EldZ.html
电气售后工程师,湖南中满,10-13K·21薪,北京·通州区·次渠,北京,大专,经验不限,,boss,PLC工程师 电机工程师,PLC工程师 电机工程师,https://www.zhipin.com/job_detail/bdbb24c87ce8afd90nFy3tW9FlpV.html
机器人售后技术支持工程师,北京将闲科技有限公司,15-25K·15薪,北京·海淀区·上地,北京,大专,3-5年,,boss,机器人 售后体系搭建,机器人 售后体系搭建,https://www.zhipin.com/job_detail/ac5260c3b6ebfa0a0nFy29m_FltV.html
售后工程师,小格智能,8-13K·13薪,北京·朝阳区·太阳宫,北京,大专,1-3年,,boss,电工证 电气安装 机电相关专业 设备维修/保养,电工证 电气安装 机电相关专业 设备维修/保养,https://www.zhipin.com/job_detail/f38c905d4a7bff6f1HRy3Nu_EVZU.html
售后技术支持工程师(汽车空调/电气),辉程动力,8-9K,北京,北京,大专,3-5年,,boss,机械/机电设备 储能/新能源 汽车 机械/电子工程相关专业 机械/机电设备技术支持经验 可适应出差 高压电工证,机械/机电设备 储能/新能源 汽车 机械/电子工程相关专业 机械/机电设备技术支持经验 可适应出差 高压电工证,https://www.zhipin.com/job_detail/2db2f717d1a3aece0nJ42Nm6E1tV.html
售后工程师,赛特智能,9-12K,北京·海淀区·上地,北京,大专,3-5年,,boss,汽车 网络/通信设备 机械/机电设备,汽车 网络/通信设备 机械/机电设备,https://www.zhipin.com/job_detail/91dc99246fb918ce0nJ43dm0EVtR.html
电气售后工程师,韦林,10-15K·14薪,北京·朝阳区·亚运村,北京,大专,经验不限,,boss,仪器仪表 电气安装 机电相关专业 设备维修/保养 航空航天 电力/能源,仪器仪表 电气安装 机电相关专业 设备维修/保养 航空航天 电力/能源,https://www.zhipin.com/job_detail/a0039421516e9c931HFy3NS-ElVR.html
售后技术支持,北汽新能源,12-24K·15薪,北京·大兴区·亦庄,北京,本科,3-5年,,boss,新能源汽车 汽车售后维修技术支持,新能源汽车 汽车售后维修技术支持,https://www.zhipin.com/job_detail/1f7631cc0eeb064a03R53tq7FVZV.html
