job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
图像算法实习生,炙石科技,320-420元/天,北京·海淀区·上地,北京,本科,,,boss,图像搜索 机器学习 深度学习 大模型算法 图像处理库（OpenCV等） 图像生成 人像算法 三维重建 Python,图像搜索 机器学习 深度学习 大模型算法 图像处理库（OpenCV等） 图像生成 人像算法 三维重建 Python,https://www.zhipin.com/job_detail/0f9a9af17d0e59080nR-0928GFNZ.html
图像识别算法工程师,中卡信安,16-30K,北京·昌平区·马池口,北京,本科,经验不限,,boss,图像处理 图像检测 文字识别 OpenCV TensorFlow PyTorch 深度学习算法 C++,图像处理 图像检测 文字识别 OpenCV TensorFlow PyTorch 深度学习算法 C++,https://www.zhipin.com/job_detail/6c6afdc78ca652b01XR50tu5GVFV.html
图像算法实习生,启明合心,200-300元/天,北京·海淀区·知春路,北京,本科,,,boss,视觉图像算法 深度学习算法 Midjournery,视觉图像算法 深度学习算法 Midjournery,https://www.zhipin.com/job_detail/dee00693ade335fa1XV-3t29EVtW.html
图像算法实习生,泽元筑界,200-250元/天,北京·房山区·窦店,北京,本科,,,boss,发表算法相关优秀论文 C/C++ 点云算法 深度学习 目标检测 工业/缺陷检测 优秀开源项目经历 OCR 三维重建 Python,发表算法相关优秀论文 C/C++ 点云算法 深度学习 目标检测 工业/缺陷检测 优秀开源项目经历 OCR 三维重建 Python,https://www.zhipin.com/job_detail/67ea27d4bf61472103J529m8EVBR.html
图像算法交付（欢迎25届）-北京,柯莱特集团,11-15K,北京·海淀区·上地,北京,本科,经验不限,,boss,图像算法 C/C++ Python 图像降噪 计算机视觉 去噪 图像处理 图片去雾,图像算法 C/C++ Python 图像降噪 计算机视觉 去噪 图像处理 图片去雾,https://www.zhipin.com/job_detail/e88d019aca6c17730nF909m4FlJT.html
图像算法实习生,教师研修网,220-270元/天,北京·朝阳区·亚运村,北京,硕士,,,boss,C/C++ 深度学习 目标检测 大模型算法 多模态算法 图像处理库（OpenCV等） 目标跟踪 Python,C/C++ 深度学习 目标检测 大模型算法 多模态算法 图像处理库（OpenCV等） 目标跟踪 Python,https://www.zhipin.com/job_detail/f4a3a53dbb975b540nJ40tS5ElVW.html
图像识别算法工程师,中铁科,10-15K,北京·海淀区·北下关,北京,本科,经验不限,,boss,机器学习 图像算法 深度学习 算法工程化经验 优秀开源项目经历 Python,机器学习 图像算法 深度学习 算法工程化经验 优秀开源项目经历 Python,https://www.zhipin.com/job_detail/15499d7f3ac31c5c03V429q9F1FY.html
AIGC图像生成算法实习生,中电信人工智能公司,350-600元/天,北京·西城区·西直门,北京,硕士,,,boss,机器学习 图像算法 深度学习 大模型算法 多模态算法 强化学习,机器学习 图像算法 深度学习 大模型算法 多模态算法 强化学习,https://www.zhipin.com/job_detail/a24a216038afaa380nJ53NW6FVdT.html
图像算法实习生,凌云光技术,200-330元/天,北京,北京,本科,,,boss,深度学习 其他 目标检测 图像生成 工业/缺陷检测 ISP/3A算法 传统图像算法 Python 图像处理库（OpenCV等） HALCON MATLAB VisionPro,深度学习 其他 目标检测 图像生成 工业/缺陷检测 ISP/3A算法 传统图像算法 Python 图像处理库（OpenCV等） HALCON MATLAB VisionPro,https://www.zhipin.com/job_detail/2a2b473389ad3d0a0nF93Nq6F1NS.html
大模型算法实习生（图像生成模型）-剪映,字节跳动,500-550元/天,北京·海淀区·中关村,北京,本科,,,boss,大模型算法 图像生成 计算机视觉 多模态生成模型 顶会论文 AIGC 人工智能 Agent,大模型算法 图像生成 计算机视觉 多模态生成模型 顶会论文 AIGC 人工智能 Agent,https://www.zhipin.com/job_detail/fbf92d5689b601820nR92ti_FVtS.html
