job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
多传感器融合算法工程师,蘑菇车联,35-65K·14薪,北京·东城区·安贞,北京,本科,3-5年,,boss,无明显侧重 智能驾驶 C/C++ 计算机相关专业 数学/统计相关专业 机器学习算法/工程化经验 多传感器 融合,无明显侧重 智能驾驶 C/C++ 计算机相关专业 数学/统计相关专业 机器学习算法/工程化经验 多传感器 融合,https://www.zhipin.com/job_detail/ca1af16f69fd56fd1XZy29y-F1JR.html
多传感器融合slam算法工程师,宽凳科技,20-40K,北京·朝阳区·望京,北京,本科,经验不限,,boss,大模型算法 多模态算法 融合感知算法 C/C++ Python Java MATLAB,大模型算法 多模态算法 融合感知算法 C/C++ Python Java MATLAB,https://www.zhipin.com/job_detail/1bfe9070bfd1dd0f0nJ53Nq4FFRQ.html
多传感器融合定位算法工程师,晟达永信,20-40K,北京·通州区·马驹桥,北京,本科,3-5年,,boss,深度学习 机器学习 图像算法 SLAM算法 融合感知算法 C/C++ Python 嵌入式开发 算法工程化经验 参加算法相关竞赛/获奖 优秀开源项目经历 多传感器融合,深度学习 机器学习 图像算法 SLAM算法 融合感知算法 C/C++ Python 嵌入式开发 算法工程化经验 参加算法相关竞赛/获奖 优秀开源项目经历 多传感器融合,https://www.zhipin.com/job_detail/d0c1caa84653e5431HZz0tq8EVNV.html
多传感器融合slam-机器人导航-北京/上海,某大型智能硬件公司,25-50K·16薪,北京,北京,硕士,3-5年,,boss,SLAM算法 多传感器 定位建图 VR/AR/XR 三维重建,SLAM算法 多传感器 定位建图 VR/AR/XR 三维重建,https://www.zhipin.com/job_detail/9ea31faf57f2abf60nF82dq0FlFT.html
多传感器融合算法工程师,清华大学,150-300元/天,北京·海淀区·五道口,北京,本科,,,boss,视觉图像算法 算法设计 C++ 运动控制算法,视觉图像算法 算法设计 C++ 运动控制算法,https://www.zhipin.com/job_detail/d17acca4ccf59b391nJ93dS1ElpR.html
多传感器融合算法工程师,博雅工道,12-20K,北京,北京,硕士,经验不限,,boss,C/C++,C/C++,https://www.zhipin.com/job_detail/8385a44a218714e20nF_0tm5E1VW.html
多传感器融合定位算法工程师（机器人）,千樾,300-400元/天,北京·海淀区·西北旺,北京,本科,,,boss,深度学习 机器学习 规控算法 SLAM算法 多模态算法 融合感知算法 图像算法 C/C++ Python MATLAB Shell 嵌入式开发 算法工程化经验 参加算法相关竞赛/获奖 优秀开源项目经历 性能优化 模型加速 熟悉 ROS/ROS2 多传感器融合项目经验,深度学习 机器学习 规控算法 SLAM算法 多模态算法 融合感知算法 图像算法 C/C++ Python MATLAB Shell 嵌入式开发 算法工程化经验 参加算法相关竞赛/获奖 优秀开源项目经历 性能优化 模型加速 熟悉 ROS/ROS2 多传感器融合项目经验,https://www.zhipin.com/job_detail/4b49325921c9ba010nB-0tu6GVJY.html
多传感器融合算法工程师/专家-PICO,字节跳动,25-50K·15薪,北京·海淀区·中关村,北京,硕士,经验不限,,boss,大模型算法 SLAM算法 融合感知算法 C/C++ Python 算法工程化经验 传感器融合,大模型算法 SLAM算法 融合感知算法 C/C++ Python 算法工程化经验 传感器融合,https://www.zhipin.com/job_detail/f4fa5e8561604f4b0nB629-9EFBT.html
多传感器数据融合算法工程师,四维远见,15-20K,北京·丰台区·总部基地,北京,本科,1-3年,,boss,大模型算法 深度学习 机器学习 SLAM算法 图像算法 融合感知算法 C/C++ linux 激光 相机 IMU/GNSS定位,大模型算法 深度学习 机器学习 SLAM算法 图像算法 融合感知算法 C/C++ linux 激光 相机 IMU/GNSS定位,https://www.zhipin.com/job_detail/1903f11e509ec5940nZ-29-0FFpX.html
融合厨师长（必须有高校团餐经验）,博百鲜餐饮公司,10-12K,北京·大兴区·高米店南,北京,学历不限,3-5年,,boss,自主研发新菜 自带团队 北京菜 小吃/快餐经验 创意融合菜 湘菜 培训能力 日料经验 有厨师长经验 食堂/团餐 川菜 成本管控能力 食堂/团餐经验 中餐经验 粤菜 韩餐经验 季节菜单设计 连锁餐饮店经验 3到5年厨师长经验,自主研发新菜 自带团队 北京菜 小吃/快餐经验 创意融合菜 湘菜 培训能力 日料经验 有厨师长经验 食堂/团餐 川菜 成本管控能力 食堂/团餐经验 中餐经验 粤菜 韩餐经验 季节菜单设计 连锁餐饮店经验 3到5年厨师长经验,https://www.zhipin.com/job_detail/f8f02396e01066a20nB439u7E1ZQ.html
军民融合航空类产品经理,北飞航空,12-20K,北京·大兴区·亦庄,北京,本科,5-10年,,boss,需求分析,需求分析,https://www.zhipin.com/job_detail/4c1c804561df4e120HV839y1E1o~.html
