job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
硬件测试工程技术人员,上海爱博才思分析......,7-10K,北京·朝阳区·望京,北京,大专,经验不限,,boss,硬件测试经验 机电相关专业 自动化相关专业 光电器件类 智能硬件类,硬件测试经验 机电相关专业 自动化相关专业 光电器件类 智能硬件类,https://www.zhipin.com/job_detail/245ae505dfd066390nFy2968GFVQ.html
hadoop大数据工程师,天津四海宏图科技发展,14-17K,北京·通州区·马驹桥,北京,本科,1-3年,,boss,Hive 要求数据开发经验 ETL开发经验 数据建模经验 其他数据开发经验 实时数仓开发经验 Spark 数据平台开发经验 数据仓库开发经验 数据治理经验 Python,Hive 要求数据开发经验 ETL开发经验 数据建模经验 其他数据开发经验 实时数仓开发经验 Spark 数据平台开发经验 数据仓库开发经验 数据治理经验 Python,https://www.zhipin.com/job_detail/3af297413fbb102003Z93t-_E1pY.html
电子信息工程实习生、大数据分析,鑫多多网络,6-8K,北京·丰台区·科技园区,北京,大专,经验不限,,boss,数据分析,数据分析,https://www.zhipin.com/job_detail/0fade0a23d9bab751nR_2N-4GVVR.html
大数据开发实习生,字节跳动,400-410元/天,北京·朝阳区·西坝河,北京,本科,,,boss,接受无数据开发经验,接受无数据开发经验,https://www.zhipin.com/job_detail/908e6b09541cc1ef03V80ti0F1JV.html
大数据开发工程师,鸣盛云科,9-14K,北京·朝阳区·劲松,北京,学历不限,,,boss,接受无数据开发经验,接受无数据开发经验,https://www.zhipin.com/job_detail/6e942aac0e2dc49a0nd93tS-GFZY.html
工程技术人员,一合梦想,8-9K,北京,北京,高中,3-5年,,boss,实施工程师/顾问 系统集成工程师 项目招投标,实施工程师/顾问 系统集成工程师 项目招投标,https://www.zhipin.com/job_detail/df0aad539808770e1nV42ti9EVFZ.html
大数据分析师,华润医药商业,15-25K,北京·丰台区·科技园区,北京,本科,5-10年,,boss,机器学习建模经验 数据分析/挖掘经验 Tableau 电商/零售行业数据相关经验 SQL Python,机器学习建模经验 数据分析/挖掘经验 Tableau 电商/零售行业数据相关经验 SQL Python,https://www.zhipin.com/job_detail/4e732b99db8195301HN52Nm5ElNV.html
Hadoop舆情大数据开发工程师,汇高网讯,15-25K,北京·海淀区·中关村,北京,本科,5-10年,,boss,Hadoop Linux Java,Hadoop Linux Java,https://www.zhipin.com/job_detail/26998a17515c87ca1nJy0ty4FVM~.html
大数据,北京云裳记商贸,5-10K,北京·海淀区·上地,北京,中专,经验不限,,boss,接受无数据开发经验,接受无数据开发经验,https://www.zhipin.com/job_detail/31fdf70c083877590nV-09--EVZW.html
高级大数据开发工程师-湖仓（央企福利好）,中煤信息,18-28K,北京,北京,本科,经验不限,,boss,接受无数据开发经验,接受无数据开发经验,https://www.zhipin.com/job_detail/e12f45a1f628b0501Hdz0tS4ElJZ.html
