job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
多模态大模型算法实习生 - 国际化商业安全,字节跳动,450-500元/天,北京·海淀区·中关村,北京,本科,,,boss,大模型算法 多模态算法 后训练,大模型算法 多模态算法 后训练,https://www.zhipin.com/job_detail/6a718bb7b33c59b30nJ53N64F1dZ.html
大模型算法,华为,300-500元/天,北京,北京,本科,,,boss,发表算法相关优秀论文 大模型算法 多模态算法 算法工程化经验 强化学习 Python,发表算法相关优秀论文 大模型算法 多模态算法 算法工程化经验 强化学习 Python,https://www.zhipin.com/job_detail/dbf25813f633332f0nBz2t65ElpU.html
大模型算法,百度,600-1000元/天,北京,北京,本科,,,boss,AIGC 视频生成 图像生成 大模型 多模态,AIGC 视频生成 图像生成 大模型 多模态,https://www.zhipin.com/job_detail/f361c65aa40b680c03J-2966E1ZV.html
大模型算法实习生（多模态基模）,SenseTime,300-500元/天,北京·海淀区·中关村,北京,本科,,,boss,大模型算法 自然语言处理算法 Python 算法工程化经验 发表算法相关优秀论文,大模型算法 自然语言处理算法 Python 算法工程化经验 发表算法相关优秀论文,https://www.zhipin.com/job_detail/f03ad7523c36ff320nJ70t67F1ZX.html
大模型算法工程师,上海华为技术有限公司,26-50K,北京·海淀区·西北旺,北京,本科,,,boss,Java 图像算法 深度学习 大模型算法 多模态算法 大数据处理框架(Spark/Hadoop/Hive) 算法工程化经验 并行计算 发表算法相关优秀论文 C/C++ 机器学习 强化学习 模型加速/性能优化 Python,Java 图像算法 深度学习 大模型算法 多模态算法 大数据处理框架(Spark/Hadoop/Hive) 算法工程化经验 并行计算 发表算法相关优秀论文 C/C++ 机器学习 强化学习 模型加速/性能优化 Python,https://www.zhipin.com/job_detail/cb606867fee0a5f40nF-3Nq_GVBY.html
大模型算法,大物智联,18-30K,北京·东城区·王府井,北京,学历不限,经验不限,,boss,大模型算法 强化学习 机器学习 自然语言处理算法 Python SQL 大数据处理框架(Spark/Hadoop/Hive) 算法工程化经验 优秀开源项目经历,大模型算法 强化学习 机器学习 自然语言处理算法 Python SQL 大数据处理框架(Spark/Hadoop/Hive) 算法工程化经验 优秀开源项目经历,https://www.zhipin.com/job_detail/085b34825c0bbb051Hx_3tu_GFBY.html
具身智能大模型算法实习生,机器漫步,200-250元/天,北京·朝阳区·望京,北京,本科,,,boss,大模型算法 多模态算法 融合感知算法 SLAM算法,大模型算法 多模态算法 融合感知算法 SLAM算法,https://www.zhipin.com/job_detail/384f5db36d96b86c0nFz3d26GFZZ.html
多模态大模型算法工程师,中电信文宣科技,15-25K,北京·丰台区·六里桥,北京,本科,经验不限,,boss,深度学习 大模型算法 图像算法 自然语言处理算法 多模态算法 融合感知算法 Python C/C++,深度学习 大模型算法 图像算法 自然语言处理算法 多模态算法 融合感知算法 Python C/C++,https://www.zhipin.com/job_detail/c4617ffa599b4d060nJ63Nq5FVJT.html
大模型/多模态算法工程师实习生,百度在线,400-500元/天,北京·海淀区·上地,北京,本科,,,boss,大模型算法 图像算法 自然语言处理算法 Java Python,大模型算法 图像算法 自然语言处理算法 Java Python,https://www.zhipin.com/job_detail/18b7fc8f272dbd4d0nF_3dy9FVNS.html
大模型算法,启元实验室,200-300元/天,北京·海淀区·西北旺,北京,硕士,,,boss,大模型预训练,大模型预训练,https://www.zhipin.com/job_detail/49adf6539bdc0b5703R_3d2_EVJV.html
多模态大模型数据算法实习生(STEM方向),上海阶跃星辰智能科技,500-1000元/天,北京·海淀区·中关村,北京,本科,,,boss,大模型算法 Python,大模型算法 Python,https://www.zhipin.com/job_detail/c1c9bfab028b0b6b0nFz3N69FVJS.html
【快Star】多模态大模型算法工程师-…,快手,面议,北京,北京,本科,,,boss,校招,校招,https://www.zhipin.com/job_detail/d72b7c030bfa89920nJ63d-8ElFV.html
语音多模态大模型算法工程师,旋玑智能,25-50K,北京·海淀区·苏州桥,北京,本科,5-10年,,boss,大模型算法 多模态算法 C/C++ Python 算法工程化经验 参加算法相关竞赛/获奖,大模型算法 多模态算法 C/C++ Python 算法工程化经验 参加算法相关竞赛/获奖,https://www.zhipin.com/job_detail/5e4eff3431bbc3ae0nF62tm-GFBT.html
大模型算法,北京某大型互联网公司,60-90K·15薪,北京,北京,本科,5-10年,,boss,聊天 聊天机器人 预训练 aigc 大模型 文本生成 对话 生成,聊天 聊天机器人 预训练 aigc 大模型 文本生成 对话 生成,https://www.zhipin.com/job_detail/84f33f6da693f3f21H1-0ti9EFRY.html
大模型后训练算法工程师,星河觉醒,30-60K·16薪,北京·海淀区·学院路,北京,本科,1-3年,,boss,图像算法 大模型算法 自然语言处理算法 多模态算法 大数据处理框架(Spark/Hadoop/Hive) 强化学习,图像算法 大模型算法 自然语言处理算法 多模态算法 大数据处理框架(Spark/Hadoop/Hive) 强化学习,https://www.zhipin.com/job_detail/2668292375b6954e0nF82960GVpU.html
大模型算法,卓世科技,15-25K·14薪,北京·丰台区·花乡,北京,本科,3-5年,,boss,大模型 提示词 多模态 智能体,大模型 提示词 多模态 智能体,https://www.zhipin.com/job_detail/b1bd2e4dfbfa05ec0nd-3dW8ElNY.html
多模态大模型（VLM）算法工程师,手亿,30-55K·15薪,北京·海淀区·学院路,北京,本科,经验不限,,boss,深度学习 大模型算法 自然语言处理算法 多模态算法 Python 算法工程化经验 发表算法相关优秀论文,深度学习 大模型算法 自然语言处理算法 多模态算法 Python 算法工程化经验 发表算法相关优秀论文,https://www.zhipin.com/job_detail/5e260c90585c25c50nJ43t2-E1JZ.html
大模型算法,阿里巴巴集团,400-800元/天,北京·朝阳区·望京,北京,本科,,,boss,多模态 千问 通义 大模型 AI,多模态 千问 通义 大模型 AI,https://www.zhipin.com/job_detail/7d079c57bd2e68dd0nRz29S9FVFU.html
大模型算法,河北某大型汽车研发/制造上市公司,90-120K·15薪,北京,北京,本科,经验不限,,boss,大模型 端到端,大模型 端到端,https://www.zhipin.com/job_detail/f9ff89f0aedc7f860nd73N67GVVV.html
大模型算法实习生（27届投 可转正）,曼孚科技,300-600元/天,北京·朝阳区·望京,北京,本科,,,boss,大模型算法 图像算法 多模态算法 Python 算法工程化经验 参加算法相关竞赛/获奖 SFT/RL Pipeline,大模型算法 图像算法 多模态算法 Python 算法工程化经验 参加算法相关竞赛/获奖 SFT/RL Pipeline,https://www.zhipin.com/job_detail/ae8094d074fa8b2e0nJ429-7F1BZ.html
大模型算法,北京华为云计算技术,25-35K·16薪,北京,北京,硕士,,,boss,C/C++ Java 机器学习 分布式训练 深度学习 大模型算法 多模态算法 强化学习 并行计算 模型加速/性能优化 Python,C/C++ Java 机器学习 分布式训练 深度学习 大模型算法 多模态算法 强化学习 并行计算 模型加速/性能优化 Python,https://www.zhipin.com/job_detail/252ee4ccf0581f590nJ43di6EFtX.html
多模态大模型算法实习生（VLA）(A239889),北京极佳视界科技,200-300元/天,北京·海淀区·学院路,北京,本科,,,boss,深度学习 大模型算法 强化学习 机器学习 SLAM算法 多模态算法 C/C++ Python 算法工程化经验 发表算法相关优秀论文 参加算法相关竞赛/获奖 团队管理经验 优秀开源项目经历 VLA VLM,深度学习 大模型算法 强化学习 机器学习 SLAM算法 多模态算法 C/C++ Python 算法工程化经验 发表算法相关优秀论文 参加算法相关竞赛/获奖 团队管理经验 优秀开源项目经历 VLA VLM,https://www.zhipin.com/job_detail/c274658250c361840nV72dm4EFpW.html
大模型算法,北京某大型互联网公司,65-95K·15薪,北京,北京,本科,5-10年,,boss,nlp 人工智能 AI,nlp 人工智能 AI,https://www.zhipin.com/job_detail/7f73c6abc3f2b7fb1HNy2ty8GVVY.html
AI算法工程师（大模型方向）（A231667）,去哪儿网,20-30K·16薪,北京,北京,本科,,,boss,搜索算法 大模型算法 推荐算法 Python,搜索算法 大模型算法 推荐算法 Python,https://www.zhipin.com/job_detail/fe216fed613e704c0nJ509m4EVVT.html
大模型算法实习生(J12296),Keep,300-400元/天,北京·朝阳区·望京,北京,本科,,,boss,深度学习 机器学习 大模型算法 图像算法 自然语言处理算法 语音算法 多模态算法 Python 发表算法相关优秀论文 参加算法相关竞赛/获奖,深度学习 机器学习 大模型算法 图像算法 自然语言处理算法 语音算法 多模态算法 Python 发表算法相关优秀论文 参加算法相关竞赛/获奖,https://www.zhipin.com/job_detail/bb137f7bde3e5c4f0ndy09u5FVpS.html
大模型算法,快手,350-450元/天,北京·海淀区·上地,北京,本科,,,boss,大模型 生态治理,大模型 生态治理,https://www.zhipin.com/job_detail/a3402d9f16f6456b0nR52d-9ElRV.html
多模态大模型算法实习生,明略科技,250-300元/天,北京·朝阳区·望京,北京,本科,,,boss,发表算法相关优秀论文 C/C++ 搜索算法 图像算法 深度学习 大模型算法 多模态算法 算法工程化经验 Python,发表算法相关优秀论文 C/C++ 搜索算法 图像算法 深度学习 大模型算法 多模态算法 算法工程化经验 Python,https://www.zhipin.com/job_detail/e8a127456d1d3f6d03V43ti4GVVQ.html
大模型算法,如如AI,300-400元/天,北京·朝阳区·劲松,北京,本科,,,boss,大模型算法 多模态算法 自然语言处理算法 模型加速/性能优化 Python C/C++,大模型算法 多模态算法 自然语言处理算法 模型加速/性能优化 Python C/C++,https://www.zhipin.com/job_detail/25542deba243461903d709y9FlJX.html
大模型算法,赖耶科技,12-20K,北京·大兴区·亦庄,北京,本科,,,boss,大模型,大模型,https://www.zhipin.com/job_detail/e7af574886e1c37003V92NS-GFZR.html
多模态大模型数据与评测算法岗(领航者校招),卓驭,40-60K·15薪,北京·海淀区·苏州桥,北京,本科,,,boss,机器学习 深度学习 大模型算法 多模态算法 强化学习 Python,机器学习 深度学习 大模型算法 多模态算法 强化学习 Python,https://www.zhipin.com/job_detail/19044a592bb54f210nF639i1EVBV.html
大模型 Agent 算法实习（AI Coding方向）,小红书,200-400元/天,北京·朝阳区·安贞,北京,本科,,,boss,算法工程化经验,算法工程化经验,https://www.zhipin.com/job_detail/11c64d59e0fa51520nJ62dW_EVtW.html
【快star】快手广告/大模型算法校招,快手,35-65K·16薪,北京·海淀区·上地,北京,本科,,,boss,发表算法相关优秀论文 提供实习证明 C/C++ 提供转正机会 搜索算法 机器学习 深度学习 大模型算法 算法工程化经验 广告算法 推荐算法 Python,发表算法相关优秀论文 提供实习证明 C/C++ 提供转正机会 搜索算法 机器学习 深度学习 大模型算法 算法工程化经验 广告算法 推荐算法 Python,https://www.zhipin.com/job_detail/e2e37cbcf13902291HN93dW6FlNZ.html
多模态大模型/端到端自动驾驶算法工程师,高德地图,20-40K,北京,北京,本科,,,boss,C/C++ 图像算法 大模型算法 多模态算法 强化学习 SLAM算法 Python,C/C++ 图像算法 大模型算法 多模态算法 强化学习 SLAM算法 Python,https://www.zhipin.com/job_detail/6f78ac192f5a9c7303B93dS7EFRT.html
大模型算法,锦心,25-40K·14薪,北京·昌平区·回龙观,北京,博士,经验不限,,boss,智能体 深度学习 大模型算法 自然语言处理算法 多模态算法 算法工程化经验 其他 优秀开源项目经历 SQL C/C++ 机器学习 参加算法相关竞赛/获奖 Python,智能体 深度学习 大模型算法 自然语言处理算法 多模态算法 算法工程化经验 其他 优秀开源项目经历 SQL C/C++ 机器学习 参加算法相关竞赛/获奖 Python,https://www.zhipin.com/job_detail/2dfab5a6649450111X193Nq4EVZW.html
