job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
嵌入式软件工程师实习,北京古一科技文化,200-250元/天,北京·朝阳区·望京,北京,本科,,,boss,C C++ Python RTOS STM32开发 电气电气/自动化相关专业 嵌入式/单片机开发经验 计算机相关专业 通信相关专业 机械设计制造相关专业,C C++ Python RTOS STM32开发 电气电气/自动化相关专业 嵌入式/单片机开发经验 计算机相关专业 通信相关专业 机械设计制造相关专业,https://www.zhipin.com/job_detail/685de0a66cca5eee03N409W7FVFX.html
嵌入式软件工程师,中航天佑,15-20K,北京·通州区·次渠,北京,本科,5-10年,,boss,STM32开发 C++ C 嵌入式/单片机开发经验 ARM开发 计算机相关专业,STM32开发 C++ C 嵌入式/单片机开发经验 ARM开发 计算机相关专业,https://www.zhipin.com/job_detail/8ac29c7a062ed06f0nR93Nq5EFVY.html
嵌入式软件工程师,北京和畅致远科技,8-12K,北京·朝阳区·奥运村,北京,本科,经验不限,,boss,嵌入式/单片机开发经验,嵌入式/单片机开发经验,https://www.zhipin.com/job_detail/da9ce9d36370572e03dy3Nq8EFRZ.html
嵌入式软件工程师,某中型智能硬件公司,20-40K·16薪,北京,北京,本科,,,boss,C语言,C语言,https://www.zhipin.com/job_detail/f3848ede6c5e93d20nJ42ti1EFRY.html
嵌入式软件工程师,华盛森源,13-25K,北京·海淀区·学院路,北京,本科,5-10年,,boss,通信相关专业 嵌入式/单片机开发经验,通信相关专业 嵌入式/单片机开发经验,https://www.zhipin.com/job_detail/c2a8e259b34f7acb1HZy39--GFNX.html
嵌入式软件工程师,黄鹂智能,20-30K,北京·海淀区·人民大学,北京,本科,3-5年,,boss,RTOS STM32开发 C++ ARM开发 C 计算机相关专业 通信相关专业 机械设计制造相关专业 嵌入式/单片机开发经验 音频 蓝牙,RTOS STM32开发 C++ ARM开发 C 计算机相关专业 通信相关专业 机械设计制造相关专业 嵌入式/单片机开发经验 音频 蓝牙,https://www.zhipin.com/job_detail/9af809f4a3b791390nJ609S9EldZ.html
嵌入式软件工程师,润科通用,13-20K,北京·海淀区·北太平庄,北京,硕士,,,boss,C C++ RTOS STM32开发 ARM开发 计算机相关专业 通信相关专业 机械设计制造相关专业 电气电气/自动化相关专业 嵌入式/单片机开发经验,C C++ RTOS STM32开发 ARM开发 计算机相关专业 通信相关专业 机械设计制造相关专业 电气电气/自动化相关专业 嵌入式/单片机开发经验,https://www.zhipin.com/job_detail/eda026ab1b01f9e103d53NW5FFtW.html
嵌入式软件工程师,和润汇丰,11-20K,北京·海淀区·五路居,北京,本科,5-10年,,boss,STM32开发 嵌入式/单片机开发经验,STM32开发 嵌入式/单片机开发经验,https://www.zhipin.com/job_detail/91d5552331027eaf0nJ539y-F1ZR.html
嵌入式软件工程师,某大型芯片公司,20-40K,北京,北京,本科,经验不限,,boss,C语言 Linux 单片机开发 ARM开发 Rtos,C语言 Linux 单片机开发 ARM开发 Rtos,https://www.zhipin.com/job_detail/a0ae8ade1ea706641XZ509y0F1ZY.html
嵌入式软件工程师,厦门某中型半导体芯片B轮融资公司,15-25K·13薪,北京,北京,本科,3-5年,,boss,C++ 计算机相关专业 通信相关专业 电气电气/自动化相关专业 嵌入式/单片机开发经验,C++ 计算机相关专业 通信相关专业 电气电气/自动化相关专业 嵌入式/单片机开发经验,https://www.zhipin.com/job_detail/66f00764702e05d30nZ539i6EVNS.html
嵌入式软件工程师,北京比邻无线科技,6-7K,北京·昌平区·西三旗,北京,本科,3-5年,,boss,兼职 计算机相关专业 ARM开发,兼职 计算机相关专业 ARM开发,https://www.zhipin.com/job_detail/f9d11504ce84e13a1HV80tW-GVdW.html
嵌入式软件工程师,北京飞凯亚,16-30K·13薪,北京·丰台区·宋家庄,北京,本科,10年以上,,boss,STM32开发 嵌入式/单片机开发经验 计算机相关专业 电气电气/自动化相关专业,STM32开发 嵌入式/单片机开发经验 计算机相关专业 电气电气/自动化相关专业,https://www.zhipin.com/job_detail/8d55b6a0545697681HZ63NS7EVpQ.html
嵌入式软件工程师,浙江徽创信息技术有限,14-17K,北京·海淀区·上地,北京,初中及以下,3-5年,,boss,嵌入式/单片机开发经验,嵌入式/单片机开发经验,https://www.zhipin.com/job_detail/f497ad57285febcd0nJ-2d-6EVpU.html
