job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
兼职3D 数字人建模工程师,卫达科技,200-800元/时,北京·朝阳区·将台路,北京,学历不限,经验不限,,boss,有3D设计经验/技能 甲方公司 远程办公 3D MAX MAYA 1年以下3D设计师经验 1-3年3D设计师经验 效果图 展览展示,有3D设计经验/技能 甲方公司 远程办公 3D MAX MAYA 1年以下3D设计师经验 1-3年3D设计师经验 效果图 展览展示,https://www.zhipin.com/job_detail/c276f05afaa6277b0nJ73dW7FlZS.html
3D建模兼职设计师,大神网络科技,25-30元/时,北京·朝阳区·大望路,北京,大专,3-5年,,boss,有3D设计经验/技能 甲方公司 远程办公 3D MAX MAYA 3-5年3D设计师经验 效果图 施工图 展览展示 室内装潢 动画设计 游戏设计 工业设计,有3D设计经验/技能 甲方公司 远程办公 3D MAX MAYA 3-5年3D设计师经验 效果图 施工图 展览展示 室内装潢 动画设计 游戏设计 工业设计,https://www.zhipin.com/job_detail/e457429f9f20cd5803Bz29m_E1JV.html
珠宝首饰 建模师,北京暗格商贸中心,6000-12000元/月,北京·朝阳区·劲松,北京,学历不限,1-3年,,boss,3ds MAX 项链/吊坠 自然有机材料 PS 手镯/手链 金属材料 AI 戒指 人造材料,3ds MAX 项链/吊坠 自然有机材料 PS 手镯/手链 金属材料 AI 戒指 人造材料,https://www.zhipin.com/job_detail/43738dc23ffa9ae51Hx70961GFtT.html
机械设计/工业设计/产品设计ID,艺象科技,50-100元/天,北京·延庆区·康庄,北京,大专,1-3年,,boss,接受无机械工程师经验 SolidWorks AutoCAD Keyshot Rhino PS CDR,接受无机械工程师经验 SolidWorks AutoCAD Keyshot Rhino PS CDR,https://www.zhipin.com/job_detail/6774ef300c417bf30nFy39S6ElJZ.html
工业制造行业销售总监,科士达,30-40K,北京·海淀区·苏州桥,北京,本科,10年以上,,boss,制造 UPS 工业,制造 UPS 工业,https://www.zhipin.com/job_detail/a6303e9da2262a330nF93dy8EFVT.html
工业数字化产品经理（智能制造）,中科飞思,9-14K·13薪,北京·石景山区·鲁谷,北京,本科,5-10年,,boss,B端产品 AI产品,B端产品 AI产品,https://www.zhipin.com/job_detail/f0cd6f477d94db7e0nJ42d61FlVW.html
工业解决方案-离散方向-国企,某通信公司,40-70K,北京,北京,本科,10年以上,,boss,离散行业 工业 解决方案,离散行业 工业 解决方案,https://www.zhipin.com/job_detail/f57b71768e078d7e0nJ60t20FlZS.html
年薪30万 B端网络安全产品销售,中域网,14-19K,北京·昌平区·霍营,北京,本科,1年以内,,boss,企业服务 企业（To B） 无经验要求,企业服务 企业（To B） 无经验要求,https://www.zhipin.com/job_detail/44e9fb3e1f702adc0nJ70925FlJU.html
三维建模师,龙迈创意,10-15K,北京·朝阳区·豆各庄,北京,学历不限,3-5年,,boss,Rhino Sketchup C4D CAD 3D渲染 ZBrush 3D建模 3DMax,Rhino Sketchup C4D CAD 3D渲染 ZBrush 3D建模 3DMax,https://www.zhipin.com/job_detail/91a17281462487bd1Hdz2ti9FFRY.html
半导体工业软件销售,赛美特,15-20K,北京·朝阳区·朝阳公园,北京,大专,3-5年,,boss,计算机软件,计算机软件,https://www.zhipin.com/job_detail/ec9e4aa32bbfab300nF73tS4FlZS.html
