job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
技术文档工程师,铭台科技,4-5K,北京,北京,中专,,,boss,技术文档工程师,技术文档工程师,https://www.zhipin.com/job_detail/5d44d10b240039bc1Hdy29q6E1NV.html
技术文档工程师,奇擎,9-14K·13薪,北京·房山区·良乡,北京,本科,1-3年,,boss,文档 软件 方案 投标,文档 软件 方案 投标,https://www.zhipin.com/job_detail/fdc6da3a5e005b4f1H1z2N29GVtS.html
技术文档工程师,京东世纪贸易有限公司,12-20K·17薪,北京·大兴区·亦庄,北京,本科,3-5年,,boss,汽车 文档 数据,汽车 文档 数据,https://www.zhipin.com/job_detail/602edc4c7190abe903R-2d28FVFY.html
技术文档工程师,新能动力,9-14K,北京·大兴区·亦庄,北京,本科,3-5年,,boss,技术文件 档案管理,技术文件 档案管理,https://www.zhipin.com/job_detail/4d246fdc349dd6b70nJ53Ny4EltX.html
底薪8200+1k绩效 IT技术文档工程师助理,亳州市初灵信息科技,8-12K·13薪,北京,北京,本科,经验不限,,boss,五险一金 包住或补贴 双休不加班,五险一金 包住或补贴 双休不加班,https://www.zhipin.com/job_detail/49cdd9a3ffc829b803Z93tq8F1JS.html
技术文档工程师,行至智能,12-24K·14薪,北京·海淀区·学院路,北京,本科,经验不限,,boss,文档 人工智能 行业咨询,文档 人工智能 行业咨询,https://www.zhipin.com/job_detail/9bf40dd391d5873b1HB72Nm_FVdY.html
技术文档工程师,北京与信,5-10K·14薪,北京·昌平区·昌平镇,北京,本科,,,boss,解决方案整理、投标,解决方案整理、投标,https://www.zhipin.com/job_detail/a9ce642733d0423b1HV90tm_F1FZ.html
硬件测试工程师（技术文档方案）,华北创芯,7-10K,北京·大兴区·黄村,北京,大专,5-10年,,boss,车载导航 硬件测试经验 万用表 通信设备类 智能硬件类 卫星 机器人/无人机类,车载导航 硬件测试经验 万用表 通信设备类 智能硬件类 卫星 机器人/无人机类,https://www.zhipin.com/job_detail/5466dcf8a84f638603dz3di_FldW.html
技术文档工程师,Accton,15-28K·14薪,北京·海淀区·上地,北京,本科,5-10年,,boss,交换机网络设备方向 Technical Writer,交换机网络设备方向 Technical Writer,https://www.zhipin.com/job_detail/9d18d92c416d7ce80nB73Ni_FVFV.html
技术文档工程师,蚂蚁集团,10-15K,北京·朝阳区·团结湖,北京,大专,1-3年,,boss,MySQL Oracle OceanBase 文档工程师,MySQL Oracle OceanBase 文档工程师,https://www.zhipin.com/job_detail/590cce2005c544ef1nJ-2Ni6GFZT.html
技术文档工程师,探微芯联,15-25K·15薪,北京·海淀区·学院路,北京,本科,3-5年,,boss,文档整理 芯片设计相关技术文档,文档整理 芯片设计相关技术文档,https://www.zhipin.com/job_detail/256b1ad4190e5d120nJ53Nm6ElJS.html
技术文档写作,太初,20-30K·15薪,北京·海淀区·二里庄,北京,本科,3-5年,,boss,文档 文档体系 文档多样化 用户体验 文档运营,文档 文档体系 文档多样化 用户体验 文档运营,https://www.zhipin.com/job_detail/a749e89b2883d9451X1909i8EFBY.html
诚云科技-技术文档工程师,阿里云,15-30K·16薪,北京·朝阳区·望京,北京,本科,1-3年,,boss,技术文档,技术文档,https://www.zhipin.com/job_detail/2c0035859c21eb751HJ72dy8EVRS.html
技术文档工程师,北京聚能吊机械设...,4-7K,北京·丰台区·长辛店,北京,学历不限,1-3年,,boss,可兼职,可兼职,https://www.zhipin.com/job_detail/fb52e998454e547d03Z73Ny1FVRZ.html
技术文档工程师,欧了约车,8-15K,北京·丰台区·科技园区,北京,本科,3-5年,,boss,文档编制 功能测试,文档编制 功能测试,https://www.zhipin.com/job_detail/053203b23f0ecc7e1HVz3dy_FFc~.html
桥梁计算案例技术文档编写,中交公规院,10-11K,北京·东城区·灯市口,北京,本科,经验不限,,boss,桥梁 文档编写 MIDAS ansys,桥梁 文档编写 MIDAS ansys,https://www.zhipin.com/job_detail/07d30fb479805d601HV729q1ElFR.html
技术文档,鼎汉,8-9K,北京·丰台区·花乡,北京,本科,1-3年,,boss,技术文档,技术文档,https://www.zhipin.com/job_detail/f72e6d80edd798481HZ62t67E1dQ.html
技术文档开发工程师,华艺,10-15K,北京,北京,本科,3-5年,,boss,设计文档,设计文档,https://www.zhipin.com/job_detail/3b0e7c353a7859dd03R609y5GVZS.html
技术文档助理,雪领新媒体,5-6K,北京·海淀区·中关村,北京,大专,经验不限,,boss,Linux 网络运维 服务器配置 MySQL 兼职,Linux 网络运维 服务器配置 MySQL 兼职,https://www.zhipin.com/job_detail/7ec4d4567931a8131n1z3ti4FVdQ.html
技术文档工程师助理,广科科技,8-12K·13薪,北京·海淀区·苏州桥,北京,本科,经验不限,,boss,双休 五险一金,双休 五险一金,https://www.zhipin.com/job_detail/41eabdd30e9df02803Nz29-8GVBV.html
技术文档工程师,某知名计算机软件公司,23-35K,北京,北京,本科,3-5年,,boss,Agile REST APIs Billing payments,Agile REST APIs Billing payments,https://www.zhipin.com/job_detail/5353a51163a57acd1XV-2tu7FFJW.html
技术文档实习生,医准智能,200-250元/天,北京·海淀区·上地,北京,本科,,,boss,医疗器械注册事务 医疗 AI 技术文档编写 专利、软著文档编写,医疗器械注册事务 医疗 AI 技术文档编写 专利、软著文档编写,https://www.zhipin.com/job_detail/5d8a67ff41e063f60nF_2t29FlpY.html
英文技术文档工程师,京东物流,20-35K·19薪,北京·大兴区·亦庄,北京,本科,5-10年,,boss,英文技术文档 技术翻译,英文技术文档 技术翻译,https://www.zhipin.com/job_detail/10874ae498f5f87d0nB80ty8ElRY.html
医疗器械技术文档工程师（薪资面议）,华科精准,12-20K·13薪,北京·东城区·北京站,北京,本科,1-3年,,boss,DHF 产品需求文档 风险管理文档,DHF 产品需求文档 风险管理文档,https://www.zhipin.com/job_detail/143f90b27f74e64a0nJ40tW_GVtW.html
技术文档工程师,日立,25-30K,北京·海淀区·万柳,北京,本科,5-10年,,boss,云计算 网络,云计算 网络,https://www.zhipin.com/job_detail/1e89680c558001bf1XJ42tW8FlU~.html
技术文档工程师,后摩智能,15-25K·15薪,北京·海淀区·马甸,北京,本科,3-5年,,boss,技术文档 technical writer,技术文档 technical writer,https://www.zhipin.com/job_detail/17a311ab886eb36e1XJ63du4FVJR.html
售前技术文档工程师,中泰创安,8-13K,北京·海淀区·上地,北京,大专,1-3年,,boss,技术文档,技术文档,https://www.zhipin.com/job_detail/02c0df83c5e8122e0nZ9292_EVJW.html
技术文档工程师,蓝鲸智能,15-20K,北京·丰台区·科技园区,北京,本科,3-5年,,boss,规范技术标准撰写文档,规范技术标准撰写文档,https://www.zhipin.com/job_detail/226519f5244360b21XN63di6EltX.html
技术文档工程师,百度,100-110元/天,北京·海淀区·西二旗,北京,本科,,,boss,产品文档编写与管理,产品文档编写与管理,https://www.zhipin.com/job_detail/1767ee45e7deb9571XJ709W5EVJV.html
Technical Writer 技术文档工程师,Ultipa,10000-15000元/月,北京·朝阳区·大屯,北京,本科,5-10年,,boss,图数据库,图数据库,https://www.zhipin.com/job_detail/4dbd548cefd5dcb21HB60tW-GVdW.html
技术文档工程师,亚仙科技,6-10K,北京·丰台区·刘家窑,北京,本科,1-3年,,boss,国网 文档 驻场 运维,国网 文档 驻场 运维,https://www.zhipin.com/job_detail/ceb7e305cb2e5e570nZ73tu8F1FS.html
技术文档开发工程师,微创软件,12-14K,北京·海淀区·上地,北京,本科,5-10年,,boss,Excel Power BI Qliksense SQL,Excel Power BI Qliksense SQL,https://www.zhipin.com/job_detail/9d2ae2b196a7555403V42tS8EFNV.html
技术文档工程师（机器人）,灵心巧手,13-24K·13薪,北京·海淀区·中关村,北京,硕士,3-5年,,boss,五险一金 工科背景 具身智能行业,五险一金 工科背景 具身智能行业,https://www.zhipin.com/job_detail/092e7c71951d75310nF63dy-FFtX.html
技术文档工程师,为益科技,150-200元/天,北京·大兴区·亦庄,北京,本科,,,boss,文档编写  试验文档,文档编写  试验文档,https://www.zhipin.com/job_detail/eba86dcd29e4925503xy09i6GFdQ.html
汽车技术文档开发,德和顺天,5-9K,北京·顺义区·马坡,北京,中专,经验不限,,boss,汽车维修,汽车维修,https://www.zhipin.com/job_detail/0c231384b6594fde1HNy3t-4EVtQ.html
高级技术文档工程师,小米,28-40K,北京·海淀区·清河,北京,硕士,5-10年,,boss,技术文档 嵌入式,技术文档 嵌入式,https://www.zhipin.com/job_detail/2fca5b21b09a7b3403Ry2ty9EltZ.html
技术文档工程师,德和顺天,10-15K,上海·长宁区·北新泾,上海,本科,3-5年,,boss,技术文档,技术文档,https://www.zhipin.com/job_detail/c3d4af4cea4860b01HJy39S-GFtV.html
技术文档专员,极光星通,8-12K,上海·闵行区·虹桥,上海,大专,1-3年,,boss,设备管理 设备维护 防静电实施,设备管理 设备维护 防静电实施,https://www.zhipin.com/job_detail/756d3ad5c3d9739d03F93Nm8FFpS.html
技术文档工程师,澜起科技,10-15K·13薪,上海·徐汇区·漕河泾,上海,本科,1-3年,,boss,科技 技术写作 芯片 技术文档 专利,科技 技术写作 芯片 技术文档 专利,https://www.zhipin.com/job_detail/cdf32a70f61ceefe0nB639y4F1RS.html
