job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
推荐算法工程师-社交推荐 互联网大厂带期权,深圳市东莱国际信...,45-50K,北京·朝阳区·亚运村,北京,本科,3-5年,,boss,Python 电商/广告算法经验 推荐系统相关经验 搜索相关经验 发布投稿推荐 社交推荐 推荐算法 广告推荐,Python 电商/广告算法经验 推荐系统相关经验 搜索相关经验 发布投稿推荐 社交推荐 推荐算法 广告推荐,https://www.zhipin.com/job_detail/52c17439e1be64770nJ43tq0E1VR.html
推荐算法助理研究员(Agent方向),搜狐,200-250元/天,北京,北京,本科,,,boss,大模型Agent 大模型 LLM 大模型推荐 推荐算法,大模型Agent 大模型 LLM 大模型推荐 推荐算法,https://www.zhipin.com/job_detail/1432794452a8cefc0nJ429u4EldR.html
AI算法工程师（推荐排序方向）（A40575）,去哪儿网,20-30K·16薪,北京,北京,本科,,,boss,搜索算法 推荐算法 Python,搜索算法 推荐算法 Python,https://www.zhipin.com/job_detail/7fd5f421678fa9ea0nJ509W5GVZR.html
算法工程师搜索推荐,阿里巴巴集团,20-40K,北京·朝阳区·望京,北京,本科,,,boss,深度学习 机器学习 大模型算法 推荐算法 搜索算法 Python,深度学习 机器学习 大模型算法 推荐算法 搜索算法 Python,https://www.zhipin.com/job_detail/c43d4c5567d260dc1HB42tu-EFpX.html
推荐算法实习生,淡蓝网Blued,250-300元/天,北京,北京,本科,,,boss,TensorFlow/PyTorch Hadoop/Hive/Spark 计算机相关专业 深度学习经验,TensorFlow/PyTorch Hadoop/Hive/Spark 计算机相关专业 深度学习经验,https://www.zhipin.com/job_detail/3e36a73744c6924f0nJ72tS_E1pZ.html
推荐算法（vivo）,微创软件,15-27K,北京·朝阳区·望京,北京,本科,3-5年,,boss,广告 策略 推荐系统相关经验 推荐 Scala 商业化 深度学习经验 内容 Python,广告 策略 推荐系统相关经验 推荐 Scala 商业化 深度学习经验 内容 Python,https://www.zhipin.com/job_detail/526663752df5ac9103B73965EFpV.html
算法工程师（AI，搜索推荐算法）,美菜,12-17K,北京·东城区·东四,北京,本科,1-3年,,boss,广告算法 推荐算法 搜索算法 C/C++ Python Java SQL,广告算法 推荐算法 搜索算法 C/C++ Python Java SQL,https://www.zhipin.com/job_detail/c1bbc80187fb17230nFy2N24GVFV.html
推荐算法,某大型互联网公司,50-80K·16薪,北京,北京,硕士,3-5年,,boss,电商/广告算法经验 推荐系统相关经验 搜索相关经验 召回 精排 粗排 混排 推荐,电商/广告算法经验 推荐系统相关经验 搜索相关经验 召回 精排 粗排 混排 推荐,https://www.zhipin.com/job_detail/b9ace5bc6fb9d7250nZ42NW4FFBT.html
推荐算法实习生,小黑盒,300-500元/天,北京·朝阳区·望京,北京,本科,,,boss,电商/广告算法经验 推荐系统相关经验,电商/广告算法经验 推荐系统相关经验,https://www.zhipin.com/job_detail/4699d351400cb38d0nd-2t-0FlNZ.html
推荐算法专家,京东集团,50-80K·20薪,北京·大兴区·亦庄,北京,本科,3-5年,,boss,C/C++ 推荐系统相关经验 TensorFlow/PyTorch Hadoop/Hive/Spark 计算机相关专业,C/C++ 推荐系统相关经验 TensorFlow/PyTorch Hadoop/Hive/Spark 计算机相关专业,https://www.zhipin.com/job_detail/3ac2276ce92c96741Hd53920GVRY.html
