job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
搜索算法工程师,BOSS直聘,面议,北京,北京,本科,,,boss,算法设计,算法设计,https://www.zhipin.com/job_detail/34614414eb8a05c303N-3Nm0FFJW.html
算法工程师搜索推荐,阿里巴巴集团,20-40K,北京·朝阳区·望京,北京,本科,,,boss,深度学习 机器学习 大模型算法 推荐算法 搜索算法 Python,深度学习 机器学习 大模型算法 推荐算法 搜索算法 Python,https://www.zhipin.com/job_detail/c43d4c5567d260dc1HB42tu-EFpX.html
AI搜索,字节跳动,45-75K·15薪,北京·朝阳区·西坝河,北京,本科,经验不限,,boss,搜索/信息检索算法经验 推荐算法经验 自然语言处理经验 计算机相关专业 数学/统计相关专业,搜索/信息检索算法经验 推荐算法经验 自然语言处理经验 计算机相关专业 数学/统计相关专业,https://www.zhipin.com/job_detail/35de1ba17af8bac40nR82Ny4FlpS.html
搜索排序算法,去哪儿网,40-70K·16薪,北京·海淀区·苏州桥,北京,本科,3-5年,,boss,Hadoop/Hive/Spark 搜索/信息检索算法经验 推荐算法经验,Hadoop/Hive/Spark 搜索/信息检索算法经验 推荐算法经验,https://www.zhipin.com/job_detail/7f7f7d71dfb35ff80nFz3dW1FVZV.html
算法工程师（AI，搜索推荐算法）,美菜,12-17K,北京·东城区·东四,北京,本科,1-3年,,boss,广告算法 推荐算法 搜索算法 C/C++ Python Java SQL,广告算法 推荐算法 搜索算法 C/C++ Python Java SQL,https://www.zhipin.com/job_detail/c1bbc80187fb17230nFy2N24GVFV.html
搜索算法专家- AI搜索,北京某大型互联网公司,85-110K·15薪,北京,北京,硕士,5-10年,,boss,搜索引擎技术 分布式技术 数据结构 搜索算法 生成式搜索 Ai搜索 LLM NLP,搜索引擎技术 分布式技术 数据结构 搜索算法 生成式搜索 Ai搜索 LLM NLP,https://www.zhipin.com/job_detail/b1e1468d6acf67b00nF42N29EFpW.html
搜索算法负责人,敦煌网,60-80K·16薪,北京,北京,本科,5-10年,,boss,Hadoop/Hive/Spark Elasticsearch 搜索/信息检索算法经验 搜索算法,Hadoop/Hive/Spark Elasticsearch 搜索/信息检索算法经验 搜索算法,https://www.zhipin.com/job_detail/7b15a5fd81fd059a1Xx73N--GFVR.html
搜索算法实习生,Soul App,400-550元/天,北京·海淀区·中关村,北京,本科,,,boss,Java Python Elasticsearch,Java Python Elasticsearch,https://www.zhipin.com/job_detail/6f3447f5e95872211Hd-3dq7EFtR.html
搜索算法实习生,百度,200-300元/天,北京,北京,本科,,,boss,搜索/信息检索算法经验 自然语言处理经验 计算机相关专业,搜索/信息检索算法经验 自然语言处理经验 计算机相关专业,https://www.zhipin.com/job_detail/8d9275bc78cca18003Jz2NS7GFpU.html
蚂蚁集团-支付宝搜索算法专家-北京,蚂蚁集团,30-35K·16薪,北京·朝阳区·花家地,北京,本科,3-5年,,boss,搜索 推荐 广告,搜索 推荐 广告,https://www.zhipin.com/job_detail/51008b904ab11fdf1X183t67GFFS.html
