job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
档案数字化驻场人员,惠科科技,5-8K,北京·通州区·永顺,北京,学历不限,1-3年,,boss,档案数字化 信息著录 驻场服务 档案扫描 图像处理,档案数字化 信息著录 驻场服务 档案扫描 图像处理,https://www.zhipin.com/job_detail/ee9a2fe111441d310nJ52du1EFNS.html
电商数字化运营助理经理,呼和浩特某大型乳制品上市公司,20-21K,北京,北京,本科,1-3年,,boss,业务数据分析 业务模式/运营策略优化 营销活动效果分析 用户深度研究 投放数据分析 数据分析/商业分析经验,业务数据分析 业务模式/运营策略优化 营销活动效果分析 用户深度研究 投放数据分析 数据分析/商业分析经验,https://www.zhipin.com/job_detail/632a8d878727ff860nB73dm_EltT.html
信息和数字化管理部副部长,三元石油,10-15K,北京·大兴区·亦庄,北京,本科,3-5年,,boss,能源/化工/环保,能源/化工/环保,https://www.zhipin.com/job_detail/e8cd4d4527eda4320nd63d60GFdV.html
档案数字化项目经理,北京博睿思达,5-8K,北京·昌平区·回龙观,北京,大专,3-5年,,boss,团队管理经验 非技术项目管理,团队管理经验 非技术项目管理,https://www.zhipin.com/job_detail/d389a7d8c6f6e5c20nF_2d65EFVT.html
渠道（数字化）管理经理,蒙牛乳业,20-21K,北京·通州区·张家湾,北京,本科,3-5年,,boss,渠道运营管理 消费品/快消 具有渠道运营管理经验 具有快消从业经验,渠道运营管理 消费品/快消 具有渠道运营管理经验 具有快消从业经验,https://www.zhipin.com/job_detail/6b9b27ac97db581c0nJ42dy6E1FU.html
数字化转型专家,某大型汽车智能化出行解决方案公司,50-80K,北京,北京,大专,10年以上,,boss,汽车 离散制造业 数字化 汽车零部件,汽车 离散制造业 数字化 汽车零部件,https://www.zhipin.com/job_detail/b7c567a6b85a0f6f0nJ72d6-GVBT.html
档案数字化项目经理,汉龙致远,7-10K,北京·大兴区·亦庄,北京,大专,3-5年,,boss,文书档案实施 图纸档案实施经验 档案数字化,文书档案实施 图纸档案实施经验 档案数字化,https://www.zhipin.com/job_detail/a0a04612e83d1c091X192t60E1dV.html
建筑数字化管理产品经理,博锐尚格,15-25K·14薪,北京·海淀区·西三旗,北京,硕士,3-5年,,boss,B端产品 物联网产品 数字建筑 建筑节能 建筑智能运维,B端产品 物联网产品 数字建筑 建筑节能 建筑智能运维,https://www.zhipin.com/job_detail/ea8f7e77f87b88811HF-09u6FldX.html
档案数字化与民国著录质检人员,彩谋科技,4-6K,北京·朝阳区·劲松,北京,大专,1-3年,,boss,民国档案 档案数字化 民国著录 汉语言文学,民国档案 档案数字化 民国著录 汉语言文学,https://www.zhipin.com/job_detail/cd5f7453d00f3bb70nB92N26FVNZ.html
大客户销售经理（AI工程数字化方向）,和创科技,15-25K,北京·海淀区·马甸,北京,本科,1-3年,,boss,新客户开发 定制解决方案 软件/SaaS 较多外勤 B端市场开发经验 软件/信息化服务销售经验 电话销售经验 面销/陌拜经验 市场营销相关学历 业务开拓能力 计算机相关学历 商务谈判技巧 企业服务 互联网/科技 AI 工程数字化,新客户开发 定制解决方案 软件/SaaS 较多外勤 B端市场开发经验 软件/信息化服务销售经验 电话销售经验 面销/陌拜经验 市场营销相关学历 业务开拓能力 计算机相关学历 商务谈判技巧 企业服务 互联网/科技 AI 工程数字化,https://www.zhipin.com/job_detail/1a80979c4ccd3de80nB929q1FlFX.html
销售专员（档案数字化及档案管理软件）,博文中科,6-8K,北京,北京,大专,1-3年,,boss,电话销售 面销/陌拜 软件/企业服务产品 其他产品/服务 档案数字化 企业（To B） 面销/陌拜经验 电话销售经验 档案管理软件,电话销售 面销/陌拜 软件/企业服务产品 其他产品/服务 档案数字化 企业（To B） 面销/陌拜经验 电话销售经验 档案管理软件,https://www.zhipin.com/job_detail/60f46ac87a9c41510nB-09u0FFJS.html
智慧校园数字化项目助理 文职助理产品助理,慧教研,4-7K,北京·通州区·新华大街,北京,学历不限,经验不限,,boss,搜索产品 数据产品 小程序/H5产品 增长产品 直播/视频产品,搜索产品 数据产品 小程序/H5产品 增长产品 直播/视频产品,https://www.zhipin.com/job_detail/3466f0afb9999a2d0nF509W-EVJV.html
数字化专员,福泽永成商贸,6-7K,北京·丰台区·长辛店,北京,大专,1-3年,,boss,计算机相关专业 IT系统维护管理经验 音控 调音台 多媒体设备,计算机相关专业 IT系统维护管理经验 音控 调音台 多媒体设备,https://www.zhipin.com/job_detail/19299186daee938d0nJ53Nu6FlJS.html
数字化技术专家（数字孪生）,某自动化设备公司,40-70K,北京,北京,本科,经验不限,,boss,数字孪生 智慧农业 三维引擎 unity Cesium ThreeJs,数字孪生 智慧农业 三维引擎 unity Cesium ThreeJs,https://www.zhipin.com/job_detail/c74e40a20a26265d03V83dy7EVNS.html
产品设计师（工程数字化管理方向）,同享科技,10-15K,北京·通州区·马驹桥,北京,本科,5-10年,,boss,功能产品 需求分析 数据产品 大数据 管理系统 教育培训,功能产品 需求分析 数据产品 大数据 管理系统 教育培训,https://www.zhipin.com/job_detail/b4cbe74e02d6f0a00XF70tS9EFc~.html
