job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
数据仓库开发工程师（短期6个月）,北京易博中天,13-15K,北京·朝阳区·朝外,北京,大专,3-5年,,boss,要求实时数仓经验 Java ETL开发经验 数据建模经验 Flink 数据治理经验 SQL Shell Hive BI报表开发经验 Spark 要求有数仓开发经验 Python,要求实时数仓经验 Java ETL开发经验 数据建模经验 Flink 数据治理经验 SQL Shell Hive BI报表开发经验 Spark 要求有数仓开发经验 Python,https://www.zhipin.com/job_detail/162f45dbc123b5e50nFz2ty-GVdX.html
数据仓库,博彦科技,10-13K,北京·西城区·广安门,北京,本科,3-5年,,boss,要求实时数仓经验 Hive 银行 ETL开发经验 要求有数仓开发经验 SQL,要求实时数仓经验 Hive 银行 ETL开发经验 要求有数仓开发经验 SQL,https://www.zhipin.com/job_detail/1dcf58fad84c04700nJ62dq9FlpZ.html
数据仓库（数仓重构经验+现场面试）,上海思芮,20-30K,北京·海淀区·上地,北京,本科,5-10年,,boss,要求有数仓开发经验 要求实时数仓经验 Python Hive 金融行业经验,要求有数仓开发经验 要求实时数仓经验 Python Hive 金融行业经验,https://www.zhipin.com/job_detail/cece8e0ada5a985e0nJ52tm9E1tS.html
阿里数据仓库实习生,阿里巴巴集团,150-300元/天,北京·朝阳区·望京,北京,本科,,,boss,sql 数据仓库 数据挖掘,sql 数据仓库 数据挖掘,https://www.zhipin.com/job_detail/24da5e59e09f492e03Vz3dW7GFY~.html
数据仓库,华为,15-30K,北京·海淀区·西北旺,北京,本科,经验不限,,boss,分布式技术 数据仓库 数据库开发 大数据 PostgreSQL,分布式技术 数据仓库 数据库开发 大数据 PostgreSQL,https://www.zhipin.com/job_detail/916387762a2386cb33Ny0t-7E1I~.html
数据仓库,百度,20-40K·15薪,北京,北京,本科,经验不限,,boss,数据仓库 ETL 数据库开发 数据分析 数据采集 Hive SQL Python,数据仓库 ETL 数据库开发 数据分析 数据采集 Hive SQL Python,https://www.zhipin.com/job_detail/738392c4d96cac2d3nd52dW1F1Q~.html
【2027届秋招】数据仓库工程师,搜狐畅游,15-23K·14薪,北京,北京,学历不限,,,boss,要求有数仓开发经验 要求实时数仓经验 SQL Hive BI报表开发经验 非外包类,要求有数仓开发经验 要求实时数仓经验 SQL Hive BI报表开发经验 非外包类,https://www.zhipin.com/job_detail/035b3e4b83a06d960nJ73Nu9FlBX.html
数据仓库工程师,快手,15-30K·16薪,北京·海淀区·上地,北京,本科,1-3年,,boss,数据仓库 数据治理 Hive SQL Flink,数据仓库 数据治理 Hive SQL Flink,https://www.zhipin.com/job_detail/07083c6b1d9a73a31nR439m8GVBR.html
数据仓库,瑞友慧智,14-17K,北京·西城区·金融街,北京,本科,5-10年,,boss,寿险 Hive ETL开发经验 Clickhouse Oracle 要求有数仓开发经验 金融行业经验 接受无实时数仓经验 SQL,寿险 Hive ETL开发经验 Clickhouse Oracle 要求有数仓开发经验 金融行业经验 接受无实时数仓经验 SQL,https://www.zhipin.com/job_detail/b98b328137d860e703Fy2t6-FFNR.html
数据仓库工程师(A180644),米可世界,30-60K·15薪,北京·朝阳区·三元桥,北京,本科,5-10年,,boss,要求实时数仓经验 Hive BI报表开发经验 非外包类 要求有数仓开发经验 SQL,要求实时数仓经验 Hive BI报表开发经验 非外包类 要求有数仓开发经验 SQL,https://www.zhipin.com/job_detail/66d9a69df98a105c03J52dq_EVRU.html
数据仓库,理想汽车,30-60K,北京·顺义区·马坡,北京,本科,10年以上,,boss,数仓建设经验 Java DataX 大数据开发经验 ETL开发经验 Hadoop Kafka Kylin Spark Flink,数仓建设经验 Java DataX 大数据开发经验 ETL开发经验 Hadoop Kafka Kylin Spark Flink,https://www.zhipin.com/job_detail/6f8d04654d69e1681nN82dm8EVBT.html
数据仓库开发-金融项目-驻场,北京华路时代,10-14K,北京·丰台区·花乡,北京,本科,5-10年,,boss,要求有数仓开发经验 SQL Python MySQL/SQL Server Oracle Hive BI报表开发经验 ETL开发经验 数据建模经验 数据治理经验 金融行业经验 要求实时数仓经验 达梦 人大金仓,要求有数仓开发经验 SQL Python MySQL/SQL Server Oracle Hive BI报表开发经验 ETL开发经验 数据建模经验 数据治理经验 金融行业经验 要求实时数仓经验 达梦 人大金仓,https://www.zhipin.com/job_detail/b56668eb5a328a3f0nJ-29m-F1dU.html
数据仓库,北京仟格科技有限公司,13-17K,北京·顺义区·天竺,北京,大专,5-10年,,boss,要求有数仓开发经验 其他 其他 其他 接受无实时数仓经验 数据治理 航空,要求有数仓开发经验 其他 其他 其他 接受无实时数仓经验 数据治理 航空,https://www.zhipin.com/job_detail/d213386929a68a010nF40t20GFRW.html
数据仓库实习生,滴滴,260-300元/天,北京·海淀区·上地,北京,本科,,,boss,接受无数仓开发经验,接受无数仓开发经验,https://www.zhipin.com/job_detail/4d755d6bf6d236551H1_0928FlBX.html
