job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
数据分析师,BOSS直聘,面议,北京,北京,本科,,,boss,回归分析,回归分析,https://www.zhipin.com/job_detail/49309f0ebfa3aa2f03N-29W9GVtZ.html
远程兼职金融计量数据分析师,准雀教育,100-300元/时,北京·朝阳区·大望路,北京,本科,1-3年,,boss,经济/工商管理相关专业 金融行业数据相关经验 数据分析/挖掘经验 Eviews Stata,经济/工商管理相关专业 金融行业数据相关经验 数据分析/挖掘经验 Eviews Stata,https://www.zhipin.com/job_detail/6ccd5e7d6ead2c5803Vz2tm0EFFV.html
数据分析师 - 番茄小说,字节跳动,13-20K,北京,北京,本科,,,boss,SQL Python 数学/统计相关专业 数据分析/挖掘经验 机器学习建模经验 电商/零售行业数据相关经验 文娱/游戏行业数据相关经验,SQL Python 数学/统计相关专业 数据分析/挖掘经验 机器学习建模经验 电商/零售行业数据相关经验 文娱/游戏行业数据相关经验,https://www.zhipin.com/job_detail/4a343e3c102f11c20nJ52ty_EVBY.html
财经-数据分析师-字节（北京）,易博互通企服科技,14-16K,北京·海淀区·苏州桥,北京,本科,1-3年,,boss,埋点,埋点,https://www.zhipin.com/job_detail/8a42d2cec3dd52030nR-29y8F1FT.html
数据分析师,蓝湾博阅,7-9K,北京·朝阳区·望京,北京,大专,1-3年,,boss,计算机相关专业 数据分析/挖掘经验 数学/统计相关专业 文娱/游戏行业数据相关经验 300人以上公司,计算机相关专业 数据分析/挖掘经验 数学/统计相关专业 文娱/游戏行业数据相关经验 300人以上公司,https://www.zhipin.com/job_detail/dca6018e531df28a0nJ52NS_GFZS.html
数据分析师,北京字节跳动,20-30K·15薪,北京·海淀区·牡丹园,北京,本科,经验不限,,boss,描述统计,描述统计,https://www.zhipin.com/job_detail/0410805e8f42d5241n162t28FldQ.html
数据分析师,思普艾斯,10-13K,北京·海淀区·清河,北京,大专,3-5年,,boss,数据分析 采购  供应链 erp,数据分析 采购  供应链 erp,https://www.zhipin.com/job_detail/5cbdf3e38d6930a90nJ50tu6FlVV.html
数据分析师,多喝热水,10-11K,北京·朝阳区·三里屯,北京,本科,1-3年,,boss,相关分析,相关分析,https://www.zhipin.com/job_detail/062e3d36db67180b1Xd82tS-FlBW.html
数据分析师（校招）,半糖去冰科技,20-40K·15薪,北京·朝阳区·望京,北京,本科,,,boss,Power BI Tableau SQL 数学/统计相关专业,Power BI Tableau SQL 数学/统计相关专业,https://www.zhipin.com/job_detail/5e029de4d12083310nR63967FFBY.html
数据分析师,百度,150-250元/天,北京,北京,本科,,,boss,经济/工商管理相关专业 数据分析/挖掘经验 计算机相关专业 SQL Python 数学/统计相关专业,经济/工商管理相关专业 数据分析/挖掘经验 计算机相关专业 SQL Python 数学/统计相关专业,https://www.zhipin.com/job_detail/1edecb5f324005c503J83Nu-GFtV.html
数据分析师,万山数据,8-13K,北京·东城区·新世界,北京,本科,1-3年,,boss,数据分析 数据仓库 数据治理 数据架构师 ETL 数据挖掘 SQL,数据分析 数据仓库 数据治理 数据架构师 ETL 数据挖掘 SQL,https://www.zhipin.com/job_detail/e6ff79e8bcc7bf900HN_0ti0EFE~.html
数据分析师（公司提供落户指标）,华企盾,6-9K,北京,北京,本科,经验不限,,boss,计算机相关专业 SQL,计算机相关专业 SQL,https://www.zhipin.com/job_detail/8211841a0b9d06440nBz29u4GVNV.html
APP数据分析师,花径教育,20-30K,北京·海淀区·西北旺,北京,大专,3-5年,,boss,SQL Python Tableau Power BI Hive 计算机相关专业 数据分析/挖掘经验 电商/零售行业数据相关经验,SQL Python Tableau Power BI Hive 计算机相关专业 数据分析/挖掘经验 电商/零售行业数据相关经验,https://www.zhipin.com/job_detail/eced01a8fd1c3a6f0nJ52Nq7GVtR.html
