job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
大数据工程师,百度,250-400元/天,北京,北京,本科,,,boss,要求数据开发经验 数据平台开发经验 数据仓库开发经验 大数据引擎开发经验 数据库内核开发经验 其他数据开发经验 Python Scala Java Hive原理/源码 Spark原理/源码 其他 Hive Spark 其他 MySQL原理/源码 PostgreSQL原理/源码 Oracle原理/源码 BI报表开发经验 ETL开发经验 实时数仓开发经验 数学/统计相关专业 数据治理经验 非外包类,要求数据开发经验 数据平台开发经验 数据仓库开发经验 大数据引擎开发经验 数据库内核开发经验 其他数据开发经验 Python Scala Java Hive原理/源码 Spark原理/源码 其他 Hive Spark 其他 MySQL原理/源码 PostgreSQL原理/源码 Oracle原理/源码 BI报表开发经验 ETL开发经验 实时数仓开发经验 数学/统计相关专业 数据治理经验 非外包类,https://www.zhipin.com/job_detail/9e883bf3c96dca8d0nF-3d26ElVZ.html
数据工程师-北京J13723,点点互动,面议,北京,北京,本科,,,boss,校招,校招,https://www.zhipin.com/job_detail/eef6b5b196e4c3f00nF93tu6FVJQ.html
座椅数据工程师,北京冠邦达,14-20K,北京·顺义区·石园,北京,大专,5-10年,,boss,座椅,座椅,https://www.zhipin.com/job_detail/18faa37c5eb25e821H1429W6GFdY.html
数据工程师（数仓 / BI / AI 应用方向）,天鹅到家,18-25K,北京·朝阳区·奥运村,北京,本科,3-5年,,boss,要求数据开发经验 其他数据开发经验 其他 其他 非外包类,要求数据开发经验 其他数据开发经验 其他 其他 非外包类,https://www.zhipin.com/job_detail/78fed3f15628e2610nJ53tm8EVdU.html
兼职 【Coding专项】数据工程师,北京智能知识数据科技,700-1000元/时,北京·海淀区·学院路,北京,本科,5-10年,,boss,要求数据开发经验 数据平台开发经验 MySQL/SQL Server PostgreSQL 其他 Python SQL Shell ETL开发经验 数据建模经验 计算机相关专业 数学/统计相关专业 非外包类,要求数据开发经验 数据平台开发经验 MySQL/SQL Server PostgreSQL 其他 Python SQL Shell ETL开发经验 数据建模经验 计算机相关专业 数学/统计相关专业 非外包类,https://www.zhipin.com/job_detail/e287f100943750180nF92Ni1FlRQ.html
大模型3D数据工程师,Meshy AI,400-600元/天,北京,北京,本科,,,boss,接受无数据开发经验 图形学 3D模型生成 3D引擎 DCC工具 3D,接受无数据开发经验 图形学 3D模型生成 3D引擎 DCC工具 3D,https://www.zhipin.com/job_detail/a9cb812e86594b050nF-3tu1FVdY.html
机器人数据工程师,法本,15-20K,北京·海淀区·清河,北京,本科,1-3年,,boss,python 机器人 Linux 数据标注/模型训练 数据ETL,python 机器人 Linux 数据标注/模型训练 数据ETL,https://www.zhipin.com/job_detail/a41b8fb0e1fa38a50nJ709u7GVNR.html
大模型数据工程师-Seed,字节跳动,50-80K,北京·海淀区·苏州桥,北京,本科,经验不限,,boss,要求数据开发经验 数据建模经验 其他数据开发经验 Kafka Go 非外包类 Spark 数据平台开发经验,要求数据开发经验 数据建模经验 其他数据开发经验 Kafka Go 非外包类 Spark 数据平台开发经验,https://www.zhipin.com/job_detail/5ab7f334565b5f680nF739u-FlZW.html
内外饰设计数据工程师,博挚汽车,15-21K·13薪,北京·顺义区·马坡,北京,大专,3-5年,,boss,内饰 外饰,内饰 外饰,https://www.zhipin.com/job_detail/791b3599a362674b0nF42Ny0FlFS.html
数据工程师,某500强上市公司,40-70K·14薪,北京,北京,本科,3-5年,,boss,多模态数采 数据采集 智能驾驶,多模态数采 数据采集 智能驾驶,https://www.zhipin.com/job_detail/6d4293545fa3c79e0nJ709S_FlBZ.html
