job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
数据挖掘工程师,BOSS直聘,面议,北京,北京,本科,,,boss,SQL,SQL,https://www.zhipin.com/job_detail/8e9d056a50db4cc703N-29q-F1ZW.html
数据挖掘工程师/专家,某大型汽车研发公司,40-70K·16薪,北京,北京,学历不限,经验不限,,boss,图 搜图 VLM 挖掘 Qwen-VL,图 搜图 VLM 挖掘 Qwen-VL,https://www.zhipin.com/job_detail/dac056c6c636d1350nF_2Ny9E1RY.html
智驾数据闭环/数据挖掘--工程师/专家,上海某大型本地出行及生活服务平台公司,40-70K·16薪,北京,北京,本科,5-10年,,boss,C++ Python 数据闭环 自动驾驶 智能驾驶 数据清洗、抽帧切片 传感器数据 数据挖掘,C++ Python 数据闭环 自动驾驶 智能驾驶 数据清洗、抽帧切片 传感器数据 数据挖掘,https://www.zhipin.com/job_detail/4796c103f892a7770nJ-2dy6GVdR.html
数据挖掘算法实习生,NIO蔚来,400-600元/天,北京·海淀区·苏州桥,北京,本科,,,boss,SFT GRPO VLM Agent,SFT GRPO VLM Agent,https://www.zhipin.com/job_detail/53551967375939110nJ50t20FFdT.html
数据挖掘分析专员,蓝色极点,100-110元/天,北京·丰台区·花乡,北京,本科,,,boss,大数据处理经验 计算机相关专业 数学/统计相关专业,大数据处理经验 计算机相关专业 数学/统计相关专业,https://www.zhipin.com/job_detail/e3199a4772dee8f11Hx_39i4GVFW.html
具身数据算法专家-数据挖掘,某大型智能硬件公司,30-60K·15薪,北京,北京,本科,3-5年,,boss,数据算法,数据算法,https://www.zhipin.com/job_detail/d61226ee98dddd7d0nB83N69FVdU.html
数据挖掘实习生,诺而为,150-300元/天,北京·朝阳区·大望路,北京,本科,,,boss,Python SQL 搜索算法 机器学习算法,Python SQL 搜索算法 机器学习算法,https://www.zhipin.com/job_detail/c53b5715c493e79d1nNz3N65GFZV.html
数据挖掘（智驾）,某知名互联网公司,30-55K,北京,北京,本科,3-5年,,boss,分布式技术,分布式技术,https://www.zhipin.com/job_detail/ccb7950e32517b5a0nF539i0EVpU.html
数据挖掘,学而思网校,30-60K·15薪,北京·昌平区·回龙观,北京,本科,3-5年,,boss,数据挖掘 增长黑客 人工智能,数据挖掘 增长黑客 人工智能,https://www.zhipin.com/job_detail/d6acb957e700fb6a1nV62tW6FFJY.html
数据挖掘算法工程师,和晞科技,24-25K,北京·大兴区·林校路,北京,大专,1年以内,,boss,大数据处理经验,大数据处理经验,https://www.zhipin.com/job_detail/3eeb440e121412c81XFy2Ni4GFdZ.html
数据挖掘与治理专家-设计、规划、非纯技术,瑞友慧智,18-23K,北京·西城区·西直门,北京,本科,5-10年,,boss,计算机相关专业 数学/统计相关专业 数据挖掘 数据分析 商业智能,计算机相关专业 数学/统计相关专业 数据挖掘 数据分析 商业智能,https://www.zhipin.com/job_detail/8ad5d88c71f9c72c0nJ-2N65E1BR.html
数据挖掘,北京元企智工科技,10-11K,北京,北京,本科,1-3年,,boss,计算机相关专业,计算机相关专业,https://www.zhipin.com/job_detail/976c44c4c0b674700nJ729u9EFdQ.html
机器学习 数据挖掘,基智科技,30-60K,北京·朝阳区·大屯,北京,本科,经验不限,,boss,搜索算法 信息检索 推荐算法,搜索算法 信息检索 推荐算法,https://www.zhipin.com/job_detail/6bc55399a3fee6531XNy39-9EldW.html
数据挖掘,荣大科技,25-40K,北京·西城区·阜成门,北京,本科,1-3年,,boss,文本挖掘 数据清洗,文本挖掘 数据清洗,https://www.zhipin.com/job_detail/a35bb446ab7485251Xx83tW5GVY~.html
数据挖掘,亿讯科技,10-11K,北京·朝阳区·亚运村,北京,硕士,3-5年,,boss,深度学习算法,深度学习算法,https://www.zhipin.com/job_detail/db49c5b0c608c5801nJ409m0EVZV.html
AI/NLP工程师（企业风控与数据挖掘方向）,多乐游戏,20-35K·13薪,北京,北京,本科,3-5年,,boss,大模型算法 知识图谱 语义理解 意图挖掘 Python nlp,大模型算法 知识图谱 语义理解 意图挖掘 Python nlp,https://www.zhipin.com/job_detail/69e305350c48e64f0nJ529-5GVpV.html
数据挖掘工程师岗,京东世纪贸易有限公司,12-20K,北京,北京,本科,1-3年,,boss,Hive ETL 数据仓库,Hive ETL 数据仓库,https://www.zhipin.com/job_detail/66d83c58b86143c91XF_2t69E1Y~.html
数据分析,作业帮,13-25K,北京·海淀区·上地,北京,本科,3-5年,,boss,教育行业 Excel 互联网 销售 SQL,教育行业 Excel 互联网 销售 SQL,https://www.zhipin.com/job_detail/dcc699d0d2ccefec1HB53Ni9EVNQ.html
高级数据挖掘工程师,京北方信息,14-22K,北京,北京,本科,5-10年,,boss,Java Python Storm 计算机相关专业,Java Python Storm 计算机相关专业,https://www.zhipin.com/job_detail/3750e22f5234463d03B73dy9EFBQ.html
数据挖掘,苏恭古酒,20-40K·13薪,北京·朝阳区·亚运村,北京,本科,经验不限,,boss,数据挖掘 数据仓库 数据库开发 大数据 架构师 推荐算法,数据挖掘 数据仓库 数据库开发 大数据 架构师 推荐算法,https://www.zhipin.com/job_detail/8a0901d6f00d943c33J83du4EVU~.html
自动驾驶数据挖掘,优梦启航,40-65K·16薪,北京·海淀区·上地,北京,本科,5-10年,,boss,Java C/C++ Python 计算机相关专业 数学/统计相关专业 大数据处理经验 机器学习经验 自然语言处理经验 自动驾驶 自动驾驶端到端 智驾/量产,Java C/C++ Python 计算机相关专业 数学/统计相关专业 大数据处理经验 机器学习经验 自然语言处理经验 自动驾驶 自动驾驶端到端 智驾/量产,https://www.zhipin.com/job_detail/aa78412ccddd568b0nF40ti4GVJS.html
数据挖掘,数洋智慧,20-28K,北京·海淀区·颐和园,北京,学历不限,1-3年,,boss,数据分析 数据处理 数据仓库,数据分析 数据处理 数据仓库,https://www.zhipin.com/job_detail/c1f3a2a4ca475ee40nVy3N-4FQ~~.html
数据挖掘专家,保定某大型汽车研发/制造上市公司,60-90K·15薪,北京,北京,硕士,10年以上,,boss,汽车,汽车,https://www.zhipin.com/job_detail/6bfb9e380ec2d5300ndy29m8ElFZ.html
数据科学家,某大型知名其他行业公司,85-100K,北京,北京,本科,5-10年,,boss,SQL Python 数学/统计相关专业 计算机相关专业 热工方向 优化控制,SQL Python 数学/统计相关专业 计算机相关专业 热工方向 优化控制,https://www.zhipin.com/job_detail/cdfbecc04a2cdd820nF-2ty-GVFX.html
数据挖掘,北京资采,13-18K,北京·西城区·金融街,北京,本科,3-5年,,boss,Hive 用户画像/标签体系相关经验 三大运营商项目经验 大数据处理经验 机器学习经验 模型调优 Python,Hive 用户画像/标签体系相关经验 三大运营商项目经验 大数据处理经验 机器学习经验 模型调优 Python,https://www.zhipin.com/job_detail/92a7de5d0d2e4b2b03Z53ti4EFtQ.html
数据挖掘,伟思博瑞,16-20K,北京·朝阳区·双井,北京,学历不限,经验不限,,boss,数据处理,数据处理,https://www.zhipin.com/job_detail/507646895d039e6d0nF83tu5GVo~.html
算法专家（营销/推荐/数据挖掘/大模型）,某大型知名互联网公司,40-70K·16薪,北京,北京,本科,5-10年,,boss,数据科学 NLP 机器学习 大模型 AIGC LLM AIGENT 数据挖掘,数据科学 NLP 机器学习 大模型 AIGC LLM AIGENT 数据挖掘,https://www.zhipin.com/job_detail/0fb58cde774d1eec0nd62tS8FVBT.html
数据挖掘,阿里巴巴集团,25-50K,北京,北京,硕士,经验不限,,boss,机器学习 自然语言处理 广告算法,机器学习 自然语言处理 广告算法,https://www.zhipin.com/job_detail/6680c535c8963ea71nB629q4FVQ~.html
数据挖掘,奇虎360,20-40K·15薪,北京·朝阳区·798,北京,学历不限,经验不限,,boss,C/C++ Python Spark 大数据处理经验 机器学习经验,C/C++ Python Spark 大数据处理经验 机器学习经验,https://www.zhipin.com/job_detail/e63c2fbde91c177a1Xx829i6GFZY.html
数据挖掘,宝枫生物科技,20-30K,北京·顺义区·后沙峪,北京,博士,经验不限,,boss,R 机器学习经验,R 机器学习经验,https://www.zhipin.com/job_detail/dfda1291828153691XJ529i1GVFY.html
数据挖掘,中信百信银行,30-50K,北京,北京,本科,3-5年,,boss,用户画像/标签体系相关经验 大数据处理经验 收单数据挖掘 税票数据挖掘 数学/统计相关专业,用户画像/标签体系相关经验 大数据处理经验 收单数据挖掘 税票数据挖掘 数学/统计相关专业,https://www.zhipin.com/job_detail/e00ec204eae8235e03B73ti8E1dY.html
DLP数据挖掘工程师（北上苏）,苏州智加科技有限...,30-60K·14薪,北京·海淀区·中关村,北京,学历不限,经验不限,,boss,C/C++ Python,C/C++ Python,https://www.zhipin.com/job_detail/0a9ebcc951089cb60nBy3tS7GVVU.html
数据挖掘,真知卓见,10-15K·13薪,上海·松江区·松江大学城,上海,本科,1-3年,,boss,大数据处理经验 计算机相关专业 Python 数学/统计相关专业,大数据处理经验 计算机相关专业 Python 数学/统计相关专业,https://www.zhipin.com/job_detail/8157936c56e891721Hd40tm4EVVS.html
数据挖掘工程师,拼多多集团-PDD,20-40K·18薪,上海·长宁区·娄山关路,上海,本科,,,boss,计算机相关专业 数学/统计相关专业 风控相关经验,计算机相关专业 数学/统计相关专业 风控相关经验,https://www.zhipin.com/job_detail/6e6802b279c3d9050nFz39W_EVVS.html
数据挖掘工程师/专家,某大型汽车研发公司,40-70K·16薪,上海,上海,学历不限,经验不限,,boss,搜图 VLM 挖掘 图 Qwen-VL,搜图 VLM 挖掘 图 Qwen-VL,https://www.zhipin.com/job_detail/c417faae23e7353e0nF_2Ny8EFBR.html
数据挖掘,华为云计算,20-40K,上海·青浦区·朱家角,上海,本科,,,boss,Python Java,Python Java,https://www.zhipin.com/job_detail/bd5e918bc9cc1b620nFz0tS5E1NX.html
数据分析师,治粟科技,11-13K,上海·普陀区·梅川路,上海,本科,1年以内,,boss,SQL Python R,SQL Python R,https://www.zhipin.com/job_detail/a2a6ac5ebe0886e90nJ73ty6EFVV.html
数据挖掘开发工程师（自动驾驶）,中科创达,20-28K,上海·闵行区·虹桥,上海,本科,1-3年,,boss,多模态 PyTorch 计算机视觉 深度学习,多模态 PyTorch 计算机视觉 深度学习,https://www.zhipin.com/job_detail/ae0f1a19b0a14e8d0nFz29m4F1RR.html
数据挖掘,上海交通大学,25-50K,上海,上海,博士,1-3年,,boss,计算机相关专业 机器学习经验 大数据处理经验 数学/统计相关专业 C# 数据库开发 MySQL 人工智能 数据挖掘,计算机相关专业 机器学习经验 大数据处理经验 数学/统计相关专业 C# 数据库开发 MySQL 人工智能 数据挖掘,https://www.zhipin.com/job_detail/a6190ebf319297c00HR43d-8F1Y~.html
数据挖掘专家（交易方向）,某大型其他生活服务公司,70-100K,上海,上海,本科,10年以上,,boss,Python 分布式技术,Python 分布式技术,https://www.zhipin.com/job_detail/b5092dfaba15a9310nJ72N26ElJQ.html
算法实习生（数据挖掘/风险建模方向）,萨摩耶云科技集团,200-300元/天,上海·浦东新区·上南,上海,本科,,,boss,机器学习 深度学习 风控/安全策略经验 机器学习算法/工程化经验 计算机相关专业 深度学习经验 Python SQL 数学/统计相关专业,机器学习 深度学习 风控/安全策略经验 机器学习算法/工程化经验 计算机相关专业 深度学习经验 Python SQL 数学/统计相关专业,https://www.zhipin.com/job_detail/d4dba93e2bbe068e03Z839u4EVpR.html
【2027秋招】数据挖掘工程师,深圳元戎启行科技,20-40K·14薪,上海·徐汇区·漕河泾,上海,本科,,,boss,Python PyTorch TensorFlow,Python PyTorch TensorFlow,https://www.zhipin.com/job_detail/72f16e6c2ed4548a0nF_2Nq6F1VU.html
数据挖掘工程师（外包宁波,法本信息,9-11K,上海·浦东新区·张江,上海,本科,1-3年,,boss,XGboost 机器学习经验 Kmenns 逻辑回归 线性回归,XGboost 机器学习经验 Kmenns 逻辑回归 线性回归,https://www.zhipin.com/job_detail/0ea0a51cc54f4f510nF63N27EFJT.html
数据仓库开发,某大型知名计算机软件公司,15-30K·14薪,上海,上海,本科,经验不限,,boss,要求实时数仓经验 Hive BI报表开发经验 要求有数仓开发经验 SQL,要求实时数仓经验 Hive BI报表开发经验 要求有数仓开发经验 SQL,https://www.zhipin.com/job_detail/ddf7bf78a7a20a3e0nF42ti6GVBV.html
数据挖掘,京东集团,35-60K,上海·杨浦区·江浦路,上海,本科,1-3年,,boss,Python 计算机相关专业 机器学习经验 风控相关经验,Python 计算机相关专业 机器学习经验 风控相关经验,https://www.zhipin.com/job_detail/ecd7b1814bec57911HN82ti8GVVZ.html
数据挖掘算法实习生,NIO蔚来,400-600元/天,上海·嘉定区·安亭,上海,本科,,,boss,SFT agent VLM LangChain GRPO,SFT agent VLM LangChain GRPO,https://www.zhipin.com/job_detail/86abd091057922830nF83966FFtZ.html
数据挖掘开发工程师,极豆车联网,11-16K,上海·闵行区·虹桥,上海,大专,3-5年,,boss,Java Python C/C++ Scala 计算机相关专业 智驾公司 PyTorch numpy,Java Python C/C++ Scala 计算机相关专业 智驾公司 PyTorch numpy,https://www.zhipin.com/job_detail/76d4a16261fd331b0nB529q9GFtR.html
数据挖掘,上海岚砜电子商务,10-12K,上海·奉贤区·奉城,上海,大专,经验不限,,boss,大数据处理经验,大数据处理经验,https://www.zhipin.com/job_detail/9aee0106be944aa91HV-0tS1EFFS.html
数据挖掘,灯宇科技,10-20K,上海·普陀区·长征,上海,本科,1-3年,,boss,数据库 数据挖掘 系统架构,数据库 数据挖掘 系统架构,https://www.zhipin.com/job_detail/df5df72b18b265e31HV73920GVQ~.html
数据挖掘开发工程师-初/中级,南京予芯,17-27K,上海·闵行区·虹桥,上海,本科,经验不限,,boss,Python C/C++ Java Scala 计算机相关专业 机器学习经验 自动驾驶 图像算法,Python C/C++ Java Scala 计算机相关专业 机器学习经验 自动驾驶 图像算法,https://www.zhipin.com/job_detail/c6160ef1c70d540c0nJ53Ny0ElNS.html
安全研究员(漏洞挖掘）,广州湛蓝空域网络科技,20-40K,上海·徐汇区·漕河泾,上海,本科,经验不限,,boss,漏洞挖掘,漏洞挖掘,https://www.zhipin.com/job_detail/217ac7346e45b4d70nF73dW-FVFV.html
