job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
高级大数据数仓工程师-批流一体 数据湖架构,易点云,21-27K·14薪,北京·海淀区·上地,北京,本科,3-5年,,boss,接受无数据开发经验,接受无数据开发经验,https://www.zhipin.com/job_detail/7af7493d5d888f570nJ72dW9GFZR.html
离线特征资深研发工程师（数据架构师）,滴滴,40-70K·15薪,北京·昌平区·回龙观,北京,学历不限,经验不限,,boss,Java 大数据引擎架构经验 数据平台架构经验 Spark原理/源码 Flink原理/源码 Flink 金融行业经验 C/C++ Hive 要求有数据架构经验 Hive原理/源码 数据仓库架构经验 Spark 其他数据架构经验 要求数据开发/架构经验,Java 大数据引擎架构经验 数据平台架构经验 Spark原理/源码 Flink原理/源码 Flink 金融行业经验 C/C++ Hive 要求有数据架构经验 Hive原理/源码 数据仓库架构经验 Spark 其他数据架构经验 要求数据开发/架构经验,https://www.zhipin.com/job_detail/d56035e053439e4f03162d21EVtT.html
数据架构师,北京原网科技公司,16-20K,北京·昌平区·沙河,北京,大专,经验不限,,boss,要求数据开发/架构经验 要求有数据架构经验 数据平台架构经验 其他 其他 计算机相关专业,要求数据开发/架构经验 要求有数据架构经验 数据平台架构经验 其他 其他 计算机相关专业,https://www.zhipin.com/job_detail/07ca9ab6718e26c30nJ53ty6FFJS.html
机器人|数据架构师,北京松延动力科技,45-65K·13薪,北京·昌平区·北七家,北京,本科,1-3年,,boss,分布式技术 平台架构,分布式技术 平台架构,https://www.zhipin.com/job_detail/684d62075d4525700nJ70ty8FlBZ.html
大数据平台架构师,至简自然,50-60K·13薪,北京·朝阳区·京广桥,北京,本科,5-10年,,boss,Power BI 计算机相关专业 大数据平台架构经验,Power BI 计算机相关专业 大数据平台架构经验,https://www.zhipin.com/job_detail/0851cb16dcd68dc71Xx92Nm-EFNY.html
数据架构师（理财子监管报送方向）,安徽兆尹科技,15-25K·13薪,北京·丰台区·花乡,北京,本科,5-10年,,boss,要求数据开发/架构经验 要求有数据架构经验 数据平台架构经验 Spark MySQL Oracle Java 金融行业经验,要求数据开发/架构经验 要求有数据架构经验 数据平台架构经验 Spark MySQL Oracle Java 金融行业经验,https://www.zhipin.com/job_detail/e67f4ee93900ff6a0nB82tS0E1RT.html
脑机接口数据架构师（数据治理方向）,北京某中型脑科学与类脑研究公司,80-100K,北京,北京,硕士,3-5年,,boss,Python SQL 服务器配置 容器技术 分布式技术,Python SQL 服务器配置 容器技术 分布式技术,https://www.zhipin.com/job_detail/34fd419bafeb4a280nF929y1EVVV.html
泰康养老数据架构师,东软集团,15-16K,北京,北京,本科,5-10年,,boss,要求数据开发/架构经验 SQL 金融行业经验 数据治理经验 计算机相关专业 要求有数据架构经验 数据平台架构经验 Oracle MySQL,要求数据开发/架构经验 SQL 金融行业经验 数据治理经验 计算机相关专业 要求有数据架构经验 数据平台架构经验 Oracle MySQL,https://www.zhipin.com/job_detail/b65e2a9e228198740nJ529S_F1tT.html
数据架构师,拜伦科技,23-27K,北京,北京,本科,5-10年,,boss,要求数据开发/架构经验 要求有数据架构经验 Java 大数据引擎架构经验 数据仓库架构经验 数据平台架构经验 Spark原理/源码 Flink原理/源码 Kafka原理/源码 Doris/Druid原理/源码 Clickhouse原理/源码 计算机相关专业 数据治理经验 Flink Spark Kafka Clickhouse Doris/Druid,要求数据开发/架构经验 要求有数据架构经验 Java 大数据引擎架构经验 数据仓库架构经验 数据平台架构经验 Spark原理/源码 Flink原理/源码 Kafka原理/源码 Doris/Druid原理/源码 Clickhouse原理/源码 计算机相关专业 数据治理经验 Flink Spark Kafka Clickhouse Doris/Druid,https://www.zhipin.com/job_detail/0041bcb8848e675403N80ty_FVtX.html
数据架构师,纺联信息,15-30K,北京·海淀区·上地,北京,本科,3-5年,,boss,数据架构 数据分析 数据挖掘,数据架构 数据分析 数据挖掘,https://www.zhipin.com/job_detail/343d76ffec9491b31nB739S8F1c~.html
AI数据库研发工程师/架构师-LakeBase,字节跳动,40-70K·15薪,北京·海淀区·中关村,北京,本科,3-5年,,boss,Golang Java C++ Serveless 分布式经验 数据库开发经验 多模态数据 PostgreSQL 向量检索 LakeBase Python,Golang Java C++ Serveless 分布式经验 数据库开发经验 多模态数据 PostgreSQL 向量检索 LakeBase Python,https://www.zhipin.com/job_detail/ee00f86991bcb3090nJ-2d2-EldR.html
急招！AI数据架构师-北京,某大型人工智能公司,65-95K·15薪,北京,北京,本科,5-10年,,boss,要求数据开发/架构经验 要求有数据开发经验 要求有数据架构经验 其他数据开发经验 其他数据架构经验 5-10年 其他 数据治理经验 AI数据 大模型数据架构 LLM数据工程,要求数据开发/架构经验 要求有数据开发经验 要求有数据架构经验 其他数据开发经验 其他数据架构经验 5-10年 其他 数据治理经验 AI数据 大模型数据架构 LLM数据工程,https://www.zhipin.com/job_detail/2b21420ef8778d390nJ529W8F1JX.html
数据架构师,道致科技,18-21K,北京·海淀区·新街口,北京,本科,5-10年,,boss,Java Python Spark Hive Flink 要求数据开发/架构经验 数据治理经验 要求有数据架构经验 要求有数据开发经验 数据平台架构经验 其他数据架构经验 数据仓库架构经验 数据平台开发经验 10年以上,Java Python Spark Hive Flink 要求数据开发/架构经验 数据治理经验 要求有数据架构经验 要求有数据开发经验 数据平台架构经验 其他数据架构经验 数据仓库架构经验 数据平台开发经验 10年以上,https://www.zhipin.com/job_detail/01a5d07bbd05c00f0nB53d25EVtQ.html
Data-CentricAI数据架构师（具身大脑）,旋玑智能,30-60K·15薪,北京·海淀区·苏州桥,北京,硕士,5-10年,,boss,要求数据开发/架构经验 要求有数据架构经验 大数据引擎架构经验 其他数据架构经验 其他 其他 数据治理经验 数学/统计相关专业,要求数据开发/架构经验 要求有数据架构经验 大数据引擎架构经验 其他数据架构经验 其他 其他 数据治理经验 数学/统计相关专业,https://www.zhipin.com/job_detail/9c49511ef34fbc9f0nF53966GVRV.html
数据架构师（化工行业）,北京时空体科技,50-80K·16薪,北京·朝阳区·大望路,北京,本科,5-10年,,boss,接受无数据开发/架构经验,接受无数据开发/架构经验,https://www.zhipin.com/job_detail/ba7d5762c2e889b90nB43tu7FFFX.html
