job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
全职数据标注专员AI 训练师 朝九晚六双休,北京惠民行科技有...,4-6K,北京·丰台区·六里桥,北京,大专,经验不限,,boss,标注方法优化 图片标注,标注方法优化 图片标注,https://www.zhipin.com/job_detail/3b778b1a798b47810nJ72dW5ElRT.html
AI数据标注员   早十晚七   周末双休,河北霖玄机器人科技,200-210元/天,北京·海淀区·学院路,北京,学历不限,经验不限,,boss,文本标注 语音标注 视频标注 图片标注,文本标注 语音标注 视频标注 图片标注,https://www.zhipin.com/job_detail/4a76af80c03131b90nJ539q9EFpT.html
AI大模型数据标注（英语6级+统本）base北京,柯莱特集团,8-9K,北京·海淀区·上地,北京,本科,1-3年,,boss,数据标注 文本标注 视频标注 接受加班 数据分析能力强 不接受居家办公,数据标注 文本标注 视频标注 接受加班 数据分析能力强 不接受居家办公,https://www.zhipin.com/job_detail/c0d75a3b28b6c0d10nJ53ty_F1ZQ.html
数据标注(一轮面试流程快),法本,6-7K,北京·海淀区·西北旺,北京,大专,1-3年,,boss,高精地图,高精地图,https://www.zhipin.com/job_detail/30a24f54d77db4160nd52Nq6ElNV.html
大模型数据标注-视频（SFT/caption/评测）,热热数据,10-15K,北京·石景山区·苹果园,北京,本科,1年以内,,boss,不接受居家办公 周末双休,不接受居家办公 周末双休,https://www.zhipin.com/job_detail/e8fb6bebf4fcc63e0nF90t61EltU.html
数据标注/AI训练师,北京兴创元智,6-9K,北京·朝阳区·朝外,北京,大专,1-3年,,boss,接受应届生 数据标注 无相关经验 零基础,接受应届生 数据标注 无相关经验 零基础,https://www.zhipin.com/job_detail/76e36d3b6b5bfc160nJ609m-FFRY.html
ai数据标注,安阳启阳信息技术服务,8-13K·13薪,北京·朝阳区·高碑店,北京,大专,1-3年,,boss,数据标注,数据标注,https://www.zhipin.com/job_detail/4b4fecbba218b1210nJ63tS0GVFV.html
【短剧/漫剧】ai训练师,百度在线,300-500元/天,北京·海淀区·西北旺,北京,学历不限,1-3年,,boss,接受居家办公,接受居家办公,https://www.zhipin.com/job_detail/ac17a1dc418a73c80nF50t69FFZY.html
ai数据标注员,北京懒点科技有限公司,200-250元/天,北京·海淀区·学院路,北京,本科,,,boss,数据标注 文本标注 数据分析能力强 接受居家办公 接受加班,数据标注 文本标注 数据分析能力强 接受居家办公 接受加班,https://www.zhipin.com/job_detail/8c44f81b5aa3ba2a03J82t6_FlZS.html
数据标注/AI训练师,青蓝致远,9-12K,北京·海淀区·上地,北京,大专,1-3年,,boss,语音标注 视频标注 AI大模型 方言标注 语音质检,语音标注 视频标注 AI大模型 方言标注 语音质检,https://www.zhipin.com/job_detail/5a0bd5d37b13ed1c0nR72Ny1FFVX.html
高校学生远程兼职 - 大模型数据标注与评测,三山暖阳,100-180元/天,北京·朝阳区·对外经贸,北京,本科,,,boss,数据标注 文本标注 数据分析能力强 接受居家办公 图片标注 分类标注,数据标注 文本标注 数据分析能力强 接受居家办公 图片标注 分类标注,https://www.zhipin.com/job_detail/94cd97c48b7b683e03N839m-FVtT.html
ai训练师,晨盛嘉艺,15-30K,北京·通州区·九棵树,北京,大专,3-5年,,boss,搜索/推荐 机器学习算法/工程化经验 计算机相关专业 深度学习经验,搜索/推荐 机器学习算法/工程化经验 计算机相关专业 深度学习经验,https://www.zhipin.com/job_detail/9bc2cc4542111aa01HR52Nu8FlFY.html
电商ai训练师/机训师,上海维音,10-11K,北京·朝阳区·望京,北京,学历不限,3-5年,,boss,不接受居家办公 京小智 数据分析能力强 店小蜜 飞鸽 接受加班,不接受居家办公 京小智 数据分析能力强 店小蜜 飞鸽 接受加班,https://www.zhipin.com/job_detail/e87bb4731dacbd630nF62dW_EFNQ.html
数据标注/AI训练师,上海青绾集摄影服务,3-6K,北京·海淀区·苏州桥,北京,学历不限,经验不限,,boss,无障碍招聘,无障碍招聘,https://www.zhipin.com/job_detail/95e7e9d3a2da1d7e0nJ40ti-E1NW.html
数据标注/AI训练师（北京）,灵波微步,12-18K,北京·东城区·崇文门,北京,本科,经验不限,,boss,数据标注,数据标注,https://www.zhipin.com/job_detail/e923fff78ba83ed70nZy3Nu7FlNT.html
数据标注/AI训练师,格拓对齐,200-250元/天,北京,北京,本科,,,boss,文本标注 数据标注 不接受居家办公 标注结果整理 标注结果抽查 标注方法优化 分类标注,文本标注 数据标注 不接受居家办公 标注结果整理 标注结果抽查 标注方法优化 分类标注,https://www.zhipin.com/job_detail/c655983cf8ffe9070nVy3925FVpS.html
周末双休+机器人数据标注+五险一金+三餐！,正华企讯科技有限公司,7-10K,北京·海淀区·苏州桥,北京,大专,1-3年,,boss,视频标注,视频标注,https://www.zhipin.com/job_detail/c7b2f1ae493c114e0nJ72t66ElVT.html
大模型AI数据标注分析师,武汉佰钧成技术,8-9K,北京·海淀区·上地,北京,本科,经验不限,,boss,英语六级,英语六级,https://www.zhipin.com/job_detail/7fe6a77f144239ec0nJ509m-EFZQ.html
数据标注/AI训练师,学堂在线,130-150元/天,北京·海淀区·五道口,北京,本科,,,boss,文本标注 不接受居家办公 语音标注 标注结果整理 视频标注 分类标注,文本标注 不接受居家办公 语音标注 标注结果整理 视频标注 分类标注,https://www.zhipin.com/job_detail/047745abcc33989203N729i9FVNR.html
数据标注/AI训练师（知名大厂急招~）,纬致芯创科技,10-11K,北京·海淀区·上地,北京,大专,经验不限,,boss,数据标注 视频评测,数据标注 视频评测,https://www.zhipin.com/job_detail/22dae8e958ed6b130nZ73dS7F1ZZ.html
数据标注/AI训练师,深圳易宝软件有限公司,11-20K,北京·朝阳区·太阳宫,北京,本科,经验不限,,boss,asr tts 语音标注 vad 语音交互 对话,asr tts 语音标注 vad 语音交互 对话,https://www.zhipin.com/job_detail/59fc6f660f6fdbf303Z82tq7EVFW.html
五险一金+周末双休+数据标注/AI训练师,邯郸市优数信息技术,10-14K,北京·海淀区·上地,北京,本科,经验不限,,boss,接受无相关经验/技能 甲方公司 五险一金 周末双休 现场办公,接受无相关经验/技能 甲方公司 五险一金 周末双休 现场办公,https://www.zhipin.com/job_detail/a69b0d674a3d488b0nJ539y1ElJT.html
数据标注,上海思芮,11-17K,北京·海淀区·中关村,北京,大专,1年以内,,boss,视频标注 语音标注 接受加班,视频标注 语音标注 接受加班,https://www.zhipin.com/job_detail/ce012bc51a44d6db0nB52du_EFNZ.html
数据标注/AI训练师--多模态方向,环宇网络,7-8K,北京·海淀区·上地,北京,本科,经验不限,,boss,数据标注 视频标注 图片标注,数据标注 视频标注 图片标注,https://www.zhipin.com/job_detail/c1e8f47a3690dfc10nJ609S8GVNX.html
数据标注/AI训练师,数巅科技有限公司,200-250元/天,北京·海淀区·学院路,北京,本科,,,boss,数据标注 不接受居家办公 标注结果整理 数据分析能力强 标注方法优化 区域标注 标框标注 图片标注,数据标注 不接受居家办公 标注结果整理 数据分析能力强 标注方法优化 区域标注 标框标注 图片标注,https://www.zhipin.com/job_detail/bf68cc65b93212d50nJ42NW8FFFY.html
AI训练师/数据标注（小语种--北京),传神语联网,120-180元/天,北京·朝阳区·亚运村,北京,本科,,,boss,数据标注 ai训练师 阿拉伯语 印尼语 马来语,数据标注 ai训练师 阿拉伯语 印尼语 马来语,https://www.zhipin.com/job_detail/217b05a04a781ba20nJ43Nu-GFRS.html
数据标注/AI训练师,上海万粒,7-8K,北京·海淀区·上地,北京,本科,1年以内,,boss,不接受居家办公 视频标注 人工智能,不接受居家办公 视频标注 人工智能,https://www.zhipin.com/job_detail/9510887d6fdf6b350nJ-2tm0FFJV.html
大模型AI数据标注分析师 (电商及播客方向),中软国际,10-11K,北京·海淀区·马连洼,北京,本科,1-3年,,boss,英语六级,英语六级,https://www.zhipin.com/job_detail/77135beb860832230nJ-2di7ElBT.html
