job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
数据治理售前咨询 (MJ001058),亿信华辰,18-25K,北京·朝阳区·亚运村,北京,本科,5-10年,,boss,数据治理 售前,数据治理 售前,https://www.zhipin.com/job_detail/63a9484d891ef1010nB73N-6E1BS.html
数据治理项目经理（政企/交通方向，外派）,玲珑塔科技,17-23K,北京·海淀区·学院路,北京,本科,5-10年,,boss,数据治理,数据治理,https://www.zhipin.com/job_detail/1b80d9324aa12a7b0nF-39y0FFtZ.html
java(会GIS，会数据治理）,大连长益科技服务,10-13K,北京·朝阳区·太阳宫,北京,大专,3-5年,,boss,Java Spring MySQL GIS,Java Spring MySQL GIS,https://www.zhipin.com/job_detail/4d3b71195e3bf0940nJ53NW1FVZX.html
数据治理（复试现场）,软通动力,14-17K,北京·石景山区·鲁谷,北京,本科,5-10年,,boss,数据治理,数据治理,https://www.zhipin.com/job_detail/ba34097a683500780nF53d--FVtV.html
数据治理工程师或项目经理,广州市汉硕信息科...,16-21K,北京·朝阳区·朝外,北京,学历不限,5-10年,,boss,数据治理,数据治理,https://www.zhipin.com/job_detail/1bd1bccff14b5c810nFy2ti4FFVT.html
数据治理专员（大-外包岗-北京）,有云数智,9-14K,北京·石景山区·苹果园,北京,本科,经验不限,,boss,CDGA证书,CDGA证书,https://www.zhipin.com/job_detail/0c90ca2e04308f160nJ52Nu9EVdT.html
数据治理专家（助理PM-外派出差）,北京古杉,8-11K,北京·朝阳区·国贸,北京,本科,3-5年,,boss,数据治理顾问,数据治理顾问,https://www.zhipin.com/job_detail/f3ce9d8452490d6d1Hx82du_GVNQ.html
数据治理,博数智源,150-200元/天,北京·东城区·东四,北京,本科,,,boss,数据分析 数据治理 垂直能源智能化领域 人工智能 能源电力 新能源,数据分析 数据治理 垂直能源智能化领域 人工智能 能源电力 新能源,https://www.zhipin.com/job_detail/25a27fffd2e114e3031-3dW_EVtX.html
数据治理实习生,美兰德咨询,130-180元/天,北京·朝阳区·朝外,北京,本科,,,boss,SQL 数学/统计相关专业 计算机相关专业 经济/工商管理相关专业 数据分析/挖掘经验 文娱/游戏行业数据相关经验,SQL 数学/统计相关专业 计算机相关专业 经济/工商管理相关专业 数据分析/挖掘经验 文娱/游戏行业数据相关经验,https://www.zhipin.com/job_detail/30ff3186c940c48203B83t6-GVpX.html
数据治理,道致科技,19-21K,北京·昌平区·北七家,北京,大专,10年以上,,boss,数据治理,数据治理,https://www.zhipin.com/job_detail/ac064bcd9ed4c9e80nB42t-5GFdS.html
数据治理顾问,建广数科,12-18K,北京·海淀区·学院路,北京,大专,3-5年,,boss,咨询顾问 数据标准 数据治理,咨询顾问 数据标准 数据治理,https://www.zhipin.com/job_detail/ceeef6cd192c29f40nF82t60ElVV.html
数据治理工程师,111医药馆,15-30K,北京·朝阳区·望京,北京,本科,3-5年,,boss,指标体系建设,指标体系建设,https://www.zhipin.com/job_detail/7c925a88c3322b8b0nJ50t60F1JY.html
