job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
数据通信工程师,亚联星,7-8K,北京·海淀区·甘家口,北京,大专,,,boss,通信设备商 接受无网络工程师经验,通信设备商 接受无网络工程师经验,https://www.zhipin.com/job_detail/2509a5c54f38bfa80nB529S7FFJQ.html
数据通信工程师,华为,20-30K,北京,北京,硕士,,,boss,数据通信,数据通信,https://www.zhipin.com/job_detail/a2203d333a53d031031539i4GFJW.html
数据通信工程师,信实志远,12-18K,北京,北京,大专,5-10年,,boss,网络协议 数据通信 CCIE证书 核心网 网络交换技术 HCIE H3ICE,网络协议 数据通信 CCIE证书 核心网 网络交换技术 HCIE H3ICE,https://www.zhipin.com/job_detail/03379d0ce5c5d0c60nJ609y8FFVQ.html
数据通信工程师,华为,10-15K·16薪,北京·海淀区·西北旺,北京,本科,经验不限,,boss,网络协议,网络协议,https://www.zhipin.com/job_detail/30bd88bd2315fe1e03V73965FFBY.html
数据通信工程师,赛德莱特,6-12K,北京,北京,本科,经验不限,,boss,通信网络优化 设备安装 设备调试,通信网络优化 设备安装 设备调试,https://www.zhipin.com/job_detail/082e293bb7ecedc41nZ829i5Elo~.html
数据通信工程师,捷凯特科技,100-120元/时,北京·海淀区·五棵松,北京,本科,1-3年,,boss,网络交换技术 C语言 网络工程师证 CCIE证书 运维通信资格证书 CCNP证书 CCNA证书,网络交换技术 C语言 网络工程师证 CCIE证书 运维通信资格证书 CCNP证书 CCNA证书,https://www.zhipin.com/job_detail/7c1061eee1d2dff103By09W7EVFU.html
数据通信工程师,工控智联,15-20K,北京·丰台区·科技园区,北京,本科,5-10年,,boss,B端产品 数据产品,B端产品 数据产品,https://www.zhipin.com/job_detail/7171b75db710cffc03R_3Nu0EFdS.html
【快Star】光和数据通信技术工程师-…,快手,面议,北京,北京,本科,,,boss,校招,校招,https://www.zhipin.com/job_detail/d1879c050b43f6fb0nJ63d-8EldZ.html
数据通信工程师,简石生物,20-35元/时,北京·顺义区·马坡,北京,本科,5-10年,,boss,通信接口/总线,通信接口/总线,https://www.zhipin.com/job_detail/b8f807cdd2d23fb103V-2d-_E1tY.html
高级数据通信测试网络工程师,容域科技,20-40K,北京·海淀区·五道口,北京,本科,1-3年,,boss,数据通信 无线通信 移动通信 通信测试 仪器仪表 网络安全 网络设备 网络协议,数据通信 无线通信 移动通信 通信测试 仪器仪表 网络安全 网络设备 网络协议,https://www.zhipin.com/job_detail/1ebfa44ad145b9c933R_09i4FFo~.html
数据通信工程师,新华三,10-15K·14薪,北京·海淀区·西北旺,北京,本科,经验不限,,boss,C语言 网络交换技术 网络协议 Linux 数据通信 通信协议/软件开发,C语言 网络交换技术 网络协议 Linux 数据通信 通信协议/软件开发,https://www.zhipin.com/job_detail/6abc632edc9a02c71XZ_2d24GVRX.html
数据通信工程师,北京正唐科技,9-14K,北京·昌平区·小汤山,北京,本科,1-3年,,boss,无线通信 微波 调试,无线通信 微波 调试,https://www.zhipin.com/job_detail/d646c0c5dd45a32b1HR-3NW8GVJU.html
数据通信工程师,联通智慧安全科技,10-11K,北京·西城区·月坛,北京,本科,3-5年,,boss,网络维护 网络运维 CCNA证书 网络安全 网络设备 系统集成 数通工程师 HCNA,网络维护 网络运维 CCNA证书 网络安全 网络设备 系统集成 数通工程师 HCNA,https://www.zhipin.com/job_detail/10067125e30b43b93n1_39m9FFA~.html
数据通信工程师,中国移动,20-40K,北京·西城区·西便门,北京,硕士,3-5年,,boss,网络协议 网络交换技术 Linux CCIE证书 通信算法 数据通信 IETF CCSA,网络协议 网络交换技术 Linux CCIE证书 通信算法 数据通信 IETF CCSA,https://www.zhipin.com/job_detail/aa4063dcc588444a1XR_2tm9GFNV.html
数据通信工程师,林讯科技,7-10K,北京·大兴区·西红门,北京,大专,1年以内,,boss,数据通信 微波射频 通信设备装维 网络交换技术 4G 蓝牙/Wi-Fi,数据通信 微波射频 通信设备装维 网络交换技术 4G 蓝牙/Wi-Fi,https://www.zhipin.com/job_detail/83b3918b14771a291nJ62tq-F1FZ.html
数据通信网络工程师（海淀）,中移铁通北京分公司,13-17K,北京·西城区·复兴门,北京,本科,3-5年,,boss,数据通信,数据通信,https://www.zhipin.com/job_detail/243d59b9f03159dc1HV62N29FFNT.html
通信设备工程师,鸿运通达,4-9K,北京·昌平区·小汤山,北京,初中及以下,经验不限,,boss,通信 光通信 基站维护 数据通信 通信测试 网络设备 网络安全 移动通信,通信 光通信 基站维护 数据通信 通信测试 网络设备 网络安全 移动通信,https://www.zhipin.com/job_detail/fccf56ef85d650220XV83dm5F1Q~.html
数据通信工程师,武汉虹信,5-8K,北京·西城区·阜成门,北京,大专,1-3年,,boss,设备维护 设备调试,设备维护 设备调试,https://www.zhipin.com/job_detail/b4c5fcab267beee01nJ92dS8FQ~~.html
数据通信工程师,腾遥数科,6-9K,北京·海淀区·上地,北京,本科,,,boss,5G 网络交换技术 数据通信 网络协议,5G 网络交换技术 数据通信 网络协议,https://www.zhipin.com/job_detail/2560ca0904d3922103d52Nu_FltY.html
海外数据通信工程师,河北金石,11-22K,北京·石景山区·苹果园,北京,大专,经验不限,,boss,数据通信,数据通信,https://www.zhipin.com/job_detail/a36437cdf8232b3603F-2N-5FVpU.html
数据通信工程师,天安盈创,9-10K,北京·海淀区·四季青,北京,本科,经验不限,,boss,数据通信,数据通信,https://www.zhipin.com/job_detail/3d5fa45887bdbc3a1nB53dm5E1FW.html
高级数据通信工程师,明阳研究院,15-20K,北京·海淀区·万柳,北京,本科,3-5年,,boss,网络协议 数据通信,网络协议 数据通信,https://www.zhipin.com/job_detail/6427354ebd9ede1d1Hd43N26FFRT.html
【数据通信行业】工程经理/项目经理,锐捷网络,15-30K·13薪,北京·海淀区·公主坟,北京,本科,5-10年,,boss,数据通信 通信项目管理 PMP证书 CCNP证书 CCIE证书 CCNA证书 网络协议 网络交换技术,数据通信 通信项目管理 PMP证书 CCNP证书 CCIE证书 CCNA证书 网络协议 网络交换技术,https://www.zhipin.com/job_detail/ec85cfd8005eabb11nF-2t-9E1dT.html
数据通信工程师,触媒创想,9-14K,北京·昌平区·天通苑,北京,本科,3-5年,,boss,IDC 网络 机房运维,IDC 网络 机房运维,https://www.zhipin.com/job_detail/98075710d27940d51Hx50ty-FFo~.html
高级通信工程师,天科恒创,10-15K·24薪,北京·丰台区·木樨园,北京,本科,经验不限,,boss,4G 移动通信 无线通信 传输线路设计 天线设计 5G CCNP证书 CCIE证书,4G 移动通信 无线通信 传输线路设计 天线设计 5G CCNP证书 CCIE证书,https://www.zhipin.com/job_detail/fdea1187b3b6273603J-09W5GFpR.html
数据通信工程师,恒创国科,5-10K,北京·东城区·来福士,北京,大专,1-3年,,boss,数据通信 移动通信,数据通信 移动通信,https://www.zhipin.com/job_detail/ce21515a4f6f297d1X152tu7EVtY.html
数据通信工程师,炬石科技,6-11K,北京·大兴区·亦庄,北京,本科,1-3年,,boss,网络交换技术 网络协议 通信协议/软件开发,网络交换技术 网络协议 通信协议/软件开发,https://www.zhipin.com/job_detail/88f082b8f972c46d1HBy2d2-EldQ.html
数据通信测试工程师,天融信,13-19K·14薪,北京·海淀区·上地,北京,本科,3-5年,,boss,自动化测试经验 网络运维 测试工作经验 通信相关专业 数据通信 性能测试 功能测试 计算机相关专业 通信测试 网络协议 网络安全 网络维护 自动化测试 网络设备 测试工程师 Python,自动化测试经验 网络运维 测试工作经验 通信相关专业 数据通信 性能测试 功能测试 计算机相关专业 通信测试 网络协议 网络安全 网络维护 自动化测试 网络设备 测试工程师 Python,https://www.zhipin.com/job_detail/821a92fafb7d92f80HN-0t-7Els~.html
数据通信工程师,信通院,150-180元/天,北京,北京,硕士,,,boss,通信协议/软件开发 工业互联网 区块链,通信协议/软件开发 工业互联网 区块链,https://www.zhipin.com/job_detail/7ecb76a7a7ed0d621nd429m4EVZV.html
高性能网络通信工程师/专家 北京上海杭州,某知名电子商务公司,30-60K,北京,北京,本科,3-5年,,boss,有网络工程师经验 C/C++ Python 甲方企业 不需要出差 5年以上网络工程师经验 NCCL vLLM 高速网络,有网络工程师经验 C/C++ Python 甲方企业 不需要出差 5年以上网络工程师经验 NCCL vLLM 高速网络,https://www.zhipin.com/job_detail/831649d9157c13a40nF739y7FVBQ.html
