job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
兼职/全职  数据采集员,江苏利烜,6-7K,北京·海淀区·苏州桥,北京,学历不限,经验不限,,boss,轻松岗 可兼职 数据采集,轻松岗 可兼职 数据采集,https://www.zhipin.com/job_detail/414c03744cda2f150nd83N27E1BR.html
【长白班儿】250/天数据采集员,多米,14-16K,北京·海淀区·学院路,北京,大专,经验不限,,boss,长白班儿 周末双休 数据采集,长白班儿 周末双休 数据采集,https://www.zhipin.com/job_detail/6f44d90483aaad790nJ43N20FVtV.html
采集员/双休,强为,7-8K,北京,北京,大专,经验不限,,boss,双休,双休,https://www.zhipin.com/job_detail/f6c38a8ad6a132960nFz2tW0EFtY.html
250/天数据采集员,广州云泽智盈信息服务,200-250元/天,北京·海淀区·学院路,北京,大专,1年以内,,boss,遥操,遥操,https://www.zhipin.com/job_detail/45113ad3fcddf2b60nJ43ty1F1VW.html
数据采集-长白班,易博互通企服科技,7-8K,北京·海淀区·中关村,北京,学历不限,1-3年,,boss,地图数据采集工程师,地图数据采集工程师,https://www.zhipin.com/job_detail/b5e7e4c2857475710nJ-2dy5EFJZ.html
数据采集,智档,4-5K,北京·海淀区·上地,北京,大专,经验不限,,boss,四肢协调 安卓手机,四肢协调 安卓手机,https://www.zhipin.com/job_detail/cde6d92049d16ae40nJ-2Ni5EFBT.html
数据采集员（无界动力）,保定西鸣智能科技,200-220元/天,北京·海淀区·学院路,北京,大专,经验不限,,boss,数据采集 具身智能机器人 机器人训练师,数据采集 具身智能机器人 机器人训练师,https://www.zhipin.com/job_detail/5b9b6c34b393fa860nF929q7ElFR.html
周结280天 数据采集,云校招,8-9K,北京·海淀区·苏州桥,北京,大专,1年以内,,boss,地图数据采集工程师 机器人数据采集 动捕,地图数据采集工程师 机器人数据采集 动捕,https://www.zhipin.com/job_detail/7670a3f42d23f6640nJ42d24F1pV.html
数据采集员-人形机器人 六险一金 周末双休,同方鼎欣,8-9K,北京·石景山区·苹果园,北京,大专,经验不限,,boss,机器人 手眼协调好 人工智能 数据采集标注 计算机专业,机器人 手眼协调好 人工智能 数据采集标注 计算机专业,https://www.zhipin.com/job_detail/aa1d4a5557b691e80nBz29q8EltW.html
机器人数据采集员,柯莱特集团,6-8K,北京·海淀区·上地,北京,大专,3-5年,,boss,机器人 数据采集,机器人 数据采集,https://www.zhipin.com/job_detail/5892d041f0ab10da0nR62N6-EFFW.html
数据采集员（北京/上海）,广东慧图资环科技发展,7-12K,北京·海淀区·中关村,北京,高中,5-10年,,boss,司机 地图数据采集工程师,司机 地图数据采集工程师,https://www.zhipin.com/job_detail/cd888b26e4fa60db0nV72Ni7ElJV.html
海淀数据采集,至顶科技,6-7K,北京·海淀区·上地,北京,学历不限,经验不限,,boss,采集,采集,https://www.zhipin.com/job_detail/49cbbde79d034f430nd929-9GVpW.html
数据采集专员,安阳启阳信息技术服务,8-11K·13薪,北京·朝阳区·高碑店,北京,大专,1-3年,,boss,地图数据采集工程师,地图数据采集工程师,https://www.zhipin.com/job_detail/553585e4428a00030nFz2NS4FFdX.html
数据采集（接受无经验）,西安朗通企业管理,250-280元/天,北京·海淀区·学院路,北京,学历不限,经验不限,,boss,数据采集,数据采集,https://www.zhipin.com/job_detail/41e6ff0008670e880nF_39u6EFJX.html
机器人数据采集员,天津云图致胜科技,4-8K,北京,北京,大专,经验不限,,boss,机器人 数据 采集,机器人 数据 采集,https://www.zhipin.com/job_detail/3b121769eea092710nd729W0E1BW.html
