job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
具身智能研究实习生,清华大学,100-200元/天,北京,北京,本科,,,boss,研究导向 有国际期刊/会议论文发表 英文读写能力良好 具身智能,研究导向 有国际期刊/会议论文发表 英文读写能力良好 具身智能,https://www.zhipin.com/job_detail/cf73da19aeb912180nJ-2t-9E1VQ.html
光纤传感产品销售工程师（DTS方向）,北京华翊博奥量子科技,8-12K·14薪,北京·通州区·马驹桥,北京,大专,3-5年,,boss,面销/陌拜经验 对企业/机构（To B）销售经验 政府/社会团体（To G） 先进制造 其他产品/服务 面销/陌拜 会展销售 不接受居家办公 DAS DTS 分布式光纤传感 技术性销售,面销/陌拜经验 对企业/机构（To B）销售经验 政府/社会团体（To G） 先进制造 其他产品/服务 面销/陌拜 会展销售 不接受居家办公 DAS DTS 分布式光纤传感 技术性销售,https://www.zhipin.com/job_detail/644fb2ab325c791d0nJ72t66FlZQ.html
智能建造业务总经理,北京某大型电子/硬件开发公司,75-95K,北京,北京,本科,5-10年,,boss,制造业 塔式起重机无人驾驶,制造业 塔式起重机无人驾驶,https://www.zhipin.com/job_detail/5e91e0f19857b4550nF_2Nu0FFRT.html
AI系统数据销售专员【无试岗】,昇垣通,8-13K·13薪,北京·朝阳区·大望路,北京,大专,经验不限,,boss,无经验要求,无经验要求,https://www.zhipin.com/job_detail/2dbaf959a92def100nJ72Nq1EFVQ.html
AI智能眼镜嵌入式系统工程师/Android工程师,深度智耀,20-40K,北京·朝阳区·百子湾,北京,本科,5-10年,,boss,Android系统 Linux嵌入式 智能终端,Android系统 Linux嵌入式 智能终端,https://www.zhipin.com/job_detail/55b217e90bb937460nFz3dW8F1BX.html
驻校人工智能教研经理,网易有道,11-15K,北京·海淀区·上地,北京,本科,3-5年,,boss,企业内部技术项目管理 计算机相关专业 软件研发经验 团队管理经验,企业内部技术项目管理 计算机相关专业 软件研发经验 团队管理经验,https://www.zhipin.com/job_detail/445656cd643e232e0nJ539q9FFZQ.html
摩根智能家居技术工程师,流量密码文化传媒,15-20K,北京·朝阳区·高碑店,北京,大专,3-5年,,boss,建材店 需要晚班 需要家装导购经验 不需要长时间站立 3年以上家装导购经验,建材店 需要晚班 需要家装导购经验 不需要长时间站立 3年以上家装导购经验,https://www.zhipin.com/job_detail/223e1c3d1066e5b603Bz2N66EVVT.html
AI大模型智能体落地工程师,北京佳莲时代文化传媒,15-20K,北京·昌平区·昌平镇,北京,本科,3-5年,,boss,龙虾 智能体 大模型,龙虾 智能体 大模型,https://www.zhipin.com/job_detail/9eeb4f6da06d192f0nFz2Nu7GVVT.html
东二环—首个ai辅助系统无经验要求,北京博越腾飞科技,18-23K,北京·东城区·王府井,北京,高中,经验不限,,boss,无经验要求,无经验要求,https://www.zhipin.com/job_detail/97c296b0413a808f0nJ40ty_ElVY.html
智能超节点产品经理,某知名计算机硬件公司,80-110K·15薪,北京,北京,本科,10年以上,,boss,AI算力 超节点 智算集群 AI服务器,AI算力 超节点 智算集群 AI服务器,https://www.zhipin.com/job_detail/332e1ef921c81c370nJ72N29EltY.html
智能油气业务专家,山东胜软,13-26K,北京·朝阳区·朝外,北京,本科,经验不限,,boss,石油工程 售前技术支持 测井 人工智能 油藏 地震 钻完井 压裂,石油工程 售前技术支持 测井 人工智能 油藏 地震 钻完井 压裂,https://www.zhipin.com/job_detail/0ed6660c4fe662700nJ-29m-E1dY.html
智能制造AI管理负责人,青岛某大型互联网上市公司,100-150K·16薪,北京,北京,本科,10年以上,,boss,制造业,制造业,https://www.zhipin.com/job_detail/15b423ba8cf34d540nF639m6E1ZY.html
智能焊接系统销售总监,认知光子,20-30K·13薪,北京·海淀区·西北旺,北京,大专,10年以上,,boss,焊接 电焊机 电焊丝,焊接 电焊机 电焊丝,https://www.zhipin.com/job_detail/3f8284df87cf53530nd52t6-EFpT.html
AI智能穿戴产品经理,思迈科电子,20-30K,北京·昌平区·回龙观,北京,本科,3-5年,,boss,AI眼镜 AR眼镜 智能穿戴 消费电子 硬件产品经理,AI眼镜 AR眼镜 智能穿戴 消费电子 硬件产品经理,https://www.zhipin.com/job_detail/85d445c51708440d0nd73ty8FlpU.html
具身智能数据采集系统工程师,某人工智能公司,30-60K·15薪,北京,北京,本科,经验不限,,boss,机器人 数据采集,机器人 数据采集,https://www.zhipin.com/job_detail/70a6534d4aa80f470nF539m4FlBQ.html
自动化设备销售经理（SaaS系统及智能硬件）,洗衣管家,11-20K,北京·朝阳区·大望路,北京,大专,5-10年,,boss,制定产品/服务方案 客户开发与维护 市场信息搜集与分析 工业设备销售经验 大中型企业销售经验 商务谈判能力 对机构 (To B) 销售经验 计算机相关学历 机械相关学历 智能硬件 仪器仪表/工业自动化 计算机软件 机械设备/机电/重工,制定产品/服务方案 客户开发与维护 市场信息搜集与分析 工业设备销售经验 大中型企业销售经验 商务谈判能力 对机构 (To B) 销售经验 计算机相关学历 机械相关学历 智能硬件 仪器仪表/工业自动化 计算机软件 机械设备/机电/重工,https://www.zhipin.com/job_detail/8a66b8d61525f9d30nF42926GFBT.html
数据采集-人工智能,博彦科技,6-8K,北京·朝阳区·太阳宫,北京,大专,经验不限,,boss,机器人 人工智能 VR,机器人 人工智能 VR,https://www.zhipin.com/job_detail/3160ac1f77ae0b490nJ-2tS7EVVR.html
智能座舱测试工程师,北京某大型互联网公司,17-24K·15薪,北京,北京,本科,经验不限,,boss,自动化测试 Python 自动化测试经验 座舱测试 语音测试 车联网,自动化测试 Python 自动化测试经验 座舱测试 语音测试 车联网,https://www.zhipin.com/job_detail/2dfe04c924b7df670nJ709u0FFZS.html
AI智能体训练师,飞虎互动,15-25K,北京·海淀区·苏州桥,北京,本科,经验不限,,boss,B端产品 AI机器人 智能体训练,B端产品 AI机器人 智能体训练,https://www.zhipin.com/job_detail/aa041a54a554801a0nFz0tu4FVZW.html
智能家居技术工程师,华梦尚家,6-11K,北京·大兴区·亦庄,北京,大专,1-3年,,boss,电子/硬件系统工程师,电子/硬件系统工程师,https://www.zhipin.com/job_detail/9218d9c42dd21d910nV629q8F1JU.html
智能座舱系统设计工程师,德赛西威,18-35K·13薪,北京·朝阳区·望京,北京,本科,5-10年,,boss,智能座舱 系统设计 汽车电子,智能座舱 系统设计 汽车电子,https://www.zhipin.com/job_detail/6ec5dccfce9c35491XFz09u-F1RV.html
