job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
光学装调员,正时精控科技,6.8-8K,北京·顺义区·石园,北京,学历不限,1-3年,,boss,五险一金 餐补,五险一金 餐补,https://www.zhipin.com/job_detail/f389caa9c46046420nJ709m1FFJZ.html
硬件工程师实习生（智能硬件方向）,宏瓴科技,100-200元/天,北京·朝阳区·朝外,北京,硕士,,,boss,芯片/半导体/集成电路 智能硬件/可穿戴设备 硬件开发经验 智能硬件 车联网,芯片/半导体/集成电路 智能硬件/可穿戴设备 硬件开发经验 智能硬件 车联网,https://www.zhipin.com/job_detail/ef1a78ebd36e1f1b0nJ5296_GVdW.html
【人工智能ai资源】月薪8k+稳定好做！！,企上北,20-35K,北京·朝阳区·国贸,北京,本科,1年以内,,boss,个人（To C） 对企业/机构（To B）销售经验 电话销售经验 网络营销经验 互联网金融 电话销售 网络销售 不接受居家办公,个人（To C） 对企业/机构（To B）销售经验 电话销售经验 网络营销经验 互联网金融 电话销售 网络销售 不接受居家办公,https://www.zhipin.com/job_detail/b2191addaa7602020nJ63Nm4GVZS.html
自动化设备销售经理（SaaS系统及智能硬件）,洗衣管家,11-20K,北京·朝阳区·大望路,北京,大专,5-10年,,boss,制定产品/服务方案 客户开发与维护 市场信息搜集与分析 工业设备销售经验 大中型企业销售经验 商务谈判能力 对机构 (To B) 销售经验 计算机相关学历 机械相关学历 智能硬件 仪器仪表/工业自动化 计算机软件 机械设备/机电/重工,制定产品/服务方案 客户开发与维护 市场信息搜集与分析 工业设备销售经验 大中型企业销售经验 商务谈判能力 对机构 (To B) 销售经验 计算机相关学历 机械相关学历 智能硬件 仪器仪表/工业自动化 计算机软件 机械设备/机电/重工,https://www.zhipin.com/job_detail/8a66b8d61525f9d30nF42926GFBT.html
智能硬件产品经理(3D打印/CNC方向),砥脊科技,25-50K,北京·海淀区·万柳,北京,本科,3-5年,,boss,3D打印 CNC 运动控制 控制系统软件,3D打印 CNC 运动控制 控制系统软件,https://www.zhipin.com/job_detail/32bf2b487fdc11d10nB53Ny0GVZT.html
智能硬件产品经理,内蒙古黑马农牧,45-50K,北京·海淀区·苏州桥,北京,本科,1-3年,,boss,智能硬件产品,智能硬件产品,https://www.zhipin.com/job_detail/f41dc3d75267c3251Hd40t-5ElpW.html
研发负责人（智能硬件）,某大型人工智能公司,90-120K·15薪,北京,北京,本科,经验不限,,boss,互联网/AI,互联网/AI,https://www.zhipin.com/job_detail/b57ad6c3f67bc1030nR-2t-5GFVS.html
具身智能硬件 & Infra 项目实习生,银河通用机器人,260-300元/天,北京·海淀区·中关村,北京,本科,,,boss,计算机相关专业 软件/信息技术项目,计算机相关专业 软件/信息技术项目,https://www.zhipin.com/job_detail/74f881b18d0cc53f0nFz0ti5F1tY.html
智能影像硬件工程师,思迈科电子,20-30K,北京·昌平区·回龙观,北京,本科,3-5年,,boss,影像硬件 相机开发 图像处理 智能硬件研发,影像硬件 相机开发 图像处理 智能硬件研发,https://www.zhipin.com/job_detail/ad4af0cc42ffa2790nd73ty_F1pZ.html
年入20-40W阿里巴巴智能销售精英,北京迪仕通商贸,15-25K,北京·丰台区·花乡,北京,本科,1-3年,,boss,个人（To C） 电话销售经验 面销/陌拜经验 批发/零售 会展销售 电话销售 网络销售 门店/柜台销售 面销/陌拜 AI+全屋智能新赛道 OPC创业,个人（To C） 电话销售经验 面销/陌拜经验 批发/零售 会展销售 电话销售 网络销售 门店/柜台销售 面销/陌拜 AI+全屋智能新赛道 OPC创业,https://www.zhipin.com/job_detail/ac2c67d8a53a0a290nJ-39u0FltY.html
