job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
机器学习实习线上办公,智乐活,150-200元/天,北京,北京,本科,,,boss,远程办公 深度学习 大模型算法 自然语言处理算法 多模态算法 算法工程化经验 推荐算法 SQL 发表算法相关优秀论文 强化学习 参加算法相关竞赛/获奖 数据挖掘 大数据处理工具(Spark/Hadoop/Hive) Python,远程办公 深度学习 大模型算法 自然语言处理算法 多模态算法 算法工程化经验 推荐算法 SQL 发表算法相关优秀论文 强化学习 参加算法相关竞赛/获奖 数据挖掘 大数据处理工具(Spark/Hadoop/Hive) Python,https://www.zhipin.com/job_detail/0fb4db12ae95f0de0nJ529q7EVdQ.html
兼职python（机器学习，深度学习）,北京爱绿洲科技,100-2100元/周,北京·通州区·果园,北京,本科,经验不限,,boss,Python PyTorch TensorFlow,Python PyTorch TensorFlow,https://www.zhipin.com/job_detail/1e43c2a58b5504db0nR93Ni4EVZV.html
机器学习,路遥知仿,10-15K,北京·海淀区·上地,北京,学历不限,1-3年,,boss,深度学习 图像算法 搜索算法 规控算法 Python C/C++,深度学习 图像算法 搜索算法 规控算法 Python C/C++,https://www.zhipin.com/job_detail/8361b3d997b8311b0nJ629W4FlVT.html
机器学习算法实习生（可转正）,交叉科技,300-600元/天,北京·海淀区·五道口,北京,本科,,,boss,深度学习算法 数据挖掘,深度学习算法 数据挖掘,https://www.zhipin.com/job_detail/60dc27895c80305b1XZ60t2_E1pU.html
兼职机器学习技术员,昆明寻真科技有限公司,200-300元/时,北京,北京,本科,3-5年,,boss,C/C++ 图像算法 深度学习 算法工程化经验 大模型算法 自然语言处理算法 多模态算法 其他 并行计算 Python,C/C++ 图像算法 深度学习 算法工程化经验 大模型算法 自然语言处理算法 多模态算法 其他 并行计算 Python,https://www.zhipin.com/job_detail/acc300673660626c1Hd-39i_FlFQ.html
机器学习,华为,15-30K·14薪,北京·海淀区·西北旺,北京,本科,,,boss,C/C++ Java 深度学习 大模型算法 强化学习 Python,C/C++ Java 深度学习 大模型算法 强化学习 Python,https://www.zhipin.com/job_detail/bd13052402c7468a1Hx829m5FlpT.html
量化研究员（机器学习方向）,瑞鑫天算,15-30K,北京,北京,本科,经验不限,,boss,深度学习算法,深度学习算法,https://www.zhipin.com/job_detail/b97b53e27889df533nR42N60F1I~.html
机器学习,微智娱(北京)科...,25-50K·13薪,北京·朝阳区·亚运村,北京,本科,3-5年,,boss,机器学习,机器学习,https://www.zhipin.com/job_detail/edc1663c4c593a390HR809W1E1M~.html
Agent/CV/大模型/NLP/机器学习深度学习算法,外企德科数字,16-29K·16薪,北京·海淀区·西北旺,北京,本科,经验不限,,boss,C/C++ Java 搜索算法 图像算法 深度学习 自然语言处理算法 多模态算法 参加算法相关竞赛/获奖 Python,C/C++ Java 搜索算法 图像算法 深度学习 自然语言处理算法 多模态算法 参加算法相关竞赛/获奖 Python,https://www.zhipin.com/job_detail/2c63720e73cb730c0nF_2t61EVFZ.html
机器学习平台实习生,易点天下,200-250元/天,北京·海淀区·魏公村,北京,本科,,,boss,Golang Java 机器学习 深度学习 Python,Golang Java 机器学习 深度学习 Python,https://www.zhipin.com/job_detail/413031fe7a1d41c10nJ509q_FFRU.html
机器学习研究实习生,正定私募,1000-2000元/天,北京·海淀区·五道口,北京,博士,,,boss,深度学习 推荐算法 Python,深度学习 推荐算法 Python,https://www.zhipin.com/job_detail/df5cd4f5db89f5311Xx_0tS_F1VR.html
Python机器学习,北京莉景沐阳咨询...,200-1200元/时,北京,北京,硕士,1年以内,,boss,Python Docker PyTorch MySQL Redis Oracle MongoDB HBase 架构设计经验 爬虫经验 机器学习经验,Python Docker PyTorch MySQL Redis Oracle MongoDB HBase 架构设计经验 爬虫经验 机器学习经验,https://www.zhipin.com/job_detail/95f81f9c540750a50nJ70tu8EFVT.html
机器学习,博雅研学,50-500元/时,北京·海淀区·学院路,北京,初中及以下,经验不限,,boss,深度学习 多模态算法 C/C++ Python 大数据处理工具(Spark/Hadoop/Hive),深度学习 多模态算法 C/C++ Python 大数据处理工具(Spark/Hadoop/Hive),https://www.zhipin.com/job_detail/d4f92e59f4a7203e0nF-0t69FlRQ.html
机器学习与强化学习方向-顶尖人才,京东物流,80-110K·16薪,北京,北京,博士,,,boss,深度学习 大模型算法 强化学习 自然语言处理算法 数据挖掘 推荐算法 模型加速/性能优化 运筹优化 C/C++ Python 大数据处理工具(Spark/Hadoop/Hive) 发表算法相关优秀论文 参加算法相关竞赛/获奖 算法工程化经验,深度学习 大模型算法 强化学习 自然语言处理算法 数据挖掘 推荐算法 模型加速/性能优化 运筹优化 C/C++ Python 大数据处理工具(Spark/Hadoop/Hive) 发表算法相关优秀论文 参加算法相关竞赛/获奖 算法工程化经验,https://www.zhipin.com/job_detail/90b7388244f7020103N-29q4FFZT.html
机器学习平台实习生,爱诗科技,400-450元/天,北京·海淀区·苏州桥,北京,本科,,,boss,C/C++ 算法工程化经验,C/C++ 算法工程化经验,https://www.zhipin.com/job_detail/24852bcfce00509d1HBz2tS7FlRQ.html
