job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
接受应届生！软件开发/测试工程师,上海万宝盛华信息科技,15-30K·14薪,北京·海淀区·西北旺,北京,本科,经验不限,,boss,五险一金 Java 自动化测试 线上面试/全国分配 周末双休 性能测试 功能测试 Python,五险一金 Java 自动化测试 线上面试/全国分配 周末双休 性能测试 功能测试 Python,https://www.zhipin.com/job_detail/874de4285cd91f460nF82dm0FFtY.html
测试开发【北京华为 本一以上 接受无经验】,华为,15-30K·16薪,北京·海淀区·西北旺,北京,本科,经验不限,,boss,自动化测试,自动化测试,https://www.zhipin.com/job_detail/0c7fe2be47a0adb403x639q4GFNR.html
测试开发-27届校招实习,猫眼微影,200-300元/天,北京·朝阳区·亚运村,北京,本科,,,boss,自动化测试 计算机相关专业 软件开发经验,自动化测试 计算机相关专业 软件开发经验,https://www.zhipin.com/job_detail/a7d244c38b92de470nF62N-5FVFY.html
智驾行车测试开发岗（北/上）,某大型知名汽车研发上市公司,40-60K·15薪,北京,北京,本科,5-10年,,boss,功能测试 性能测试 Jira Python 测试工作经验,功能测试 性能测试 Jira Python 测试工作经验,https://www.zhipin.com/job_detail/f8708bd2a72920ab0nF92dS1FVRU.html
大模型测试开发（北京社保公积金全额）,法本,13-14K,北京·朝阳区·望京,北京,大专,1-3年,,boss,功能测试 Java Python 测试工作经验 大模型 LLM,功能测试 Java Python 测试工作经验 大模型 LLM,https://www.zhipin.com/job_detail/9a3d0b35c790eaff0nJ-2NS5ElNS.html
测试开发工程师,微创软件,14-15K,北京·海淀区·上地,北京,本科,3-5年,,boss,自动化测试经验 Java 测试工作经验 自动化测试 性能测试 渗透测试 压力测试 功能测试 AI大模型 计算机相关专业 掌握软件测试理论和流程 软件开发经验,自动化测试经验 Java 测试工作经验 自动化测试 性能测试 渗透测试 压力测试 功能测试 AI大模型 计算机相关专业 掌握软件测试理论和流程 软件开发经验,https://www.zhipin.com/job_detail/3e4372fc8591e65f0nZ729W_FVdU.html
测试开发工程师,京东集团,30-60K·20薪,北京,北京,本科,5-10年,,boss,自动化测试经验 测试工作经验 自动化测试 性能测试 功能测试 Python,自动化测试经验 测试工作经验 自动化测试 性能测试 功能测试 Python,https://www.zhipin.com/job_detail/20694f3cf6cd71e903V52t-7E1dX.html
测试开发（北京）,外企德科数字,12-24K·15薪,北京·海淀区·苏州桥,北京,本科,经验不限,,boss,自动化测试经验 测试工作经验 iOS/Android测试经验 搜索经验 性能测试 压力测试 功能测试 大厂经验 Jira 用户增长 ai评测 自动化测试 渗透测试 直播测试经验 Python,自动化测试经验 测试工作经验 iOS/Android测试经验 搜索经验 性能测试 压力测试 功能测试 大厂经验 Jira 用户增长 ai评测 自动化测试 渗透测试 直播测试经验 Python,https://www.zhipin.com/job_detail/949e95da92196da90nJ52d61FFBY.html
测试开发工程师,北京白小杨商贸中...,9-13K,北京·朝阳区·大望路,北京,大专,经验不限,,boss,功能测试 性能测试 自动化测试 渗透测试 压力测试 MySQL JMeter Selenium Postman Jira 计算机相关专业 测试工作经验 自动化测试经验 软件开发经验 掌握软件测试理论和流程,功能测试 性能测试 自动化测试 渗透测试 压力测试 MySQL JMeter Selenium Postman Jira 计算机相关专业 测试工作经验 自动化测试经验 软件开发经验 掌握软件测试理论和流程,https://www.zhipin.com/job_detail/745fd382e1fe71640nJ73d64ElZV.html
测试开发工程师（服务端）,滴滴,25-40K·15薪,北京·海淀区·上地,北京,本科,1-3年,,boss,服务端测试 白盒测试 后端测试 AI测试,服务端测试 白盒测试 后端测试 AI测试,https://www.zhipin.com/job_detail/eaaef8e4b476620f0nF409W_FFZZ.html
测试开发实习,京东集团,150-300元/天,北京·大兴区·亦庄,北京,本科,,,boss,Java 自动化测试 软件测试,Java 自动化测试 软件测试,https://www.zhipin.com/job_detail/9600a6f8b72dbd111nxy2Nm1GFVQ.html
资深音视频测试开发专家,小米,50-80K·16薪,北京·海淀区·清河,北京,本科,10年以上,,boss,自动化测试 音视频测试 Android C/C++,自动化测试 音视频测试 Android C/C++,https://www.zhipin.com/job_detail/b0b7f6eac4c964f31n1y2t28E1JS.html
测试开发工程师,元保数科,18-35K·16薪,北京·朝阳区·鸟巢,北京,本科,经验不限,,boss,测试平台 测试工具,测试平台 测试工具,https://www.zhipin.com/job_detail/43af85d242fb29821HJ609m6FlFV.html
Java测试开发,中软国际,13-14K,北京·朝阳区·太阳宫,北京,大专,1-3年,,boss,自动化测试经验 Java 自动化测试,自动化测试经验 Java 自动化测试,https://www.zhipin.com/job_detail/b38e1711772e75ce0nd62t6-GFFW.html
测试开发工程师,北京字节跳动,30-40K·15薪,北京·海淀区·牡丹园,北京,本科,经验不限,,boss,Java,Java,https://www.zhipin.com/job_detail/b14556aa8f6bc5671nxz2NW4FFJZ.html
测试开发实习生（有转正机会）,星河觉醒,200-250元/天,北京·海淀区·学院路,北京,本科,,,boss,性能测试 功能测试 自动化测试,性能测试 功能测试 自动化测试,https://www.zhipin.com/job_detail/5203dcf1bf345c790nJ-39y_FVFU.html
测试开发/双休六险一金好项目,慧博云通,13-16K,北京·海淀区·苏州桥,北京,大专,3-5年,,boss,Golang 自动化测试经验 Java C++ 测试工作经验 性能测试 计算机相关专业 软件开发经验 ai agent Shell 自动化测试 OpenClaw 掌握软件测试理论和流程 Python,Golang 自动化测试经验 Java C++ 测试工作经验 性能测试 计算机相关专业 软件开发经验 ai agent Shell 自动化测试 OpenClaw 掌握软件测试理论和流程 Python,https://www.zhipin.com/job_detail/b47ac89358ed097a0nZz09q4GVdY.html
测试开发工程师,北京软通动力云计...,12-16K,北京·昌平区·北七家,北京,本科,5-10年,,boss,测试工作经验 自动化测试,测试工作经验 自动化测试,https://www.zhipin.com/job_detail/4b37ee57e7d006ca0nF40t24GVdV.html
测试开发-大模型方向,京东科技集团,500-510元/天,北京,北京,本科,,,boss,自动化测试 计算机相关专业 大模型 Agent,自动化测试 计算机相关专业 大模型 Agent,https://www.zhipin.com/job_detail/ee12cedc76dc0c7f0nV439W8EVdZ.html
测试开发实习生（带转正hc）,小熊博望,200-250元/天,北京·海淀区·永泰,北京,本科,,,boss,自动化测试 Java MySQL 计算机相关专业,自动化测试 Java MySQL 计算机相关专业,https://www.zhipin.com/job_detail/ca3b808667977cde0nJ739q-FFJZ.html
测试开发工程师,京东乾石,30-45K·16薪,北京·大兴区·亦庄,北京,本科,3-5年,,boss,自动化测试经验 Java 测试工作经验 自动化测试 性能测试 功能测试,自动化测试经验 Java 测试工作经验 自动化测试 性能测试 功能测试,https://www.zhipin.com/job_detail/48c81ff44bfd100f03V-09m7EVVY.html
资深测试开发工程师,北京懂车帝科技,30-50K·15薪,北京,北京,本科,5-10年,,boss,Python 测试工作经验,Python 测试工作经验,https://www.zhipin.com/job_detail/6d063efb9b243f0b0nF929W5FVFS.html
测试开发工程师（算子/推理框架）,智源人工智能研究院,25-50K,北京·海淀区·学院路,北京,本科,3-5年,,boss,算子测试 推理训练框架测试,算子测试 推理训练框架测试,https://www.zhipin.com/job_detail/89424af4a8d2e30a0nJ60t29GFZQ.html
测试开发（外包360）,神州信息,10-11K,北京·朝阳区·798,北京,大专,3-5年,,boss,自动化测试经验 Java 自动化测试 软件开发经验 Python,自动化测试经验 Java 自动化测试 软件开发经验 Python,https://www.zhipin.com/job_detail/ae0378854d3bbfeb0nB63NS-E1RV.html
测试开发工程师,北京演语科技有限公司,30-60K·15薪,北京·海淀区·苏州桥,北京,本科,3-5年,,boss,功能测试 Java Golang,功能测试 Java Golang,https://www.zhipin.com/job_detail/34f106bc668586f70nJ73Nu_FFNW.html
测试开发（线上面试/反馈快）,广州如是纵横信息...,15-20K,上海·杨浦区·五角场,上海,大专,5-10年,,boss,汽车 座舱,汽车 座舱,https://www.zhipin.com/job_detail/56bf9349bac3adde0nZ_2N69F1BR.html
测试开发（接受无经验/转行+线上面试）,华为技术有限公司,15-30K·14薪,上海·浦东新区·金桥,上海,本科,经验不限,,boss,功能测试 性能测试 自动化测试 Python 测试工作经验 自动化测试经验 掌握软件测试理论和流程 计算机相关专业,功能测试 性能测试 自动化测试 Python 测试工作经验 自动化测试经验 掌握软件测试理论和流程 计算机相关专业,https://www.zhipin.com/job_detail/21b3b2c56adfb3750nd82du-E1VY.html
【日常实习】大模型测试开发实习生-抖音,字节跳动,300-350元/天,上海·杨浦区·五角场,上海,本科,,,boss,agent 大模型,agent 大模型,https://www.zhipin.com/job_detail/9b68990a5df4aed50nB509y7GVNX.html
测试开发工程师-15薪-扁平化管理-弹性打卡,Halara,30-60K·15薪,上海,上海,本科,5-10年,,boss,自动化测试经验 Java 测试工作经验 自动化测试 通信相关专业 性能测试 功能测试 供应链相关系统 计算机相关专业 软件开发经验,自动化测试经验 Java 测试工作经验 自动化测试 通信相关专业 性能测试 功能测试 供应链相关系统 计算机相关专业 软件开发经验,https://www.zhipin.com/job_detail/a7176632d88df7d20ndy2du1GVJS.html
辅助驾驶测试开发工程师,NIO蔚来,290-300元/天,上海·嘉定区·安亭,上海,本科,,,boss,C++ 自动化测试 MySQL 功能测试 计算机相关专业 掌握软件测试理论和流程 Python,C++ 自动化测试 MySQL 功能测试 计算机相关专业 掌握软件测试理论和流程 Python,https://www.zhipin.com/job_detail/6b532f1cca3b7dc50nZ_2du7ElFQ.html
合约测试开发（远程办公）,某知名互联网公司,45-75K·15薪,上海,上海,本科,5-10年,,boss,远程办公 合约测试开发,远程办公 合约测试开发,https://www.zhipin.com/job_detail/0fa69e66e41a6d3903N40tu8E1FR.html
【校招储备】测试开发实习生,莉莉丝游戏,250-300元/天,上海·徐汇区·漕河泾,上海,本科,,,boss,功能测试 性能测试 自动化测试 C++ Python 计算机相关专业 掌握软件测试理论和流程 软件测试,功能测试 性能测试 自动化测试 C++ Python 计算机相关专业 掌握软件测试理论和流程 软件测试,https://www.zhipin.com/job_detail/c306efbe2abfe6f40nF539W7F1BZ.html
行车测试开发,河北某大型汽车研发/制造上市公司,45-75K·15薪,上海,上海,本科,5-10年,,boss,功能测试 自动驾驶测试 路测 ADAS测试 实车测试 ADAS,功能测试 自动驾驶测试 路测 ADAS测试 实车测试 ADAS,https://www.zhipin.com/job_detail/e9135ad3657c067f0nB509S8EldY.html
测试工程师,拼多多集团-PDD,12-24K·16薪,上海·长宁区·仙霞,上海,本科,经验不限,,boss,自动化测试经验 测试工作经验 iOS/Android测试经验 自动化测试 Fiddler MySQL 功能测试 JMeter,自动化测试经验 测试工作经验 iOS/Android测试经验 自动化测试 Fiddler MySQL 功能测试 JMeter,https://www.zhipin.com/job_detail/c04e32cfd1a6c61f1HZ809i1GFJS.html
C++测试开发工程师,ZD,14-20K,上海·普陀区·梅川路,上海,大专,3-5年,,boss,自动化测试经验 C++ 自动化测试 软件开发经验,自动化测试经验 C++ 自动化测试 软件开发经验,https://www.zhipin.com/job_detail/c9cdc114a9f4c5630nF_39i7ElVY.html
测试开发,易宝软件,11-16K,上海·闵行区·吴泾,上海,本科,1-3年,,boss,C 五险一金双休 计算机相关专业,C 五险一金双休 计算机相关专业,https://www.zhipin.com/job_detail/70a8a477622c8c1703B-3tS_ElpT.html
后端测试开发工程师,驿道智能,17-30K,上海·长宁区·新华路,上海,本科,3-5年,,boss,性能测试 Java Python 测试工作经验 云原生 IM/IoT 后台测试,性能测试 Java Python 测试工作经验 云原生 IM/IoT 后台测试,https://www.zhipin.com/job_detail/b4f3631f6408d34e0nJ52Nq7GVVT.html
测试工程师,国诚投顾上海分公司,10-15K,上海·浦东新区·洋泾,上海,本科,1-3年,,boss,自动化测试经验 测试工作经验 自动化测试 功能测试 计算机相关专业 掌握软件测试理论和流程,自动化测试经验 测试工作经验 自动化测试 功能测试 计算机相关专业 掌握软件测试理论和流程,https://www.zhipin.com/job_detail/3cafda435bf606680nF_3NS1EFZT.html
测试开发,软通动力,13-17K,上海·浦东新区·张江,上海,本科,10年以上,,boss,自动化测试 Java Python 计算机相关专业 测试开发,自动化测试 Java Python 计算机相关专业 测试开发,https://www.zhipin.com/job_detail/c4f654b0563d4a930nJ53tq5ElNX.html
