job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
深度学习研究员,深度求索,800-1000元/天,北京·海淀区·苏州桥,北京,硕士,,,boss,机器学习 大模型算法 强化学习 模型加速/性能优化 语音算法 推荐算法 多模态算法 搜索算法 C/C++ Python 并行计算 分布式训练 Java 发表算法相关优秀论文 参加算法相关竞赛/获奖 优秀开源项目经历,机器学习 大模型算法 强化学习 模型加速/性能优化 语音算法 推荐算法 多模态算法 搜索算法 C/C++ Python 并行计算 分布式训练 Java 发表算法相关优秀论文 参加算法相关竞赛/获奖 优秀开源项目经历,https://www.zhipin.com/job_detail/a0dd8d121d44266e0nF43dm_FltT.html
Agent深度学习算法研究员（DS北京/杭州）,某互联网公司,150-220K·24薪,北京,北京,硕士,3-5年,,boss,发表算法相关优秀论文 语音算法 机器学习 大模型算法 自然语言处理算法 多模态算法 算法工程化经验 强化学习 参加算法相关竞赛/获奖 大数据处理工具(Spark/Hadoop/Hive) 优秀开源项目经历 Python,发表算法相关优秀论文 语音算法 机器学习 大模型算法 自然语言处理算法 多模态算法 算法工程化经验 强化学习 参加算法相关竞赛/获奖 大数据处理工具(Spark/Hadoop/Hive) 优秀开源项目经历 Python,https://www.zhipin.com/job_detail/25084c268a25548a0nB93960FFtX.html
agent深度学习算法研究员,某中型互联网公司,70-75K·15薪,北京,北京,本科,3-5年,,boss,网络交换技术,网络交换技术,https://www.zhipin.com/job_detail/d4346b653e1100c20nF60tq8GVVW.html
Agent深度学习算法研究员,深度求索,70-100K·14薪,北京·海淀区·苏州桥,北京,本科,经验不限,,boss,大模型 agent 强化学习 RL,大模型 agent 强化学习 RL,https://www.zhipin.com/job_detail/bc36cbb9b174d5a80nZ52Ni6EFFW.html
深度学习研发工程师,深度求索,60-90K·14薪,北京·海淀区·中关村,北京,本科,经验不限,,boss,大模型算法 自然语言处理算法 Python 并行计算 算法工程化经验 发表算法相关优秀论文 优秀开源项目经历,大模型算法 自然语言处理算法 Python 并行计算 算法工程化经验 发表算法相关优秀论文 优秀开源项目经历,https://www.zhipin.com/job_detail/4b5346ef6885ad3b03B_0tm1FFBX.html
兼职python（机器学习，深度学习）,北京爱绿洲科技,100-2100元/周,北京·通州区·果园,北京,本科,经验不限,,boss,Python PyTorch TensorFlow,Python PyTorch TensorFlow,https://www.zhipin.com/job_detail/1e43c2a58b5504db0nR93Ni4EVZV.html
Agent/CV/大模型/NLP/机器学习深度学习算法,外企德科数字,16-29K·16薪,北京·海淀区·西北旺,北京,本科,经验不限,,boss,C/C++ Java 搜索算法 图像算法 深度学习 自然语言处理算法 多模态算法 参加算法相关竞赛/获奖 Python,C/C++ Java 搜索算法 图像算法 深度学习 自然语言处理算法 多模态算法 参加算法相关竞赛/获奖 Python,https://www.zhipin.com/job_detail/2c63720e73cb730c0nF_2t61EVFZ.html
Agent 深度学习算法研究员,八豆智能,60-80K,北京·朝阳区·大望路,北京,硕士,3-5年,,boss,研究导向 搜索/推荐 Python 有国际期刊/会议论文发表 深度学习经验 机器学习算法/工程化经验 数学/统计相关专业 计算机相关专业,研究导向 搜索/推荐 Python 有国际期刊/会议论文发表 深度学习经验 机器学习算法/工程化经验 数学/统计相关专业 计算机相关专业,https://www.zhipin.com/job_detail/acd30dfcf36409100nBy2Nu_GFVQ.html
清华——深度学习的故障诊断算法实习生,驾驶宝智能,100-150元/天,北京·海淀区·五道口,北京,本科,,,boss,发表算法相关优秀论文 机器学习 图像算法 深度学习 融合感知算法 参加算法相关竞赛/获奖 Python,发表算法相关优秀论文 机器学习 图像算法 深度学习 融合感知算法 参加算法相关竞赛/获奖 Python,https://www.zhipin.com/job_detail/d6da0fc5a5026b350nd439u-F1JX.html
深度学习实习生,中科院计算所,150-200元/天,北京·海淀区·中关村,北京,本科,,,boss,机器学习 图像算法 自然语言处理算法 其他 Python,机器学习 图像算法 自然语言处理算法 其他 Python,https://www.zhipin.com/job_detail/73eb48204380a51903x62di-EVFV.html
深度学习系统 研究员/架构师,SenseTime,45-75K·15薪,北京·海淀区·中关村,北京,硕士,经验不限,,boss,C/C++ 机器学习 大模型算法 算法工程化经验 参加算法相关竞赛/获奖 模型加速/性能优化 Python,C/C++ 机器学习 大模型算法 算法工程化经验 参加算法相关竞赛/获奖 模型加速/性能优化 Python,https://www.zhipin.com/job_detail/a561b03c8e2fb3960nFy29u6EFBS.html
Matlab／Python／深度学习/机器学习兼职,吉林省欣锐智能信...,3500-4000元/周,北京·大兴区·亦庄,北京,本科,经验不限,,boss,深度学习 机器学习 其他 自然语言处理算法 模型加速/性能优化 其他 Python MATLAB 其他 算法工程化经验 参加算法相关竞赛/获奖 优秀开源项目经历,深度学习 机器学习 其他 自然语言处理算法 模型加速/性能优化 其他 Python MATLAB 其他 算法工程化经验 参加算法相关竞赛/获奖 优秀开源项目经历,https://www.zhipin.com/job_detail/0612705fdeab6ab01HF-2N-8EVZT.html
深度学习,奇艺恩典,18-19K,北京·朝阳区·朝外,北京,学历不限,1-3年,,boss,搜索/推荐 语音/图像识别,搜索/推荐 语音/图像识别,https://www.zhipin.com/job_detail/ecec261c9739a8241XJ829y1FltX.html
强化学习算法工程师【北京、上海、苏州】,某大型知名汽车研发上市公司,40-70K·15薪,北京,北京,本科,经验不限,,boss,深度学习 强化学习 自然语言处理算法 模型加速/性能优化 Python 分布式训练,深度学习 强化学习 自然语言处理算法 模型加速/性能优化 Python 分布式训练,https://www.zhipin.com/job_detail/4df9d63824e70f3c0nB929i4GVtW.html
大模型与深度学习研究实习生,交叉科技,300-600元/天,北京·海淀区·学院路,北京,本科,,,boss,人工智能 深度学习 时间序列 大模型,人工智能 深度学习 时间序列 大模型,https://www.zhipin.com/job_detail/a50d238b6eecca9303J-3Nq1FVtQ.html
深度学习方向博士专家,航天空间应用公司,18-35K,北京,北京,博士,1年以内,,boss,深度学习 遥感 地理信息,深度学习 遥感 地理信息,https://www.zhipin.com/job_detail/0ccb57d47209fd821X152NS0EVZW.html
深度学习框架研发工程师,程易科技,25-50K·15薪,北京·朝阳区·三元桥,北京,学历不限,经验不限,,boss,机器学习 图像算法 分布式训练,机器学习 图像算法 分布式训练,https://www.zhipin.com/job_detail/c72a2dfa1b4a8d311HZ439q7EltY.html
