job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
IOT物联网研发经理,中工互联,15-20K,北京·昌平区·龙泽,北京,本科,经验不限,,boss,物联网 工业互联网,物联网 工业互联网,https://www.zhipin.com/job_detail/d6096b1b29cbaa401HB42ti6FlRQ.html
嵌入全栈工程师（固件/物联网/语音交互）,乐播新瑞,18000-25000元/月,北京·通州区·玉桥,北京,本科,经验不限,,boss,通信相关专业 嵌入式/单片机开发经验 计算机相关专业 摄像头 RK3568 智能音箱 RK3588 RK开发经验,通信相关专业 嵌入式/单片机开发经验 计算机相关专业 摄像头 RK3568 智能音箱 RK3588 RK开发经验,https://www.zhipin.com/job_detail/1712817219740f5e0nZ_0ty0FFdS.html
iot/物联网/嵌入式 工程师,Kinghoo,10-15K,北京·朝阳区·豆各庄,北京,大专,1-3年,,boss,嵌入式技术,嵌入式技术,https://www.zhipin.com/job_detail/f5516b0ca3025ac01nR_3tm9F1JS.html
北京兼职机器人安装跟跑调试,厦门聚力优创科技,200-280元/天,北京,北京,大专,1-3年,,boss,实施交付运维 机器人售后服务 计算机相关专业 电子/电气/自动化相关专业 运维经验,实施交付运维 机器人售后服务 计算机相关专业 电子/电气/自动化相关专业 运维经验,https://www.zhipin.com/job_detail/fdaa2f2bbd4c6a4e03Fy2tS_EFZT.html
物联网安全工程师,犬安科技,11-20K,北京·朝阳区·朝阳公园,北京,本科,经验不限,,boss,安全体系架构和研发 安全运维和保障 Python 渗透测试经验 物联网 TARA,安全体系架构和研发 安全运维和保障 Python 渗透测试经验 物联网 TARA,https://www.zhipin.com/job_detail/8a9ae3592516609c0nRy2t-7EVtT.html
机电安装,博鑫精陶,8-12K,北京·丰台区·长辛店,北京,大专,3-5年,,boss,机电设备安装 电线电缆桥架安装,机电设备安装 电线电缆桥架安装,https://www.zhipin.com/job_detail/c5b3b584db7e763603F-2dy5EFFY.html
物联网架构师（IOT专家）,旭阳集团,20-30K,北京·丰台区·科技园区,北京,本科,10年以上,,boss,负载均衡技术 分布式技术 消息队列 网络协议,负载均衡技术 分布式技术 消息队列 网络协议,https://www.zhipin.com/job_detail/77dd446c5898f3d30nd92968GVFU.html
整机电气调试工程师｜PLC 调试 半导体设备,北京北方华创半导...,12-15K,北京·通州区·马驹桥,北京,本科,1-3年,,boss,PLC编程 电子电气/自动化相关专业 电气原理图 设备调试 整机测试 电气调试,PLC编程 电子电气/自动化相关专业 电气原理图 设备调试 整机测试 电气调试,https://www.zhipin.com/job_detail/b9144bcc675f90910nJ52du0FVFY.html
区域销售经理【通信/物联网】,广东某大型通信/网络设备上市公司,20-30K,北京,北京,本科,3-5年,,boss,企业 政府/社会团体 互联网/科技 销售经验 独立开拓市场能力 通信/物联网行业 大客户销售,企业 政府/社会团体 互联网/科技 销售经验 独立开拓市场能力 通信/物联网行业 大客户销售,https://www.zhipin.com/job_detail/d2c443a2708d0a610nR539q_E1RY.html
国企plc调试工程师月薪12-15k+酒店式公寓,北方华创,12-13K,北京·大兴区·亦庄,北京,本科,经验不限,,boss,芯片/半导体/集成电路 汽车硬件产品 机械设计制造相关专业 电子电气/自动化相关专业 机械制造自动化 半导体设备调试 plc编程,芯片/半导体/集成电路 汽车硬件产品 机械设计制造相关专业 电子电气/自动化相关专业 机械制造自动化 半导体设备调试 plc编程,https://www.zhipin.com/job_detail/23f3e1ca845774850nJ-39W-EFNS.html
