job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
物联网工程师,叶帆科技,6-10K,北京·大兴区·西红门,北京,大专,经验不限,,boss,.NET C#,.NET C#,https://www.zhipin.com/job_detail/d3ee6a1e852eacd203Vy2dy_E1JZ.html
物联网开发工程师,朝林松源酒店,18-20K,北京·大兴区·亦庄,北京,本科,5-10年,,boss,Java SpringCloud MySQL MyBatis Redis Spring,Java SpringCloud MySQL MyBatis Redis Spring,https://www.zhipin.com/job_detail/4bf63c3bdf3bc9d31HF50t2_GFpW.html
区域销售经理【通信/物联网】,广东某大型通信/网络设备上市公司,20-30K,北京,北京,本科,3-5年,,boss,企业 政府/社会团体 互联网/科技 销售经验 独立开拓市场能力 通信/物联网行业 大客户销售,企业 政府/社会团体 互联网/科技 销售经验 独立开拓市场能力 通信/物联网行业 大客户销售,https://www.zhipin.com/job_detail/d2c443a2708d0a610nR539q_E1RY.html
物联网技术支持工程师,聚英翱翔,8-12K,北京·海淀区·上地,北京,本科,1-3年,,boss,传感器系统 热风枪 示波器 弱电系统 烙铁 人工智能 网络设备 物联网,传感器系统 热风枪 示波器 弱电系统 烙铁 人工智能 网络设备 物联网,https://www.zhipin.com/job_detail/340fa5dffdd2b4ff1XV82N-5ElNZ.html
iot/物联网/嵌入式 工程师,Kinghoo,10-15K,北京·朝阳区·豆各庄,北京,大专,1-3年,,boss,嵌入式技术,嵌入式技术,https://www.zhipin.com/job_detail/f5516b0ca3025ac01nR_3tm9F1JS.html
物联网安全工程师,犬安科技,11-20K,北京·朝阳区·朝阳公园,北京,本科,经验不限,,boss,安全体系架构和研发 安全运维和保障 Python 渗透测试经验 物联网 TARA,安全体系架构和研发 安全运维和保障 Python 渗透测试经验 物联网 TARA,https://www.zhipin.com/job_detail/8a9ae3592516609c0nRy2t-7EVtT.html
卫星物联网终端测试技术专家,海致科技,30-50K·13薪,北京·丰台区·花乡,北京,本科,10年以上,,boss,通信设备类 卫星通信 物联网通信,通信设备类 卫星通信 物联网通信,https://www.zhipin.com/job_detail/602b41361148bfee0nJ409i9ElRS.html
物联网产品经理,快益通,11-20K,北京·丰台区·花乡,北京,本科,3-5年,,boss,物联网产品,物联网产品,https://www.zhipin.com/job_detail/503cb13460bf97f70nF40t-6FVdT.html
国企工程师助理技术岗接受无经验包吃住五险,北京睿智航,6-7K,北京·大兴区·亦庄,北京,大专,经验不限,,boss,两班倒 每周双休 包吃住 6人间宿舍 宿舍有空调 水电免费 宿舍有热水 五险 坐岗 非流水线 电子厂,两班倒 每周双休 包吃住 6人间宿舍 宿舍有空调 水电免费 宿舍有热水 五险 坐岗 非流水线 电子厂,https://www.zhipin.com/job_detail/fd3d08b6b38c08f90nF62tu_GVVS.html
产品经理-安全生产/物联网,德亚维,12-20K,北京·西城区·金融街,北京,本科,1-3年,,boss,G端产品/政务产品 物联网产品 智慧园区 消防 安全生产 安全生产监测预警 消防物联网,G端产品/政务产品 物联网产品 智慧园区 消防 安全生产 安全生产监测预警 消防物联网,https://www.zhipin.com/job_detail/c61fbadb06ff7e940nJ62tu5ElJZ.html
物联网后端开发（时序数据库/高并发）,信华信,16-23K,北京·丰台区·花乡,北京,本科,3-5年,,boss,Golang MQTT Java 物联网经验 高并发 PostgreSQL MySQL Netty 时序数据库 工业协议 架构设计经验 新能源,Golang MQTT Java 物联网经验 高并发 PostgreSQL MySQL Netty 时序数据库 工业协议 架构设计经验 新能源,https://www.zhipin.com/job_detail/7a36d19ec244c9950nBz2N6-F1NZ.html
