job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
电子工程师,元亨利业科技有限公司,6-11K·13薪,北京·昌平区·昌平镇,北京,本科,1-3年,,boss,DSP开发 PCB设计 电路设计,DSP开发 PCB设计 电路设计,https://www.zhipin.com/job_detail/f0dff7c1737d920f03R_3dW1F1RW.html
汽车座椅电子工程师,某大型汽车零部件公司,15-26K,北京,北京,本科,3-5年,,boss,电器 汽车相关专业 座椅电器,电器 汽车相关专业 座椅电器,https://www.zhipin.com/job_detail/59f01ad1a45f8a460nJ42tS6F1FV.html
电子工程师,北京桔灯地球物理勘探,7-9K·13薪,北京,北京,学历不限,经验不限,,boss,单片机开发 PCB设计 电路设计 万用表 示波器,单片机开发 PCB设计 电路设计 万用表 示波器,https://www.zhipin.com/job_detail/f8533154aedb654a1Xd_29-9EFRU.html
电子工程师,北京天久智享科技,10-11K,北京·房山区·长阳,北京,大专,1-3年,,boss,DSP开发 频谱仪 万用表 示波器 单片机开发 放大器 电磁工程师 EMC测试,DSP开发 频谱仪 万用表 示波器 单片机开发 放大器 电磁工程师 EMC测试,https://www.zhipin.com/job_detail/70e61bd1005ac1f91XF52tm6FVNS.html
电子技术工程师,北京一楠,8-12K,北京,北京,大专,3-5年,,boss,电子元器件工程师 万用表 机械维修,电子元器件工程师 万用表 机械维修,https://www.zhipin.com/job_detail/3a107f69136381501XFy0t2-GFBV.html
电子工程师（提供食宿）,安德集团,15-25K,北京,北京,大专,3-5年,,boss,单片机开发 PCB设计 电路设计,单片机开发 PCB设计 电路设计,https://www.zhipin.com/job_detail/a58caa173b62d87f0nB43t24GVVR.html
电子工程师,星宇航控,12-24K,北京·海淀区·四季青,北京,本科,经验不限,,boss,嵌入式硬件开发 单片机开发 DSP开发 PCB设计 ARM开发,嵌入式硬件开发 单片机开发 DSP开发 PCB设计 ARM开发,https://www.zhipin.com/job_detail/b56ee8431230170a1HN-29W-FFRX.html
电子工程师助理,北京冲天云梦科技,10-11K,北京·昌平区·龙泽,北京,大专,1-3年,,boss,嵌入式硬件开发,嵌入式硬件开发,https://www.zhipin.com/job_detail/83503808ef276d981Xd83Ni4GVdT.html
电力电子硬件工程师（PCB 设计方向）,中青云智,5000-10000元/月,北京·海淀区·西三旗,北京,大专,1-3年,,boss,芯片/半导体/集成电路 电池/电源类产品 电子电气/自动化相关专业,芯片/半导体/集成电路 电池/电源类产品 电子电气/自动化相关专业,https://www.zhipin.com/job_detail/44287cb6f6c57db90nB-3NW8ElBT.html
7k电子工程师助理（双休）,定州麟乘数字科技,7-8K,北京·西城区·西直门,北京,大专,经验不限,,boss,C++ C语言,C++ C语言,https://www.zhipin.com/job_detail/5a00dd0e0852bdd20nBz0960E1RZ.html
LED电子工程师,乐天兴业,8-10K,北京·丰台区·玉泉营,北京,中专,1-3年,,boss,电子工程师 拼接屏 LED显示屏 屏,电子工程师 拼接屏 LED显示屏 屏,https://www.zhipin.com/job_detail/3e72160efd5737f01nR82NW-FVNU.html
电子工程师助理 底薪8200+2k绩效,亳州市初灵信息科技,8-13K·13薪,北京,北京,本科,1年以内,,boss,五险一金 朝九晚六 包吃住或补贴 双休不加班,五险一金 朝九晚六 包吃住或补贴 双休不加班,https://www.zhipin.com/job_detail/b7de1b256427ba4803Z909q_E1FW.html
电子维修工程师,雄霸康宇,8-13K,北京·朝阳区·八里庄,北京,大专,3-5年,,boss,电子维修工程师 自动化技术 半导体技术 嵌入式技术 半导体工程师 电子工程师 硬件工程师 电气工程师,电子维修工程师 自动化技术 半导体技术 嵌入式技术 半导体工程师 电子工程师 硬件工程师 电气工程师,https://www.zhipin.com/job_detail/8bcf06f2bc5be8650Hx_29y8EVQ~.html
电子工程师,北京艾瑞光辉科技产业,8-9K,北京·昌平区·沙河,北京,大专,1-3年,,boss,电路设计,电路设计,https://www.zhipin.com/job_detail/e658e687322e33eb1XF-2d-6GFFT.html
助理电子工程师,北京华晶汇,5-10K,北京·西城区·白纸坊,北京,高中,经验不限,,boss,仪器仪表 电子半导体 电子组装 硬件,仪器仪表 电子半导体 电子组装 硬件,https://www.zhipin.com/job_detail/d6a31a0b908481501nZ829y0EVpU.html
高级电子工程师（外企-社保公积金全额）,北京软通动力云计...,25-35K,北京·海淀区·上地,北京,本科,5-10年,,boss,电路设计 示波器 频谱仪 PCB设计 EMC测试 驱动开发,电路设计 示波器 频谱仪 PCB设计 EMC测试 驱动开发,https://www.zhipin.com/job_detail/06dfe5b64b42aee40nFy29W6F1NW.html
电子工程师,升宇科技,5-9K,北京,北京,本科,经验不限,,boss,电子半导体 电子组装 万用表 烙铁 热风枪 电子工程师 硬件,电子半导体 电子组装 万用表 烙铁 热风枪 电子工程师 硬件,https://www.zhipin.com/job_detail/ed37bb4feaf2b1bf33B82924GFc~.html
电子工程师,中景航泰科技,7-10K,北京·大兴区·亦庄,北京,学历不限,1-3年,,boss,信号发生器 万用表 示波器 烙铁 热风枪 放大器,信号发生器 万用表 示波器 烙铁 热风枪 放大器,https://www.zhipin.com/job_detail/491d07a1ccab8fdd3nF829m1Flo~.html
电子工程师,北京庄志医疗设备...,13-17K·13薪,北京,北京,本科,3-5年,,boss,电路设计 电子元器件工程师,电路设计 电子元器件工程师,https://www.zhipin.com/job_detail/06dd27b82131a6141XN73tu5EVBZ.html
硬件工程师（电子方向）,某小型人工智能公司,30-55K·14薪,北京,北京,本科,3-5年,,boss,芯片/半导体/集成电路 机械设计制造相关专业 电子电气/自动化相关专业 智能硬件/可穿戴设备 硬件开发经验,芯片/半导体/集成电路 机械设计制造相关专业 电子电气/自动化相关专业 智能硬件/可穿戴设备 硬件开发经验,https://www.zhipin.com/job_detail/c2a1ba7292fbc82f0ndy3tS6EFVQ.html
电子工程师,全安科技,10-15K,北京·通州区·次渠,北京,本科,5-10年,,boss,电子工程师,电子工程师,https://www.zhipin.com/job_detail/c9941f1681bc1db80XV-3Nu_Elc~.html
