job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
资深算法工程师,京东集团,35-65K·20薪,北京,北京,本科,经验不限,,boss,深度学习 机器学习 大模型算法 强化学习 其他 规控算法 推荐算法 SLAM算法 多模态算法 融合感知算法 C/C++ Python 其他,深度学习 机器学习 大模型算法 强化学习 其他 规控算法 推荐算法 SLAM算法 多模态算法 融合感知算法 C/C++ Python 其他,https://www.zhipin.com/job_detail/52e2181e545b10101Hx82ti-EltU.html
算法工程师,华泰安信,20-40K·14薪,北京·石景山区·古城,北京,本科,经验不限,,boss,C/C++ 建模 飞行轨远,C/C++ 建模 飞行轨远,https://www.zhipin.com/job_detail/611bef9086723d661nZ83tu4EVM~.html
算法工程师,朱立业,35-50K,北京·海淀区·苏州桥,北京,大专,1-3年,,boss,深度学习 机器学习 大模型算法 强化学习 图像算法 自然语言处理算法 广告算法 多模态算法 推荐算法 Python C/C++ Java MATLAB 算法工程化经验 发表算法相关优秀论文 参加算法相关竞赛/获奖 优秀开源项目经历,深度学习 机器学习 大模型算法 强化学习 图像算法 自然语言处理算法 广告算法 多模态算法 推荐算法 Python C/C++ Java MATLAB 算法工程化经验 发表算法相关优秀论文 参加算法相关竞赛/获奖 优秀开源项目经历,https://www.zhipin.com/job_detail/782db2a954dbb14103F72t-1GFZR.html
飞控算法工程师,飞天巡洋,25-35K,北京·丰台区·花乡,北京,本科,3-5年,,boss,C/C++ MATLAB,C/C++ MATLAB,https://www.zhipin.com/job_detail/d6f9d9b315311fcc1HF42tm1FlBX.html
VLA算法工程师,耀行科技,300-500元/天,北京·海淀区·学院路,北京,本科,,,boss,大模型算法 其他 SLAM算法 其他 Python 其他 VLA 具身智能 机械臂 机器人 世界模型,大模型算法 其他 SLAM算法 其他 Python 其他 VLA 具身智能 机械臂 机器人 世界模型,https://www.zhipin.com/job_detail/0c293cbd8ff6fca30nB82tq1GVpT.html
大模型算法工程师,上海华为技术有限公司,26-50K,北京·海淀区·西北旺,北京,本科,,,boss,Java 图像算法 深度学习 大模型算法 多模态算法 大数据处理框架(Spark/Hadoop/Hive) 算法工程化经验 并行计算 发表算法相关优秀论文 C/C++ 机器学习 强化学习 模型加速/性能优化 Python,Java 图像算法 深度学习 大模型算法 多模态算法 大数据处理框架(Spark/Hadoop/Hive) 算法工程化经验 并行计算 发表算法相关优秀论文 C/C++ 机器学习 强化学习 模型加速/性能优化 Python,https://www.zhipin.com/job_detail/cb606867fee0a5f40nF-3Nq_GVBY.html
算法工程师兼职,七鑫易维,1000-3000元/天,北京·顺义区·天竺,北京,本科,经验不限,,boss,C/C++ 图像算法 深度学习 大模型算法 多模态算法 SLAM算法 优秀开源项目经历 Python,C/C++ 图像算法 深度学习 大模型算法 多模态算法 SLAM算法 优秀开源项目经历 Python,https://www.zhipin.com/job_detail/9a79543e8523645f0nZ83Nm8GFNV.html
算法工程师,华为,20-40K·15薪,北京,北京,本科,,,boss,语音算法 团队管理经验 图像算法 深度学习 大模型算法 多模态算法 算法工程化经验 优秀开源项目经历 发表算法相关优秀论文 C/C++ 机器学习 强化学习 参加算法相关竞赛/获奖 Python,语音算法 团队管理经验 图像算法 深度学习 大模型算法 多模态算法 算法工程化经验 优秀开源项目经历 发表算法相关优秀论文 C/C++ 机器学习 强化学习 参加算法相关竞赛/获奖 Python,https://www.zhipin.com/job_detail/d9f98edf7366aef30nF90tm5EVZX.html
泊车算法工程师,某大型知名互联网公司,30-60K,北京,北京,本科,3-5年,,boss,C/C++ 泊车,C/C++ 泊车,https://www.zhipin.com/job_detail/e983b9dbcefe06821HR_2N60FFRV.html
运动控制算法工程师,瞬恒智能,20-40K·15薪,北京·海淀区·学院路,北京,本科,1-3年,,boss,C/C++ 规控算法 机器人运动控制 ros 算法工程化经验 机器人运动规划 强化学习 机器人运动学,C/C++ 规控算法 机器人运动控制 ros 算法工程化经验 机器人运动规划 强化学习 机器人运动学,https://www.zhipin.com/job_detail/e87e76156ce2e5c90nJ70tm_FlJQ.html
VSLAM算法工程师,某小型人工智能公司,40-70K,北京,北京,本科,1-3年,,boss,机器学习 强化学习 大模型算法 深度学习 SLAM算法 图像算法 C/C++ 发表算法相关优秀论文,机器学习 强化学习 大模型算法 深度学习 SLAM算法 图像算法 C/C++ 发表算法相关优秀论文,https://www.zhipin.com/job_detail/1e9090ebdf3b7a360nFy2Nu8EFFQ.html
车辆控制算法工程师,易航,25-40K·14薪,北京·朝阳区·望京,北京,本科,3-5年,,boss,算法工程化经验 VLC 纵向控制,算法工程化经验 VLC 纵向控制,https://www.zhipin.com/job_detail/0914d111d7bea8790nF639y0FFpR.html
算法工程师,华为,25-35K,北京·海淀区·西北旺,北京,本科,,,boss,大模型算法 深度学习 机器学习 强化学习 图像算法 SLAM算法 模型加速/性能优化 Python C/C++,大模型算法 深度学习 机器学习 强化学习 图像算法 SLAM算法 模型加速/性能优化 Python C/C++,https://www.zhipin.com/job_detail/e4908f80a004ea0f0nJ70t60E1dS.html
算法工程师,领翼工软,14-25K,北京·朝阳区·望京,北京,本科,1-3年,,boss,深度学习 大模型算法 强化学习 图像算法 规控算法 自然语言处理算法 SLAM算法 多模态算法 Python Java MATLAB 大数据处理框架(Spark/Hadoop/Hive) 算法工程化经验 发表算法相关优秀论文 人工智能,深度学习 大模型算法 强化学习 图像算法 规控算法 自然语言处理算法 SLAM算法 多模态算法 Python Java MATLAB 大数据处理框架(Spark/Hadoop/Hive) 算法工程化经验 发表算法相关优秀论文 人工智能,https://www.zhipin.com/job_detail/2669ed513128db5f0nZ72N27E1ZQ.html
算法工程师,瑞鑫天算,15-30K,北京·海淀区·车道沟,北京,本科,经验不限,,boss,智能营销/广告 C/C++ 搜索/推荐 机器学习算法/工程化经验 研究导向 计算机相关专业 深度学习经验 Python,智能营销/广告 C/C++ 搜索/推荐 机器学习算法/工程化经验 研究导向 计算机相关专业 深度学习经验 Python,https://www.zhipin.com/job_detail/f01ac72d35fa995f1Xx92NW6EFVZ.html
算法工程师 - 抖音,字节跳动,30-40K·15薪,北京·海淀区·中关村,北京,本科,,,boss,机器学习 深度学习 大模型算法 多模态算法 强化学习,机器学习 深度学习 大模型算法 多模态算法 强化学习,https://www.zhipin.com/job_detail/bce184ca175d17150nJ52tq7EVpU.html
大模型算法工程师,中金享,20-21K,北京·昌平区·回龙观,北京,本科,1年以内,,boss,深度学习 机器学习 大模型算法 强化学习 自然语言处理算法 风控算法 其他 C/C++ Python Java 大数据处理框架(Spark/Hadoop/Hive) 其他 算法工程化经验 发表算法相关优秀论文 参加算法相关竞赛/获奖 团队管理经验 优秀开源项目经历 大模型 AI产品开发,深度学习 机器学习 大模型算法 强化学习 自然语言处理算法 风控算法 其他 C/C++ Python Java 大数据处理框架(Spark/Hadoop/Hive) 其他 算法工程化经验 发表算法相关优秀论文 参加算法相关竞赛/获奖 团队管理经验 优秀开源项目经历 大模型 AI产品开发,https://www.zhipin.com/job_detail/d5c7c9a54364b5d90nZ42di-EFdW.html
算法工程师,众城鸿运,20-35K,北京·朝阳区·高碑店,北京,本科,,,boss,C/C++ Java 搜索算法 机器学习 图像算法 分布式训练 深度学习 大模型算法 大数据处理框架(Spark/Hadoop/Hive) 强化学习 推荐算法 Python,C/C++ Java 搜索算法 机器学习 图像算法 分布式训练 深度学习 大模型算法 大数据处理框架(Spark/Hadoop/Hive) 强化学习 推荐算法 Python,https://www.zhipin.com/job_detail/c95d1d033bdbe8f91HV83NS7E1pU.html
营销增长算法工程师,BOSS直聘,30-55K·16薪,北京·朝阳区·西坝河,北京,本科,1-3年,,boss,增长算法 策略算法 智能营销,增长算法 策略算法 智能营销,https://www.zhipin.com/job_detail/3b0442336c93e6500nF-3du8EltS.html
算法工程师,中电金信,19-25K,北京·朝阳区·大望路,北京,本科,1-3年,,boss,大模型算法 多模态算法 图像算法 Python 算法工程化经验 视觉 VLM,大模型算法 多模态算法 图像算法 Python 算法工程化经验 视觉 VLM,https://www.zhipin.com/job_detail/4cada2be85f78a540nF_0tS_F1ZQ.html
自动驾驶算法工程师,北京千曙科技有限公司,20-40K·16薪,北京·海淀区·上地,北京,本科,,,boss,C/C++ Python,C/C++ Python,https://www.zhipin.com/job_detail/1e3daeaf60d12fce031z3tW9FVNQ.html
大模型算法工程师,北京三快,30-60K,北京·朝阳区·望京,北京,本科,3-5年,,boss,留学生优先 国内院校优先 深度学习 机器学习 大模型算法 自然语言处理算法 推荐算法 搜索算法 C/C++ Python Java 算法工程化经验 发表算法相关优秀论文 参加算法相关竞赛/获奖,留学生优先 国内院校优先 深度学习 机器学习 大模型算法 自然语言处理算法 推荐算法 搜索算法 C/C++ Python Java 算法工程化经验 发表算法相关优秀论文 参加算法相关竞赛/获奖,https://www.zhipin.com/job_detail/744d395b085de6240nVz3du7EFdV.html
大模型后训练算法工程师,星河觉醒,30-60K·16薪,北京·海淀区·学院路,北京,本科,1-3年,,boss,图像算法 大模型算法 自然语言处理算法 多模态算法 大数据处理框架(Spark/Hadoop/Hive) 强化学习,图像算法 大模型算法 自然语言处理算法 多模态算法 大数据处理框架(Spark/Hadoop/Hive) 强化学习,https://www.zhipin.com/job_detail/2668292375b6954e0nF82960GVpU.html
多模态算法工程师,百度,30-35K·16薪,北京·海淀区·西二旗,北京,本科,,,boss,深度学习 Python 多模态学习 计算机视觉,深度学习 Python 多模态学习 计算机视觉,https://www.zhipin.com/job_detail/498233c21d8acf860nJ509S7GFVU.html
AI量化算法工程师,多米链动技术服务,14-22K,北京·朝阳区·亚运村,北京,大专,3-5年,,boss,发表算法相关优秀论文 语音算法 机器学习 量化 算法工程化经验 参加算法相关竞赛/获奖 优秀开源项目经历 Python,发表算法相关优秀论文 语音算法 机器学习 量化 算法工程化经验 参加算法相关竞赛/获奖 优秀开源项目经历 Python,https://www.zhipin.com/job_detail/1068e21d629fa98b0nB90t-0E1FT.html
图像识别算法工程师,中铁科,10-15K,北京·海淀区·北下关,北京,本科,经验不限,,boss,机器学习 图像算法 深度学习 算法工程化经验 优秀开源项目经历 Python,机器学习 图像算法 深度学习 算法工程化经验 优秀开源项目经历 Python,https://www.zhipin.com/job_detail/15499d7f3ac31c5c03V429q9F1FY.html
算法工程师,郑州华企数煜技术,15-24K,北京·丰台区·花乡,北京,本科,3-5年,,boss,算法工程化经验,算法工程化经验,https://www.zhipin.com/job_detail/486e2e4a8f479ecc0nJ50ti8GFBS.html
颜色算法工程师,北京曲泉新材料,20-21K,北京·朝阳区·成寿寺,北京,大专,5-10年,,boss,深度学习 大模型算法 图像算法 Python Java MATLAB 算法工程化经验,深度学习 大模型算法 图像算法 Python Java MATLAB 算法工程化经验,https://www.zhipin.com/job_detail/9a25ec6f33e2dc6203xz3tS0EltU.html
3DGS算法工程师,观曜科技,15-30K,北京·海淀区·学院路,北京,本科,1-3年,,boss,大模型算法 SLAM算法 算法工程化经验 视觉slam 多视图几何、3DGS NeRF、VGGT；,大模型算法 SLAM算法 算法工程化经验 视觉slam 多视图几何、3DGS NeRF、VGGT；,https://www.zhipin.com/job_detail/323a0c964be6248c0nB92d6-ElFT.html
算法工程师,北京光之域,400-800元/天,北京·海淀区·学院路,北京,本科,,,boss,深度学习 大模型算法 强化学习 广告算法 推荐算法 搜索算法 风控算法 Python 发表算法相关优秀论文 参加算法相关竞赛/获奖 优秀开源项目经历,深度学习 大模型算法 强化学习 广告算法 推荐算法 搜索算法 风控算法 Python 发表算法相关优秀论文 参加算法相关竞赛/获奖 优秀开源项目经历,https://www.zhipin.com/job_detail/36791af55dc04f790nJ70tq-EltU.html
应用算法工程师,经纬恒润,15-25K·15薪,北京,北京,本科,经验不限,,boss,MATLAB 标定 算法集成,MATLAB 标定 算法集成,https://www.zhipin.com/job_detail/56e90fef7797648d0ndy3929E1FT.html
校招提前批-算法工程师,拼多多集团-PDD,30-35K·15薪,上海,上海,本科,,,boss,分布式训练 深度学习 大模型算法 自然语言处理算法 大数据处理框架(Spark/Hadoop/Hive) 算法工程化经验 广告算法 MATLAB 推荐算法 发表算法相关优秀论文 C/C++ 机器学习 强化学习 参加算法相关竞赛/获奖 Python,分布式训练 深度学习 大模型算法 自然语言处理算法 大数据处理框架(Spark/Hadoop/Hive) 算法工程化经验 广告算法 MATLAB 推荐算法 发表算法相关优秀论文 C/C++ 机器学习 强化学习 参加算法相关竞赛/获奖 Python,https://www.zhipin.com/job_detail/35c674f2ba69ccb70nF82NS4FVJQ.html
EMS算法工程师,某大型新能源上市公司,35-50K·16薪,上海,上海,本科,5-10年,,boss,EMS/MBD 调度优化/虚拟电厂 EMS算法工程师,EMS/MBD 调度优化/虚拟电厂 EMS算法工程师,https://www.zhipin.com/job_detail/29f7beb650a7c9670nd82d--F1JW.html
算法工程师,上海从鲸信息技术,30-45K·16薪,上海·长宁区·中山公园,上海,本科,,,boss,深度学习 机器学习 大模型算法 推荐算法 广告算法 搜索算法 Python Java SQL 参加算法相关竞赛/获奖 发表算法相关优秀论文 优秀开源项目经历,深度学习 机器学习 大模型算法 推荐算法 广告算法 搜索算法 Python Java SQL 参加算法相关竞赛/获奖 发表算法相关优秀论文 优秀开源项目经历,https://www.zhipin.com/job_detail/28f32458fe7730280nFy09W9FldX.html
规控算法工程师,赛那德机器人有限公司,40-70K·13薪,上海·嘉定区·南翔,上海,本科,经验不限,,boss,规控算法,规控算法,https://www.zhipin.com/job_detail/9048562405d57a950nF62Nq8GFNS.html
初级算法工程师,真目科技,10-14K,上海·徐汇区·上海南站,上海,本科,1-3年,,boss,机器学习 图像算法 Python C/C++,机器学习 图像算法 Python C/C++,https://www.zhipin.com/job_detail/5c66ecb68357c64f0nF82t67GFBV.html
高级数据算法工程师,某大型汽车零部件公司,40-50K·15薪,上海,上海,本科,5-10年,,boss,深度学习 Python 数据算法 自动驾驶 大数据,深度学习 Python 数据算法 自动驾驶 大数据,https://www.zhipin.com/job_detail/855a80f85bdb028e0nB_2di-GFFX.html
视觉多模态大模型算法工程师,模思,35-65K·15薪,上海·徐汇区·上海南站,上海,本科,经验不限,,boss,VLM LLaVA Qwen-VL 大模型算法 多模态算法 视频理解算法 多模态大模型 Python 视觉多模态,VLM LLaVA Qwen-VL 大模型算法 多模态算法 视频理解算法 多模态大模型 Python 视觉多模态,https://www.zhipin.com/job_detail/17f93695fbdcc9820nBz3dW5F1FZ.html
