job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
【实习】多模态生成算法研究员-探索研究院,京东科技集团,600-1200元/天,北京·海淀区·苏州桥,北京,博士,,,boss,有国际期刊/会议论文发表 业务导向/研究导向 机器学习算法/工程化经验 计算机相关专业 深度学习经验,有国际期刊/会议论文发表 业务导向/研究导向 机器学习算法/工程化经验 计算机相关专业 深度学习经验,https://www.zhipin.com/job_detail/86037d6fa29c48d90nJ63dW8EFpQ.html
大模型算法研究员/实习生 （预训练）,北京某中型人工智能公司,100-200K·15薪,北京,北京,硕士,经验不限,,boss,智能营销/广告 有国际期刊/会议论文发表 业务导向/研究导向 智能驾驶 搜索/推荐 TensorFlow/PyTorch 机器学习算法/工程化经验 计算机相关专业 语音/图像识别 云计算 Python,智能营销/广告 有国际期刊/会议论文发表 业务导向/研究导向 智能驾驶 搜索/推荐 TensorFlow/PyTorch 机器学习算法/工程化经验 计算机相关专业 语音/图像识别 云计算 Python,https://www.zhipin.com/job_detail/efffcbedf67bdd6e0nd929u4ElpZ.html
AI算法研究员/工程师,量智开物,25-50K·15薪,北京·海淀区·学院路,北京,硕士,,,boss,C/C++ 机器学习 规控算法 运筹优化算法 深度学习 强化学习 模型加速/性能优化 Python,C/C++ 机器学习 规控算法 运筹优化算法 深度学习 强化学习 模型加速/性能优化 Python,https://www.zhipin.com/job_detail/1cc2cd4ba3b919670nFz3dS8FFVW.html
大模型算法研究员,蔻町智能,40-70K·16薪,北京·海淀区·学院路,北京,博士,1-3年,,boss,研究导向,研究导向,https://www.zhipin.com/job_detail/9d20ffc08cdce42d03Z42N-1FFJT.html
算法研究员,国家空间科学中心,20-23K,北京·怀柔区·雁栖,北京,博士,经验不限,,boss,数据分析 业务导向/研究导向 机器学习算法 机器学习算法/工程化经验 算法设计 计算机相关专业 数学/统计相关专业,数据分析 业务导向/研究导向 机器学习算法 机器学习算法/工程化经验 算法设计 计算机相关专业 数学/统计相关专业,https://www.zhipin.com/job_detail/afc9eb66f0e2e8771n152dm7E1RX.html
算法研究员,极豪科技,25-45K·14薪,北京·海淀区·苏州桥,北京,硕士,,,boss,语音/图像识别,语音/图像识别,https://www.zhipin.com/job_detail/ad6d2988fcbe434b1Hdy2d66EFRU.html
Agent 深度学习算法研究员,八豆智能,60-80K,北京·朝阳区·大望路,北京,硕士,3-5年,,boss,研究导向 搜索/推荐 Python 有国际期刊/会议论文发表 深度学习经验 机器学习算法/工程化经验 数学/统计相关专业 计算机相关专业,研究导向 搜索/推荐 Python 有国际期刊/会议论文发表 深度学习经验 机器学习算法/工程化经验 数学/统计相关专业 计算机相关专业,https://www.zhipin.com/job_detail/acd30dfcf36409100nBy2Nu_GFVQ.html
算法研究员,沙河启策,300-600元/天,北京·海淀区·万柳,北京,本科,,,boss,有国际期刊/会议论文发表 业务导向/研究导向 国内外顶尖院校 计算机相关专业,有国际期刊/会议论文发表 业务导向/研究导向 国内外顶尖院校 计算机相关专业,https://www.zhipin.com/job_detail/e1f024c610fe320b0nF80tm-EVBV.html
算法研究员,易点云,200-250元/天,北京·海淀区·上地,北京,本科,,,boss,机器学习 图像算法 自然语言处理算法 Python,机器学习 图像算法 自然语言处理算法 Python,https://www.zhipin.com/job_detail/f34b3cada94321e80nF92N-0ElNV.html
AI算法研究员（秋招）,聚宽投资,50-80K·18薪,北京·朝阳区·朝外,北京,本科,,,boss,有国际期刊/会议论文发表 智能驾驶 搜索/推荐 机器学习算法/工程化经验 计算机相关专业 深度学习经验 Python,有国际期刊/会议论文发表 智能驾驶 搜索/推荐 机器学习算法/工程化经验 计算机相关专业 深度学习经验 Python,https://www.zhipin.com/job_detail/46df0dc2fbdbc3480nJ72tq1ElJQ.html
高级算法研究员,某大型计算机软件公司,50-75K·14薪,北京,北京,本科,3-5年,,boss,机器学习 大模型算法 算法工程化经验,机器学习 大模型算法 算法工程化经验,https://www.zhipin.com/job_detail/f8ac54771509f02f0nJ629W-GVRZ.html
量化投资算法研究员,天算量化,20-35K,北京·朝阳区·安贞,北京,硕士,,,boss,有国际期刊/会议论文发表 TensorFlow/PyTorch 机器学习算法/工程化经验 计算机相关专业 深度学习经验 Python 数学/统计相关专业,有国际期刊/会议论文发表 TensorFlow/PyTorch 机器学习算法/工程化经验 计算机相关专业 深度学习经验 Python 数学/统计相关专业,https://www.zhipin.com/job_detail/9046899a7c7a260003V72ti0GFVR.html
具身智能算法研究员,贝塔无限,500-1000元/天,北京·海淀区·学院路,北京,硕士,,,boss,业务导向/研究导向,业务导向/研究导向,https://www.zhipin.com/job_detail/01d3799124e45cf70nFy2Nq8GVFW.html
【快Star】具身智能算法研究员,快手,面议,北京,北京,本科,,,boss,校招,校招,https://www.zhipin.com/job_detail/f4e4d99cb9ea86620nJ63d-8ElFY.html
推荐算法助理研究员(Agent方向),搜狐,200-250元/天,北京,北京,本科,,,boss,大模型Agent 大模型 LLM 大模型推荐 推荐算法,大模型Agent 大模型 LLM 大模型推荐 推荐算法,https://www.zhipin.com/job_detail/1432794452a8cefc0nJ429u4EldR.html
