job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
光伏系统工程师,北京幼苗信息服务公司,8-9K,北京·海淀区·万柳,北京,学历不限,经验不限,,boss,接受无光伏设计经验,接受无光伏设计经验,https://www.zhipin.com/job_detail/e9030625a4f3b3840nJ52Nu9GVFT.html
自动驾驶系统工程师,北汽福田,15-20K·15薪,北京·昌平区·沙河,北京,本科,经验不限,,boss,车辆工程相关专业 汽车电子系统开发经验 L2/L3智能驾驶功能开发经验,车辆工程相关专业 汽车电子系统开发经验 L2/L3智能驾驶功能开发经验,https://www.zhipin.com/job_detail/0e4aba32045148f11XJ-2ty8GFdX.html
自动驾驶系统工程师,甲板智慧,25-50K,北京·石景山区·古城,北京,本科,5-10年,,boss,ROS2,ROS2,https://www.zhipin.com/job_detail/ad0d6926111d68a403x72tW5F1VW.html
停车系统工程师,北京鸿绪博阅文化传媒,6-10K,北京·朝阳区·双桥,北京,中专,1-3年,,boss,捷顺 畅悦 车行神舟 e t c p 壹媒介,捷顺 畅悦 车行神舟 e t c p 壹媒介,https://www.zhipin.com/job_detail/94bc0bc1f657561b0nF809u-GVRY.html
自动驾驶系统工程师,某500强上市公司,24-40K·14薪,北京,北京,本科,10年以上,,boss,行车功能 泊车功能 主动安全,行车功能 泊车功能 主动安全,https://www.zhipin.com/job_detail/97a151da744e0da81HZ53N66ElBU.html
资深系统工程师,北京天鸿科技有限公司,10-15K,北京·房山区·良乡,北京,中专,3-5年,,boss,呼叫中心,呼叫中心,https://www.zhipin.com/job_detail/5a512271b9c616710nZ939u9F1FW.html
储能系统工程师,鼎汉技术,20-40K,北京,北京,本科,5-10年,,boss,PCS 光储能 新能源发电 BMS 接受无光伏设计经验 光伏 电力储能 系统方案设计 储能,PCS 光储能 新能源发电 BMS 接受无光伏设计经验 光伏 电力储能 系统方案设计 储能,https://www.zhipin.com/job_detail/16318779a7d13fb11HN529i4FlNV.html
系统工程师,观界咨询,15-30K,北京·朝阳区·国展,北京,学历不限,1-3年,,boss,系统工程师 HPC,系统工程师 HPC,https://www.zhipin.com/job_detail/37c5cffc31db9e681Xx-3du6F1tT.html
adas driving 智能驾驶行车系统工程师,重庆经创至新,15-28K,北京·朝阳区·望京,北京,本科,1-3年,,boss,英文读写能力良好 计算机/通信相关专业 ADAS开发经验,英文读写能力良好 计算机/通信相关专业 ADAS开发经验,https://www.zhipin.com/job_detail/c38926e45669ef5d0nB40tq8FFtR.html
新风系统工程师,都蓝科技,10-12K,北京,北京,本科,3-5年,,boss,传感器系统 电子/硬件系统工程师 电源系统 动力系统,传感器系统 电子/硬件系统工程师 电源系统 动力系统,https://www.zhipin.com/job_detail/cb0838d7483e36ce1nV52ti0FFdX.html
系统工程师,润科通用,20-40K,北京·海淀区·北太平庄,北京,硕士,经验不限,,boss,matlab 接受实习/在校生投递 控制系统 仿真建模 电子/硬件系统工程师,matlab 接受实习/在校生投递 控制系统 仿真建模 电子/硬件系统工程师,https://www.zhipin.com/job_detail/31212226492c18fd1XR-09-6EVpV.html
通信系统工程师,工大卫星技术,40-50K·16薪,北京·海淀区·西北旺,北京,本科,10年以上,,boss,5G 通信系统工程师 通信SE 卫星通信 通信载荷,5G 通信系统工程师 通信SE 卫星通信 通信载荷,https://www.zhipin.com/job_detail/5164bdc7ddb09f6e0nF729W8GVVU.html
系统工程师,中芯国际,12-18K·15薪,北京·大兴区·亦庄,北京,本科,5-10年,,boss,超纯水，废水，半导体,超纯水，废水，半导体,https://www.zhipin.com/job_detail/219eb4ce4791cfc633V50t25GFU~.html
光伏系统工程师,圣朗玛新能,11-20K,北京·丰台区·科技园区,北京,大专,3-5年,,boss,新能源 项目经理,新能源 项目经理,https://www.zhipin.com/job_detail/6f1ee6fbc42361901Xx739u7EFBV.html
系统工程师,国科环宇,30-45K·13薪,北京·海淀区·上地,北京,本科,5-10年,,boss,雷达系统 军工整机研发 军工、弹载、箭载 测控、导航、雷达 嵌入式技术,雷达系统 军工整机研发 军工、弹载、箭载 测控、导航、雷达 嵌入式技术,https://www.zhipin.com/job_detail/a0fe4499cadb380d1XZ729W1EFRW.html
自动驾驶系统工程师,云控智行,20-40K,北京,北京,本科,经验不限,,boss,CAN C++ 自动驾驶场景开发 ADAS开发 算法设计,CAN C++ 自动驾驶场景开发 ADAS开发 算法设计,https://www.zhipin.com/job_detail/b7d9ff372274dbed1XZ509-9GFBS.html
网络系统工程师,百度在线,20-40K·16薪,北京·海淀区·上地,北京,本科,经验不限,,boss,有网络工程师经验 甲方企业 1到3年网络工程师经验 3到5年网络工程师经验 计算机相关专业,有网络工程师经验 甲方企业 1到3年网络工程师经验 3到5年网络工程师经验 计算机相关专业,https://www.zhipin.com/job_detail/69b52b7c79862b690nF62di_EVRY.html
汽车电子系统工程师,北京英创汇智,13-19K·13薪,北京·大兴区·马驹桥,北京,本科,1-3年,,boss,电子/硬件系统工程师,电子/硬件系统工程师,https://www.zhipin.com/job_detail/36c1a419bcb6dc470nR929m_E1BX.html
自动驾驶系统工程师,经纬恒润,25-40K,北京·朝阳区·望京,北京,本科,经验不限,,boss,英文读写能力良好 ADAS开发经验,英文读写能力良好 ADAS开发经验,https://www.zhipin.com/job_detail/245b0c2bcf9f3f070nV-2t-8GVpY.html
系统工程师,中控泰科,18-19K,北京·海淀区·西山,北京,本科,经验不限,,boss,系统运维 IT技术支持 SQL MySQL 计算机软件 解决方案 网络设备 网络交换技术,系统运维 IT技术支持 SQL MySQL 计算机软件 解决方案 网络设备 网络交换技术,https://www.zhipin.com/job_detail/0ad5b794375fc0551nR40tW8ElNV.html
视频系统工程师,诺华视创,5-8K,北京·丰台区·花乡,北京,大专,1-3年,,boss,虚拟转播 动捕 虚拟拍摄,虚拟转播 动捕 虚拟拍摄,https://www.zhipin.com/job_detail/25f8f73e75d6a7ae1XZ_2ti0FlRY.html
转向系统工程师,上海赛利胜,30-60K·15薪,北京·顺义区·后沙峪,北京,本科,3-5年,,boss,接受无底盘工程师经验 转向系统 硬件,接受无底盘工程师经验 转向系统 硬件,https://www.zhipin.com/job_detail/52f2e8eb266d575d0nF92d20E1JZ.html
光伏系统工程师,中海恒源,8-13K,北京,北京,大专,经验不限,,boss,分布式系统,分布式系统,https://www.zhipin.com/job_detail/e4469ce556ec8f111nZ709W4FlpW.html
精密空调开发系统工程师,同飞制冷,18-25K·15薪,北京·朝阳区·姚家园,北京,本科,1-3年,,boss,电子/硬件系统工程师 精密空调，CRAC，小精密，数据中心，通,电子/硬件系统工程师 精密空调，CRAC，小精密，数据中心，通,https://www.zhipin.com/job_detail/732053c222fbe8411HN_09S8EFVW.html
自动驾驶系统工程师,Momenta,30-60K·14薪,北京·海淀区·学院路,北京,本科,5-10年,,boss,C/C++ 计算机/通信相关专业,C/C++ 计算机/通信相关专业,https://www.zhipin.com/job_detail/f0b809fd267c5de603J709q8GFRU.html
系统工程师,飞越博,12-14K,北京·丰台区·花乡,北京,大专,3-5年,,boss,生活热水系统 暖通空调系统解决方案,生活热水系统 暖通空调系统解决方案,https://www.zhipin.com/job_detail/663f41f96e68e9da0nB53Nm5EFZV.html
系统工程师,某大型专用设备公司,60-80K·16薪,北京,北京,本科,3-5年,,boss,汽车,汽车,https://www.zhipin.com/job_detail/973f5e504f2f7a080nF_3966FVFV.html
自动驾驶系统工程师,踏歌智行,30-50K·15薪,北京·海淀区·学院路,北京,本科,5-10年,,boss,感知 决策 自动驾驶软件系统 无人驾驶系统 无人驾驶架构,感知 决策 自动驾驶软件系统 无人驾驶系统 无人驾驶架构,https://www.zhipin.com/job_detail/ef78f4c650d6ec0e03Fz0929ElBR.html
制动系统工程师,恩永科技,10-15K,北京·怀柔区·泉河,北京,大专,3-5年,,boss,制动,制动,https://www.zhipin.com/job_detail/97a78fda16e2353f0nd70t6-GFFV.html
系统工程师,小马智行,30-50K·16薪,北京·大兴区·亦庄,北京,本科,3-5年,,boss,智驾系统 三电 热管理 VCU,智驾系统 三电 热管理 VCU,https://www.zhipin.com/job_detail/b993bf2767fdcd840ndz2t-5E1NS.html
系统工程师,瑞盖科技,10-13K,北京·东城区·广渠门,北京,大专,3-5年,,boss,电子/硬件系统工程师,电子/硬件系统工程师,https://www.zhipin.com/job_detail/f673942509bbe7c41XJ6292_EFpV.html
系统工程师,佳农食品控股（集...,13-18K,上海·浦东新区·金桥,上海,本科,5-10年,,boss,OA系统 档案系统 系统集成项目管理工程师 计算机相关专业 计算机/网络系统工程师 EHR系统 EMS系统,OA系统 档案系统 系统集成项目管理工程师 计算机相关专业 计算机/网络系统工程师 EHR系统 EMS系统,https://www.zhipin.com/job_detail/32c2bb72971f44ef0nF_3dm5FFNY.html
泊车系统工程师,某中型汽车研发/制造公司,40-70K,上海,上海,本科,3-5年,,boss,ADAS开发经验 泊车,ADAS开发经验 泊车,https://www.zhipin.com/job_detail/58cb2b66aa5f39be0nB_29W7GFVU.html
