job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
系统集成大客户销售,鲲晟互联,11-20K·13薪,北京·朝阳区·高碑店,北京,大专,经验不限,,boss,通信/网络设备 B端市场开发经验 计算机相关学历 业务开拓能力 市场营销相关学历 互联网/科技 新客户开发 制定销售策略和目标 收集分析市场信息 客户关系维护 定制解决方案,通信/网络设备 B端市场开发经验 计算机相关学历 业务开拓能力 市场营销相关学历 互联网/科技 新客户开发 制定销售策略和目标 收集分析市场信息 客户关系维护 定制解决方案,https://www.zhipin.com/job_detail/153d297437a75f340nF-2NW5EFRW.html
系统集成,万飞,7-12K,北京·门头沟区·龙泉,北京,高中,1年以内,,boss,弱电系统集成经验,弱电系统集成经验,https://www.zhipin.com/job_detail/c9c700e6901fbd7d1HF83Nm1EVNS.html
系统集成项目经理,北京丽方世纪科技,9-14K,北京·昌平区·二拨子村,北京,大专,5-10年,,boss,弱电系统集成经验 系统集成项目管理工程师,弱电系统集成经验 系统集成项目管理工程师,https://www.zhipin.com/job_detail/60e3bd46f71b14041XN42N66EVpV.html
售前解决方案专家（能源/金融/交通/智算）,天云融创数据科技,30-40K,北京·朝阳区·王四营,北京,本科,5-10年,,boss,金融信息化项目 医疗/大健康信息化项目 能源信息化项目 智慧城市信息化项目 系统集成 可适应出差 计算机/通信相关专业 PMP 能源 智慧城市 金融 交通 智算中心,金融信息化项目 医疗/大健康信息化项目 能源信息化项目 智慧城市信息化项目 系统集成 可适应出差 计算机/通信相关专业 PMP 能源 智慧城市 金融 交通 智算中心,https://www.zhipin.com/job_detail/458837caff3528b60nR_3tu0FVNQ.html
系统集成调试与测试/产品生产制造,电子工程总体研究所,9-13K,北京·海淀区·五棵松,北京,本科,,,boss,通信相关专业 软件开发经验 运维工作经验,通信相关专业 软件开发经验 运维工作经验,https://www.zhipin.com/job_detail/be1e269dfa8208120nV92tS9ElpT.html
系统集成经理,中企顺达科技,12-20K,北京·房山区·良乡,北京,本科,3-5年,,boss,弱电系统集成经验 CCIE 系统集成项目管理工程师 通信机房项目经验 安全集成/信息安全相关经验,弱电系统集成经验 CCIE 系统集成项目管理工程师 通信机房项目经验 安全集成/信息安全相关经验,https://www.zhipin.com/job_detail/73ba5d5cac1c937b0nZ939u6GVBV.html
弱点系统集成工程师,浩宇中天,10-11K,北京·海淀区·知春路,北京,大专,5-10年,,boss,弱电系统集成经验,弱电系统集成经验,https://www.zhipin.com/job_detail/211324b394ef14c01Xxz3t61FVBR.html
系统集成实施工程师,东方智汇,5-8K,北京,北京,本科,1-3年,,boss,弱电系统集成经验 通信机房项目经验 安全集成/信息安全相关经验,弱电系统集成经验 通信机房项目经验 安全集成/信息安全相关经验,https://www.zhipin.com/job_detail/a719b1625c7e95a90nZ80965F1FQ.html
系统集成销售经理,软通动力,30-60K,北京·海淀区·上地,北京,本科,5-10年,,boss,系统集成 千万级 AI算力 华为 企业（To B）,系统集成 千万级 AI算力 华为 企业（To B）,https://www.zhipin.com/job_detail/5c0c8e1761540e890nB82d-5F1RR.html
系统集成工程师,北京路柯光电科技...,6-9K,北京·丰台区·花乡,北京,中专,经验不限,,boss,系统集成项目管理工程师,系统集成项目管理工程师,https://www.zhipin.com/job_detail/c0150a87ce39cc5b1XJ92tu7FlJZ.html
智能弱电系统集成工程师,诚实博亿,8-12K,北京·朝阳区·高碑店,北京,本科,5-10年,,boss,弱电系统集成经验,弱电系统集成经验,https://www.zhipin.com/job_detail/acb224edbef631521HV92dm5FlJV.html
多媒体系统集成工程师,北京意诚意,5-10K·14薪,北京·朝阳区·高碑店,北京,高中,经验不限,,boss,CAD 机房运维 网络运维 系统运维,CAD 机房运维 网络运维 系统运维,https://www.zhipin.com/job_detail/ee7cfa17aad190351nBy39i_EFJX.html
高级系统集成工程师,远桥科技,7-8K,北京,北京,本科,3-5年,,boss,计算机相关专业,计算机相关专业,https://www.zhipin.com/job_detail/2d740957639fe1da0nF90ti_EFZZ.html
系统集成,中移系统集成有限公司,16-25K·15薪,北京·丰台区·六里桥,北京,本科,3-5年,,boss,计算机相关专业 弱电系统集成经验,计算机相关专业 弱电系统集成经验,https://www.zhipin.com/job_detail/96b22dd3dd2828e803R_0t25GVpY.html
系统集成实施工程师,北京赢科,7-12K,北京·海淀区·牡丹园,北京,本科,1-3年,,boss,弱电系统集成经验 音视频集成 多媒体控制,弱电系统集成经验 音视频集成 多媒体控制,https://www.zhipin.com/job_detail/718b7c2bd8ba59d61X143tu1E1VU.html
系统集成项目经理,盛朴盈辉,8-13K,北京·昌平区·回龙观,北京,大专,3-5年,,boss,计算机相关专业 管理相关专业 系统集成项目管理工程师,计算机相关专业 管理相关专业 系统集成项目管理工程师,https://www.zhipin.com/job_detail/4285f326664f132a0nF_2d-1FltU.html
系统集成工程师,得翼,10-15K·13薪,北京·西城区·牛街,北京,本科,3-5年,,boss,网络或弱电项目管理,网络或弱电项目管理,https://www.zhipin.com/job_detail/43ac258a928e91211XR_2d2-F1JQ.html
多媒体系统集成工程师,歌语,8-12K,北京·朝阳区·酒仙桥,北京,大专,3-5年,,boss,实施工程师/顾问 系统集成工程师 硬件实施,实施工程师/顾问 系统集成工程师 硬件实施,https://www.zhipin.com/job_detail/23ead85a50b12e601nJz3d2-FFdY.html
系统集成销售,网联卓越,8-13K,北京·海淀区·上地,北京,大专,3-5年,,boss,弱电系统集成经验 网络弱电 通信机房项目经验 安全集成/信息安全相关经验 交换机,弱电系统集成经验 网络弱电 通信机房项目经验 安全集成/信息安全相关经验 交换机,https://www.zhipin.com/job_detail/512913537b4ac46d03V83t64GVFY.html
