job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
网络安全工程师（实习生）,北京国测数科网络科技,8-13K,北京·顺义区·仁和,北京,本科,,,boss,Java C/C++ 渗透测试经验 计算机/信息安全相关专业 PHP 安全架构搭建经验 安全产品/平台开发经验 安全运维经验 Python,Java C/C++ 渗透测试经验 计算机/信息安全相关专业 PHP 安全架构搭建经验 安全产品/平台开发经验 安全运维经验 Python,https://www.zhipin.com/job_detail/a7d5d202b14676600nFy3961ElBW.html
网络安全专家-中海油外包,国科科技,15-20K,北京·朝阳区·安贞,北京,本科,5-10年,,boss,安全体系架构和研发 安全架构搭建经验,安全体系架构和研发 安全架构搭建经验,https://www.zhipin.com/job_detail/deba8b6e3552551b0nd-2N-7GVVX.html
网络安全护网蓝队,北京慧安天下安全科技,14-28K,北京·丰台区·花乡,北京,大专,1-3年,,boss,PMP 渗透测试经验 CISSP/CISP 计算机/信息安全相关专业 攻防对抗经验 CISA,PMP 渗透测试经验 CISSP/CISP 计算机/信息安全相关专业 攻防对抗经验 CISA,https://www.zhipin.com/job_detail/baec7948dce95b2f0nZ42Nq7F1NS.html
网络安全监测分析（短期）,绵阳奇安信,10-15K,北京·西城区·金融街,北京,大专,1-3年,,boss,安全运维经验 渗透测试经验 攻防对抗经验,安全运维经验 渗透测试经验 攻防对抗经验,https://www.zhipin.com/job_detail/0e644bc780d027d303x90t-0F1pU.html
网络安全,中电信数智,20-40K,北京·西城区·西直门,北京,本科,5-10年,,boss,计算机/信息安全相关专业,计算机/信息安全相关专业,https://www.zhipin.com/job_detail/88229fdab89a19f71HB72N64EVRS.html
信息安全实习生,安恒信息,150-160元/天,北京·海淀区·颐和园,北京,大专,,,boss,助理 信息安全,助理 信息安全,https://www.zhipin.com/job_detail/7fbb6c0b63ea3a1f1X162dy9EVFZ.html
网络安全行业专家,国能信控,35-45K·15薪,北京·西城区·官园,北京,本科,10年以上,,boss,安全运维和保障,安全运维和保障,https://www.zhipin.com/job_detail/a7b3d259e7bd37431HV739q4ElVT.html
信息安全售前咨询,电科网安,15-25K,北京·丰台区,北京,本科,3-5年,,boss,网络安全 信息安全,网络安全 信息安全,https://www.zhipin.com/job_detail/d988db69791f57fb03R62ti7FFo~.html
驻场网络安全运维工程师,北京尧晟通科技,8-9K,北京·石景山区·苹果园,北京,本科,3-5年,,boss,计算机/信息安全相关专业 攻防对抗经验 CISSP/CISP,计算机/信息安全相关专业 攻防对抗经验 CISSP/CISP,https://www.zhipin.com/job_detail/bac599dd6f99438c0nF53Nm6GVZV.html
网络安全产品实习生,悬镜,150-200元/天,北京·海淀区·上地,北京,本科,,,boss,计算机/信息安全相关专业 安全产品/平台开发经验,计算机/信息安全相关专业 安全产品/平台开发经验,https://www.zhipin.com/job_detail/847e500258c081a903d_0tW1F1JQ.html
网络安全工程师,长安通信,15-20K·14薪,北京·昌平区·回龙观,北京,本科,经验不限,,boss,安全体系架构和研发 Python 安全架构搭建经验 安全产品/平台开发经验 数据安全管理经验 数据安全 网络安全,安全体系架构和研发 Python 安全架构搭建经验 安全产品/平台开发经验 数据安全管理经验 数据安全 网络安全,https://www.zhipin.com/job_detail/df295d23fa70f4580nJ73N60ElRW.html
