job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
北京上海各区招自动化设备测试员220/天,广州平云小匠科技,6-7K,北京·朝阳区·大望路,北京,学历不限,经验不限,,boss,计算机相关专业 测试工作经验 自动化测试经验 北京上海点位 带薪培训,计算机相关专业 测试工作经验 自动化测试经验 北京上海点位 带薪培训,https://www.zhipin.com/job_detail/9f8976f8f6dcce910nJ-2dW0EVZV.html
国企 PLC 测试工程师 线上面试 15000,北方华创微电子,11-16K,北京·大兴区·亦庄,北京,大专,1-3年,,boss,包吃住 自动化 PLC 专业,包吃住 自动化 PLC 专业,https://www.zhipin.com/job_detail/98685f9408f9e6b20nJ509W9E1tV.html
#急聘机电装配/电气装配/自动化测试,北方华创,12-15K,北京,北京,大专,1-3年,,boss,机械设计制造相关专业 电子电气/自动化相关专业 数字电路/模拟电路基础 机电工程师 电气工程师 自动化工程师 测试 机电装配/电气装配,机械设计制造相关专业 电子电气/自动化相关专业 数字电路/模拟电路基础 机电工程师 电气工程师 自动化工程师 测试 机电装配/电气装配,https://www.zhipin.com/job_detail/e344d2a5b354282c0nB53dm6FlRX.html
自动化测试,旭联佳创,16-18K·13薪,北京·西城区·动物园,北京,大专,3-5年,,boss,计算机相关专业,计算机相关专业,https://www.zhipin.com/job_detail/b43196194fbd52921XB80tS9FVNX.html
自动化测试,北京内核科技有限公司,12-24K,北京·海淀区·上地,北京,学历不限,经验不限,,boss,Golang Java C++ Shell Python,Golang Java C++ Shell Python,https://www.zhipin.com/job_detail/81e25db7ee6705c4031529S8GVJV.html
自动化测试,亳州市初灵信息科技,8-13K·13薪,北京,北京,本科,经验不限,,boss,不加班 入职五险一金,不加班 入职五险一金,https://www.zhipin.com/job_detail/38aa61ca91df62ab03d-39y7FFRY.html
接受应届生！软件开发/测试工程师,上海万宝盛华信息科技,15-30K·14薪,北京·海淀区·西北旺,北京,本科,经验不限,,boss,五险一金 Java 自动化测试 线上面试/全国分配 周末双休 性能测试 功能测试 Python,五险一金 Java 自动化测试 线上面试/全国分配 周末双休 性能测试 功能测试 Python,https://www.zhipin.com/job_detail/874de4285cd91f460nF82dm0FFtY.html
自动化测试,户外三宝,11-22K·13薪,北京·朝阳区·西坝河,北京,硕士,,,boss,Java C++ 自动化测试经验,Java C++ 自动化测试经验,https://www.zhipin.com/job_detail/d93e138ab3447e9e0ndz3N29F1FV.html
自动化测试,法本,11-12K,北京·昌平区·回龙观,北京,本科,1-3年,,boss,Selenium 计算机相关专业 测试工作经验 自动化测试经验,Selenium 计算机相关专业 测试工作经验 自动化测试经验,https://www.zhipin.com/job_detail/b427b061cf953d930nJ52N2-FFtZ.html
高级自动化测试工程师（智慧矿山）,宸控科技,15-30K,北京·昌平区·昌平镇,北京,本科,5-10年,,boss,自动化测试经验 测试工作经验 通信相关专业 车载测试 自动驾驶测试 智慧矿山,自动化测试经验 测试工作经验 通信相关专业 车载测试 自动驾驶测试 智慧矿山,https://www.zhipin.com/job_detail/3fcebb4bcd676c111HZ50ty5F1pY.html
