job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
自动驾驶数据分析师,软通动力,9-10K,北京·海淀区·中关村,北京,本科,3-5年,,boss,L2/L3智能驾驶功能开发经验 自动驾驶 数据分析,L2/L3智能驾驶功能开发经验 自动驾驶 数据分析,https://www.zhipin.com/job_detail/7e4b4dc09bf855b30nJ53du5FVNX.html
自动驾驶车辆维护-（大厂外包）,柯莱特集团,10-12K,北京·大兴区·亦庄,北京,大专,5-10年,,boss,3-5年 自动驾驶 新势力 智能硬件 新能源汽车 中工经验 大工经验 无销售性质 五险一金 有汽车维修经验 4S店 低压电工证 5-10年,3-5年 自动驾驶 新势力 智能硬件 新能源汽车 中工经验 大工经验 无销售性质 五险一金 有汽车维修经验 4S店 低压电工证 5-10年,https://www.zhipin.com/job_detail/7248843dc97778140nJ629q1FVFU.html
adas driving 智能驾驶行车系统工程师,重庆经创至新,15-28K,北京·朝阳区·望京,北京,本科,1-3年,,boss,英文读写能力良好 计算机/通信相关专业 ADAS开发经验,英文读写能力良好 计算机/通信相关专业 ADAS开发经验,https://www.zhipin.com/job_detail/c38926e45669ef5d0nB40tq8FFtR.html
自动驾驶车辆维护（售后维护）,慧博云通,10-12K,北京·大兴区·亦庄,北京,大专,5-10年,,boss,汽车 储能/新能源 自动驾驶 新能源 Robotaxi运营 OTA升级 车辆售后,汽车 储能/新能源 自动驾驶 新能源 Robotaxi运营 OTA升级 车辆售后,https://www.zhipin.com/job_detail/b787c9dcac9e4c560nJ529u-FVNU.html
自动驾驶软件开发专家,某大型人工智能公司,20-40K·13薪,北京,北京,学历不限,经验不限,,boss,slam 定位 自动驾驶 导航定位,slam 定位 自动驾驶 导航定位,https://www.zhipin.com/job_detail/0c208bdb251e75b90nFz2di5ElFZ.html
自动驾驶系统工程师,北汽福田,15-20K·15薪,北京·昌平区·沙河,北京,本科,经验不限,,boss,车辆工程相关专业 汽车电子系统开发经验 L2/L3智能驾驶功能开发经验,车辆工程相关专业 汽车电子系统开发经验 L2/L3智能驾驶功能开发经验,https://www.zhipin.com/job_detail/0e4aba32045148f11XJ-2ty8GFdX.html
·Python实习生 ·自动驾驶评估Agent ·28/29,小马智行,350-400元/天,北京·海淀区·西北旺,北京,本科,,,boss,Python C++,Python C++,https://www.zhipin.com/job_detail/ae9b78e44f1dfa050nFy2tq0FFRY.html
自动驾驶技术项目经历（TPM),文远知行,15-30K·15薪,北京·大兴区·亦庄,北京,本科,经验不限,,boss,自动驾驶,自动驾驶,https://www.zhipin.com/job_detail/f6f1caacf3e98b5e0nF52Nm-ElpQ.html
自动驾驶工程师,某大型汽车研发/制造公司,40-65K,北京,北京,本科,3-5年,,boss,汽车,汽车,https://www.zhipin.com/job_detail/9bbb82b4a0492ffa0nV42N-_FFdT.html
自动驾驶测试主管/经理,北京某大型互联网公司,50-75K,北京,北京,本科,3-5年,,boss,自动驾驶 仿真,自动驾驶 仿真,https://www.zhipin.com/job_detail/5ed18da6bc0a44931HN70tu_E1dV.html
自动驾驶产品经理,白犀牛,8-13K·15薪,北京·海淀区·学院路,北京,本科,,,boss,用户/功能产品 B端产品 中后台产品 策略产品,用户/功能产品 B端产品 中后台产品 策略产品,https://www.zhipin.com/job_detail/19203862d94e66320nZ73NW7GVVS.html
北京/高质量新岗-自动驾驶仿真系统工程师,某汽车智能网联公司,20-40K,北京,北京,本科,3-5年,,boss,汽车 智驾仿真系统 智能驾驶 仿真系统 双休 五险一金（实缴）,汽车 智驾仿真系统 智能驾驶 仿真系统 双休 五险一金（实缴）,https://www.zhipin.com/job_detail/c0517687b12ad7ad0nJ72dy9GFBY.html
线束工程师-自动驾驶,三一重工,20-30K·14薪,北京,北京,本科,3-5年,,boss,AutoCAD 高压线束 低压线束 自动驾驶 车,AutoCAD 高压线束 低压线束 自动驾驶 车,https://www.zhipin.com/job_detail/d9b5ffc4d054bd750nJ73dq5ElpS.html
自动驾驶仿真测试工程师,上海万宝盛华信息科技,14-15K,北京·海淀区·西北旺,北京,大专,3-5年,,boss,仿真 路测,仿真 路测,https://www.zhipin.com/job_detail/7943cdb5351782e40nJ709u9EFpY.html
自动驾驶产品/系统（主动安全）负责人,小米,25-50K,北京·海淀区·上地,北京,本科,3-5年,,boss,策略产品,策略产品,https://www.zhipin.com/job_detail/e9adb8b2a9d7ecc40nJ609u5EFBT.html
自动驾驶系统工程师,甲板智慧,25-50K,北京·石景山区·古城,北京,本科,5-10年,,boss,ROS2,ROS2,https://www.zhipin.com/job_detail/ad0d6926111d68a403x72tW5F1VW.html
