job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
nlp自然语言处理算法工程师,云孚科技,15-30K,北京,北京,本科,经验不限,,boss,计算机相关专业 知识图谱相关经验 人机对话相关经验,计算机相关专业 知识图谱相关经验 人机对话相关经验,https://www.zhipin.com/job_detail/078f09021f71f1e01X1z3tW-GFpR.html
自然语言处理算法,北京学易文化发展,500-550元/天,北京·通州区·梨园,北京,硕士,5-10年,,boss,深度学习 大模型算法 强化学习 知识图谱 推荐算法 多模态算法 Java 大数据处理工具(Spark/Hadoop/Hive) 并行计算 算法工程化经验 模型加速/性能优化,深度学习 大模型算法 强化学习 知识图谱 推荐算法 多模态算法 Java 大数据处理工具(Spark/Hadoop/Hive) 并行计算 算法工程化经验 模型加速/性能优化,https://www.zhipin.com/job_detail/d3a519ec28a3a0b91Hd-0tq1E1tQ.html
自然语言处理算法,北京亦企国旺法律咨询,5-10K,北京,北京,学历不限,经验不限,,boss,大模型算法 知识图谱 推荐算法 搜索算法 机器翻译 C/C++ Java,大模型算法 知识图谱 推荐算法 搜索算法 机器翻译 C/C++ Java,https://www.zhipin.com/job_detail/935bf0fadd0ba95503J53NW9FFNV.html
自然语言处理算法,北京盛筵云厨餐饮管理,5-6K,北京·朝阳区·大望路,北京,大专,,,boss,Java 规控算法 图像算法 深度学习 大模型算法 自然语言处理算法 算法工程化经验 MATLAB 嵌入式开发 发表算法相关优秀论文 C/C++ 机器学习 强化学习 SLAM算法 Python,Java 规控算法 图像算法 深度学习 大模型算法 自然语言处理算法 算法工程化经验 MATLAB 嵌入式开发 发表算法相关优秀论文 C/C++ 机器学习 强化学习 SLAM算法 Python,https://www.zhipin.com/job_detail/c7b7be676248811c03xy0t27EVVX.html
算法与 Agent 实习生,伊辛智能,200-350元/天,北京·朝阳区·亚运村,北京,本科,,,boss,深度学习 机器学习 大模型算法 规控算法 自然语言处理算法 Python,深度学习 机器学习 大模型算法 规控算法 自然语言处理算法 Python,https://www.zhipin.com/job_detail/c26d4f620ddb50900nJ429W5FldR.html
大厂急招算法工程师+周末双休+五险一金,柯莱特集团,20-21K,北京·海淀区·上地,北京,本科,3-5年,,boss,大模型算法 自然语言处理算法 大数据处理框架(Spark/Hadoop/Hive) 算法工程化经验,大模型算法 自然语言处理算法 大数据处理框架(Spark/Hadoop/Hive) 算法工程化经验,https://www.zhipin.com/job_detail/23f2b1490c7d4d510nJ52d27E1BS.html
算法工程师自然语言,阿里巴巴集团,20-28K,北京·朝阳区·望京,北京,本科,,,boss,深度学习 大模型算法 强化学习 情感分析 语义理解 意图挖掘 Python,深度学习 大模型算法 强化学习 情感分析 语义理解 意图挖掘 Python,https://www.zhipin.com/job_detail/fbf057ff4073432d1HB42NS0EVRW.html
算法工程师,朱立业,35-50K,北京·海淀区·苏州桥,北京,大专,1-3年,,boss,深度学习 机器学习 大模型算法 强化学习 图像算法 自然语言处理算法 广告算法 多模态算法 推荐算法 Python C/C++ Java MATLAB 算法工程化经验 发表算法相关优秀论文 参加算法相关竞赛/获奖 优秀开源项目经历,深度学习 机器学习 大模型算法 强化学习 图像算法 自然语言处理算法 广告算法 多模态算法 推荐算法 Python C/C++ Java MATLAB 算法工程化经验 发表算法相关优秀论文 参加算法相关竞赛/获奖 优秀开源项目经历,https://www.zhipin.com/job_detail/782db2a954dbb14103F72t-1GFZR.html
自然语言处理算法,华为技术有限公司,25-35K,北京,北京,本科,,,boss,深度学习 机器学习 大模型算法 对话系统 语音算法 多模态算法 C/C++ Python Java 算法工程化经验 发表算法相关优秀论文 参加算法相关竞赛/获奖 优秀开源项目经历 模型加速/性能优化,深度学习 机器学习 大模型算法 对话系统 语音算法 多模态算法 C/C++ Python Java 算法工程化经验 发表算法相关优秀论文 参加算法相关竞赛/获奖 优秀开源项目经历 模型加速/性能优化,https://www.zhipin.com/job_detail/0ed6d3cd055a4d3d0nJ42t-9FVZW.html
算法【实习生】,月之暗面,500-1000元/天,北京·海淀区·苏州桥,北京,本科,,,boss,大模型算法 图像算法 自然语言处理算法 推荐算法 多模态算法 C/C++ Python 算法工程化经验 发表算法相关优秀论文 参加算法相关竞赛/获奖 优秀开源项目经历,大模型算法 图像算法 自然语言处理算法 推荐算法 多模态算法 C/C++ Python 算法工程化经验 发表算法相关优秀论文 参加算法相关竞赛/获奖 优秀开源项目经历,https://www.zhipin.com/job_detail/fbb76250985131920nF92tu7GFRS.html
自然语言处理算法（实习生）,弥天科技,150-200元/天,北京·朝阳区·望京,北京,本科,,,boss,发表算法相关优秀论文 C/C++ 搜索算法 对话系统 大模型算法 算法工程化经验 参加算法相关竞赛/获奖 知识图谱 文本生成 大数据处理工具(Spark/Hadoop/Hive) 推荐算法,发表算法相关优秀论文 C/C++ 搜索算法 对话系统 大模型算法 算法工程化经验 参加算法相关竞赛/获奖 知识图谱 文本生成 大数据处理工具(Spark/Hadoop/Hive) 推荐算法,https://www.zhipin.com/job_detail/86ca3822ae56ce150nF_09y5ElpR.html
具身智能 Agent 算法实习生,破壳机器人,300-600元/天,北京·海淀区·学院路,北京,本科,,,boss,深度学习 机器学习 大模型算法 多模态算法 自然语言处理算法 图像算法 Python C/C++,深度学习 机器学习 大模型算法 多模态算法 自然语言处理算法 图像算法 Python C/C++,https://www.zhipin.com/job_detail/8122b76e99ef469b0nJ73tW-E1FS.html
自然语言处理算法,网易,30-40K·16薪,北京·海淀区·上地,北京,本科,3-5年,,boss,自然语言处理项目经验,自然语言处理项目经验,https://www.zhipin.com/job_detail/44964b203d17338f1HR52Nm9FlVZ.html
