job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
芯片测试交付工程师,和创联合科技,7-9K,北京·海淀区·五道口,北京,本科,,,boss,半导体测试 探针台 网络分析仪系统,半导体测试 探针台 网络分析仪系统,https://www.zhipin.com/job_detail/362eedba08ed7fa803Z93tS7EVFW.html
芯片测试工程师（AE / 验证方向）,清华大学,25-40K,北京·海淀区·学院路,北京,本科,1-3年,,boss,Python 芯片测试 芯片验证,Python 芯片测试 芯片验证,https://www.zhipin.com/job_detail/f79c024679d9319b0nV42tS6GVVW.html
芯片测试兼硬件电路设计工程师,威志微,7-9K·13薪,北京·海淀区·上地,北京,本科,,,boss,智能硬件类 硬件测试经验 软件测试经验 硬件研发经验,智能硬件类 硬件测试经验 软件测试经验 硬件研发经验,https://www.zhipin.com/job_detail/9f7dbf1fdfc885330nd93Nm5E1ZV.html
芯片soc设计工程师,北京某小型车载通信芯片公司,70-100K·15薪,北京,北京,本科,经验不限,,boss,FPGA开发 芯片设计,FPGA开发 芯片设计,https://www.zhipin.com/job_detail/175a1e684293dcdc0nB82t-8GFdY.html
芯片测试工程师  （ATE）,某半导体公司,15-25K·13薪,北京,北京,本科,1-3年,,boss,ATE  芯片,ATE  芯片,https://www.zhipin.com/job_detail/31062bcb0f1c1cc90nd63Ni9GFFS.html
模拟芯片测试工程师,北京中科半导体,15-30K,北京·海淀区·学院路,北京,大专,经验不限,,boss,ATE测试 华峰8200 放大器,ATE测试 华峰8200 放大器,https://www.zhipin.com/job_detail/4b81ced38ed54cdd03183NS6EldW.html
芯片工程师,聚跃检测,5-10K,北京·海淀区·上地,北京,本科,,,boss,半导体 电子信息工程 芯片 数电 模电,半导体 电子信息工程 芯片 数电 模电,https://www.zhipin.com/job_detail/bcdc72e6ac7a7ee71H143tq_ElVU.html
高级芯片验证工程师,平头哥,70-100K,北京·朝阳区·太阳宫,北京,本科,5-10年,,boss,ARM开发,ARM开发,https://www.zhipin.com/job_detail/a4e10c662d48cc2a1H172tq9GVBV.html
芯片测试工程师,玻色量子,15-25K,北京·朝阳区·望京,北京,本科,1-3年,,boss,测试 芯片 集成 工艺,测试 芯片 集成 工艺,https://www.zhipin.com/job_detail/ad8cfea4e5985d0403Vz09u7FVdQ.html
模拟芯片工程师,灵熹光子,21-40K·14薪,北京·通州区·马驹桥,北京,本科,经验不限,,boss,放大器,放大器,https://www.zhipin.com/job_detail/3010f5933cf356c30nB639y5EFtT.html
芯片测试工程师 双休,某大型半导体公司,50-80K·16薪,北京,北京,本科,10年以上,,boss,93k,93k,https://www.zhipin.com/job_detail/8bb19b7610fe41a21HJ60tW_GFZQ.html
芯片销售工程师,重庆华芯弘微电子科技,9-14K,北京·昌平区·回龙观,北京,大专,3-5年,,boss,芯片 半导体 电子元器件 国外芯片,芯片 半导体 电子元器件 国外芯片,https://www.zhipin.com/job_detail/7fd5dc8defa724a70nJ-2t-8FFtV.html
芯片DFT工程师,中科驭数,20-40K,北京·海淀区·西北旺,北京,本科,经验不限,,boss,DFT 可测性设计,DFT 可测性设计,https://www.zhipin.com/job_detail/5729077c9b32239c0nd929m7GVRV.html
12寸存储芯片制造,北京某中型电子/半导体/集成电路公司,35-65K·15薪,北京,北京,本科,3-5年,,boss,半导体经验 化学工艺 切削工艺 连接/切割工艺经验 装配/总装经验 热处理工艺 量产工程师（PE）经验 现场工程师（ME）经验 试产工程师（NPI）经验 团队管理经验 不需要出差 芯片/半导体经验,半导体经验 化学工艺 切削工艺 连接/切割工艺经验 装配/总装经验 热处理工艺 量产工程师（PE）经验 现场工程师（ME）经验 试产工程师（NPI）经验 团队管理经验 不需要出差 芯片/半导体经验,https://www.zhipin.com/job_detail/a441c106f71c46f00nF-2d68GFFX.html
光芯片测试工程师,翼光科技,11-18K·13薪,北京,北京,本科,1-3年,,boss,光芯片 测试,光芯片 测试,https://www.zhipin.com/job_detail/b464b9146153dead0nFy396_EFBZ.html
芯片销售工程师,北京环宇芯智科技,9-14K·14薪,北京·朝阳区·望京,北京,大专,3-5年,,boss,内存条 芯片,内存条 芯片,https://www.zhipin.com/job_detail/879ccbe09bb3366b0nR_2tm4F1tX.html
芯片级维修工程师,燕普达,10-15K,北京·通州区·马驹桥,北京,大专,3-5年,,boss,电子元器件工程师 万用表 示波器 烙铁 信号发生器 逻辑分析仪,电子元器件工程师 万用表 示波器 烙铁 信号发生器 逻辑分析仪,https://www.zhipin.com/job_detail/61df0dada77fa0bf1XJ_3d20EltU.html
高级芯片测试工程师,芯人类,18-26K,北京·西城区·展览路,北京,本科,3-5年,,boss,ATE 芯片,ATE 芯片,https://www.zhipin.com/job_detail/f70fb163eb3419a71HB82d29FldZ.html
芯片维修,亚博威,8-12K,北京·门头沟区·龙泉,北京,大专,经验不限,,boss,芯片维修 电路维修,芯片维修 电路维修,https://www.zhipin.com/job_detail/b403323b8ac4e68e03x70tm5GFdX.html
芯片测试工程师,北京智芯,13-25K·14薪,北京·昌平区·南邵,北京,本科,3-5年,,boss,硬件 射频 芯片 测试 集成电路,硬件 射频 芯片 测试 集成电路,https://www.zhipin.com/job_detail/70274b778997e4cf1HJ729y_EFdX.html
芯片测试工程师,中科昊芯,10-15K,北京·海淀区·学院路,北京,本科,经验不限,,boss,DSP TI,DSP TI,https://www.zhipin.com/job_detail/cc9b5dab3d8336f01HJ939u_GFVV.html
【地瓜机器人】芯片项目经理,地平线,50-70K·15薪,北京·海淀区·西北旺,北京,本科,5-10年,,boss,企业内部技术项目管理 芯片,企业内部技术项目管理 芯片,https://www.zhipin.com/job_detail/7795f1de389f47e40nJ43NW0ElZW.html
5G通信协议栈测试工程师（手机/芯片方向）,柯莱特集团,8-13K,北京·海淀区·上地,北京,大专,3-5年,,boss,嵌入式测试 终端测试 基带芯片 无线通信,嵌入式测试 终端测试 基带芯片 无线通信,https://www.zhipin.com/job_detail/56377b84b8d922dc0nJ409m9EFtY.html
芯片中端工程师（北京/上海/深圳）,某小型半导体/芯片公司,50-80K·16薪,北京,北京,学历不限,经验不限,,boss,DFT 中端,DFT 中端,https://www.zhipin.com/job_detail/0ddef2df0827b75503V839S8GVJV.html
流体芯片测试工程师,齐碳科技,18-30K·13薪,北京·海淀区·西三旗,北京,本科,3-5年,,boss,硬件测试 流体芯片测试 基因测序 微流体控制,硬件测试 流体芯片测试 基因测序 微流体控制,https://www.zhipin.com/job_detail/f2fea707820d1c1e1XZ73tW5FVdW.html
资深芯片验证工程师,北京禧芯科技有限公司,100-110K·16薪,北京·海淀区·上地,北京,本科,5-10年,,boss,半导体技术,半导体技术,https://www.zhipin.com/job_detail/fc30181c8edcad6b0nV-2tq1FFVT.html
芯片测试工程师,安酷智芯,15-22K·14薪,北京·海淀区·上地,北京,本科,1-3年,,boss,C++ Python PCB设计 示波器 万用表 测试工程师 matlab 传感器,C++ Python PCB设计 示波器 万用表 测试工程师 matlab 传感器,https://www.zhipin.com/job_detail/66b767448651bd0a1XB82dy8E1RW.html
数字芯片设计工程师 (MJ000051),寒武纪,30-50K·15薪,北京·海淀区·北太平庄,北京,学历不限,3-5年,,boss,SoC CPU 高速接口 量产经验 Verilog/System Verilog 有数字前端设计师经验 GPU C/C++ ASIC 高速总线协议 5年以上数字前端设计经验 前端EDA工具 成功流片经验 ARM,SoC CPU 高速接口 量产经验 Verilog/System Verilog 有数字前端设计师经验 GPU C/C++ ASIC 高速总线协议 5年以上数字前端设计经验 前端EDA工具 成功流片经验 ARM,https://www.zhipin.com/job_detail/79f87efe8c8ce78f0nZ62ty-EFFT.html
芯片测试工程师,华为,20-35K,上海·青浦区·金泽,上海,本科,,,boss,PMU Serdes 模拟验证 芯片 半导体,PMU Serdes 模拟验证 芯片 半导体,https://www.zhipin.com/job_detail/433cbcb9d3c636d90nJ42t-6EVNS.html
芯片测试助理工程师,深圳米飞泰克,7-10K,上海·浦东新区·张江,上海,中专,1-3年,,boss,LS，SLT JHT、HT的平移设备 芯片测试,LS，SLT JHT、HT的平移设备 芯片测试,https://www.zhipin.com/job_detail/11083d20164f12930nF-2dm-EVpR.html
芯片测试开发工程师,胜达克半导体,8-12K·13薪,上海,上海,本科,经验不限,,boss,电子半导体,电子半导体,https://www.zhipin.com/job_detail/d967666eef0b148a1nZ_2dS5GFRW.html
ATE芯片测试工程师 ——浦东,北京软通动力云计...,10-15K,上海·浦东新区·金桥,上海,本科,1-3年,,boss,ATE,ATE,https://www.zhipin.com/job_detail/9b25a25705a8f5180nJ62dm4E1NX.html
光芯片测试工程师（某明星独角兽）,某半导体公司,30-60K·15薪,上海,上海,本科,1-3年,,boss,光芯片测试 插损 调制效率 带宽 光功率 光源 光功率计 示波器,光芯片测试 插损 调制效率 带宽 光功率 光源 光功率计 示波器,https://www.zhipin.com/job_detail/d4603bbb2fa5afe70nF509u6EFVW.html
芯片测试工程师,夏芯微电子,150-200元/天,上海·浦东新区·张江,上海,本科,,,boss,芯片测试 测试 芯片,芯片测试 测试 芯片,https://www.zhipin.com/job_detail/df132141d19a04150nFy2ti-F1dZ.html
芯片研发测试工程师（兼职）,芯潮涌,80-100元/时,上海·浦东新区·张江,上海,本科,1-3年,,boss,测试工作经验 性能测试 功能测试,测试工作经验 性能测试 功能测试,https://www.zhipin.com/job_detail/8f58bd0c77e92a001HB43NW8F1dS.html
模拟芯片工程师,武汉某中型智能硬件公司,25-50K·13薪,上海,上海,硕士,1-3年,,boss,模拟芯片 serdes PLL,模拟芯片 serdes PLL,https://www.zhipin.com/job_detail/798d758e8dc0d7dd1Hx509W-FlZW.html
半导体芯片测试工程师,上海华泰,8-12K·14薪,上海,上海,本科,1年以内,,boss,芯片设计 C++ Shell Java,芯片设计 C++ Shell Java,https://www.zhipin.com/job_detail/943ba4ded71e50c51nF93t67GFFW.html
芯片测试工程师,某大型智能硬件上市公司,15-30K,上海,上海,本科,1-3年,,boss,芯片测试 硅后验证 硬件测试 Post-silicon bring-up EVB,芯片测试 硅后验证 硬件测试 Post-silicon bring-up EVB,https://www.zhipin.com/job_detail/71ab3ad203dd65d80nFz2ti6GVtW.html
芯片测试工程师,库顺,7-10K,上海·普陀区·曹杨,上海,大专,,,boss,半导体 板卡芯片,半导体 板卡芯片,https://www.zhipin.com/job_detail/a9c200ef486b19dd1HN53NS8FFBU.html
芯片测试开发工程师,上海意瑞半导体,12-24K·15薪,上海·闵行区·莘庄,上海,本科,经验不限,,boss,验证、测试、应用,验证、测试、应用,https://www.zhipin.com/job_detail/efad9800b8133aa00nFz2dq0F1ZR.html
ate芯片测试工程师,软通动力,11-18K,上海·浦东新区·金桥,上海,本科,1-3年,,boss,芯片,芯片,https://www.zhipin.com/job_detail/4ae8bca9845c3b2e0nJ63ti9GVFQ.html
后端工程师（AI芯片 先进工艺）+弹性打卡,纬致芯创科技,30-60K,上海·浦东新区·张江,上海,本科,3-5年,,boss,3-5年数字后端工程师经验 1-3年数字后端工程师经验 有数字后端工程师经验 7nm以下 45nm-22nm 16nm-7nm 5年以上数字后端工程师经验 成功流片经验 55nm以上,3-5年数字后端工程师经验 1-3年数字后端工程师经验 有数字后端工程师经验 7nm以下 45nm-22nm 16nm-7nm 5年以上数字后端工程师经验 成功流片经验 55nm以上,https://www.zhipin.com/job_detail/968a4fff5257d2bd0nF52dS_GFJU.html
芯片测试工程师,原势科技,15-20K·14薪,上海,上海,本科,3-5年,,boss,芯片测试 CP FT ATE,芯片测试 CP FT ATE,https://www.zhipin.com/job_detail/d893f209973bae9a0nJ40t28FFdS.html
芯片硅后验证专家工程师（硅光/SoC）,某小型半导体/芯片公司,35-50K,上海,上海,本科,3-5年,,boss,硅光芯片 高速调制器 EML SoC Bring-up Post-silicon,硅光芯片 高速调制器 EML SoC Bring-up Post-silicon,https://www.zhipin.com/job_detail/1bda73d62147bb900nFz0tW9FVpR.html
ATE芯片测试开发工程师,上海江原芯科技,24-45K·16薪,上海·浦东新区·张江,上海,本科,5-10年,,boss,会使用V93K机台 会使用smartest 8 SOC测试经验,会使用V93K机台 会使用smartest 8 SOC测试经验,https://www.zhipin.com/job_detail/5e1b586cb823ced30nF909i5F1FU.html
SOC芯片后端设计工程师,中诚华隆,10-15K,上海·闵行区·虹桥,上海,本科,1-3年,,boss,有数字后端工程师经验 1年以内数字后端工程师经验 1-3年数字后端工程师经验,有数字后端工程师经验 1年以内数字后端工程师经验 1-3年数字后端工程师经验,https://www.zhipin.com/job_detail/11d066f980a548ff0nF439i6GVtZ.html
芯片数字后端工程师 模拟版图工程师,wallchip,19-30K·13薪,上海·浦东新区·张江,上海,大专,经验不限,,boss,FPGA开发 电路设计 版图设计工程师,FPGA开发 电路设计 版图设计工程师,https://www.zhipin.com/job_detail/69d78cc10a13261433J82N61FVE~.html
芯片测试工程师,芯享程,15-30K,上海·浦东新区·张江,上海,本科,3-5年,,boss,dcdc Acco,dcdc Acco,https://www.zhipin.com/job_detail/7ee6b24f39d8061d1HB_39S-F1NZ.html
硅后芯片验证工程师,SmartSens思特威电子,14-23K·15薪,上海·闵行区·虹桥,上海,本科,1-3年,,boss,模拟电路原理 测试工作经验 芯片产品工程师经验 通信相关专业 微电子相关专业 性能测试 CIS芯片 功能测试 数字电路原理,模拟电路原理 测试工作经验 芯片产品工程师经验 通信相关专业 微电子相关专业 性能测试 CIS芯片 功能测试 数字电路原理,https://www.zhipin.com/job_detail/28228d8608d69a5003Fy29m6FFZR.html
芯片销售工程师,同芯恒通,12-20K,上海·闵行区·莘庄,上海,大专,1-3年,,boss,电子/半导体/集成电路 入职缴纳五险一金 对机构 (To B) 销售经验 JG,电子/半导体/集成电路 入职缴纳五险一金 对机构 (To B) 销售经验 JG,https://www.zhipin.com/job_detail/b4bf843df4d2b7330nVy29y1FVdX.html
芯片测试工程师(TE),先积集成,15-30K,上海·浦东新区·临港,上海,本科,3-5年,,boss,C++ STS8200 模拟芯片 模拟电路基础 集成电路测试,C++ STS8200 模拟芯片 模拟电路基础 集成电路测试,https://www.zhipin.com/job_detail/14dfe49bdfd92ad50nJ-2t2-FFdT.html
