job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
规控算法,北京某大型新能源汽车公司,100-180K·24薪,北京,北京,本科,10年以上,,boss,汽车,汽车,https://www.zhipin.com/job_detail/6540da0b679ad7010nZ83NW5EVFU.html
具身智能方向招聘,荣耀,40-70K·16薪,北京·海淀区·西北旺,北京,本科,经验不限,,boss,大模型算法 规控算法 融合感知算法 C/C++ 具身智能 机器人 机械臂 灵巧手 机器人关节模组,大模型算法 规控算法 融合感知算法 C/C++ 具身智能 机器人 机械臂 灵巧手 机器人关节模组,https://www.zhipin.com/job_detail/71a18d9fed46b68503Zz2t--FVZT.html
规控算法,美团,40-50K·15薪,北京,北京,硕士,3-5年,,boss,飞控算法 无人机,飞控算法 无人机,https://www.zhipin.com/job_detail/552805791a8b2fab0nB-0tS6FlBV.html
规控算法,北京熠视科技有限公司,20-40K·14薪,北京·顺义区·南法信,北京,本科,经验不限,,boss,自动驾驶 c++ 规划控制,自动驾驶 c++ 规划控制,https://www.zhipin.com/job_detail/5e631880a3adad511HJ53tS9FlNS.html
算法工程师（移动机器人规控方向）,北京慧闻,12-24K·13薪,北京·朝阳区·高碑店,北京,本科,经验不限,,boss,C/C++ 规控算法,C/C++ 规控算法,https://www.zhipin.com/job_detail/cc1a918507f3b1460nJ429m5EVFT.html
规控算法,曹县星河计算机技术,450-500元/时,北京,北京,本科,1-3年,,boss,深度学习 机器学习 大模型算法 强化学习 规控算法 多模态算法 融合感知算法 模型加速/性能优化 C/C++ Python MATLAB 算法工程化经验 发表算法相关优秀论文 参加算法相关竞赛/获奖,深度学习 机器学习 大模型算法 强化学习 规控算法 多模态算法 融合感知算法 模型加速/性能优化 C/C++ Python MATLAB 算法工程化经验 发表算法相关优秀论文 参加算法相关竞赛/获奖,https://www.zhipin.com/job_detail/11ff890f613b1d240nV73ty4F1BX.html
规控算法,北京初见星河人工...,100-110K·13薪,北京·朝阳区·望京,北京,博士,5-10年,,boss,大模型算法 模型加速/性能优化 Python MATLAB 并行计算 大数据处理框架(Spark/Hadoop/Hive) 分布式训练 算法工程化经验 参加算法相关竞赛/获奖,大模型算法 模型加速/性能优化 Python MATLAB 并行计算 大数据处理框架(Spark/Hadoop/Hive) 分布式训练 算法工程化经验 参加算法相关竞赛/获奖,https://www.zhipin.com/job_detail/80b8e508042dfbb00nB93d-4E1RY.html
泊车规控算法,某大型知名智能硬件公司,45-65K·15薪,北京,北京,硕士,3-5年,,boss,apa 泊车 规控,apa 泊车 规控,https://www.zhipin.com/job_detail/0b437554571d52530nZ-3NS5FlVY.html
规控算法工程师（无人车）,北京某小型智慧空港数字化公司,25-50K,北京,北京,本科,3-5年,,boss,无人车 自动驾驶 路径规划算法 规控算法,无人车 自动驾驶 路径规划算法 规控算法,https://www.zhipin.com/job_detail/a370b84aec71ea0a0nJ70tW5FlZU.html
规控大模型算法工程师,某中型汽车研发/制造公司,55-85K·15薪,北京,北京,本科,5-10年,,boss,规控 行车 泊车 端到端 大模型 NOA,规控 行车 泊车 端到端 大模型 NOA,https://www.zhipin.com/job_detail/c2a1e1cfa7e62bcf0nB-39y9FlNZ.html
规控算法工程师-自动驾驶方向,某中型智能硬件公司,25-50K,北京,北京,本科,1-3年,,boss,自动驾驶 python C++ 规控算法 agent pytorch 规控,自动驾驶 python C++ 规控算法 agent pytorch 规控,https://www.zhipin.com/job_detail/eec20159724c0fb10nFz29y5E1JY.html
规控算法-北京/上海,上海某大型本地出行及生活服务平台公司,40-70K·15薪,北京,北京,本科,经验不限,,boss,规控 决策,规控 决策,https://www.zhipin.com/job_detail/a0a89cc0f6338d6d0nJ50tm-GFJS.html
规控算法工程师,北京某中型汽车研发/制造公司,30-60K·15薪,北京,北京,本科,经验不限,,boss,决策规划 动态规划 多智能体协作 障碍避碰,决策规划 动态规划 多智能体协作 障碍避碰,https://www.zhipin.com/job_detail/29dacf8a8f4b22cd0ndy39S4EFtX.html
资深算法工程师,京东集团,35-65K·20薪,北京,北京,本科,经验不限,,boss,深度学习 机器学习 大模型算法 强化学习 其他 规控算法 推荐算法 SLAM算法 多模态算法 融合感知算法 C/C++ Python 其他,深度学习 机器学习 大模型算法 强化学习 其他 规控算法 推荐算法 SLAM算法 多模态算法 融合感知算法 C/C++ Python 其他,https://www.zhipin.com/job_detail/52e2181e545b10101Hx82ti-EltU.html
