job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
语音算法工程师,京东科技集团,30-50K·20薪,北京·朝阳区·鸟巢,北京,硕士,,,boss,C++ Python 算法设计 深度学习算法 机器学习算法 语音算法,C++ Python 算法设计 深度学习算法 机器学习算法 语音算法,https://www.zhipin.com/job_detail/0609685a11bbecb41nx52dW1EFNV.html
语音识别算法工程师,数智建材研究院,25-50K,北京·朝阳区·朝阳公园,北京,硕士,经验不限,,boss,ASR 声纹识别 语音转写 VAD 语音识别,ASR 声纹识别 语音转写 VAD 语音识别,https://www.zhipin.com/job_detail/8f70455a5f6f0fb60nJ52ti_GFBZ.html
语音算法高级专家,滴滴,80-100K·15薪,北京,北京,本科,10年以上,,boss,语音识别 语音优化 语言模型,语音识别 语音优化 语言模型,https://www.zhipin.com/job_detail/15407c8bfeb008970nJ539q4FFpU.html
全模态大模型算法-语音助手 + 端侧全模态,某大型互联网公司,50-80K·16薪,北京,北京,本科,经验不限,,boss,Python,Python,https://www.zhipin.com/job_detail/264e72379f791b9b0nB709-0EFFV.html
语音算法专家,深圳某大型智能硬件/消费电子上市公司,80-110K,北京,北京,硕士,5-10年,,boss,语音 ASR,语音 ASR,https://www.zhipin.com/job_detail/ec7b5e801d61095a0nJ739W8EVZU.html
语音算法高级总监,北京某大型新能源汽车公司,100-180K·24薪,北京,北京,本科,10年以上,,boss,汽车,汽车,https://www.zhipin.com/job_detail/d9d25469861cbad70nZ709S5FVRS.html
语音大模型算法研究员（北京/上海）,上海阶跃星辰智能科技,40-65K·16薪,北京·海淀区·苏州桥,北京,本科,经验不限,,boss,Python C/C++,Python C/C++,https://www.zhipin.com/job_detail/ecf1e9062be80b9e0nJ729W0F1RY.html
语音算法（声纹/语音识别/语音合成）,北京某中型大数据金融科技公司,25-50K·15薪,北京,北京,硕士,经验不限,,boss,互联网/AI 语音合成 语音识别 声纹识别,互联网/AI 语音合成 语音识别 声纹识别,https://www.zhipin.com/job_detail/6768736058981a3d03x53Nm4EVNY.html
语音算法工程师（端侧唤醒/语音理解方向）,可以科技,30-60K,北京·海淀区·苏州桥,北京,本科,5-10年,,boss,C/C++ Python TensorFlow/PyTorch CNN/RNN 计算机相关专业 通信/信号处理相关专业 声学相关专业 语音识别工作经验 有国际期刊/会议论文发表,C/C++ Python TensorFlow/PyTorch CNN/RNN 计算机相关专业 通信/信号处理相关专业 声学相关专业 语音识别工作经验 有国际期刊/会议论文发表,https://www.zhipin.com/job_detail/bd1889990c92f39b0nd-2tW9FlZQ.html
语音算法工程师,某中型人工智能科技公司,50-70K,北京,北京,本科,3-5年,,boss,语音算法 C/C++ Java 机器学习 分布式训练 深度学习 大模型算法 算法工程化经验 Python,语音算法 C/C++ Java 机器学习 分布式训练 深度学习 大模型算法 算法工程化经验 Python,https://www.zhipin.com/job_detail/030a40c307a25e9b03J52NS5FVdR.html
语音算法工程师,京东云,40-65K,北京,北京,本科,5-10年,,boss,深度学习 语音算法 通信算法 C/C++ Python Shell 算法工程化经验 发表算法相关优秀论文 参加算法相关竞赛/获奖,深度学习 语音算法 通信算法 C/C++ Python Shell 算法工程化经验 发表算法相关优秀论文 参加算法相关竞赛/获奖,https://www.zhipin.com/job_detail/cf6dafeb4b2a49ed1H172t-7EFdQ.html
高级语音算法专家-前沿方向,北京某大型互联网地图服务上市公司,50-80K·18薪,北京,北京,硕士,经验不限,,boss,互联网/AI,互联网/AI,https://www.zhipin.com/job_detail/104deec91aca12ea03xz0tu6FVNS.html
机器人语音前端算法工程师（视听融合）,北京松延动力科技,30-45K·13薪,北京·昌平区·北七家,北京,本科,3-5年,,boss,C/C++ 通信/信号处理相关专业 人机对话相关经验 嵌入式 降噪 DOA DSP 音频 WebRTC 音频,C/C++ 通信/信号处理相关专业 人机对话相关经验 嵌入式 降噪 DOA DSP 音频 WebRTC 音频,https://www.zhipin.com/job_detail/192a93535b70aac90nJ52tu_EFJQ.html
【27届校招】语音算法工程师,OPPO,30-35K·15薪,北京·朝阳区·朝阳公园,北京,硕士,,,boss,C/C++ Python Java 计算机相关专业 通信/信号处理相关专业 语音识别工作经验 端到端 Linux 深度学习 语音识别 音频分析,C/C++ Python Java 计算机相关专业 通信/信号处理相关专业 语音识别工作经验 端到端 Linux 深度学习 语音识别 音频分析,https://www.zhipin.com/job_detail/956d4b558729b7930nFz3ti9EFZS.html
