job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
软件项目经理,中科聚网,10-15K,北京·海淀区·牡丹园,北京,本科,10年以上,,boss,PMP 解决方案 中大型软件项目管理经验 项目管理 软件研发经验,PMP 解决方案 中大型软件项目管理经验 项目管理 软件研发经验,https://www.zhipin.com/job_detail/43a2482c06501b921nN42tm9FlA~.html
企业软件项目经理-包三餐,云奕,14-17K,北京·海淀区·苏州桥,北京,大专,3-5年,,boss,企业软件 B端,企业软件 B端,https://www.zhipin.com/job_detail/c61a81c51346dbf90nJ52d68F1RZ.html
企业软件项目经理,某大型互联网公司,15-25K,北京,北京,本科,3-5年,,boss,软件项目 客户对接 管理经验 跨部门协作,软件项目 客户对接 管理经验 跨部门协作,https://www.zhipin.com/job_detail/7f981bc7753bc2970nJ53NW9EFFV.html
项目经理,北京晟世养老有限公司,16-30K,北京·朝阳区·朝外,北京,大专,经验不限,,boss,团队管理经验 PMP 计算机相关专业 销售支持/交付管理 管理相关专业 售前支持经验 软件研发经验,团队管理经验 PMP 计算机相关专业 销售支持/交付管理 管理相关专业 售前支持经验 软件研发经验,https://www.zhipin.com/job_detail/5777b5dc922f553f031_29m_EVJS.html
软件项目经理,乐在指尖,18-22K,北京·大兴区·亦庄,北京,本科,5-10年,,boss,软件外包管理,软件外包管理,https://www.zhipin.com/job_detail/4b8e4201529e517f0nF92t61F1NU.html
软件项目经理,星动纪元,30-35K,北京·海淀区·学院路,北京,本科,3-5年,,boss,智能硬件 项目管理,智能硬件 项目管理,https://www.zhipin.com/job_detail/60878be91fb488ab031939y8FltX.html
自动驾驶 - 软件项目经理,智驾新程,20-40K,北京·海淀区·西北旺,北京,本科,1-3年,,boss,智能驾驶,智能驾驶,https://www.zhipin.com/job_detail/931dd640cf4095130nB-0tW8EVdR.html
软件项目经理（五险一金  独角兽）,九识智芯,11-18K,北京·海淀区·万柳,北京,大专,3-5年,,boss,企业内部技术项目管理 计算机相关专业 软件研发经验 中大型软件项目管理经验 团队管理经验 PMP,企业内部技术项目管理 计算机相关专业 软件研发经验 中大型软件项目管理经验 团队管理经验 PMP,https://www.zhipin.com/job_detail/861c00a2c4b4c09a0nJ73dW1GVRW.html
软件项目经理,杉川机器人,20-40K·14薪,北京·昌平区·回龙观,北京,本科,5-10年,,boss,扫地机,扫地机,https://www.zhipin.com/job_detail/6338b6e9967fd28c0nB92dy6GVJS.html
软件项目经理,北京元蔓科技有限公司,16-19K,北京·海淀区·中关村,北京,大专,5-10年,,boss,ERP产品/软件产品,ERP产品/软件产品,https://www.zhipin.com/job_detail/5ffefe542c5f8afe0nJ53ti_FVBX.html
软件项目产品经理,一跃科技,8-13K,北京·通州区·永顺,北京,学历不限,1-3年,,boss,B端产品 C端产品 中后台产品,B端产品 C端产品 中后台产品,https://www.zhipin.com/job_detail/dc23576dbddc9df11HN90t68FFdQ.html
软件项目经理,新点软件,12-17K,北京·东城区·工体,北京,本科,3-5年,,boss,项目经理 实施 交付,项目经理 实施 交付,https://www.zhipin.com/job_detail/1788b01a125b39741HR_2NS-GVNV.html
钉钉软件项目经理、双休、五险一金,中企云软,10-15K,北京,北京,大专,1-3年,,boss,项目全生命周期交付 客户验收全流程 钉钉 AI 表格业务建模 流程自动化搭建,项目全生命周期交付 客户验收全流程 钉钉 AI 表格业务建模 流程自动化搭建,https://www.zhipin.com/job_detail/5890267e950202280nF_39-1F1tX.html
TPM--软件项目管理,北京某大型汽车研发/制造公司,20-40K,北京,北京,本科,3-5年,,boss,C C++ Python RTOS ARM开发 计算机相关专业 通信相关专业 机械设计制造相关专业 电气电气/自动化相关专业 嵌入式/单片机开发经验 车载软件 TPM 智驾项目管理 ASPICE 项目管控 座舱软件量产 ISO26262 项目,C C++ Python RTOS ARM开发 计算机相关专业 通信相关专业 机械设计制造相关专业 电气电气/自动化相关专业 嵌入式/单片机开发经验 车载软件 TPM 智驾项目管理 ASPICE 项目管控 座舱软件量产 ISO26262 项目,https://www.zhipin.com/job_detail/8d06c169e65e9f890nFy2dq4EVVR.html
软件技术支持/软件实施（政府项目）,为霞科技有限公司,5-10K,北京·朝阳区·三元桥,北京,大专,1-3年,,boss,软件实施 学工、教务、人事系统 离退休系统、党建党校 政府信息化项目 软件技术支持,软件实施 学工、教务、人事系统 离退休系统、党建党校 政府信息化项目 软件技术支持,https://www.zhipin.com/job_detail/d06400639e435af203d80tm1EFRS.html
软件项目经理,北京乾泓科技有限公司,16-25K·13薪,北京,北京,本科,5-10年,,boss,项目经理,项目经理,https://www.zhipin.com/job_detail/f15fb74f244569b00nZy0t66EVtQ.html
软件项目经理,北京国安信息科技,12-15K,北京·东城区·王府井,北京,本科,5-10年,,boss,云经验,云经验,https://www.zhipin.com/job_detail/eeb67306438fb6360nJ539y_F1dX.html
软件项目经理,上班族科技,12-20K,北京·朝阳区·东大桥,北京,本科,1-3年,,boss,SAAS,SAAS,https://www.zhipin.com/job_detail/90dab0bb8d8779f80nB42t6-GVZW.html
软件项目管理（北京）,石头科技,25-40K·16薪,北京,北京,本科,3-5年,,boss,项目管理 软件工程,项目管理 软件工程,https://www.zhipin.com/job_detail/8249c6f8410778c50nJ43dW6EVtY.html
软件项目经理,中企科信,10-14K,北京·昌平区·回龙观,北京,本科,3-5年,,boss,pmo、,pmo、,https://www.zhipin.com/job_detail/9ebe01200f326d970nJ50tm5ElpS.html
软件项目管理！可应届生！英语四级或六级,浅雨科技,10-14K,北京·海淀区·上地,北京,本科,1-3年,,boss,开发经验,开发经验,https://www.zhipin.com/job_detail/36bf492d33052fa40nJ539W8GVZV.html
软件项目经理,北京用友政务,18-25K,北京·海淀区·西北旺,北京,本科,5-10年,,boss,项目经理,项目经理,https://www.zhipin.com/job_detail/7eb9f25c0b097f130nJ53tu0E1pW.html
