job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
【2027届秋招】运维开发工程师,搜狐畅游,10-15K,北京·石景山区·鲁谷,北京,本科,,,boss,计算机相关专业 运维开发经验,计算机相关专业 运维开发经验,https://www.zhipin.com/job_detail/26ed4ba17614b4920nJ72Ny_EFZT.html
运维开发工程师,睿知轩,15-20K,北京·朝阳区·望京,北京,本科,5-10年,,boss,Linux 运维 运维开发 Python,Linux 运维 运维开发 Python,https://www.zhipin.com/job_detail/dd474504f02b43aa1XZz39y0GVJT.html
运维开发工程师,极速星河,10-15K·14薪,北京·海淀区·西北旺,北京,学历不限,1-3年,,boss,Golang Nginx MySQL 计算机相关专业 运维开发经验,Golang Nginx MySQL 计算机相关专业 运维开发经验,https://www.zhipin.com/job_detail/372f94821b69e58d1HF42Nq9E1FW.html
运维开发工程师,博思数采,10-15K·13薪,北京·西城区·三里河,北京,大专,1-3年,,boss,MySQL Docker Kubernetes,MySQL Docker Kubernetes,https://www.zhipin.com/job_detail/63542055e41029b31XBy2NW6EFdS.html
运维开发工程师,会当家,12-20K,北京·昌平区·城南,北京,学历不限,3-5年,,boss,运维开发 自动化运维 SQL Java 分布式技术 服务器配置 网络协议,运维开发 自动化运维 SQL Java 分布式技术 服务器配置 网络协议,https://www.zhipin.com/job_detail/727a903872c44cd81nZ72dS6E1JU.html
云原生运维开发工程师,某大型互联网公司,40-60K·15薪,北京,北京,本科,经验不限,,boss,运维开发经验,运维开发经验,https://www.zhipin.com/job_detail/8d40732ade2702bd0ndz2927FFFS.html
云运维开发工程师_早10晚8 双休 BJ,慧博云通,16-18K,北京·海淀区·中关村,北京,大专,1-3年,,boss,Python/Shell Golang Docker Kubernetes 计算机相关专业,Python/Shell Golang Docker Kubernetes 计算机相关专业,https://www.zhipin.com/job_detail/8fbc2d45f29ff92b0nJ-29q5EFpV.html
【地瓜机器人】运维开发工程师,地平线,20-40K·15薪,北京·海淀区·西北旺,北京,本科,5-10年,,boss,运维开发经验 计算机相关专业 基数设施 AIOps,运维开发经验 计算机相关专业 基数设施 AIOps,https://www.zhipin.com/job_detail/641b97a5fc1c83990nF53ty8FFFX.html
sre运维开发工程师,搜狐,16-30K·14薪,北京·海淀区·中关村,北京,本科,经验不限,,boss,CCNA/CCNP Java CCIE Hadoop SRE Redis HCNA/HCNP Python/Shell 计算机相关专业 ITIL 通信/工程相关专业 Linux 大数据运维经验 HCIE 运维开发经验 Kubernetes,CCNA/CCNP Java CCIE Hadoop SRE Redis HCNA/HCNP Python/Shell 计算机相关专业 ITIL 通信/工程相关专业 Linux 大数据运维经验 HCIE 运维开发经验 Kubernetes,https://www.zhipin.com/job_detail/be3bdc45fa6fdd1d0nR939W6ElBT.html
运维开发工程师（外包）,北京软通动力云计...,14-16K,北京·西城区·西直门,北京,大专,3-5年,,boss,BIP 用友,BIP 用友,https://www.zhipin.com/job_detail/675041972c961a900nF_2tq9FVRR.html
运维开发工程师 / DevOps 工程师,幺米泛游,10-15K,北京·朝阳区·大望路,北京,本科,经验不限,,boss,安全运维和保障 Nginx Redis Python,安全运维和保障 Nginx Redis Python,https://www.zhipin.com/job_detail/de36e3a6dacbb34c0nF83d21F1pU.html
运维开发工程师,沃东天骏信息技术,35-50K·19薪,北京,北京,本科,5-10年,,boss,Java Docker 运维开发经验 Python/Shell 计算机相关专业,Java Docker 运维开发经验 Python/Shell 计算机相关专业,https://www.zhipin.com/job_detail/1465b0562b4de99f03J82tm_FFpT.html
运维开发工程师（Base天津+英文+全额社保）,凯捷,18-20K·13薪,北京·朝阳区·三里屯,北京,本科,5-10年,,boss,Java Python/Shell Kafka Hadoop 计算机相关专业 大数据运维经验 CCNA/CCNP HCNA/HCNP CCIE AWS Azure GCP 英文流利 银行项目,Java Python/Shell Kafka Hadoop 计算机相关专业 大数据运维经验 CCNA/CCNP HCNA/HCNP CCIE AWS Azure GCP 英文流利 银行项目,https://www.zhipin.com/job_detail/7d58662123abce610nJ509u9E1dU.html
运维开发工程师,光宇游戏,10-14K,北京,北京,本科,,,boss,Python/Shell Ansible/Salt/Puppet Zabbix/Prometheus Kubernetes Docker,Python/Shell Ansible/Salt/Puppet Zabbix/Prometheus Kubernetes Docker,https://www.zhipin.com/job_detail/1e29c381a90d7d090nZ83N-6E1BX.html
运维开发工程师,微吼直播,20-30K·15薪,北京·朝阳区·定福庄,北京,大专,3-5年,,boss,运维工程师 运维开发 自动化运维 系统运维 运维监控,运维工程师 运维开发 自动化运维 系统运维 运维监控,https://www.zhipin.com/job_detail/1bff2ee79b7b37c13nV429W8FFM~.html
运维开发工程师,京东集团,25-50K·20薪,北京,北京,本科,经验不限,,boss,运维监控 Shell 运维 集群运维 分布式技术 运维开发 Python 应用运维,运维监控 Shell 运维 集群运维 分布式技术 运维开发 Python 应用运维,https://www.zhipin.com/job_detail/e908016c203e580a3nd_3dm-F1U~.html
运维开发工程师,中移雄安,13-23K·15薪,北京·西城区·宣武门,北京,本科,经验不限,,boss,容器技术 K8S ELK 运维开发,容器技术 K8S ELK 运维开发,https://www.zhipin.com/job_detail/663caefb94e189411n1y2NW5FFJU.html
运维开发工程师,聚力联盈,8-12K,北京,北京,本科,3-5年,,boss,Java Python/Shell MySQL 计算机相关专业,Java Python/Shell MySQL 计算机相关专业,https://www.zhipin.com/job_detail/b04f67771edfd5d41HJ_2Nm6E1VY.html
运维开发工程师,博彦科技,15-19K,北京·朝阳区·朝外,北京,本科,经验不限,,boss,Java 英文读写能力良好 DevOps 运维开发经验 计算机相关专业 Kubernetes,Java 英文读写能力良好 DevOps 运维开发经验 计算机相关专业 Kubernetes,https://www.zhipin.com/job_detail/6836b0f2aa98feed0nFz0t61EVdY.html
自动化运维开发工程师,国安,14-16K,北京·海淀区·中关村,北京,大专,5-10年,,boss,Java Kubernetes 自动化巡检 监控采集链路排障 React,Java Kubernetes 自动化巡检 监控采集链路排障 React,https://www.zhipin.com/job_detail/2ec299999eda73b50nJ40tS8FlpT.html
运维开发工程师,中路港,9-13K,北京·朝阳区·国展,北京,本科,经验不限,,boss,SQL,SQL,https://www.zhipin.com/job_detail/2937de41fed54bd51XZ609i7EVRT.html
运维开发工程师,同创信通,18-21K·15薪,北京·丰台区·总部基地,北京,大专,3-5年,,boss,服务器配置 Redis 自动化运维 Tomcat CI/CD,服务器配置 Redis 自动化运维 Tomcat CI/CD,https://www.zhipin.com/job_detail/127ff4ecade89bb61XZ90928F1NW.html
运维开发工程师,某大型量化私募,25-50K·18薪,北京,北京,本科,3-5年,,boss,顶级私募 福利待遇好,顶级私募 福利待遇好,https://www.zhipin.com/job_detail/3b1d7d42369fe6740nF509u8EVZU.html
运维开发工程师,某中型量化对冲基金公司,25-50K,北京,北京,本科,1-3年,,boss,Python,Python,https://www.zhipin.com/job_detail/09729b465e5e1c3e0nJ609S7FFtV.html
运维开发工程师,天一恩华,19-22K,北京,北京,本科,1-3年,,boss,Python Java SQL 网络爬虫技术 Unix 运维开发,Python Java SQL 网络爬虫技术 Unix 运维开发,https://www.zhipin.com/job_detail/917034aeae47c6b11Xd-2du_E1BX.html
运维开发工程师,北京元点具身智能科技,20-40K,北京·海淀区·学院路,北京,本科,3-5年,,boss,Kubernetes Docker Jenkins Ansible/Salt/Puppet 运维开发经验 大数据运维经验,Kubernetes Docker Jenkins Ansible/Salt/Puppet 运维开发经验 大数据运维经验,https://www.zhipin.com/job_detail/acfc05c94c32fb1e0nFy2dS9F1pV.html
运维开发工程师,宇信科技,9-11K,北京·顺义区·马坡,北京,本科,1-3年,,boss,Java Python/Shell 运维开发经验 自动化运维 JavaScript python,Java Python/Shell 运维开发经验 自动化运维 JavaScript python,https://www.zhipin.com/job_detail/f5193354f27372de0nZ82961F1NS.html
运维开发工程师,众和汇智,7-10K,北京·昌平区·天通苑,北京,大专,1年以内,,boss,SQL Windows MySQL Java Linux 应用运维 全职兼职均可 兼职,SQL Windows MySQL Java Linux 应用运维 全职兼职均可 兼职,https://www.zhipin.com/job_detail/33ccf2c1923b57831nx439i6F1FS.html
运维开发工程师 (MJ000044),泰尔英福科技有限公司,20-30K·15薪,北京·海淀区·学院路,北京,本科,3-5年,,boss,运维开发经验,运维开发经验,https://www.zhipin.com/job_detail/a621c0e57867d51a1XF82t66E1NY.html
运维开发工程师,安信创业,8-11K,北京·朝阳区·西坝河,北京,本科,1-3年,,boss,Java Python/Shell Golang Zabbix/Prometheus 计算机相关专业 运维开发经验 ITIL 智能体 langgraph langchain 运维开发 大模型,Java Python/Shell Golang Zabbix/Prometheus 计算机相关专业 运维开发经验 ITIL 智能体 langgraph langchain 运维开发 大模型,https://www.zhipin.com/job_detail/985ba4810746b8bf0nB_3t-8GFNV.html
SRE运维开发工程师（K8S方向）,某大型互联网公司,50-70K,北京,北京,本科,3-5年,,boss,Kubernetes 运维开发经验,Kubernetes 运维开发经验,https://www.zhipin.com/job_detail/759ec08e7dc94e7f0nd_3t6_FlVU.html
运维开发工程师,平方和投资,20-30K,北京·海淀区·苏州桥,北京,本科,3-5年,,boss,Python/Shell Kubernetes 运维开发经验 网络安全相关经验,Python/Shell Kubernetes 运维开发经验 网络安全相关经验,https://www.zhipin.com/job_detail/0d2ae42b4eee206a0nB62t20ElVV.html
运维开发工程师,指南针公司,11-13K·17薪,北京·昌平区·北七家,北京,本科,经验不限,,boss,系统运维 自动化运维 运维监控 服务器配置 运维开发 网络工程,系统运维 自动化运维 运维监控 服务器配置 运维开发 网络工程,https://www.zhipin.com/job_detail/325857052ca8f5a00Hx72di7GFs~.html
