job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
通信算法工程师,清华大学,18-35K,北京·海淀区·五道口,北京,本科,经验不限,,boss,通信,通信,https://www.zhipin.com/job_detail/aba122da5fdb67471nR62dm0E1RY.html
通信算法工程师,华为技术有限公司,20-40K·16薪,北京,北京,本科,,,boss,深度学习 机器学习 多模态算法 通信算法 C/C++ Python Java 算法工程化经验 发表算法相关优秀论文 参加算法相关竞赛/获奖 优秀开源项目经历,深度学习 机器学习 多模态算法 通信算法 C/C++ Python Java 算法工程化经验 发表算法相关优秀论文 参加算法相关竞赛/获奖 优秀开源项目经历,https://www.zhipin.com/job_detail/20b12f3694cafd9d0nJ63dW9EFBZ.html
通信研发工程师,小米,28-55K·15薪,北京·海淀区·清河,北京,本科,5-10年,,boss,Modem,Modem,https://www.zhipin.com/job_detail/fef4afcf671387f41XRz3d-_EVVZ.html
通信研发工程师,中国科学院软件研究所,12-18K,北京·海淀区·知春路,北京,硕士,1年以内,,boss,5G C语言 C++,5G C语言 C++,https://www.zhipin.com/job_detail/148ca4e52d47d6271XN_2d69ElFW.html
通信传输工程师,天地通电信,15-18K·13薪,北京·丰台区·长辛店,北京,大专,1-3年,,boss,PTN、OTN,PTN、OTN,https://www.zhipin.com/job_detail/58eb1854efc905711Xx63du0FVJR.html
通信研发工程师,通广龙,20-40K,北京·海淀区·西北旺,北京,本科,5-10年,,boss,C语言,C语言,https://www.zhipin.com/job_detail/39a05b212ddd2bbb1nx-2d66GVdR.html
高级通信工程师,天科恒创,10-15K·24薪,北京·丰台区·木樨园,北京,本科,经验不限,,boss,4G 移动通信 无线通信 传输线路设计 天线设计 5G CCNP证书 CCIE证书,4G 移动通信 无线通信 传输线路设计 天线设计 5G CCNP证书 CCIE证书,https://www.zhipin.com/job_detail/fdea1187b3b6273603J-09W5GFpR.html
通信研发工程师,未尔科技,300-350元/天,北京,北京,本科,,,boss,C++ 无线通信,C++ 无线通信,https://www.zhipin.com/job_detail/bac3e30dcd01420503xy39q_GFtW.html
通信工程师,北京中利恒优科技,9-10K,北京·丰台区·科技园区,北京,大专,1-3年,,boss,网络维护,网络维护,https://www.zhipin.com/job_detail/56fb6a2732168f930nd80tq8FFtY.html
通信技术工程师,北京永鑫嘉诚安装公司,13-21K,北京·大兴区·亦庄,北京,本科,3-5年,,boss,设备安装 通信系统集成 设备调试,设备安装 通信系统集成 设备调试,https://www.zhipin.com/job_detail/106c080512f5d5f31nN73ti8GFE~.html
通信研发工程师,睿信丰,25-26K,北京·海淀区·上地,北京,硕士,5-10年,,boss,传输线路设计 无线通信,传输线路设计 无线通信,https://www.zhipin.com/job_detail/e13790dfa92e3d5b1Hd-3tW8EltQ.html
智能汽车通信研发工程师,经纬恒润,20-30K,北京·朝阳区·酒仙桥,北京,本科,,,boss,无线通信,无线通信,https://www.zhipin.com/job_detail/2f75b19fee56f17e0nFz2d65EFFV.html
初级通信工程师-双休/不加班,北京智点创新网络科技,7-8K,北京·朝阳区·望京,北京,本科,经验不限,,boss,网络维护,网络维护,https://www.zhipin.com/job_detail/315aa4044e21d41a0nF60967GFdZ.html
通信算法工程师,思朗科技,20-40K·15薪,北京·海淀区·清河,北京,本科,3-5年,,boss,卫星,卫星,https://www.zhipin.com/job_detail/bd32c8153c59d6fa1HZ73d67FFtS.html
通信设备工程师,鸿运通达,4-9K,北京·昌平区·小汤山,北京,初中及以下,经验不限,,boss,通信 光通信 基站维护 数据通信 通信测试 网络设备 网络安全 移动通信,通信 光通信 基站维护 数据通信 通信测试 网络设备 网络安全 移动通信,https://www.zhipin.com/job_detail/fccf56ef85d650220XV83dm5F1Q~.html
无线/射频通信工程师,北京羽嘉科技,10-15K,北京·大兴区·亦庄,北京,本科,3-5年,,boss,通信 射频 无线通信 卫星,通信 射频 无线通信 卫星,https://www.zhipin.com/job_detail/ea839402ba9a340f1HB50t67FVBS.html
高性能网络通信工程师/专家-基础技术,小红书,30-60K·16薪,北京·朝阳区·亚运村,北京,学历不限,经验不限,,boss,架构设计经验 NCCL、DeepEP、通信库、训推优化,架构设计经验 NCCL、DeepEP、通信库、训推优化,https://www.zhipin.com/job_detail/213af20b123286aa0nF_3tm_FVpV.html
