job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
生物技术服务销售,北京天一辉远,8-10K,北京·丰台区·科技园区,北京,大专,1年以内,,boss,企业（To B） 无经验要求 其他行业,企业（To B） 无经验要求 其他行业,https://www.zhipin.com/job_detail/7a2af883d279f0231HJ929W6GVpT.html
市场技术支持,灵知蓝诺,8-12K,北京·大兴区·亦庄,北京,本科,3-5年,,boss,线下活动经验 制药/医疗行业经验 新媒体运营经验 需要出差 病理,线下活动经验 制药/医疗行业经验 新媒体运营经验 需要出差 病理,https://www.zhipin.com/job_detail/ad44efbda10b7b630nF93N2_EldY.html
无人机技术支持,天途航空,10-15K,北京·昌平区·马池口,北京,本科,1-3年,,boss,无人机 技术支持 垂起,无人机 技术支持 垂起,https://www.zhipin.com/job_detail/ca39f54c22d375371HB-3di4ElNV.html
技术支持工程师-售前和售后,某机械设备公司,20-21K·17薪,北京,北京,本科,5-10年,,boss,机械/电子工程相关专业,机械/电子工程相关专业,https://www.zhipin.com/job_detail/680b54a9bd9cef3c03Vy3d-6FFJV.html
销售工程师/周末双休,宸阅生物,9-13K,北京·海淀区·五棵松,北京,本科,经验不限,,boss,协助产品规划与开发 对机构 (To B) 销售经验 市场拓展能力 商务谈判能力 生物科学类 生物医药,协助产品规划与开发 对机构 (To B) 销售经验 市场拓展能力 商务谈判能力 生物科学类 生物医药,https://www.zhipin.com/job_detail/bbe354c8cbc85f1b0nJ43tq_E1VT.html
生产组装及技术支持工程师,迈实技术,6-8K,北京,北京,中专,5-10年,,boss,需穿无尘服 做五休二 绩效奖金 缴纳社保 周末双休 坐班 月结工资 加班费 有餐补 六险一金,需穿无尘服 做五休二 绩效奖金 缴纳社保 周末双休 坐班 月结工资 加班费 有餐补 六险一金,https://www.zhipin.com/job_detail/8b2b18eb856361a71nZ43tW6GVJS.html
隐形正畸-销售岗-北京（医疗器械）,爱齐,12-17K,北京·朝阳区·奥运村,北京,大专,3-5年,,boss,医疗/大健康 面销/陌拜 接受居家办公,医疗/大健康 面销/陌拜 接受居家办公,https://www.zhipin.com/job_detail/86645d831fa599940nJ73Ni1FlpY.html
医疗器械技术支持,神络医疗,11-18K·13薪,北京·东城区·王府井,北京,本科,3-5年,,boss,跟台 技术支持 疼痛科 神经调控,跟台 技术支持 疼痛科 神经调控,https://www.zhipin.com/job_detail/539e0164961e0f510nF_2N64E1BS.html
临床技术支持,雅客智慧,6-10K,北京·东城区·雍和宫,北京,本科,3-5年,,boss,3shape,3shape,https://www.zhipin.com/job_detail/9c83cd35d4a2b9621Hx52di5GVRT.html
大客户销售TOB,信融科技,10-15K,北京·朝阳区·草房,北京,大专,1-3年,,boss,售前咨询 定制解决方案 B端市场开发经验 面销/陌拜经验 媒介/广告 知识产权 业务开拓能力 客户关系维护 新客户开发 商务谈判技巧 企业服务 制定销售策略和目标 电话销售经验,售前咨询 定制解决方案 B端市场开发经验 面销/陌拜经验 媒介/广告 知识产权 业务开拓能力 客户关系维护 新客户开发 商务谈判技巧 企业服务 制定销售策略和目标 电话销售经验,https://www.zhipin.com/job_detail/57a92aac1265195203V939S9GFVQ.html
技术支持服务工程师,轻网科技,11-22K,北京·海淀区·学院路,北京,本科,经验不限,,boss,PMP 网络 路由器 通信设备商 接受无网络工程师经验 SDN Python 交换机,PMP 网络 路由器 通信设备商 接受无网络工程师经验 SDN Python 交换机,https://www.zhipin.com/job_detail/ee253482fab50bf90nFz39y0EFFS.html
风电运维技术支持,三一重能,20-40K·13薪,北京,北京,本科,3-5年,,boss,风电运维 要求光伏/风电运维经验 风电运维经验,风电运维 要求光伏/风电运维经验 风电运维经验,https://www.zhipin.com/job_detail/d6ee0b272af59d000nF73N66GVFV.html
